GCCSA_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,245,891,799,2465,2069,716,366,308,235,586,8764,8,6,18,78,83,336,447,185,95,80,73,217,1619,8,0,0,6,10,92,252,208,189,192,131,200,1287,555,168,429,1769,1298,3190,3086,963,450,336,223,1370,13854,4,0,13,18,24,53,83,40,19,24,19,8038,8340,732,287,859,3488,3606,15697,34086,22359,16799,17949,14581,18006,148441,26,21,81,416,743,3761,5382,2075,791,646,308,2020,16262,33,94,678,2759,2077,3746,2431,557,205,133,57,1282,14045,12,23,51,221,142,313,293,105,29,33,15,232,1471,148,85,636,1108,360,434,189,45,16,16,12,306,3363,686,291,2187,5130,3109,4984,2990,645,260,153,113,2205,22752,0,4,16,24,30,42,27,0,6,0,3,376,528,908,511,3645,9658,6458,13287,11310,3431,1312,988,507,6416,58423,3361,1759,5820,21562,27936,53429,72794,41345,27464,27045,20605,34606,337723,19,8,3,26,49,244,2531,6401,5874,7415,5095,148,27816,10,16,14,160,268,1462,2730
4RSAU,31,180,192,632,468,142,53,30,23,183,1943,0,0,8,35,16,132,145,57,17,19,5,56,494,0,0,0,3,8,47,111,69,45,34,19,57,398,49,42,60,428,395,888,586,117,56,36,37,372,3058,4,0,0,5,13,24,29,19,7,11,3,2430,2546,129,94,197,985,1117,5107,9715,5368,3428,2924,1799,5426,36291,10,4,32,152,268,934,1004,310,94,86,28,431,3349,7,29,254,995,588,869,439,65,21,12,11,372,3662,6,6,26,60,41,98,58,12,7,3,5,60,384,27,21,269,370,82,94,47,3,4,3,4,88,1016,114,70,768,1578,900,1222,567,92,32,32,25,690,6080,0,0,6,6,15,18,11,4,0,0,0,167,223,158,129,1350,3158,1900,3231,2117,485,159,131,70,1814,14707,766,640,2069,8254,11478,18080,21816,10229,5941,4830,3060,11565,98732,56,5,7,65,76,284,1275,1808,1387,1478,931,79,7453,15,21,11,96,154,587,934
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,342,1030,887,2668,2847,1251,722,791,849,981,12501,31,7,38,121,107,427,833,516,206,382,308,448,3421,11,4,0,3,15,75,282,229,266,286,312,363,1844,924,253,622,1849,1284,3132,3646,1424,721,789,677,1877,17207,13,6,16,15,14,64,106,56,44,32,31,20430,20823,1261,427,1231,3914,3774,17187,43071,34280,25988,34219,37358,35800,238518,50,24,85,472,869,4458,7132,3587,1448,1511,794,2734,23164,46,146,1003,3130,2238,4718,3180,930,359,325,140,1563,17770,16,13,92,193,154,368,382,178,76,96,43,335,1941,361,144,943,1511,443,684,414,146,57,55,18,459,5240,1419,438,2695,5459,2943,4798,3387,942,529,310,229,2612,25762,11,5,22,31,24,43,37,13,3,4,0,481,679,1897,770,4838,10800,6667,15066,14536,5798,2466,2307,1231,8182,74560,6192,2573,8245,24893,29927,60258,92739,63769,44951,55034,53871,63662,506114,44,8,3,39,35,288,3046,8058,8441,13302,12686,282,46237,24,27,36,245,364,1858,3374
5RWAU,40,179,200,612,583,216,101,111,89,215,2362,3,6,10,35,27,119,228,196,65,114,48,129,977,6,0,0,9,3,29,113,72,99,92,105,101,624,73,51,151,612,466,814,606,219,73,101,61,553,3775,0,0,0,9,13,24,44,32,7,14,10,5245,5402,163,114,268,1176,1126,4528,10575,7937,5737,6649,5600,9747,53612,18,13,50,189,310,1042,1505,678,206,239,123,614,4985,11,32,341,970,690,1081,566,149,45,43,25,413,4362,3,3,28,97,60,94,87,40,10,27,6,99,568,52,32,336,403,122,153,61,24,11,16,3,130,1342,238,119,981,1797,947,1243,617,151,62,60,47,904,7178,9,3,15,23,12,17,17,0,0,0,0,245,352,337,201,1752,3484,2134,3630,2849,1048,345,393,210,2407,18784,1212,771,2618,8179,9737,16247,23689,15166,10229,11665,9294,18424,127212,61,21,13,54,74,310,1254,2151,2061,3153,2825,126,12110,14,14,13,102,131,607,909
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,14,113,118,386,325,113,51,49,34,115,1325,0,0,4,14,14,60,69,24,12,8,8,41,256,0,0,0,0,0,12,39,34,27,26,17,23,181,47,10,42,239,185,480,442,147,69,42,34,233,1972,0,0,0,4,0,14,23,9,4,4,6,1171,1233,62,27,83,451,489,2406,5474,3698,2702,2871,2064,2834,23160,4,0,7,94,150,704,1013,386,107,90,41,374,2976,6,17,132,596,418,812,440,99,20,19,5,269,2836,7,0,17,45,42,66,53,19,8,7,5,47,302,11,6,116,200,61,50,11,0,0,0,0,46,514,77,31,451,1063,565,930,468,86,41,38,15,381,4151,0,0,0,6,10,4,9,0,0,0,0,69,97,106,55,726,2000,1241,2565,1998,602,180,158,65,1189,10878,395,201,1027,3804,4640,9338,12870,7166,4511,4512,3046,5891,57398,4,0,0,3,5,34,536,1177,971,1220,965,21,4934,4,3,10,46,73,374,668
6RTAS,23,169,212,606,408,98,49,34,20,150,1775,3,0,4,18,23,107,135,39,13,14,11,75,427,0,0,0,6,4,21,63,43,36,30,15,50,275,50,22,55,415,387,834,566,118,37,40,30,318,2881,0,0,4,11,10,34,43,20,12,0,6,1560,1710,82,59,125,792,947,4165,7776,4111,2651,2210,1267,3935,28125,7,0,24,111,212,752,856,292,87,55,19,373,2793,0,4,188,808,499,741,375,79,17,9,11,328,3051,8,11,27,64,47,81,57,14,0,3,5,61,370,12,17,190,282,83,84,31,3,0,3,4,74,786,89,50,645,1432,818,1154,478,66,39,28,28,558,5372,0,0,4,14,6,20,11,0,0,0,0,108,167,117,86,1078,2714,1665,2828,1807,452,147,101,61,1494,12546,524,408,1602,6669,9053,13901,16719,7701,4469,3483,2154,8481,75165,18,6,3,40,44,154,915,1593,1094,1210,699,47,5823,9,8,8,85,119,453,767
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,9,35,31,89,113,52,26,32,31,42,474,4,0,3,4,3,23,54,40,15,36,16,38,239,0,0,0,0,0,7,17,34,22,36,45,42,202,31,12,13,71,54,120,147,64,38,45,24,79,698,0,0,0,0,0,5,12,4,4,5,3,1049,1093,42,27,44,152,166,740,2265,2161,1755,2912,2816,2066,15147,5,3,5,35,73,380,660,346,140,145,73,228,2096,0,6,42,128,84,170,114,37,16,10,8,67,691,0,0,4,9,10,17,43,20,14,17,4,28,171,12,3,41,47,20,22,19,7,5,6,0,20,204,58,25,149,285,137,220,169,65,46,20,20,178,1361,0,0,3,0,0,0,4,3,0,0,0,60,78,76,45,241,508,324,815,1003,484,217,204,102,590,4605,240,102,349,985,927,2564,5277,4537,3481,5071,4532,3995,32045,4,0,0,0,3,19,283,835,842,1216,1109,32,4362,0,0,0,12,11,88,189
7RNTE,17,100,60,131,61,9,5,6,8,89,498,6,0,6,14,10,19,25,16,3,4,4,37,139,0,3,0,8,3,10,16,8,19,11,6,23,116,17,124,255,744,253,391,161,28,9,7,4,426,2430,0,4,3,17,4,17,4,3,3,3,4,593,651,35,154,312,1013,437,977,1185,856,701,825,566,1617,8669,3,3,25,58,49,215,299,115,43,50,18,120,996,0,9,63,72,48,103,60,13,12,5,3,69,459,0,6,11,20,3,19,13,11,0,0,3,23,121,7,21,97,74,19,36,12,7,0,0,0,61,330,43,97,521,358,163,215,148,22,5,7,5,308,1890,3,4,7,9,10,4,0,0,0,0,0,126,159,59,144,728,587,286,585,541,167,59,62,30,704,3959,148,448,1169,2222,1051,2134,2550,1783,1369,1463,990,3130,18463,0,0,0,5,4,28,166,348,375,559,439,18,1943,3,3,0,13,15,32,54
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,39,108,100,312,371,179,124,155,153,107,1673,0,5,0,17,18,58,109,62,27,40,37,53,429,0,0,0,3,4,14,45,59,77,133,118,54,512,79,24,57,196,127,336,502,321,208,215,146,257,2478,0,0,0,0,5,11,21,18,9,28,23,2634,2757,113,45,125,416,441,2070,6028,5999,5896,10018,11614,5236,48008,8,6,7,84,139,696,1925,1253,505,583,290,666,6164,5,15,108,363,317,634,629,224,83,70,25,215,2683,0,4,12,39,24,58,111,52,30,20,14,68,424,16,15,110,126,36,62,44,12,9,7,0,33,470,125,63,465,824,373,722,708,260,166,115,64,409,4297,0,6,0,3,4,11,6,0,0,0,0,46,84,157,95,707,1439,884,2182,3426,1815,791,804,391,1432,14130,688,296,1031,2902,3108,8537,16726,13233,11190,16423,16777,9657,100574,5,0,0,3,8,32,615,1838,2335,4282,5134,44,14283,0,5,4,35,51,306,624
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,3,8,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,6,6,3,4,0,0,0,7,30,0,0,0,0,0,0,5,0,0,0,0,23,30,0,0,3,10,12,46,114,60,43,39,32,69,426,0,0,0,0,4,19,11,5,4,3,0,6,53,0,0,6,3,0,4,8,5,0,0,0,7,26,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,7,10,4,0,0,0,15,45,0,0,0,0,0,0,0,0,0,0,0,10,10,5,0,5,10,10,32,25,14,4,9,0,31,147,8,7,14,57,64,169,237,118,74,66,50,147,1015,0,0,0,0,0,5,14,12,18,21,22,0,99,0,0,0,0,8,3,13
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
