GCCSA_CODE_2021,C16_CF_1P1NW_150_399,C16_CF_1P1NW_400_649,C16_CF_1P1NW_650_799,C16_CF_1P1NW_800_1249,C16_CF_1P1NW_1250_1999,C16_CF_1P1NW_2000_2499,C16_CF_1P1NW_2500_2999,C16_CF_1P1NW_3000_3999,C16_CF_1P1NW_4000more,C16_CF_1P1NW_Ns,C16_CF_1P1NW_Tot,C16_CF_1A1NW_Neg_ni_inc,C16_CF_1A1NW_1_149,C16_CF_1A1NW_150_399,C16_CF_1A1NW_400_649,C16_CF_1A1NW_650_799,C16_CF_1A1NW_800_1249,C16_CF_1A1NW_1250_1999,C16_CF_1A1NW_2000_2499,C16_CF_1A1NW_2500_2999,C16_CF_1A1NW_3000_3999,C16_CF_1A1NW_4000more,C16_CF_1A1NW_Ns,C16_CF_1A1NW_Tot,C16_CF_BA_Neg_ni_inc,C16_CF_BA_1_149,C16_CF_BA_150_399,C16_CF_BA_400_649,C16_CF_BA_650_799,C16_CF_BA_800_1249,C16_CF_BA_1250_1999,C16_CF_BA_2000_2499,C16_CF_BA_2500_2999,C16_CF_BA_3000_3999,C16_CF_BA_4000more,C16_CF_BA_Ns,C16_CF_BA_Tot,C16_CF_BNW_Neg_ni_inc,C16_CF_BNW_1_149,C16_CF_BNW_150_399,C16_CF_BNW_400_649,C16_CF_BNW_650_799,C16_CF_BNW_800_1249,C16_CF_BNW_1250_1999,C16_CF_BNW_2000_2499,C16_CF_BNW_2500_2999,C16_CF_BNW_3000_3999,C16_CF_BNW_4000more,C16_CF_BNW_Ns,C16_CF_BNW_Tot,C16_CF_LFns_Neg_ni_inc,C16_CF_LFns_1_149,C16_CF_LFns_150_399,C16_CF_LFns_400_649,C16_CF_LFns_650_799,C16_CF_LFns_800_1249,C16_CF_LFns_1250_1999,C16_CF_LFns_2000_2499,C16_CF_LFns_2500_2999,C16_CF_LFns_3000_3999,C16_CF_LFns_4000more,C16_CF_LFns_Ns,C16_CF_LFns_Tot,C16_C_f_c_Tot_Fi_Neg_ni_inc,C16_C_f_c_Tot_Fi_1_149,C16_C_f_c_Tot_Fi_150_399,C16_C_f_c_Tot_Fi_400_649,C16_CF_c_Tot_Fi_650_799,C16_CF_c_Tot_Fi_800_1249,C16_CF_c_Tot_Fi_1250_1999,C16_CF_c_Tot_Fi_2000_2499,C16_CF_c_Tot_Fi_2500_2999,C16_CF_c_Tot_Fi_3000_3999,C16_CF_c_Tot_Fi_4000more,C16_C_f_with_c_TotFI_Ns,C16_C_f_with_c_Tot_Tot,C16_1PF_F_Neg_ni_inc,C16_1PF_F_1_149,C16_1PF_F_150_399,C16_1PF_F_400_649,C16_1PF_F_650_799,C16_1PF_F_800_1249,C16_1PF_F_1250_1999,C16_1PF_F_2000_2499,C16_1PF_F_2500_2999,C16_1PF_F_3000_3999,C16_1PF_F_4000more,C16_1PF_F_Ns,C16_1PF_F_Tot,C16_1PF_P_Neg_ni_inc,C16_1PF_P_1_149,C16_1PF_P_150_399,C16_1PF_P_400_649,C16_1PF_P_650_799,C16_1PF_P_800_1249,C16_1PF_P_1250_1999,C16_1PF_P_2000_2499,C16_1PF_P_2500_2999,C16_1PF_P_3000_3999,C16_1PF_P_4000more,C16_1PF_P_Ns,C16_1PF_P_Tot,C16_1PF_A_Neg_ni_inc,C16_1PF_A_1_149,C16_1PF_A_150_399,C16_1PF_A_400_649,C16_1PF_A_650_799,C16_1PF_A_800_1249,C16_1PF_A_1250_1999,C16_1PF_A_2000_2499,C16_1PF_A_2500_2999,C16_1PF_A_3000_3999,C16_1PF_A_4000more,C16_1PF_A_Ns,C16_1PF_A_Tot,C16_1PF_U_Neg_ni_inc,C16_1PF_U_1_149,C16_1PF_U_150_399,C16_1PF_U_400_649,C16_1PF_U_650_799,C16_1PF_U_800_1249,C16_1PF_U_1250_1999,C16_1PF_U_2000_2499,C16_1PF_U_2500_2999,C16_1PF_U_3000_3999,C16_1PF_U_4000more,C16_1PF_U_Ns,C16_1PF_U_Tot,C16_1PF_N_lf_Fi_Neg_ni_inc,C16_1PF_N_lf_Fi_1_149,C16_1PF_N_lf_Fi_150_399,C16_1PF_N_lf_Fi_400_649,C16_1PF_N_lf_Fi_650_799,C16_1PF_N_lf_Fi_800_1249,C16_1PF_N_lf_Fi_1250_1999,C16_1PF_N_lf_Fi_2000_2499,C16_1PF_N_lf_Fi_2500_2999,C16_1PF_N_lf_Fi_3000_3999,C16_1PF_N_lf_Fi_4000more,C16_1PF_N_lf_Fi_Ns,C16_1PF_N_the_lf_Tot,C16_1PF_LFns_Neg_ni_inc,C16_1PF_LFns_1_149,C16_1PF_LFns_150_399,C16_1PF_LFns_400_649,C16_1PF_Lfns_Fi_650_799,C16_1PF_LFns_800_1249,C16_1PF_LFns_1250_1999,C16_1PF_LFns_2000_2499,C16_1PF_LFns_2500_2999,C16_1PF_Lfns_Fi_3000_3999,C16_1PF_LFns_4000more,C16_1PF_LFns_Ns,C16_1PF_LFns_Tot,C16_1PF_TotFI_Neg_ni_inc,C16_1PF_TotFI_1_149,C16_1PF_TotFI_150_399,C16_1PF_TotFI_400_649,C16_1PF_TotFI_650_799,C16_1PF_TotFI_800_1249,C16_1PF_TotFI_1250_1999,C16_1PF_TotFI_2000_2499,C16_1PF_TotFI_2500_2999,C16_1PF_TotFI_3000_3999,C16_1PF_TotFI_4000more,C16_One_par_f_TotFI_Ns,C16_One_parent_f_Tot_Tot,C16_TotFI_Neg_ni_inc,C16_TotFI_1_149,C16_TotFI_150_399,C16_TotFI_400_649,C16_TotFI_650_799,C16_TotFI_800_1249,C16_TotFI_1250_1999,C16_TotFI_2000_2499,C16_TotFI_2500_2999,C16_TotFI_3000_3999,C16_TotFI_4000more,C16_TotFI_Ns,C16_Tot_Tot,C21_CFNC_BF_Neg_ni_inc,C21_CFNC_BF_1_149,C21_CFNC_BF_150_399,C21_CFNC_BF_400_649,C21_CFNC_BF_650_799,C21_CFNC_BF_800_1249,C21_CFNC_BF_1250_1999,C21_CFNC_BF_2000_2499,C21_CFNC_BF_2500_2999,C21_CFNC_BF_3000_3999,C21_CFNC_BF_4000more,C21_CFNC_BF_Ns,C21_CFNC_BF_Tot,C21_CFNC_BPT_Neg_ni_inc,C21_CFNC_BPT_1_149,C21_CFNC_BPT_150_399,C21_CFNC_BPT_400_649,C21_CFNC_BPT_650_799,C21_CFNC_BPT_800_1249,C21_CFNC_BPT_1250_1999
1GSYD,1176,3643,2918,7650,7409,3142,1783,2151,2058,2865,35084,88,36,130,436,360,1259,1682,814,386,627,534,1278,7621,33,6,10,38,45,219,694,578,542,755,879,1060,4876,2683,714,1919,5861,4554,10917,13172,5701,3208,3290,2474,6779,61262,40,8,36,96,98,260,344,173,117,135,121,30360,31791,3476,1144,3826,13355,13189,51636,110129,82443,64568,89598,111232,72830,617420,93,54,278,1384,2405,10651,17146,9000,3950,5017,2595,6230,58792,93,265,2185,6135,4240,8789,7175,2281,1057,975,416,3312,36928,44,43,183,484,313,789,873,380,176,223,102,832,4454,601,220,1563,2295,834,1260,894,243,112,127,64,755,8974,4046,1186,6621,13462,8265,15732,12809,4044,2165,1381,1118,8079,78917,26,9,43,66,65,143,125,44,14,15,11,1410,1980,4904,1777,10870,23833,16127,37377,39028,15990,7471,7747,4316,20616,190046,19370,6736,19783,61908,70276,145791,223792,147733,106534,137794,157258,127076,1224060,50,15,3,46,65,410,4524,12882,15480,29114,42876,600,106079,35,50,51,282,405,2523,6556
1RNSW,228,1078,1219,3861,3597,1127,560,453,323,1344,13887,21,9,46,136,147,688,872,395,167,202,135,477,3285,14,11,5,29,31,189,527,372,333,329,243,510,2602,499,199,540,2356,2468,6329,5649,1609,739,591,367,2923,24268,25,9,19,46,45,172,216,103,53,49,37,15127,15909,868,440,1171,5067,6151,28981,64440,41045,30167,31088,22766,37754,269941,67,58,205,1054,1908,7390,9555,3509,1292,979,451,3635,30092,55,152,1665,6273,4305,7231,4038,877,273,209,97,2663,27844,27,29,174,539,359,632,558,188,58,67,25,530,3181,260,180,1399,2584,784,886,380,38,10,37,9,713,7275,1071,531,4997,11824,7194,11508,5756,1207,463,333,265,5750,50898,13,5,54,98,87,130,81,14,5,6,8,1060,1571,1485,949,8495,22363,14636,27778,20366,5837,2105,1641,861,14349,120860,5791,3725,12867,49806,68494,113071,145141,76108,49050,47342,34123,78218,683733,251,73,47,238,331,1328,7026,12016,9923,13117,10104,539,54995,68,70,65,411,638,2964,5795
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1075,3283,2707,7462,6957,2624,1474,1479,1338,2545,31299,79,37,123,367,370,1240,1494,705,368,470,372,1057,6687,40,10,5,39,50,262,848,607,506,563,575,1007,4516,2637,752,1955,5521,3987,10200,11726,4489,2133,2043,1451,5976,52878,34,10,35,87,94,297,374,192,95,96,85,26788,28175,3563,1295,3886,12742,12849,54379,116040,81074,60422,71908,77383,67612,563156,133,91,385,1440,2288,10177,15610,7177,2924,3285,1566,6139,51214,151,307,2253,6759,4813,9789,7009,1981,767,684,332,3709,38547,58,37,195,556,378,801,834,321,142,138,70,824,4355,644,290,1630,2224,781,1144,821,204,76,97,29,815,8747,3966,1179,6479,12364,7391,14619,10622,2932,1389,800,644,7608,69995,27,11,47,83,68,133,112,20,12,10,3,1367,1899,4977,1913,10985,23423,15719,36674,35000,12635,5313,5018,2654,20458,174766,18106,6974,19736,61131,70949,149943,227339,143627,99499,111145,108784,121380,1138612,98,28,11,78,121,635,7143,18443,20861,32488,32556,786,113255,38,68,69,477,745,3984,7984
2RVIC,168,661,673,2177,1849,520,242,177,159,689,7367,8,15,26,91,95,439,542,195,67,95,56,253,1881,23,6,0,15,28,128,358,262,178,193,107,310,1608,259,113,307,1256,1254,2932,2442,663,273,196,133,1438,11264,12,4,10,27,32,105,149,57,34,33,19,7582,8061,578,302,770,3139,3709,17812,38801,22639,15253,13765,9415,20630,146807,40,21,117,625,975,3608,4536,1439,533,394,185,1834,14296,24,120,923,3606,2354,3977,2063,405,114,91,51,1572,15312,19,8,117,303,184,380,298,81,20,17,10,278,1710,95,84,650,1293,369,428,165,30,5,19,15,337,3482,548,268,2570,5967,3495,5237,2466,485,193,173,120,2718,24238,4,0,27,60,35,66,53,12,0,0,4,524,786,725,504,4394,11849,7418,13695,9570,2456,866,689,389,7268,59832,3340,2277,6952,27344,35712,62885,81947,41632,25118,21391,14697,42370,365669,109,38,28,166,190,838,4281,7164,5892,7076,4853,369,30996,47,39,42,294,403,1884,3487
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,293,1062,986,3261,3326,1189,659,614,552,957,13028,27,19,33,130,123,556,902,421,196,254,160,419,3245,11,5,3,11,20,91,366,341,266,281,251,409,2055,776,247,578,2132,1681,4794,4827,1739,791,752,547,2115,20980,8,7,8,31,28,121,141,76,35,47,30,15010,15531,1064,436,1134,4399,4729,22726,55337,40041,31078,37949,36163,31648,266694,54,25,139,742,1550,7217,10086,4380,1674,1537,724,3034,31174,57,118,951,3712,2696,5415,3831,891,368,258,125,1618,20033,18,26,105,338,214,511,517,195,74,84,27,372,2454,307,136,1051,1927,662,872,423,95,58,43,29,497,6094,1364,446,3153,7635,4553,7738,5115,1271,593,377,255,3162,35661,15,10,23,45,46,69,61,17,7,3,9,627,913,1815,750,5414,14394,9713,21822,20042,6844,2765,2294,1167,9307,96326,6006,2651,8782,30916,38505,79213,119927,75059,51976,58444,50570,58341,580384,49,23,19,57,75,409,4951,11578,11264,15984,14689,353,59438,12,28,31,212,365,2004,3952
3RQLD,270,1109,1090,3740,3382,1089,469,437,296,1063,13037,36,14,25,121,154,605,888,489,177,278,171,489,3457,21,0,9,17,29,134,429,304,296,277,248,438,2201,573,246,567,2371,2193,5353,4488,1285,523,483,374,2259,20723,8,7,13,28,36,118,188,94,52,32,47,19569,20195,1055,514,1228,5028,5826,26555,59670,38589,27658,28130,20365,37192,251803,68,33,199,1058,1959,7597,9180,3230,1096,979,426,3018,28859,55,169,1318,5346,3861,6431,3805,743,255,210,57,2038,24290,31,27,141,415,258,538,502,188,67,55,22,456,2702,316,152,1435,2710,967,999,466,96,32,40,20,595,7832,1218,503,3833,9544,5610,9022,4602,975,375,280,203,3981,40154,14,7,35,79,46,86,65,8,9,3,4,781,1150,1704,901,6972,19153,12699,24673,18620,5239,1835,1572,741,10870,104980,6313,3534,11197,42818,55559,97984,133415,73217,46611,44887,31822,73507,620870,254,70,39,240,296,1141,7055,12434,10465,12881,9879,607,55366,52,55,52,332,594,2599,4990
