GCCSA_CODE_2021,C16_F_a_4_8_FH_One_PFam,C16_F_a_4_8_FH_oth_fa,C16_F_a_4_8_FH_Tot,C16_F_a_4_8_LP_H,C16_F_a_4_8_GH,C16_F_a_4_8_OH,C16_F_a_4_8_Tot,C16_F_a_9m_FH_CF_no_ch,C16_F_a_9m_FH_CF_w_ch,C16_F_a_9m_FH_One_PFam,C16_F_a_9m_FH_oth_fa,C16_F_a_9m_FH_Tot,C16_F_a_9m_LP_H,C16_F_a_9m_GH,C16_F_a_9m_OH,C16_F_a_9m_Tot,C16_F_a_a_h_FH_CF_no_ch,C16_F_a_a_h_FH_CF_w_ch,C16_F_a_a_h_FH_One_PFam,C16_F_a_a_h_FH_oth_fa,C16_F_a_a_h_FH_Tot,C16_F_a_a_h_LP_H,C16_F_a_a_h_GH,C16_F_a_a_h_OH,C16_F_a_a_h_Tot,C16_F_a_Tot_FH_CF_no_ch,C16_F_a_Tot_FH_CF_w_ch,C16_F_a_Tot_FH_One_PFam,C16_F_a_Tot_FH_oth_fa,C16_F_a_Tot_FH_Tot,C16_F_a_Tot_LP_H,C16_F_a_Tot_GH,C16_F_a_Tot_OH,C16_F_a_Tot_Tot,C16_OD_C_c_hb_FH_CF_no_ch,C16_OD_C_c_hb_FH_CF_w_ch,C16_OD_C_c_hb_FH_One_PFam,C16_OD_C_c_hb_FH_oth_fa,C16_OD_C_c_hb_FH_Tot,C16_OD_C_c_hb_LP_H,C16_OD_C_c_hb_GH,C16_OD_C_c_hb_OH,C16_OD_C_c_hb_Tot,C16_OD_Ih_t_s_FH_CF_no_ch,C16_OD_Ih_t_s_FH_CF_w_ch,C16_OD_Ih_t_s_FH_One_PFam,C16_OD_Ih_t_s_FH_oth_fa,C16_OD_Ih_t_s_FH_Tot,C16_OD_Ih_t_s_LP_H,C16_OD_Ih_t_s_GH,C16_OD_Ih_t_s_OH,C16_OD_Ih_t_s_Tot,C16_OD_H_f_so_FH_CF_no_ch,C16_OD_H_f_so_FH_CF_w_ch,C16_OD_H_f_so_FH_One_PFam,C16_OD_H_f_so_FH_oth_fa,C16_OD_H_f_so_FH_Tot,C16_OD_H_f_so_LP_H,C16_OD_H_f_so_GH,C16_OD_H_f_so_OH,C16_OD_H_f_so_Tot,C16_OD_Tot_FH_CF_no_ch,C16_OD_Tot_FH_CF_w_ch,C16_OD_Tot_FH_One_PFam,C16_OD_Tot_FH_oth_fa,C16_OD_Tot_FH_Tot,C16_OD_Tot_LP_H,C16_OD_Tot_GH,C16_OD_Tot_OH,C16_OD_Tot_Tot,C16_DS_ns_FH_CF_no_ch,C16_DS_ns_FH_CF_w_ch,C16_DS_ns_FH_One_PFam,C16_DS_ns_FH_oth_fa,C16_DS_ns_FH_Tot,C16_DS_ns_LP_H,C16_DS_ns_GH,C16_DS_ns_OH,C16_DS_NS_Tot,C16_Tot_FH_CF_no_ch,C16_Tot_FH_CF_w_ch,C16_Tot_FH_One_PFam,C16_Tot_FH_oth_fa,C16_Tot_FH_Tot,C16_Tot_LP_H,C16_Tot_GH,C16_Tot_OH,C16_Tot_Tot,C21_S_h_FH_CF_no_ch,C21_S_h_FH_CF_w_ch,C21_S_h_FH_One_PFam,C21_S_h_FH_oth_fa,C21_S_h_FH_Tot,C21_S_h_LP_H,C21_S_h_GH,C21_S_h_OH,C21_S_h_Tot,C21_SDRTHT1S_FH_CF_no_ch,C21_SDRTHT1S_FH_CF_w_ch,C21_SDRTHT1S_FH_One_PFam,C21_SDRTHT1S_FH_oth_fa,C21_SDRTHT1S_FH_Tot,C21_SDRTHT1S_LP_H,C21_SDRTHT1S_GH,C21_SDRTHT1S_OH,C21_SDRTHT1S_Tot,C21_SDRTHT2S_FH_CF_no_ch,C21_SDRTHT2S_FH_CF_w_ch,C21_SDRTHT2S_FH_One_PFam,C21_SDRTHT2S_FH_oth_fa,C21_SDRTHT2S_FH_Tot,C21_SDRTHT2S_LP_H,C21_SDRTHT2S_GH,C21_SDRTHT2S_OH,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_FH_CF_no_ch,C21_SDRTHT_Tot_FH_CF_w_ch,C21_SDRTHT_Tot_FH_One_PFam,C21_SDRTHT_Tot_FH_oth_fa,C21_SDRTHT_Tot_FH_Tot,C21_SDRTHT_Tot_LP_H,C21_SDRTHT_Tot_GH,C21_SDRTHT_Tot_OH,C21_SDRTHT_Tot_Tot,C21_F_a_1_2_FH_CF_no_ch,C21_F_a_1_2_FH_CF_w_ch,C21_F_a_1_2_FH_One_PFam,C21_F_a_1_2_FH_oth_fa,C21_F_a_1_2_FH_Tot,C21_F_a_1_2_LP_H,C21_F_a_1_2_GH,C21_F_a_1_2_OH,C21_F_a_1_2_Tot,C21_F_a_3_FH_CF_no_ch,C21_F_a_3_FH_CF_w_ch,C21_F_a_3_FH_One_PFam,C21_F_a_3_FH_oth_fa,C21_F_a_3_FH_Tot,C21_F_a_3_LP_H,C21_F_a_3_GH,C21_F_a_3_OH,C21_F_a_3_Tot,C21_F_a_4_8_FH_CF_no_ch,C21_F_a_4_8_FH_CF_w_ch,C21_F_a_4_8_FH_One_PFam,C21_F_a_4_8_FH_oth_fa,C21_F_a_4_8_FH_Tot,C21_F_a_4_8_LP_H,C21_F_a_4_8_GH,C21_F_a_4_8_OH,C21_F_a_4_8_Tot,C21_F_a_9m_FH_CF_no_ch,C21_F_a_9m_FH_CF_w_ch,C21_F_a_9m_FH_One_PFam,C21_F_a_9m_FH_oth_fa,C21_F_a_9m_FH_Tot,C21_F_a_9m_LP_H,C21_F_a_9m_GH,C21_F_a_9m_OH,C21_F_a_9m_Tot,C21_F_a_a_h_FH_CF_no_ch,C21_F_a_a_h_FH_CF_w_ch,C21_F_a_a_h_FH_One_PFam,C21_F_a_a_h_FH_oth_fa,C21_F_a_a_h_FH_Tot,C21_F_a_a_h_LP_H,C21_F_a_a_h_GH,C21_F_a_a_h_OH,C21_F_a_a_h_Tot,C21_F_a_Tot_FH_CF_no_ch,C21_F_a_Tot_FH_CF_w_ch,C21_F_a_Tot_FH_One_PFam,C21_F_a_Tot_FH_oth_fa,C21_F_a_Tot_FH_Tot,C21_F_a_Tot_LP_H,C21_F_a_Tot_GH,C21_F_a_Tot_OH,C21_F_a_Tot_Tot,C21_OD_C_c_hb_FH_CF_no_ch,C21_OD_C_c_hb_FH_CF_w_ch,C21_OD_C_c_hb_FH_One_PFam,C21_OD_C_c_hb_FH_oth_fa,C21_OD_C_c_hb_FH_Tot,C21_OD_C_c_hb_LP_H,C21_OD_C_c_hb_GH,C21_OD_C_c_hb_OH,C21_OD_C_c_hb_Tot,C21_OD_Ih_t_s_FH_CF_no_ch,C21_OD_Ih_t_s_FH_CF_w_ch,C21_OD_Ih_t_s_FH_One_PFam,C21_OD_Ih_t_s_FH_oth_fa,C21_OD_Ih_t_s_FH_Tot,C21_OD_Ih_t_s_LP_H,C21_OD_Ih_t_s_GH,C21_OD_Ih_t_s_OH,C21_OD_Ih_t_s_Tot,C21_OD_H_f_so_FH_CF_no_ch,C21_OD_H_f_so_FH_CF_w_ch,C21_OD_H_f_so_FH_One_PFam,C21_OD_H_f_so_FH_oth_fa
39499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,237,124,2257,2602,763,747,6370,..,..,..,..,..,..,..,..,..,13,17,6,5,39,38,7,7,103,7593,4059,2501,630,14777,20652,2870,3313,41626,180,51,36,0,265,509,17,427,1226,10,14,9,0,24,34,4,168,230,126,120,57,15,316,157,58,67,600,312,182,96,20,608,702,76,664,2050,371,336,134,11,862,583,71,154,1664,127480,147637,56894,6166,338177,134827,19438,22290,514742,110491,141131,49535,4518,305674,84066,12395,10069,412207,13274,8308,7112,871,29563,31601,2628,3145,66938,6151,4640,2843,408,14040,7902,1793,968,24706,19419,12947,9961,1285,43604,39502,4426,4113,91645,5879,3141,2189,421,11631,16659,1561,1554,31404,1008,297,221,78,1603,2402,339,315,4665,1600,395,263,104,2352,2770,478,368,5970,1047,203,116,69,1436,1746,500,365,4043,70,61,27,4,167,104,15,86,378,9599,4089,2819,675,17183,23687,2892,2691,46455,203,36,37,0,274,601,23,526,1426,0,0,0,0,8,5,0,149,160,98,77,46,5
4RSAU,0,0,16,17,0,6,32,..,..,..,..,..,..,..,..,..,3,4,0,0,3,4,0,0,11,508,153,213,35,917,2668,106,465,4164,329,37,23,6,404,659,35,2099,3191,30,16,9,0,49,110,4,620,791,125,74,28,3,230,134,12,47,417,485,128,60,10,687,904,49,2769,4409,264,198,74,5,537,390,17,320,1265,47094,36129,14304,1112,98636,44289,3416,12466,158807,47064,34340,13361,1139,95902,37876,3077,8910,145772,2253,1072,1616,126,5074,7136,369,1360,13942,191,72,45,7,312,188,19,86,611,2446,1140,1663,137,5386,7327,391,1447,14550,346,114,180,39,683,2287,97,389,3452,25,4,4,0,31,71,5,32,138,13,0,0,0,18,16,0,7,44,0,0,0,0,4,0,0,0,7,13,14,3,0,33,18,0,21,72,398,133,192,42,765,2394,103,447,3709,306,59,37,5,410,594,73,2154,3229,15,17,6,0,38,29,0,271,345,76,63,20,4
49499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,589,292,7942,7523,1360,3211,20039,..,..,..,..,..,..,..,..,..,11,3,4,0,18,31,0,10,66,12446,3892,2182,773,19303,22678,3438,7169,52586,401,56,68,3,538,1026,46,738,2344,35,37,7,0,86,29,4,551,668,135,148,47,11,343,133,37,90,599,579,244,134,14,962,1190,84,1372,3614,415,368,118,19,914,623,96,200,1840,186135,236472,71822,9215,503641,159004,27642,42067,732349,163242,236560,69160,6774,475733,111931,17788,17990,623446,17417,11610,8263,1062,38352,37386,3608,4086,83428,8462,5333,2963,520,17278,11481,2224,1623,32599,25877,16944,11225,1583,55625,48866,5836,5710,116033,3919,1679,1229,262,7092,10785,1024,1409,20304,3403,1047,765,201,5406,7990,969,1133,15501,4726,1219,749,187,6881,8219,1023,1463,17585,3116,877,396,133,4515,4097,692,841,10139,203,147,67,11,431,348,20,58,863,15355,4971,3211,796,24327,31438,3724,4899,64395,532,41,79,3,661,1326,32,588,2608,25,21,3,0,47,48,0,1514,1610,130,68,28,8
5RWAU,0,0,62,63,9,105,242,..,..,..,..,..,..,..,..,..,9,0,3,0,11,20,0,7,40,814,290,234,28,1371,2130,162,1069,4732,959,117,84,7,1174,1845,63,9167,12249,118,65,23,0,217,219,18,1402,1850,169,122,51,5,343,180,33,106,661,1253,301,156,21,1734,2240,113,10671,14763,389,274,87,16,762,554,30,855,2202,53571,53115,17897,1655,126241,45207,5044,29249,205740,51623,50094,17391,1531,120637,38614,4331,15935,179520,2420,1266,1213,146,5045,7376,420,2160,14998,657,383,183,14,1235,925,128,485,2768,3071,1652,1395,160,6279,8301,539,2644,17764,394,171,144,23,720,1337,84,659,2804,72,22,20,3,113,175,14,78,376,48,18,4,0,71,71,4,96,249,49,9,5,0,64,98,6,69,237,25,13,10,0,49,42,8,14,116,587,233,174,28,1022,1733,114,917,3785,856,151,91,21,1122,1566,85,11348,14115,61,30,8,6,110,122,6,1236,1478,101,69,25,3
59499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,24,8,195,363,61,101,730,..,..,..,..,..,..,..,..,..,12,7,0,0,24,33,6,14,76,1291,463,641,99,2499,4251,587,756,8095,53,10,3,0,66,78,0,76,222,7,3,0,0,15,18,0,66,101,39,42,18,0,104,47,22,24,196,96,56,23,3,179,152,23,159,520,54,46,25,0,116,94,15,13,244,22879,23043,10603,879,57410,24847,3370,4584,90213,23280,24153,10451,881,58765,19082,2995,2604,83446,571,260,303,37,1169,1898,181,239,3477,715,316,228,37,1288,1004,233,120,2656,1280,575,532,72,2456,2901,415,356,6130,1309,562,553,66,2483,3074,401,402,6363,252,62,39,15,375,569,91,89,1122,162,35,43,11,254,276,63,46,634,14,0,0,0,12,16,0,0,31,44,22,13,4,83,59,9,19,167,1774,681,648,94,3204,4000,561,558,8322,53,15,8,0,77,117,3,124,324,5,0,0,0,5,3,0,97,108,52,34,15,7
6RTAS,9,0,28,156,9,32,227,..,..,..,..,..,..,..,..,..,9,11,11,0,33,59,6,8,104,583,201,335,31,1157,2606,163,500,4424,122,23,19,0,167,302,18,270,754,25,12,0,0,35,36,6,46,113,77,49,36,5,165,102,19,46,336,222,85,51,3,365,441,38,359,1209,120,96,35,0,257,224,22,53,556,34003,28036,12226,904,75164,33662,3122,7451,119403,36143,28638,12610,966,78361,29439,2922,5628,116349,1010,336,596,54,1997,4037,188,527,6758,363,210,154,18,750,565,86,86,1491,1379,545,747,69,2741,4608,276,614,8249,617,201,297,25,1143,2142,152,239,3676,19,15,10,0,44,106,6,16,167,20,0,3,0,23,51,4,7,85,6,0,0,0,4,3,0,0,11,23,16,18,0,65,73,6,26,159,682,236,329,24,1272,2371,172,282,4099,176,30,36,3,251,418,24,381,1072,10,13,4,0,22,24,4,159,202,69,34,24,8
69499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,191,51,2513,1423,508,823,5271,..,..,..,..,..,..,..,..,..,3,4,0,0,10,3,3,6,17,2984,1835,706,127,5649,3446,963,1654,11716,243,55,20,0,319,278,23,1415,2032,23,14,9,4,49,26,10,348,428,41,40,9,5,98,40,10,22,173,309,113,39,5,463,338,41,1785,2635,67,57,14,7,148,102,9,87,342,11679,14954,4368,514,31518,8955,2572,6721,49768,7628,12546,3803,317,24294,4369,1278,2214,32155,569,446,351,51,1417,1216,123,276,3037,554,419,294,35,1301,704,184,209,2397,1128,863,643,91,2718,1922,304,484,5427,918,702,414,67,2093,1668,273,399,4434,469,403,131,25,1034,727,162,223,2143,887,584,271,44,1799,1110,351,321,3581,881,352,106,24,1374,949,271,366,2959,5,3,3,0,11,15,0,4,33,3165,2048,925,168,6308,4466,1055,1323,13148,129,31,10,4,179,190,7,1666,2034,8,3,0,0,13,19,3,258,303,10,4,0,0
7RNTE,5,0,16,42,0,27,91,..,..,..,..,..,..,..,..,..,5,0,0,0,6,11,0,3,22,224,125,83,25,465,746,106,472,1779,225,51,17,3,296,435,15,3083,3830,59,33,11,10,119,105,6,597,830,78,107,41,0,223,106,22,83,430,366,187,69,12,635,646,45,3759,5089,78,61,29,0,171,133,14,192,510,5112,7383,2884,498,15882,5267,864,7462,29478,3837,6542,2751,439,13578,3011,691,2079,19359,588,641,349,56,1630,1248,122,414,3413,237,189,116,12,557,392,69,127,1142,826,828,462,75,2181,1637,193,536,4557,168,74,61,13,314,419,30,173,939,3,0,6,0,11,16,0,39,68,3,5,4,0,7,5,0,5,18,0,0,0,0,0,0,0,0,0,3,6,5,0,6,3,0,9,23,171,85,65,18,342,445,27,228,1048,168,45,31,4,249,304,17,3923,4488,42,13,9,3,68,69,3,603,741,17,3,0,0
79499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,289,105,4137,4241,922,1273,10573,..,..,..,..,..,..,..,..,..,36,19,12,4,67,114,16,21,211,5931,2107,938,278,9259,10042,2100,2660,24071,13,5,15,0,35,87,10,53,191,0,0,0,0,0,6,0,55,59,7,18,10,0,37,15,0,4,50,21,29,23,0,72,111,10,115,301,57,42,19,0,115,126,30,27,298,37354,47746,13743,1466,100312,35416,6937,8034,150697,28306,44820,11282,983,85385,17682,3365,2659,109097,3065,2265,1618,148,7105,6103,546,566,14320,4074,3449,1672,240,9435,4431,1301,663,15823,7138,5716,3294,387,16540,10536,1845,1225,30145,1330,666,432,46,2473,2745,409,387,6015,2147,882,428,112,3571,3476,697,450,8201,4037,1181,569,143,5928,5810,904,1021,13663,2047,538,258,88,2929,2697,578,493,6695,115,62,28,3,214,198,26,76,519,9675,3330,1726,391,15117,14932,2612,2429,35098,28,15,14,6,55,86,5,148,300,0,0,0,0,0,0,0,51,58,3,5,0,0
89499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,5,0,0,5,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,5,19,39,12,4,69,41,3,45,157,0,0,0,0,0,0,0,11,11,0,0,0,0,0,4,0,9,10,5,0,0,0,4,9,0,0,10,7,0,0,0,4,12,0,13,33,5,6,0,0,11,10,0,3,21,411,418,137,9,976,368,16,197,1560,386,336,116,19,850,384,21,198,1456,23,31,6,0,57,33,0,6,102,3,4,3,0,5,3,0,4,17,21,36,15,0,68,40,0,13,125,22,10,3,0,35,44,6,17,102,10,22,9,3,36,8,0,4,54,0,3,0,0,3,0,0,5,9,0,0,0,0,0,0,0,0,0,5,0,0,0,5,7,0,4,13,33,33,7,3,74,63,6,30,176,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,6,0,0,0,0
99499,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
