GCCSA_CODE_2021,CFNC_FI_H_MI_C11_Fam,CFNC_FI_H_MI_C11_Per,CFNC_FI_H_MI_C16_Fam,CFNC_FI_H_MI_C16_Per,CFNC_FI_H_MI_C21_Fam,CFNC_FI_H_MI_C21_Per,CFNC_FI_S_MI_C11_Fam,CFNC_FI_S_MI_C11_Per,CFNC_FI_S_MI_C16_Fam,CFNC_FI_S_MI_C16_Per,CFNC_FI_S_MI_C21_Fam,CFNC_FI_S_MI_C21_Per,CFNC_FI_L_MI_C11_Fam,CFNC_FI_L_MI_C11_Per,CFNC_FI_L_MI_C16_Fam,CFNC_FI_L_MI_C16_Per,CFNC_FI_L_MI_C21_Fam,CFNC_FI_L_MI_C21_Per,CF_CU15_DS_FI_H_MI_C11_Fam,CF_CU15_DS_FI_H_MI_C11_Per,CF_CU15_DS_FI_H_MI_C16_Fam,CF_CU15_DS_FI_H_MI_C16_Per,CF_CU15_DS_FI_H_MI_C21_Fam,CF_CU15_DS_FI_H_MI_C21_Per,CF_CU15_DS_FI_S_MI_C11_Fam,CF_CU15_DS_FI_S_MI_C11_Per,CF_CU15_DS_FI_S_MI_C16_Fam,CF_CU15_DS_FI_S_MI_C16_Per,CF_CU15_DS_FI_S_MI_C21_Fam,CF_CU15_DS_FI_S_MI_C21_Per,CF_CU15_DS_FI_L_MI_C11_Fam,CF_CU15_DS_FI_L_MI_C11_Per,CF_CU15_DS_FI_L_MI_C16_Fam,CF_CU15_DS_FI_L_MI_C16_Per,CF_CU15_DS_FI_L_MI_C21_Fam,CF_CU15_DS_FI_L_MI_C21_Per,CF_CU15noDS_FI_H_MI_C11_Fam,CF_CU15noDS_FI_H_MI_C11_Per,CF_CU15noDS_FI_H_MI_C16_Fam,CF_CU15noDS_FI_H_MI_C16_Per,CF_CU15noDS_FI_H_MI_C21_Fam,CF_CU15noDS_FI_H_MI_C21_Per,CF_CU15noDS_FI_S_MI_C11_Fam,CF_CU15noDS_FI_S_MI_C11_Per,CF_CU15noDS_FI_S_MI_C16_Fam,CF_CU15noDS_FI_S_MI_C16_Per,CF_CU15noDS_FI_S_MI_C21_Fam,CF_CU15noDS_FI_S_MI_C21_Per,CF_CU15noDS_FI_L_MI_C11_Fam,CF_CU15noDS_FI_L_MI_C11_Per,CF_CU15noDS_FI_L_MI_C16_Fam,CF_CU15noDS_FI_L_MI_C16_Per,CF_CU15noDS_FI_L_MI_C21_Fam,CF_CU15noDS_FI_L_MI_C21_Per,CFNCU15_DS_FI_H_MI_C11_Fam,CFNCU15_DS_FI_H_MI_C11_Per,CFNCU15_DS_FI_H_MI_C16_Fam,CFNCU15_DS_FI_H_MI_C16_Per,CFNCU15_DS_FI_H_MI_C21_Fam,CFNCU15_DS_FI_H_MI_C21_Per,CFNCU15_DS_FI_S_MI_C11_Fam,CFNCU15_DS_FI_S_MI_C11_Per,CFNCU15_DS_FI_S_MI_C16_Fam,CFNCU15_DS_FI_S_MI_C16_Per,CFNCU15_DS_FI_S_MI_C21_Fam,CFNCU15_DS_FI_S_MI_C21_Per,CFNCU15_DS_FI_L_MI_C11_Fam,CFNCU15_DS_FI_L_MI_C11_Per,CFNCU15_DS_FI_L_MI_C16_Fam,CFNCU15_DS_FI_L_MI_C16_Per,CFNCU15_DS_FI_L_MI_C21_Fam,CFNCU15_DS_FI_L_MI_C21_Per,CF_nonDC_FI_H_MI_C11_Fam,CF_nonDC_FI_H_MI_C11_Per,CF_nonDC_FI_H_MI_C16_Fam,CF_nonDC_FI_H_MI_C16_Per,CF_nonDC_FI_H_MI_C21_Fam,CF_nonDC_FI_H_MI_C21_Per,CF_nonDC_FI_S_MI_C11_Fam,CF_nonDC_FI_S_MI_C11_Per,CF_nonDC_FI_S_MI_C16_Fam,CF_nonDC_FI_S_MI_C16_Per,CF_nonDC_FI_S_MI_C21_Fam,CF_nonDC_FI_S_MI_C21_Per,CF_nonDC_FI_L_MI_C11_Fam,CF_nonDC_FI_L_MI_C11_Per,CF_nonDC_FI_L_MI_C16_Fam,CF_nonDC_FI_L_MI_C16_Per,CF_nonDC_FI_L_MI_C21_Fam,CF_nonDC_FI_L_MI_C21_Per,Tot_CF_FI_H_MI_C11_Fam,Tot_CF_FI_H_MI_C11_Per,Tot_CF_FI_H_MI_C16_Fam,Tot_CF_FI_H_MI_C16_Per,Tot_CF_FI_H_MI_C21_Fam,Tot_CF_FI_H_MI_C21_Per,Tot_CF_FI_S_MI_C11_Fam,Tot_CF_FI_S_MI_C11_Per,Tot_CF_FI_S_MI_C16_Fam,Tot_CF_FI_S_MI_C16_Per,Tot_CF_FI_S_MI_C21_Fam,Tot_CF_FI_S_MI_C21_Per,Tot_CF_FI_L_MI_C11_Fam,Tot_CF_FI_L_MI_C11_Per,Tot_CF_FI_L_MI_C16_Fam,Tot_CF_FI_L_MI_C16_Per,Tot_CF_FI_L_MI_C21_Fam,Tot_CF_FI_L_MI_C21_Per,Tot_CF_Tot_C11_Fam,Tot_CF_Tot_C11_Per,Tot_CF_Tot_C16_Fam,Tot_CF_Tot_C16_Per,Tot_CF_Tot_C21_Fam,Tot_CF_Tot_C21_Per
1GSYD,60945,17.6,74080,19.9,96029,21.7,134187,38.7,125830,33.7,142736,32.2,151677,43.7,173185,46.4,204778,46.2,8447,14.2,10328,16.4,13125,18.1,12280,20.7,10545,16.7,12658,17.5,38651,65.1,42146,66.9,46725,64.4,40283,13.9,51173,16,60665,17,49939,17.3,45901,14.3,55915,15.7,198586,68.8,223157,69.7,240671,67.4,12721,16.7,16300,19.5,19687,21,17902,23.6,15960,19.1,17733,18.9,45338,59.7,51456,61.5,56177,60,15565,16,20062,18.8,23964,20.6,34622,35.6,33191,31.1,34397,29.6,47169,48.4,53375,50.1,57988,49.8,137959,15.9,171950,18.2,213464,19.7,248933,28.7,231414,24.4,263439,24.3,481420,55.4,543332,57.4,606346,56,868313,100,946691,100,1083250,100
1RNSW,38384,15,46207,17.5,60943,20,116966,45.6,110068,41.6,115473,37.9,101053,39.4,108040,40.9,128522,42.1,4980,16.7,5419,18.6,6221,20.1,5923,19.8,5064,17.3,5557,18,18964,63.5,18722,64.1,19133,61.9,20698,14.7,23176,16.4,27551,17.7,23362,16.6,20551,14.6,23062,14.9,96567,68.7,97307,69,104667,67.4,5447,18.2,6161,20.6,6815,22,6813,22.7,5583,18.7,5913,19.1,17746,59.1,18123,60.7,18181,58.8,7010,15.8,8846,18.3,10876,20.5,15816,35.6,15762,32.7,15572,29.3,21547,48.6,23667,49,26707,50.2,76519,15.3,89809,17.5,112403,19.5,168871,33.7,157032,30.6,165589,28.8,255877,51,265858,51.9,297202,51.7,501273,100,512693,100,575202,100
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,54821,16.5,69789,19.4,91103,21.5,130259,39.3,123453,34.4,136505,32.2,146450,44.2,166021,46.2,196561,46.3,6920,13,9005,15.9,11796,17.7,10447,19.6,9222,16.2,10740,16.1,35904,67.4,38571,67.9,44063,66.2,31626,12.3,43769,14.8,55548,16.4,40114,15.6,39540,13.3,48325,14.3,185930,72.2,212972,71.9,235239,69.4,10952,15.5,14586,18.5,17919,20.2,15731,22.2,14408,18.3,15842,17.9,44144,62.3,49877,63.2,54944,61.9,12342,14.4,15817,17.4,19448,19.4,30771,36,28616,31.6,28943,28.9,42319,49.5,46218,51,51853,51.7,116653,14.6,152963,17.3,195815,19.2,227322,28.5,215237,24.4,240350,23.6,454748,56.9,513662,58.2,582662,57.2,798721,100,881864,100,1018832,100
2RVIC,20585,15,24663,17.2,33926,19.7,61255,44.7,59496,41.5,66228,38.5,55153,40.3,59098,41.3,71728,41.7,2651,15.2,2790,17,3329,18.7,3713,21.3,3070,18.7,3297,18.5,11039,63.4,10567,64.3,11183,62.8,10011,13.2,11626,15,14936,17.1,12151,16.1,11003,14.2,12461,14.2,53530,70.7,54721,70.7,60067,68.7,2931,16.7,3272,18.4,3855,20.8,4177,23.8,3771,21.2,3593,19.4,10460,59.5,10711,60.3,11076,59.8,3250,14.6,4084,17.1,5592,19.8,7934,35.8,7865,32.9,8472,30,11008,49.6,11979,50.1,14158,50.2,39433,14.6,46433,16.7,61639,19,89231,33.1,85204,30.6,94055,29,141189,52.3,147075,52.8,168216,51.9,269849,100,278714,100,323902,100
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,32191,17.5,39466,20.1,51709,22.1,67289,36.7,64095,32.6,73162,31.3,83957,45.8,92795,47.3,108672,46.5,3817,14.9,4765,17.2,6121,18.7,4834,18.8,4458,16.1,5411,16.5,17014,66.3,18534,66.8,21276,64.9,18300,13.7,23949,16.5,30290,18.4,20666,15.4,19684,13.6,24101,14.6,95053,70.9,101515,69.9,110684,67,4748,16.1,6276,19.4,7655,20.4,6303,21.4,5710,17.6,6609,17.7,18459,62.6,20432,63,23169,61.9,5704,15.4,7640,18.7,9368,20.8,11565,31.2,11382,27.9,12083,26.9,19752,53.4,21742,53.3,23508,52.3,64755,15.8,82095,18.6,105142,20.5,110659,27,105335,23.8,121367,23.6,234239,57.2,255018,57.6,287313,55.9,409647,100,442449,100,513815,100
3RQLD,33063,14.9,42162,17.8,54123,19.9,93767,42.2,90844,38.4,98998,36.4,95176,42.9,103372,43.7,118646,43.7,3776,15.5,4500,17.5,5401,18.7,4735,19.4,4371,17,4973,17.2,15880,65.1,16842,65.5,18508,64.1,18591,13.7,21838,15.9,24848,17.2,22117,16.3,19594,14.3,21425,14.9,94592,69.9,95667,69.8,97879,67.9,3654,16.2,4763,19,5884,20.8,5286,23.5,5017,20.1,5436,19.3,13531,60.2,15239,60.9,16914,59.9,5203,15,7119,18.4,8669,20.3,11996,34.6,12117,31.3,12528,29.4,17436,50.3,19444,50.3,21472,50.3,64283,14.7,80378,17.4,98923,19.2,137908,31.4,131953,28.5,143354,27.8,236616,53.9,250566,54.1,273416,53,438806,100,462895,100,515690,100
