GCCSA_CODE_2021,C16_Rel_NS_0_14,C16_Rel_NS_15_24,C16_Rel_NS_25_34,C16_Rel_NS_35_44,C16_Rel_NS_45_54,C16_Rel_NS_55_64,C16_Rel_NS_65_74,C16_Rel_NS_75_84,C16_Rel_NS_85ov,C16_Rel_NS_Tot,C16_Tot_0_14,C16_Tot_15_24,C16_Tot_25_34,C16_Tot_35_44,C16_Tot_45_54,C16_Tot_55_64,C16_Tot_65_74,C16_Tot_75_84,C16_Tot_85ov,C16_Tot_Tot,C21_Buddhism_0_14,C21_Buddhism_15_24,C21_Buddhism_25_34,C21_Buddhism_35_44,C21_Buddhism_45_54,C21_Buddhism_55_64,C21_Buddhism_65_74,C21_Buddhism_75_84,C21_Buddhism_85ov,C21_Buddhism_Tot,C21_Christ_Angli_0_14,C21_Christ_Angl_15_24,C21_Christ_Angl_25_34,C21_Christ_Angl_35_44,C21_Christ_Angl_45_54,C21_Christ_Angl_55_64,C21_Christ_Angl_65_74,C21_Christ_Angl_75_84,C21_Christ_Anglic_85ov,C21_Christ_Anglic_Tot,C21_Chr_Ass_Apo_0_14,C21_Chr_Ass_Apo_15_24,C21_Chr_Ass_Apo_25_34,C21_Chr_Ass_Apo_35_44,C21_Chr_Ass_Apo_45_54,C21_Chr_Ass_Apo_55_64,C21_Chr_Ass_Apo_65_74,C21_Chr_Ass_Apo_75_84,C21_Chr_Ass_Apo_85ov,C21_Chr_Ass_Apo_Tot,C21_Chr_Bapt_0_14,C21_Chr_Bapt_15_24,C21_Chr_Bapt_25_34,C21_Chr_Bapt_35_44,C21_Chr_Bapt_45_54,C21_Chr_Bapt_55_64,C21_Chr_Bapt_65_74,C21_Chr_Bapt_75_84,C21_Chr_Bapt_85ov,C21_Chr_Bapt_Tot,C21_Chr_Breth_0_14,C21_Chr_Bret_15_24,C21_Chr_Bret_25_34,C21_Chr_Bret_35_44,C21_Chr_Bret_45_54,C21_Chr_Bret_55_64,C21_Chr_Bret_65_74,C21_Chr_Bret_75_84,C21_Chr_Breth_85ov,C21_Chr_Bret_Tot,C21_Chr_Cath_0_14,C21_Chr_Cath_15_24,C21_Chr_Cath_25_34,C21_Chr_Cath_35_44,C21_Chr_Cath_45_54,C21_Chr_Cath_55_64,C21_Chr_Cath_65_74,C21_Chr_Cath_75_84,C21_Chr_Catho_85ov,C21_Chr_Catho_Tot,C21_C_Chur_Christ_0_14,C21_C_Chur_Christ_15_24,C21_C_Chur_Christ_25_34,C21_C_Chur_Christ_35_44,C21_C_Chur_Christ_45_54,C21_C_Chur_Christ_55_64,C21_C_Chur_Christ_65_74,C21_C_Chur_Christ_75_84,C21_C_Chur_Christ_85ov,C21_C_Chur_Christ_Tot,C21_C_East_Ortho_0_14,C21_C_East_Ortho_15_24,C21_C_East_Ortho_25_34,C21_C_East_Ortho_35_44,C21_C_East_Ortho_45_54,C21_C_East_Ortho_55_64,C21_C_East_Ortho_65_74,C21_C_East_Ortho_75_84,C21_C_East_Ortho_85ov,C21_C_East_Ortho_Tot,C21_C_Jeh_Wit_0_14,C21_C_Jeh_Wit_15_24,C21_C_Jeh_Wit_25_34,C21_C_Jeh_Wit_35_44,C21_C_Jeh_Wit_45_54,C21_C_Jeh_Wit_55_64,C21_C_Jeh_Wit_65_74,C21_C_Jeh_Wit_75_84,C21_C_Jeh_Wit_85ov,C21_C_Jeh_Wit_Tot,C21_C_La_Da_Sai_0_14,C21_C_La_Da_Sa_15_24,C21_C_La_Da_Sa_25_34,C21_C_La_Da_Sa_35_44,C21_C_La_Da_Sa_45_54,C21_C_La_Da_Sa_55_64,C21_C_La_Da_Sa_65_74,C21_C_La_Da_Sa_75_84,C21_C_Lat_Da_Sa_85ov,C21_C_Lat_Da_Sa_Tot,C21_C_Luthe_0_14,C21_C_Luthe_15_24,C21_C_Luthe_25_34,C21_C_Luthe_35_44,C21_C_Luthe_45_54,C21_C_Luthe_55_64,C21_C_Luthe_65_74,C21_C_Luthe_75_84,C21_C_Luthe_85ov,C21_C_Luthe_Tot,C21_C_Ori_Orth_0_14,C21_C_Ori_Orth_15_24,C21_C_Ori_Orth_25_34,C21_C_Ori_Orth_35_44,C21_C_Ori_Orth_45_54,C21_C_Ori_Orth_55_64,C21_C_Ori_Orth_65_74,C21_C_Ori_Orth_75_84,C21_C_Ori_Orth_85ov,C21_C_Ori_Ort_Tot,C21_C_Oth_Pro_0_14,C21_C_Oth_Pro_15_24,C21_C_Oth_Pro_25_34,C21_C_Oth_Pro_35_44,C21_C_Oth_Pro_45_54,C21_C_Oth_Pro_55_64,C21_C_Oth_Pro_65_74,C21_C_Oth_Pro_75_84,C21_C_Oth_Pro_85ov,C21_C_Oth_Pro_Tot,C21_C_Pent_0_14,C21_C_Pent_15_24,C21_C_Pent_25_34,C21_C_Pent_35_44,C21_C_Pent_45_54,C21_C_Pent_55_64,C21_C_Pent_65_74,C21_C_Pent_75_84,C21_C_Pent_85ov,C21_C_Pent_Tot,C21_C_Pres_Ref_0_14,C21_C_Pres_Ref_15_24,C21_C_Pres_Ref_25_34,C21_C_Pres_Ref_35_44,C21_C_Pres_Ref_45_54,C21_C_Pres_Ref_55_64,C21_C_Pres_Ref_65_74,C21_C_Pres_Ref_75_84,C21_C_Pres_Ref_85ov,C21_C_Pres_Ref_Tot,C21_C_Sal_Army_0_14,C21_C_Sal_Army_15_24,C21_C_Sal_Army_25_34,C21_C_Sal_Army_35_44,C21_C_Sal_Army_45_54,C21_C_Sal_Army_55_64,C21_C_Sal_Army_65_74,C21_C_Sal_Army_75_84,C21_C_Sal_Army_85ov,C21_C_Sal_Army_Tot,C21_C_Sev_day_Adv_0_14,C21_C_Sev_day_Adv_15_24,C21_C_Sev_day_Adv_25_34,C21_C_Sev_day_Adv_35_44,C21_C_Sev_day_Adv_45_54,C21_C_Sev_day_Adv_55_64,C21_C_Sev_day_Adv_65_74,C21_C_Sev_day_Adv_75_84,C21_C_Sev_day_Adv_85ov,C21_C_Sev_day_Adv_Tot,C21_Chr_Unit_Ch_0_14,C21_Chr_Unit_Ch_15_24,C21_Chr_Unit_Ch_25_34,C21_Chr_Unit_Ch_35_44,C21_Chr_Unit_Ch_45_54,C21_Chr_Unit_Ch_55_64,C21_Chr_Unit_Ch_65_74,C21_Chr_Unit_Ch_75_84,C21_Chr_Unit_Ch_85ov,C21_Chr_Unit_Ch_Tot
39799,0,3,0,4,3,5,6,0,0,27,9,16,11,13,18,30,36,13,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,18416,13884,15748,14025,14790,13735,10275,6138,3638,110644,225948,168915,178305,167254,174079,157726,120818,68502,34171,1295712,4067,3761,5091,5858,4962,3962,2741,817,252,31498,7666,6222,4492,7052,12654,17326,19602,14964,7193,97176,4,0,0,0,0,0,0,0,0,12,3961,2162,2448,2771,2561,2732,2681,1800,746,21864,130,87,92,89,53,69,40,33,16,605,35013,25733,23184,26929,31880,33940,27809,17147,8212,229853,180,120,118,143,221,420,618,572,280,2675,5600,4490,4036,4048,6168,6155,4016,3642,1883,40041,544,354,397,652,578,696,656,431,199,4501,408,325,238,255,271,289,272,148,50,2256,2911,2139,1553,2239,2954,3678,3644,2299,1249,22657,592,247,244,377,253,135,80,26,3,1957,535,449,567,546,581,790,805,551,363,5186,3171,2065,1871,2133,1999,1931,1569,752,216,15715,661,445,599,701,961,1396,1820,1394,559,8539,144,99,93,134,234,374,467,347,167,2058,424,235,305,285,243,258,202,172,63,2195,4236,3601,2674,3940,6430,8949,11892,8823,4098,54642
4RSAU,6205,3898,4438,4411,5294,5753,4832,2554,1463,38852,66841,39321,39244,41787,52329,55792,47767,24697,10291,378070,221,147,347,431,432,349,256,75,7,2250,1920,1297,1035,1802,3576,6117,7649,5281,1948,30621,0,0,0,0,0,0,0,0,0,0,696,369,381,444,465,635,785,424,150,4341,29,28,20,22,20,27,12,7,4,178,6636,3945,3952,4688,6218,7604,7137,4142,1401,45721,79,29,39,54,101,185,315,236,116,1150,359,260,212,225,423,449,327,271,110,2632,174,124,106,177,196,255,254,173,56,1524,61,65,61,53,72,74,97,46,6,534,3125,1756,1282,1901,2586,3343,3480,2202,941,20611,14,3,16,3,5,0,3,3,0,43,86,52,83,84,123,213,255,148,103,1162,870,459,421,512,497,633,680,348,82,4507,179,136,177,240,401,913,1229,862,343,4480,56,39,19,59,87,179,189,170,71,865,125,61,92,81,84,83,124,74,31,745,2157,1497,1070,1804,3361,5475,7274,5266,2162,30053
49499,40,105,125,131,169,95,49,4,3,718,217,439,556,423,477,403,270,59,25,2862,4,0,7,5,0,0,3,3,4,38,7,6,12,16,26,50,33,15,7,169,0,0,0,0,0,0,0,0,0,0,0,4,4,0,3,6,4,0,0,21,0,0,0,0,0,0,0,0,0,0,31,23,50,44,45,52,23,7,0,274,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,0,0,19,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,5,3,3,0,10,7,6,12,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,5,4,3,4,9,3,3,0,0,0,26,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,3,0,0,0,6,5,3,7,6,0,0,0,0,0,18,3,8,9,13,10,21,37,3,3,106
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,30789,23153,33252,26576,24061,19860,14213,8825,5634,186364,370327,253558,306682,272611,258692,212967,152366,82006,34648,1943861,6400,5159,8999,11120,8224,6278,4905,1490,421,52999,18587,15009,10307,17361,31663,38006,39672,27561,10693,208870,4,6,4,0,6,7,3,0,0,34,6813,4226,3876,4537,4676,3945,3239,1876,660,33850,280,222,232,191,124,99,68,43,24,1267,75516,49322,43938,54483,57396,53042,43324,24844,10124,411980,797,558,371,610,673,705,812,581,187,5293,3644,2432,2412,3316,3504,3251,2797,1579,811,23735,1129,740,749,1143,1195,1238,1132,677,250,8261,1038,679,564,627,531,541,455,213,66,4719,429,347,290,489,731,732,716,527,208,4467,922,398,419,626,407,255,117,66,12,3223,1746,1248,1365,1663,1903,1956,1604,921,384,12787,5473,3104,3171,3655,3117,2604,1795,732,170,23823,3348,2071,1960,2755,3744,4803,5044,3348,1345,28416,140,113,121,166,258,393,524,381,155,2251,1010,553,568,695,592,453,465,273,147,4758,2976,2074,1657,2838,3940,5210,6188,4394,1776,31055
5RWAU,12121,6913,10868,9917,9780,8501,5633,2851,1174,67767,105964,56095,71056,71401,75202,68052,46658,21993,7749,524170,560,312,663,999,904,634,397,71,20,4566,4595,2874,2499,4775,8869,12398,13216,8181,2888,60302,0,0,0,0,0,0,0,0,0,0,1808,869,888,1074,1178,1145,1021,529,172,8698,138,92,107,72,48,51,40,16,7,571,15792,8267,8732,11076,12307,12234,9329,4789,1636,84173,344,199,133,197,252,288,300,186,55,1949,162,86,136,175,196,225,155,95,32,1254,414,226,255,359,421,437,420,248,88,2865,277,162,149,148,171,143,118,48,9,1217,226,140,126,196,254,323,321,184,57,1826,36,0,23,26,5,4,5,0,0,102,531,342,311,407,468,544,460,239,100,3408,833,362,355,534,479,507,332,154,35,3593,607,301,354,480,756,1245,1308,782,233,6073,34,30,31,60,100,175,201,107,39,767,419,253,224,296,281,283,256,179,71,2264,819,483,470,830,1396,2323,2603,1761,692,11379
59499,74,184,412,327,368,245,132,14,6,1764,393,656,1310,910,961,978,636,95,22,5950,0,4,10,13,8,9,4,0,0,48,22,9,23,52,55,93,110,29,5,396,0,0,0,0,0,0,0,0,0,0,7,0,6,10,4,6,8,5,0,50,0,0,0,0,0,0,0,0,0,0,59,58,89,97,90,113,83,19,4,617,0,0,0,0,6,0,0,0,0,4,0,0,0,3,0,0,0,0,0,8,4,0,0,3,0,0,0,0,0,10,7,6,0,0,0,3,0,0,0,9,5,0,0,0,0,4,6,0,0,20,0,0,0,0,0,0,0,0,0,0,3,3,3,5,3,3,3,0,0,25,11,5,9,3,0,5,14,0,0,45,4,5,6,4,11,17,9,0,3,62,5,0,0,0,0,0,0,0,0,10,3,4,0,4,0,0,0,0,0,10,5,6,7,12,10,22,30,0,0,92
59799,0,3,33,23,25,8,6,0,0,92,0,23,124,123,104,44,7,3,0,431,0,0,0,3,4,0,0,0,0,11,0,0,0,5,10,3,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,6,32,27,12,3,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,3246,2537,2788,2469,2738,2909,2131,1291,631,20735,40097,27607,28483,27581,29599,29439,22182,12094,5274,222356,303,269,1107,627,334,247,225,60,5,3166,2462,2046,1746,2787,4866,6753,7378,4957,1961,34943,0,0,0,0,0,0,0,0,0,0,207,150,195,163,197,240,232,174,70,1630,37,45,40,31,35,35,17,8,12,258,5241,3639,3436,4107,4670,5445,4578,2716,1060,34893,16,8,13,16,29,37,69,44,10,248,301,227,154,219,288,226,164,170,65,1816,74,40,65,108,74,89,100,69,29,640,83,62,35,57,51,58,58,47,8,456,41,27,17,47,64,79,88,74,55,504,65,27,40,39,19,10,13,4,0,217,89,43,73,77,94,104,123,63,27,702,431,225,268,254,278,240,164,74,11,1947,358,181,237,279,298,376,529,418,173,2849,24,19,13,25,37,66,77,63,27,352,46,33,48,67,51,53,50,43,31,413,212,207,199,294,498,823,1073,750,319,4373
6RTAS,4776,3155,2795,3129,3972,4459,3757,1879,829,28739,50037,33172,29342,32092,40302,42593,35105,17502,6490,286626,245,201,579,409,365,302,244,72,7,2424,2607,2274,1777,2944,6203,9503,10685,6856,2507,45346,0,0,0,0,0,0,0,0,0,4,467,334,362,388,621,826,979,661,254,4879,156,141,135,76,108,112,92,94,36,949,4631,3372,2998,3633,5123,6569,5512,3211,1000,36048,82,54,24,52,56,101,87,51,25,539,73,51,77,61,91,106,71,51,12,593,181,115,131,162,204,275,287,157,55,1574,224,88,94,120,80,108,91,47,17,876,37,32,20,40,86,105,162,80,33,601,25,7,15,10,10,3,3,0,0,72,229,134,135,144,172,255,242,162,85,1559,565,319,325,349,358,400,353,158,25,2854,493,276,334,347,529,988,1240,832,339,5386,36,28,29,37,86,162,177,107,36,713,129,48,70,98,77,110,111,70,27,732,493,405,296,567,1107,2050,2606,1840,693,10053
69499,10,28,53,36,43,22,14,4,0,212,81,151,182,145,138,110,85,15,4,911,0,0,0,0,3,0,0,0,0,12,0,8,12,13,6,18,11,10,0,94,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,8,9,15,20,18,21,7,4,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,8,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,5,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,3,0,5,4,3,0,0,19
69799,0,0,0,0,0,0,0,0,0,4,0,7,21,11,15,9,4,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3461,2560,4396,3283,2875,2110,1041,342,98,20161,27526,17152,26862,21785,18952,14044,7411,2467,630,136831,553,384,903,841,617,426,279,116,34,4140,970,578,689,991,1465,1546,1220,593,123,8181,0,0,0,0,0,0,0,0,0,0,382,202,289,254,250,237,127,50,11,1808,0,0,0,0,3,0,0,0,0,3,4870,2958,3711,4095,3774,3059,2034,757,236,25492,30,14,14,20,20,11,13,4,0,130,1018,516,474,638,598,420,325,191,39,4214,67,37,45,78,60,49,46,10,4,393,67,43,33,44,40,27,26,9,3,282,143,74,57,96,136,93,91,44,12,754,54,13,20,30,24,8,6,0,0,155,156,85,112,121,109,82,68,36,7,764,428,178,221,316,215,125,76,28,0,1588,109,83,94,146,187,240,234,104,13,1212,11,8,10,18,22,30,19,10,0,137,89,42,50,65,51,32,32,12,6,374,371,266,281,376,503,597,439,229,36,3096
7RNTE,3366,2525,3000,2194,2116,1556,669,222,72,15726,21740,13347,15686,12430,11888,8806,3970,1267,309,89446,74,45,187,159,109,113,38,10,0,728,919,726,741,657,838,839,577,234,48,5573,0,0,0,0,0,0,0,0,0,0,1080,580,570,510,363,300,144,48,16,3610,3,0,0,0,0,0,0,0,0,8,2921,1875,2105,1974,1819,1531,809,260,73,13364,14,4,15,4,11,0,3,4,0,56,38,12,23,34,23,20,10,3,0,171,16,14,5,14,17,19,18,5,0,117,64,39,41,44,26,14,14,3,0,253,1197,729,657,625,533,440,256,81,24,4540,13,5,8,12,0,4,3,0,0,48,391,221,237,175,183,122,75,12,5,1424,416,211,236,174,182,144,68,18,8,1448,47,43,66,64,92,127,96,40,9,581,15,3,6,5,15,14,12,10,0,71,125,47,64,59,67,39,23,7,0,431,1249,970,776,742,667,600,333,115,22,5465
79499,57,82,178,126,144,87,60,11,0,747,204,219,460,393,458,438,281,33,0,2485,0,0,4,0,4,4,0,0,0,11,19,8,19,25,20,38,41,6,0,179,0,0,0,0,0,0,0,0,0,0,13,4,12,4,14,13,10,0,0,69,0,0,0,0,0,0,0,0,0,0,58,21,52,58,61,61,34,3,0,340,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,7,3,3,4,4,3,3,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,11,11,0,4,7,0,5,6,0,0,22,3,0,4,3,3,12,12,3,0,34,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,4,4,0,3,10,10,21,18,3,0,72
79799,0,0,3,0,0,0,0,0,0,8,4,3,26,19,11,4,0,3,0,73,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,5893,5094,6516,5148,4519,3848,2723,1556,998,36293,74441,55825,66008,58299,50916,41426,29427,14357,6157,396853,1460,1287,2661,2632,1804,1445,995,325,84,12685,4388,3225,2830,4130,5859,5738,5583,3799,1564,37113,0,0,0,0,0,3,0,0,0,11,563,441,544,547,510,520,420,263,93,3904,11,4,3,13,6,4,0,0,0,36,16667,10772,10136,12023,12114,10331,8389,5110,1964,87500,30,19,22,23,20,36,56,24,6,236,1114,804,738,810,1087,829,616,560,222,6774,136,47,72,126,106,106,86,51,21,750,142,109,95,112,88,75,41,19,5,696,179,150,145,240,264,310,311,271,125,1997,264,91,119,196,106,51,27,9,4,862,488,341,391,395,342,272,182,75,54,2531,946,598,610,676,557,422,297,96,18,4214,610,477,511,661,863,1028,1055,676,354,6242,67,49,35,42,80,69,82,61,22,508,147,94,117,131,95,85,48,24,12,752,818,538,588,950,1125,1294,1324,957,391,7995
89499,9,27,14,35,25,24,5,0,0,126,37,113,105,109,71,77,29,5,6,541,5,0,0,0,0,3,0,0,0,8,4,4,0,3,3,5,4,4,4,35,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,17,6,15,13,4,5,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,68,93,171,121,131,117,72,32,7,802,806,407,570,633,709,702,462,184,54,4523,23,8,20,24,46,46,80,18,4,268,75,36,17,57,90,111,107,64,17,576,0,0,0,0,0,0,0,0,0,0,15,4,0,10,8,4,4,0,0,45,0,0,0,0,0,0,0,0,0,0,70,28,38,55,44,89,48,18,7,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,5,3,7,0,0,0,0,27,0,0,0,0,9,11,9,12,0,41,0,0,0,0,0,0,0,0,0,3,0,4,3,6,7,9,8,6,5,41,27,18,9,19,30,26,36,22,5,185
99499,0,4,0,0,0,0,0,0,0,8,9,12,0,7,5,10,14,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
