GCCSA_CODE_2021,C16_AP_45_49_NCB_2,C16_AP_45_49_NCB_3,C16_AP_45_49_NCB_4,C16_AP_45_49_NCB_5,C16_AP_45_49_NCB_6mor,C16_AP_45_49_NCB_NS,C16_AP_45_49_Tot,C16_AP_50_54_NCB_0,C16_AP_50_54_NCB_1,C16_AP_50_54_NCB_2,C16_AP_50_54_NCB_3,C16_AP_50_54_NCB_4,C16_AP_50_54_NCB_5,C16_AP_50_54_NCB_6mor,C16_AP_50_54_NCB_NS,C16_AP_50_54_Tot,C16_AP_55_59_NCB_0,C16_AP_55_59_NCB_1,C16_AP_55_59_NCB_2,C16_AP_55_59_NCB_3,C16_AP_55_59_NCB_4,C16_AP_55_59_NCB_5,C16_AP_55_59_NCB_6mor,C16_AP_55_59_NCB_NS,C16_AP_55_59_Tot,C16_AP_60_64_NCB_0,C16_AP_60_64_NCB_1,C16_AP_60_64_NCB_2,C16_AP_60_64_NCB_3,C16_AP_60_64_NCB_4,C16_AP_60_64_NCB_5,C16_AP_60_64_NCB_6mor,C16_AP_60_64_NCB_NS,C16_AP_60_64_Tot,C16_AP_65_69_NCB_0,C16_AP_65_69_NCB_1,C16_AP_65_69_NCB_2,C16_AP_65_69_NCB_3,C16_AP_65_69_NCB_4,C16_AP_65_69_NCB_5,C16_AP_65_69_NCB_6mor,C16_AP_65_69_NCB_NS,C16_AP_65_69_Tot,C16_AP_70_74_NCB_0,C16_AP_70_74_NCB_1,C16_AP_70_74_NCB_2,C16_AP_70_74_NCB_3,C16_AP_70_74_NCB_4,C16_AP_70_74_NCB_5,C16_AP_70_74_NCB_6mor,C16_AP_70_74_NCB_NS,C16_AP_70_74_Tot,C16_AP_75_79_NCB_0,C16_AP_75_79_NCB_1,C16_AP_75_79_NCB_2,C16_AP_75_79_NCB_3,C16_AP_75_79_NCB_4,C16_AP_75_79_NCB_5,C16_AP_75_79_NCB_6mor,C16_AP_75_79_NCB_NS,C16_AP_75_79_Tot,C16_AP_80_84_NCB_0,C16_AP_80_84_NCB_1,C16_AP_80_84_NCB_2,C16_AP_80_84_NCB_3,C16_AP_80_84_NCB_4,C16_AP_80_84_NCB_5,C16_AP_80_84_NCB_6mor,C16_AP_80_84_NCB_NS,C16_AP_80_84_Tot,C16_AP_85over_N_c_b_0,C16_AP_85over_N_c_b_1,C16_AP_85over_N_c_b_2,C16_AP_85over_N_c_b_3,C16_AP_85over_N_c_b_4,C16_AP_85over_N_c_b_5,C16_AP_85over_N_c_b_6mor,C16_AP_85over_N_c_b_NS,C16_AP_85over_Tot,C16_AP_Tot_NCB_0,C16_AP_Tot_NCB_1,C16_AP_Tot_NCB_2,C16_AP_Tot_NCB_3,C16_AP_Tot_NCB_4,C16_AP_Tot_NCB_5,C16_AP_Tot_N_c_b_6mor,C16_AP_Tot_NCB_NS,C16_AP_Tot_Tot,C21_AP_15_19_NCB_0,C21_AP_15_19_NCB_1,C21_AP_15_19_NCB_2,C21_AP_15_19_NCB_3,C21_AP_15_19_NCB_4,C21_AP_15_19_NCB_5,C21_AP_15_19_NCB_6mor,C21_AP_15_19_NCB_NS,C21_AP_15_19_Tot,C21_AP_20_24_NCB_0,C21_AP_20_24_NCB_1,C21_AP_20_24_NCB_2,C21_AP_20_24_NCB_3,C21_AP_20_24_NCB_4,C21_AP_20_24_NCB_5,C21_AP_20_24_NCB_6mor,C21_AP_20_24_NCB_NS,C21_AP_20_24_Tot,C21_AP_25_29_NCB_0,C21_AP_25_29_NCB_1,C21_AP_25_29_NCB_2,C21_AP_25_29_NCB_3,C21_AP_25_29_NCB_4,C21_AP_25_29_NCB_5,C21_AP_25_29_NCB_6mor,C21_AP_25_29_NCB_NS,C21_AP_25_29_Tot,C21_AP_30_34_NCB_0,C21_AP_30_34_NCB_1,C21_AP_30_34_NCB_2,C21_AP_30_34_NCB_3,C21_AP_30_34_NCB_4,C21_AP_30_34_NCB_5,C21_AP_30_34_NCB_6mor,C21_AP_30_34_NCB_NS,C21_AP_30_34_Tot,C21_AP_35_39_NCB_0,C21_AP_35_39_NCB_1,C21_AP_35_39_NCB_2,C21_AP_35_39_NCB_3,C21_AP_35_39_NCB_4,C21_AP_35_39_NCB_5,C21_AP_35_39_NCB_6mor,C21_AP_35_39_NCB_NS,C21_AP_35_39_Tot,C21_AP_40_44_NCB_0,C21_AP_40_44_NCB_1,C21_AP_40_44_NCB_2,C21_AP_40_44_NCB_3,C21_AP_40_44_NCB_4,C21_AP_40_44_NCB_5,C21_AP_40_44_NCB_6mor,C21_AP_40_44_NCB_NS,C21_AP_40_44_Tot,C21_AP_45_49_NCB_0,C21_AP_45_49_NCB_1,C21_AP_45_49_NCB_2,C21_AP_45_49_NCB_3,C21_AP_45_49_NCB_4,C21_AP_45_49_NCB_5,C21_AP_45_49_NCB_6mor,C21_AP_45_49_NCB_NS,C21_AP_45_49_Tot,C21_AP_50_54_NCB_0,C21_AP_50_54_NCB_1,C21_AP_50_54_NCB_2,C21_AP_50_54_NCB_3,C21_AP_50_54_NCB_4,C21_AP_50_54_NCB_5,C21_AP_50_54_NCB_6mor,C21_AP_50_54_NCB_NS,C21_AP_50_54_Tot,C21_AP_55_59_NCB_0,C21_AP_55_59_NCB_1,C21_AP_55_59_NCB_2,C21_AP_55_59_NCB_3,C21_AP_55_59_NCB_4,C21_AP_55_59_NCB_5,C21_AP_55_59_NCB_6mor,C21_AP_55_59_NCB_NS,C21_AP_55_59_Tot,C21_AP_60_64_NCB_0,C21_AP_60_64_NCB_1,C21_AP_60_64_NCB_2,C21_AP_60_64_NCB_3,C21_AP_60_64_NCB_4,C21_AP_60_64_NCB_5,C21_AP_60_64_NCB_6mor,C21_AP_60_64_NCB_NS,C21_AP_60_64_Tot,C21_AP_65_69_NCB_0,C21_AP_65_69_NCB_1,C21_AP_65_69_NCB_2,C21_AP_65_69_NCB_3,C21_AP_65_69_NCB_4,C21_AP_65_69_NCB_5,C21_AP_65_69_NCB_6mor,C21_AP_65_69_NCB_NS,C21_AP_65_69_Tot,C21_AP_70_74_NCB_0,C21_AP_70_74_NCB_1,C21_AP_70_74_NCB_2,C21_AP_70_74_NCB_3,C21_AP_70_74_NCB_4,C21_AP_70_74_NCB_5,C21_AP_70_74_NCB_6mor,C21_AP_70_74_NCB_NS,C21_AP_70_74_Tot,C21_AP_75_79_NCB_0,C21_AP_75_79_NCB_1,C21_AP_75_79_NCB_2,C21_AP_75_79_NCB_3
1GSYD,60280,29496,9652,2986,1936,9548,165141,23593,22592,56142,28723,9896,2990,2004,9118,155047,20460,21205,50306,28300,10322,3275,2121,8702,144689,16317,17621,43142,25869,9837,3097,2095,7731,125704,12413,12650,39479,24182,9343,2977,2028,7356,110425,8332,7842,28470,18997,8076,2727,2137,6063,82645,5499,5206,18941,14977,7502,3040,2820,5356,63346,4100,3964,12500,10716,6166,2764,3177,5013,48392,5501,5807,14463,11173,6655,3196,4227,9847,60871,674823,257973,498956,262084,98916,33285,26434,156914,2009384,130950,430,74,6,5,8,11,11054,142533,144972,5745,2036,396,83,8,29,13301,166569,144060,20766,11693,3634,954,225,102,15058,196510,101399,45044,36952,12072,3618,913,452,13229,213685,54226,43461,66873,23493,6930,2038,1125,11343,209496,33496,30596,67777,28512,8902,2723,1747,8995,182755,29121,26957,65762,30519,9852,3011,1943,7989,175147,26075,25596,61203,30055,10013,3130,1987,7181,165240,22887,23685,56650,28946,9963,3133,2041,6703,154011,19710,22221,50217,28215,10327,3297,2191,6314,142487,15270,18413,42909,25499,9881,3094,2222,6047,123339,11497,12504,39009,23706,9226,2921,2109,6286,107264,7308,7207,26847,18011
1RNSW,30730,19072,7256,2285,1498,5930,87380,11160,9886,31336,20588,8018,2454,1529,6319,91281,11042,9365,32314,22867,9350,2655,1409,6898,95897,9387,8081,30230,22364,9073,2512,1320,6668,89637,7722,6848,29594,21173,9003,2705,1481,6794,85313,5621,4901,21157,17367,8266,2707,1696,5918,67629,3956,2952,12911,13019,7900,3158,2433,5507,51834,2636,2313,8134,8797,5979,2968,2613,5043,38486,3036,3199,9051,8687,5994,2895,3041,8921,44830,263949,113870,294656,200996,87392,29489,20378,94913,1105645,70064,658,83,18,4,5,11,8105,78934,58786,5824,2407,518,92,12,33,6706,74384,46418,13115,9981,3632,997,255,111,6289,80789,27517,17007,21685,9550,2912,836,484,5836,85838,15249,12750,28661,15036,5114,1502,1037,5616,84966,11157,10144,28470,16559,6150,1903,1404,5240,81022,11157,10519,31002,18761,7098,2202,1563,5530,87841,12060,10432,32144,19748,7427,2291,1487,5291,90890,12351,10409,33214,21607,8166,2382,1503,5809,95443,12016,9859,34675,24214,9787,2689,1391,5824,100460,9934,8322,31954,23215,9335,2505,1268,5901,92442,7731,6795,29643,21115,8935,2526,1357,6156,84267,5079,4351,19655,15888
19499,49,36,16,5,4,92,310,70,41,73,33,17,8,3,95,335,56,28,91,51,30,14,0,65,343,60,27,104,77,32,6,5,75,393,38,23,98,60,29,6,4,67,327,17,11,37,25,18,9,6,24,152,7,5,14,20,3,0,0,22,84,5,3,4,7,3,0,5,10,42,0,0,15,5,4,5,3,13,42,1746,350,645,411,184,61,58,1136,4583,171,8,0,0,0,0,0,93,279,219,27,21,4,0,0,0,147,418,277,43,21,14,6,0,0,170,533,184,51,46,17,12,5,0,175,495,104,37,45,27,5,4,9,153,392,87,19,48,16,12,9,9,149,357,59,39,54,24,20,10,9,121,332,68,33,59,44,14,10,10,91,333,65,34,87,44,22,4,0,96,359,46,28,110,57,24,7,3,64,339,24,29,61,44,17,5,7,53,236,14,10,60,42,11,12,3,18,163,3,4,22,15
19799,0,0,0,0,0,0,10,5,3,6,5,5,0,0,4,25,0,4,10,3,0,0,0,4,21,5,6,5,3,4,0,0,0,28,0,3,16,10,3,3,0,7,41,0,0,6,5,8,0,0,4,27,0,0,7,4,0,0,0,4,14,0,0,0,3,3,0,0,0,9,0,0,3,0,0,0,0,0,3,41,18,63,35,21,6,4,39,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,60590,28099,8211,2337,1673,9024,158633,21672,19625,53558,27568,8393,2219,1550,8305,142905,18228,16895,48287,27446,9202,2459,1612,7984,132122,14143,14132,42032,24941,8806,2475,1522,7121,115179,10289,10427,38703,24000,8890,2586,1644,7068,103600,6455,6368,27295,19201,8062,2633,1888,5669,77568,4457,4534,18215,15115,7857,2963,2627,5126,60899,3237,3496,12491,10981,6337,2744,2937,4838,47062,4358,5181,13575,11325,6608,3219,3698,7994,55949,645357,231159,478050,248305,88678,28348,22478,143971,1886349,122839,331,34,4,0,4,18,10608,133838,141617,4321,1453,250,39,9,27,12371,160090,143463,18858,9639,2876,708,175,94,14109,189925,101463,44954,35938,9945,2622,754,392,12114,208174,53606,41465,66989,20799,5433,1546,1025,10110,200968,32792,28486,65904,25031,6782,2053,1488,7698,170237,28502,25551,62969,27538,7851,2439,1816,7149,163821,25711,23252,62069,28690,8388,2388,1732,6706,158943,21287,20223,54506,27935,8606,2314,1593,5958,142429,17559,17739,49075,27647,9264,2467,1640,5543,130934,13407,14780,42251,24903,8752,2444,1562,5361,113462,9609,10413,38465,24212,8839,2528,1668,5633,101370,5819,6094,26247,18428
2RVIC,16665,10834,4137,1167,815,3353,48461,6464,4856,16887,11932,4716,1384,839,3610,50696,6218,4617,16727,12967,5392,1527,854,3836,52138,5199,4020,16574,12712,5394,1503,797,3895,50097,4136,3265,15617,12402,5515,1766,930,3932,47570,2746,2127,10053,9418,5032,1871,1278,3305,35831,1867,1307,5838,6782,4638,2078,1813,2937,27261,1224,1014,3712,4486,3579,1808,1863,2591,20281,1679,1576,4651,4781,3656,1878,2191,4029,24446,147084,57933,153434,111318,50492,17391,12942,52382,602974,37928,258,28,7,5,0,15,4386,42621,32092,2600,1006,198,24,3,18,3449,39392,27655,7058,5118,1722,437,94,46,3544,45675,16166,9872,11588,5124,1386,388,177,3135,47849,9325,7349,16096,8437,2669,749,420,3218,48263,7016,5838,15869,9294,3278,933,637,2959,45823,7197,5891,16786,10527,3760,1142,795,3069,49169,7264,5868,17877,11540,4353,1229,857,3155,52146,7361,5367,18484,12740,5007,1437,877,3367,54645,7115,5189,18629,14105,5801,1543,882,3609,56876,5587,4384,18174,13670,5706,1575,810,3658,53567,4147,3359,15948,12563,5519,1686,906,3782,47905,2487,1946,9603,8809
29499,25,26,11,8,4,47,167,46,21,32,14,12,3,0,46,176,32,7,52,32,15,6,0,42,183,26,13,36,35,8,3,0,34,165,24,8,33,28,18,0,4,23,138,4,5,14,11,9,5,0,14,59,5,4,4,10,4,0,0,5,32,0,0,0,3,0,0,0,0,16,8,0,9,5,4,0,5,8,29,1192,229,329,232,92,47,35,718,2881,142,3,0,0,0,0,0,86,229,187,28,8,3,0,0,0,94,321,218,29,41,13,10,0,4,148,450,145,41,33,27,8,9,7,162,425,86,39,41,28,17,4,10,182,416,53,23,34,23,10,4,7,162,321,41,26,33,12,13,0,5,106,238,53,19,41,24,13,6,5,88,242,30,17,45,41,8,0,0,63,212,31,24,55,38,14,4,0,56,217,20,13,27,16,5,5,0,51,141,9,5,29,14,4,0,0,23,74,5,3,9,11
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,28891,14876,5302,1732,1375,4500,79861,10416,9237,26076,14759,5383,1792,1300,4247,73211,8441,7664,23417,14955,5773,1762,1157,3931,67105,6686,6274,20463,13555,5599,1654,1030,3675,58944,5139,4957,18642,12876,5520,1697,1054,3420,53309,3553,3191,12273,9677,4528,1647,1155,2727,38756,2375,1822,6952,6715,4113,1870,1419,2367,27643,1622,1300,4190,4425,3048,1567,1603,2252,20006,1890,1861,4839,4607,3188,1682,1799,4814,24674,302796,110927,232193,133301,54899,19458,14995,68448,937015,70585,529,52,12,3,3,10,5587,76779,72956,4730,1919,424,82,24,27,6600,86761,62785,12014,7907,2794,773,226,108,6732,93335,40718,20232,19706,7101,2395,781,443,5515,96894,22959,18468,32053,12391,3984,1350,978,4954,97141,15126,13915,31925,14319,4886,1663,1362,3861,87059,13845,12816,31772,15640,5339,1855,1516,3693,86490,12446,11640,30229,15533,5610,1810,1426,3331,82018,10468,9665,26723,15115,5533,1819,1310,3066,73701,8386,8101,23938,15383,5869,1812,1110,2843,67444,6514,6620,20892,13927,5726,1692,1012,2686,59069,4886,4959,19072,13095,5493,1682,1062,2795,53049,3241,3078,12065,9395
3RQLD,29529,16739,6483,2168,1699,6392,85297,10991,9948,28384,17428,7113,2290,1528,6433,84103,9832,8500,27148,18458,7654,2327,1465,6392,81763,7916,7207,24781,17095,7183,2195,1344,5822,73543,6469,6139,23287,16363,7094,2286,1374,5639,68662,4532,4102,15911,12949,6385,2334,1576,4671,52467,3005,2491,9090,9000,5654,2482,1960,3802,37488,1883,1670,5149,5675,4133,2075,2006,3217,25811,2119,2334,5655,5377,3816,2100,2300,5350,29054,259384,112167,256781,161987,71015,25330,18955,89237,994851,67388,708,72,9,4,4,9,7719,75915,57303,5724,2298,503,88,19,29,7637,73598,47044,12471,9401,3308,1043,261,116,7890,81532,28935,16192,19850,8371,2863,850,486,6980,84526,16845,14000,28041,13629,4731,1576,1153,6400,86376,12207,11346,28507,15009,5763,1907,1505,5708,81953,12125,11896,30480,16638,6452,2130,1712,5988,87428,12478,11306,30931,17342,6569,2269,1666,5910,88462,11926,10607,30227,18272,7381,2350,1492,5916,88162,10611,9228,29151,19426,8062,2318,1469,5396,85657,8325,7627,26517,17804,7450,2277,1317,4978,76297,6503,6200,23936,16561,7083,2178,1265,5047,68775,4154,3817,15236,12094
