GCCSA_CODE_2021,C21_OD_H_f_so_FH_Tot,C21_OD_H_f_so_LP_H,C21_OD_H_f_so_GH,C21_OD_H_f_so_OH,C21_OD_H_f_so_Tot,C21_OD_Tot_FH_CF_no_ch,C21_OD_Tot_FH_CF_w_ch,C21_OD_Tot_FH_One_PFam,C21_OD_Tot_FH_oth_fa,C21_OD_Tot_FH_Tot,C21_OD_Tot_LP_H,C21_OD_Tot_GH,C21_OD_Tot_OH,C21_OD_Tot_Tot,C21_DS_ns_FH_CF_no_ch,C21_DS_ns_FH_CF_w_ch,C21_DS_ns_FH_One_PFam,C21_DS_ns_FH_oth_fa,C21_DS_ns_FH_Tot,C21_DS_ns_LP_H,C21_DS_ns_GH,C21_DS_ns_OH,C21_DS_NS_Tot,C21_Tot_FH_CF_no_ch,C21_Tot_FH_CF_w_ch,C21_Tot_FH_One_PFam,C21_Tot_FH_oth_fa,C21_Tot_FH_Tot,C21_Tot_LP_H,C21_Tot_GH,C21_Tot_OH,C21_Tot_Tot
1GSYD,3299,2345,832,684,7161,1773,1192,724,166,3851,3460,898,1309,9527,816,787,292,46,1938,1800,280,557,4576,445969,657935,200181,23499,1327581,424713,76558,82800,1911653
1RNSW,1370,1028,187,388,2975,2745,781,663,110,4300,6364,494,6844,18008,825,574,257,33,1688,1878,162,1312,5043,317239,284309,125417,10563,737521,299004,35087,74997,1146610
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,1688,1531,456,314,3986,1165,493,333,72,2058,3020,483,1607,7169,369,328,143,29,873,837,123,385,2224,436085,615315,189023,23180,1263599,441138,76606,77452,1858799
2RVIC,584,470,54,150,1268,1168,365,233,33,1800,2913,186,2942,7839,308,186,65,8,575,494,79,300,1449,181400,159745,65693,5691,412530,178405,17950,39946,648837
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,172,115,39,35,361,717,188,203,19,1128,2417,120,1744,5409,313,224,137,16,691,876,110,332,2019,240211,293010,108714,12129,654061,215551,42431,38591,950630
3RQLD,548,335,58,241,1183,2797,649,488,75,4007,5488,357,19468,29317,1213,602,283,40,2133,1938,179,4406,8666,286430,264278,113006,10105,673819,245457,38146,89973,1047392
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,8,5
4GADE,226,179,45,45,498,308,110,79,9,505,785,70,719,2080,245,201,102,12,560,601,85,181,1435,140061,158483,62496,6500,367534,148641,19869,17773,553819
4RSAU,157,100,7,60,325,398,132,62,6,601,731,80,2493,3898,196,85,31,0,310,300,22,780,1405,50501,35827,15313,1324,102966,48627,3673,14072,169342
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,227,153,39,52,473,684,132,112,17,941,1525,75,2154,4689,179,131,65,10,382,411,25,297,1112,205332,258734,83764,9178,557005,194168,27450,31051,809675
5RWAU,189,103,15,131,450,1020,252,121,25,1425,1788,112,12714,16035,311,194,62,15,581,589,41,1764,2970,56620,52421,19143,1758,129939,51026,5146,33967,220072
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,11,13
6GHOB,104,62,21,21,211,110,51,26,3,185,180,27,242,641,47,33,15,0,98,97,6,36,242,26496,25494,11669,1053,64705,26263,4007,3803,98783
6RTAS,129,105,23,37,296,255,76,63,9,402,548,45,580,1569,73,50,10,3,132,140,8,109,390,38530,29552,13759,1073,82908,37100,3424,7217,130650
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,17,3,4,3,25,152,42,14,5,211,212,11,1928,2361,30,13,14,0,59,87,3,258,409,12102,15507,5403,574,33581,11060,2654,6207,53503
7RNTE,22,15,0,23,57,225,66,37,8,336,385,20,4544,5289,122,62,33,7,224,267,15,1108,1614,5183,7584,3348,538,16660,5754,951,8500,31867
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,7
8ACTE,8,3,4,0,15,25,15,14,6,57,92,11,201,367,47,38,18,3,107,90,15,62,275,45194,53911,16336,1768,117214,43338,7850,6575,174972
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,3,0,0,0,3,3,0,0,0,5,0,0,3,9,7,0,0,0,10,13,0,17,41,459,405,136,20,1008,492,28,268,1805
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
