GCCSA_CODE_2021,C11_15_19_Mar_RegM_M,C11_15_19_Mar_RegM_F,C11_15_19_Mar_RegM_P,C11_15_19_Mar_DFM_M,C11_15_19_Mar_DFM_F,C11_15_19_Mar_DFM_P,C11_15_19_N_mar_M,C11_15_19_N_mar_F,C11_15_19_N_mar_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Mar_RegM_M,C11_20_24_Mar_RegM_F,C11_20_24_Mar_RegM_P,C11_20_24_Mar_DFM_M,C11_20_24_Mar_DFM_F,C11_20_24_Mar_DFM_P,C11_20_24_N_mar_M,C11_20_24_N_mar_F,C11_20_24_N_mar_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Mar_RegM_M,C11_25_29_Mar_RegM_F,C11_25_29_Mar_RegM_P,C11_25_29_Mar_DFM_M,C11_25_29_Mar_DFM_F,C11_25_29_Mar_DFM_P,C11_25_29_N_mar_M,C11_25_29_N_mar_F,C11_25_29_N_mar_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Mar_RegM_M,C11_30_34_Mar_RegM_F,C11_30_34_Mar_RegM_P,C11_30_34_Mar_DFM_M,C11_30_34_Mar_DFM_F,C11_30_34_Mar_DFM_P,C11_30_34_N_mar_M,C11_30_34_N_mar_F,C11_30_34_N_mar_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Mar_RegM_M,C11_35_39_Mar_RegM_F,C11_35_39_Mar_RegM_P,C11_35_39_Mar_DFM_M,C11_35_39_Mar_DFM_F,C11_35_39_Mar_DFM_P,C11_35_39_N_mar_M,C11_35_39_N_mar_F,C11_35_39_N_mar_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Mar_RegM_M,C11_40_44_Mar_RegM_F,C11_40_44_Mar_RegM_P,C11_40_44_Mar_DFM_M,C11_40_44_Mar_DFM_F,C11_40_44_Mar_DFM_P,C11_40_44_N_mar_M,C11_40_44_N_mar_F,C11_40_44_N_mar_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Mar_RegM_M,C11_45_49_Mar_RegM_F,C11_45_49_Mar_RegM_P,C11_45_49_Mar_DFM_M,C11_45_49_Mar_DFM_F,C11_45_49_Mar_DFM_P,C11_45_49_N_mar_M,C11_45_49_N_mar_F,C11_45_49_N_mar_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Mar_RegM_M,C11_50_54_Mar_RegM_F,C11_50_54_Mar_RegM_P,C11_50_54_Mar_DFM_M,C11_50_54_Mar_DFM_F,C11_50_54_Mar_DFM_P,C11_50_54_N_mar_M,C11_50_54_N_mar_F,C11_50_54_N_mar_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Mar_RegM_M,C11_55_59_Mar_RegM_F,C11_55_59_Mar_RegM_P,C11_55_59_Mar_DFM_M,C11_55_59_Mar_DFM_F,C11_55_59_Mar_DFM_P,C11_55_59_N_mar_M,C11_55_59_N_mar_F,C11_55_59_N_mar_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Mar_RegM_M,C11_60_64_Mar_RegM_F,C11_60_64_Mar_RegM_P,C11_60_64_Mar_DFM_M,C11_60_64_Mar_DFM_F,C11_60_64_Mar_DFM_P,C11_60_64_N_mar_M,C11_60_64_N_mar_F,C11_60_64_N_mar_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Mar_RegM_M,C11_65_69_Mar_RegM_F,C11_65_69_Mar_RegM_P,C11_65_69_Mar_DFM_M,C11_65_69_Mar_DFM_F,C11_65_69_Mar_DFM_P,C11_65_69_N_mar_M,C11_65_69_N_mar_F,C11_65_69_N_mar_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Mar_RegM_M,C11_70_74_Mar_RegM_F,C11_70_74_Mar_RegM_P,C11_70_74_Mar_DFM_M,C11_70_74_Mar_DFM_F,C11_70_74_Mar_DFM_P,C11_70_74_N_mar_M,C11_70_74_N_mar_F,C11_70_74_N_mar_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Mar_RegM_M,C11_75_79_Mar_RegM_F,C11_75_79_Mar_RegM_P,C11_75_79_Mar_DFM_M,C11_75_79_Mar_DFM_F,C11_75_79_Mar_DFM_P,C11_75_79_N_mar_M,C11_75_79_N_mar_F,C11_75_79_N_mar_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Mar_RegM_M,C11_80_84_Mar_RegM_F,C11_80_84_Mar_RegM_P,C11_80_84_Mar_DFM_M,C11_80_84_Mar_DFM_F,C11_80_84_Mar_DFM_P,C11_80_84_N_mar_M,C11_80_84_N_mar_F,C11_80_84_N_mar_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Mar_RegM_M,C11_85_over_Mar_RegM_F,C11_85_over_Mar_RegM_P,C11_85_over_Mar_DFM_M,C11_85_over_Mar_DFM_F,C11_85_over_Mar_DFM_P,C11_85_over_N_mar_M,C11_85_over_N_mar_F,C11_85_over_N_mar_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Marr_reg_marr_M,C11_Tot_Marr_reg_marr_F,C11_Tot_Marr_reg_marr_P,C11_Tot_Mar_de_fa_mar_M,C11_Tot_Mar_de_fa_mar_F,C11_Tot_Mar_de_fa_mar_P,C11_Tot_N_mar_M,C11_Tot_N_mar_F,C11_Tot_N_mar_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Mar_RegM_M,C16_15_19_Mar_RegM_F,C16_15_19_Mar_RegM_P,C16_15_19_Mar_DFM_M,C16_15_19_Mar_DFM_F,C16_15_19_Mar_DFM_P,C16_15_19_N_mar_M,C16_15_19_N_mar_F
1GSYD,61,433,499,522,1200,1724,130033,122415,252444,130618,124052,254673,4865,13247,18108,8593,13554,22151,122536,110067,232604,135990,136872,272863,36008,57990,94001,22954,26384,49335,89308,72745,162058,148267,157127,305396,76027,90764,166793,21527,19658,41190,51872,46491,98364,149427,156912,306337,94524,102663,197180,17098,15104,32205,37926,41586,79509,149546,159353,308895,94325,100750,195073,14028,12776,26802,33553,40766,74314,141901,154290,296191,94518,95131,189648,11743,10528,22268,32852,41621,74476,139112,147275,286391,88908,88248,177158,9153,8214,17372,31068,41397,72464,129128,137861,266986,78893,75837,154725,6826,5841,12670,26085,38247,64332,111800,119931,231730,73541,66445,139982,5066,3594,8665,23047,36006,59053,101651,106047,207695,55793,46929,102719,2736,1704,4441,16849,30060,46910,75376,78699,154077,41801,33849,75649,1335,687,2016,12574,27376,39952,55710,61915,117621,30824,22034,52862,645,294,935,10081,27081,37166,41549,49410,90960,21197,12849,34045,321,181,500,9213,27700,36908,30725,40727,71448,11929,5511,17444,187,100,284,8824,29533,38354,20936,35143,56079,803206,812687,1615891,122721,119829,242554,635805,733092,1368898,1561733,1665609,3227346,70,342,410,596,1125,1729,135654,128086
1RNSW,57,150,204,956,2463,3420,75351,69286,144637,76364,71892,148258,2276,5117,7392,9242,13679,22921,48413,40875,89291,59933,59668,119604,14178,21262,35436,13932,14762,28694,27972,24008,51983,56081,60035,116113,26997,33625,60624,10990,10590,21578,18286,18110,36398,56276,62323,118600,38178,43681,81862,10173,9977,20156,17824,19809,37638,66180,73475,139649,42121,47494,89626,9410,9538,18951,19405,22242,41646,70937,79280,150220,45975,49695,95665,8461,8662,17121,21957,23900,45864,76394,82252,158645,49293,52347,101637,7527,7500,15020,22944,24856,47803,79759,84704,164463,48423,49690,98113,5988,5175,11168,20611,22415,43022,75024,77277,152299,50767,48328,99094,4563,3643,8202,18039,21715,39755,73363,73688,147053,42224,38552,80773,2660,1908,4572,14239,19922,34159,59125,60378,119501,33790,28971,62761,1465,950,2416,11380,19530,30917,46630,49459,96087,25299,19167,44463,708,434,1141,9107,20084,29194,35115,39683,74803,17082,10767,27846,364,209,576,7831,20406,28236,25280,31385,56669,8814,4173,12986,157,79,236,6689,20132,26817,15660,24385,40041,445462,453023,898487,86603,89567,176171,340046,387296,727341,872112,929888,1802001,48,94,143,807,1811,2616,71156,65799
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,80,363,443,453,1010,1470,119992,113036,233030,120525,114410,234934,3874,10252,14125,9321,14370,23689,122595,108727,231325,135791,133352,269145,30933,49028,79963,25238,28606,53847,85695,68532,154231,141870,146166,288036,66820,77652,144473,22242,20702,42953,47058,42624,89687,136123,140981,277105,83319,90328,173647,17579,16007,33583,34541,38078,72620,135435,144418,279851,87843,93798,181639,14482,13607,28091,32467,39151,71617,134789,146562,281351,84938,86059,171000,11133,10398,21537,29972,37945,67917,126046,134401,260442,79807,79100,158906,8899,7983,16882,27557,37180,64738,116261,124268,240528,70948,69163,140107,6536,5452,11995,23232,33683,56911,100717,108296,209017,66373,62526,128899,4361,3313,7675,19508,31668,51170,90241,97504,187741,51230,44782,96010,2307,1505,3814,13870,25758,39630,67402,72043,139449,39703,32662,72365,1097,628,1727,10659,24465,35123,51458,57757,109213,29652,21751,51399,503,320,821,8825,24733,33566,38982,46799,85784,20135,12131,32270,325,150,475,8294,25171,33474,28756,37458,66213,11010,5237,16245,138,60,197,7984,25484,33472,19128,30783,49914,726664,734836,1461498,124608,124126,248743,592246,676241,1268493,1443522,1535209,2978726,82,250,330,602,1024,1628,126022,120100
2RVIC,28,76,103,446,1126,1572,42076,38324,80398,42547,39525,82072,1053,2284,3341,5025,7283,12309,25958,21848,47804,32039,31420,63455,7370,11277,18642,7846,8388,16232,14610,13186,27795,29823,32846,62673,14853,18317,33171,6106,5884,11988,9400,9719,19123,30361,33917,64280,20918,23805,44719,5519,5439,10959,9179,10577,19754,35611,39822,75430,24077,26870,50947,5036,5064,10100,10232,11967,22198,39345,43897,83239,25803,28187,53993,4359,4335,8697,11210,12900,24113,41364,45428,86796,27479,28759,56238,3726,3691,7416,11442,12983,24424,42646,45430,88078,27421,27761,55178,3025,2592,5618,10469,11921,22391,40909,42279,83184,27724,26455,54179,2134,1687,3828,9310,11472,20789,39169,39618,78791,21821,19939,41755,1235,855,2094,7123,9952,17076,30177,30746,60925,17131,14483,31617,625,406,1030,5521,9862,15383,23275,24750,48028,12584,9526,22112,288,157,450,4488,10306,14795,17361,19995,37358,8788,5466,14252,126,74,200,4021,10945,14973,12934,16492,29423,4542,2240,6780,66,34,91,3485,10853,14331,8088,13123,21210,241577,245442,487023,45551,47024,92572,178517,206815,385330,465644,499278,964931,19,61,84,335,824,1155,39438,35799
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,53,194,251,759,1886,2652,65559,62408,127974,66377,64489,130873,2846,5866,8712,9229,13378,22604,56359,51097,107454,68430,70343,138778,16703,24634,41339,16345,17889,34238,36578,30577,67150,69630,73104,142730,31252,37675,68930,12938,11944,24883,21604,20174,41773,65792,69793,135591,40713,45161,85874,10348,9589,19932,17298,19161,36459,68364,73906,142274,42843,46173,89017,8309,7965,16278,16168,19422,35589,67326,73560,140882,41391,42897,84291,6522,6248,12773,15577,19249,34822,63486,68399,131889,39259,40015,79279,4872,4563,9436,14265,18423,32683,58404,62996,121399,35870,35093,70958,3586,3149,6740,12343,17040,29378,51796,55279,107075,34416,31733,66150,2685,1958,4638,10940,16454,27401,48043,50146,98187,25792,21908,47705,1370,912,2277,7873,13461,21338,35034,36285,71320,18412,14719,33131,694,439,1131,5747,11649,17395,24853,26800,51657,12418,9158,21575,298,166,465,4387,11161,15550,17106,20481,37584,8371,5176,13545,150,76,221,3805,11285,15095,12331,16538,28866,4510,2179,6687,78,45,123,3634,11717,15351,8224,13937,22161,354855,362576,717431,78184,80206,158397,292156,333275,625424,725200,776059,1501257,42,117,155,786,1472,2264,66819,63135
3RQLD,62,216,279,1218,2997,4214,66537,60693,127229,67821,63904,131721,2452,5466,7915,10613,15921,26532,42543,36835,79372,55606,58217,113823,14487,22308,36799,15891,17630,33523,26889,23533,50429,57274,63472,120746,26623,33856,60475,12889,12392,25285,17566,17725,35293,57081,63975,121054,36505,43060,79565,11097,10760,21862,16990,18576,35562,64590,72403,136985,40580,45626,86204,9607,9575,19185,17378,20254,37633,67559,75459,143016,41265,45857,87119,8138,8214,16349,18101,20881,38985,67504,74947,142451,41567,44300,85871,6632,6726,13362,18003,20612,38611,66207,71634,137842,39672,40604,80277,5128,4497,9619,15724,18433,34156,60528,63527,124057,40615,38540,79152,4046,3055,7098,14457,17590,32048,59115,59184,118297,33545,29715,63264,2387,1649,4040,11312,15671,26990,47250,47042,94294,25557,20539,46095,1255,786,2038,8514,14300,22814,35321,35629,70946,17614,12488,30108,581,323,905,6521,13282,19797,24713,26098,50808,11156,6720,17877,272,147,415,5114,13059,18173,16546,19927,36472,5949,2738,8685,121,53,172,4459,12470,16921,10524,15261,25784,377668,392035,769708,89879,94711,184593,290099,323917,614017,757648,810665,1568315,52,115,160,1005,2269,3274,65631,60601
