GCCSA_CODE_2021,C21_1PF_Cu15DS_MR_4000over,C21_1PF_Cu15DS_MR_NS,C21_1PF_Cu15DS_Tot,C21_1PF_CU15_NDS_MR_0_299,C21_1PF_CU15_NDS_MR_300_449,C21_1PF_CU15_NDS_MR_450_599,C21_1PF_CU15_NDS_MR_600_799,C21_1PF_CU15_NDS_MR_800_999,C21_1PF_CU15_NDS_MR_1000_1399,C21_1PF_CU15_NDS_MR_1400_1799,C21_1PF_CU15_NDS_MR_1800_2399,C21_1PF_CU15_NDS_MR_2400_2999,C21_1PF_CU15_NDS_MR_3000_3999,C21_1PF_CU15_NDS_MR_4000over,C21_1PF_CU15_NDS_MR_NS,C21_1PF_CU15_NDS_Tot,C21_1PF_NCu15DS_MR_0_299,C21_1PF_NCu15DS_MR_300_449,C21_1PF_NCu15DS_MR_450_599,C21_1PF_NCu15DS_MR_600_799,C21_1PF_NCu15DS_MR_800_999,C21_1PF_NCu15DS_MR_1000_1399,C21_1PF_NCu15DS_MR_1400_1799,C21_1PF_NCu15DS_MR_1800_2399,C21_1PF_NCu15DS_MR_2400_2999,C21_1PF_NCu15DS_MR_3000_3999,C21_1PF_NCu15DS_MR_4000over,C21_1PF_NCu15DS_MR_NS,C21_1PF_NCu15DS_Tot,C21_1PF_NDCO_MR_0_299,C21_1PF_NDCO_MR_300_449,C21_1PF_NDCO_MR_450_599,C21_1PF_NDCO_MR_600_799,C21_1PF_NDCO_MR_800_999,C21_1PF_NDCO_MR_1000_1399,C21_1PF_NDCO_MR_1400_1799,C21_1PF_NDCO_MR_1800_2399,C21_1PF_NDCO_MR_2400_2999,C21_1PF_NDCO_MR_3000_3999,C21_1PF_NDCO_MR_4000over,C21_1PF_NDCO_MR_NS,C21_1PF_NDCO_Tot,C21_1PF_Tot_MR_0_299,C21_1PF_Tot_MR_300_449,C21_1PF_Tot_MR_450_599,C21_1PF_Tot_MR_600_799,C21_1PF_Tot_MR_800_999,C21_1PF_Tot_MR_1000_1399,C21_1PF_Tot_MR_1400_1799,C21_1PF_Tot_MR_1800_2399,C21_1PF_Tot_MR_2400_2999,C21_1PF_Tot_MR_3000_3999,C21_1PF_Tot_MR_4000over,C21_1PF_Tot_MR_NS,C21_1PF_Tot_Tot,C21_Tot_MR_0_299,C21_Tot_MR_300_449,C21_Tot_MR_450_599,C21_Tot_MR_600_799,C21_Tot_MR_800_999,C21_Tot_MR_1000_1399,C21_Tot_MR_1400_1799,C21_Tot_MR_1800_2399,C21_Tot_MR_2400_2999,C21_Tot_MR_3000_3999,C21_Tot_MR_4000over,C21_Tot_MR_NS,C21_Tot_Tot
1GSYD,707,345,5194,852,229,203,366,520,1838,2435,4355,2718,2893,2777,1494,20675,609,182,185,312,471,1333,1530,2167,1230,1357,1327,854,11560,1423,480,404,728,964,2604,2789,3775,1973,1998,1595,1736,20470,3079,942,855,1501,2119,6297,7473,11323,6563,6899,6411,4435,57898,23418,5605,4929,8039,11480,35864,46776,97851,79375,94009,105602,35927,548875
1RNSW,85,177,3360,464,291,344,717,1091,3094,3123,2872,1013,724,367,915,15003,202,130,126,279,410,1175,1028,948,340,254,171,287,5349,746,489,418,746,977,2294,1830,1489,513,382,236,860,10969,1499,959,966,1905,2738,7288,6704,5898,2100,1526,846,2239,34679,11884,5362,5125,9946,14539,42751,48529,62569,31008,23939,15057,15362,286070
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,550,391,6041,860,313,324,532,954,3117,4130,4967,2204,1871,1732,1495,22497,770,307,251,541,734,2120,2155,2408,994,955,948,953,13132,1577,697,618,1070,1303,3503,3415,3364,1399,1118,831,1788,20700,3468,1408,1303,2325,3266,9662,10768,11965,5119,4404,4063,4631,62376,24711,7613,6667,11207,15927,54099,78066,135116,71733,66662,60775,36703,569290
2RVIC,29,110,2046,239,259,241,662,951,2365,1721,979,289,232,127,453,8503,137,109,115,314,368,786,571,359,106,68,61,173,3164,433,382,324,657,758,1574,924,544,158,119,90,510,6472,888,797,740,1814,2282,5274,3613,2131,617,484,304,1245,20185,7147,4113,4041,8539,12303,33488,32571,30253,11142,8194,5637,9222,166653
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,137,183,2922,408,156,167,418,618,2310,3060,2913,1040,835,454,767,13134,219,108,114,204,296,1011,1128,1150,406,344,204,341,5529,602,286,266,438,697,1854,1900,1691,628,460,237,716,9758,1300,584,572,1166,1755,5694,6727,6417,2297,1805,1027,2004,31346,10336,3777,3346,6124,9411,34183,50731,71088,35131,28359,19675,15231,287392
3RQLD,93,191,2988,441,242,307,631,1030,3084,3039,2612,859,596,335,893,14076,179,108,107,240,381,1038,983,797,291,190,140,295,4737,603,315,327,567,850,1966,1775,1401,479,366,238,812,9692,1325,729,797,1568,2454,6742,6443,5337,1821,1279,802,2197,31497,10527,4668,4537,9211,13780,42661,50285,60015,25500,18792,12348,15959,268280
