GCCSA_CODE_2021,C11_15_19_Married_M,C11_15_19_Married_F,C11_15_19_Married_P,C11_15_19_Sep_M,C11_15_19_Sep_F,C11_15_19_Sep_P,C11_15_19_Div_M,C11_15_19_Div_F,C11_15_19_Div_P,C11_15_19_Wid_M,C11_15_19_Wid_F,C11_15_19_Wid_P,C11_15_19_Nvr_marrd_M,C11_15_19_Nvr_marrd_F,C11_15_19_Nvr_marrd_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Married_M,C11_20_24_Married_F,C11_20_24_Married_P,C11_20_24_Sep_M,C11_20_24_Sep_F,C11_20_24_Sep_P,C11_20_24_Div_M,C11_20_24_Div_F,C11_20_24_Div_P,C11_20_24_Wid_M,C11_20_24_Wid_F,C11_20_24_Wid_P,C11_20_24_Nvr_marrd_M,C11_20_24_Nvr_marrd_F,C11_20_24_Nvr_marrd_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Married_M,C11_25_29_Married_F,C11_25_29_Married_P,C11_25_29_Sep_M,C11_25_29_Sep_F,C11_25_29_Sep_P,C11_25_29_Div_M,C11_25_29_Div_F,C11_25_29_Div_P,C11_25_29_Wid_M,C11_25_29_Wid_F,C11_25_29_Wid_P,C11_25_29_Nvr_marrd_M,C11_25_29_Nvr_marrd_F,C11_25_29_Nvr_marrd_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Married_M,C11_30_34_Married_F,C11_30_34_Married_P,C11_30_34_Sep_M,C11_30_34_Sep_F,C11_30_34_Sep_P,C11_30_34_Div_M,C11_30_34_Div_F,C11_30_34_Div_P,C11_30_34_Wid_M,C11_30_34_Wid_F,C11_30_34_Wid_P,C11_30_34_Nvr_marrd_M,C11_30_34_Nvr_marrd_F,C11_30_34_Nvr_marrd_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Married_M,C11_35_39_Married_F,C11_35_39_Married_P,C11_35_39_Sep_M,C11_35_39_Sep_F,C11_35_39_Sep_P,C11_35_39_Div_M,C11_35_39_Div_F,C11_35_39_Div_P,C11_35_39_Wid_M,C11_35_39_Wid_F,C11_35_39_Wid_P,C11_35_39_Nvr_marrd_M,C11_35_39_Nvr_marrd_F,C11_35_39_Nvr_marrd_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Married_M,C11_40_44_Married_F,C11_40_44_Married_P,C11_40_44_Sep_M,C11_40_44_Sep_F,C11_40_44_Sep_P,C11_40_44_Div_M,C11_40_44_Div_F,C11_40_44_Div_P,C11_40_44_Wid_M,C11_40_44_Wid_F,C11_40_44_Wid_P,C11_40_44_Nvr_marrd_M,C11_40_44_Nvr_marrd_F,C11_40_44_Nvr_marrd_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Married_M,C11_45_49_Married_F,C11_45_49_Married_P,C11_45_49_Sep_M,C11_45_49_Sep_F,C11_45_49_Sep_P,C11_45_49_Div_M,C11_45_49_Div_F,C11_45_49_Div_P,C11_45_49_Wid_M,C11_45_49_Wid_F,C11_45_49_Wid_P,C11_45_49_Nvr_marrd_M,C11_45_49_Nvr_marrd_F,C11_45_49_Nvr_marrd_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Married_M,C11_50_54_Married_F,C11_50_54_Married_P,C11_50_54_Sep_M,C11_50_54_Sep_F,C11_50_54_Sep_P,C11_50_54_Div_M,C11_50_54_Div_F,C11_50_54_Div_P,C11_50_54_Wid_M,C11_50_54_Wid_F,C11_50_54_Wid_P,C11_50_54_Nvr_marrd_M,C11_50_54_Nvr_marrd_F,C11_50_54_Nvr_marrd_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Married_M,C11_55_59_Married_F,C11_55_59_Married_P,C11_55_59_Sep_M,C11_55_59_Sep_F,C11_55_59_Sep_P,C11_55_59_Div_M,C11_55_59_Div_F,C11_55_59_Div_P,C11_55_59_Wid_M,C11_55_59_Wid_F,C11_55_59_Wid_P,C11_55_59_Nvr_marrd_M,C11_55_59_Nvr_marrd_F,C11_55_59_Nvr_marrd_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Married_M,C11_60_64_Married_F,C11_60_64_Married_P,C11_60_64_Sep_M,C11_60_64_Sep_F,C11_60_64_Sep_P,C11_60_64_Div_M,C11_60_64_Div_F,C11_60_64_Div_P,C11_60_64_Wid_M,C11_60_64_Wid_F,C11_60_64_Wid_P,C11_60_64_Nvr_marrd_M,C11_60_64_Nvr_marrd_F,C11_60_64_Nvr_marrd_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_69_Married_M,C11_65_69_Married_F,C11_65_69_Married_P,C11_65_69_Sep_M,C11_65_69_Sep_F,C11_65_69_Sep_P,C11_65_69_Div_M,C11_65_69_Div_F,C11_65_69_Div_P,C11_65_69_Wid_M,C11_65_69_Wid_F,C11_65_69_Wid_P,C11_65_69_Nvr_marrd_M,C11_65_69_Nvr_marrd_F,C11_65_69_Nvr_marrd_P,C11_65_69_Tot_M,C11_65_69_Tot_F,C11_65_69_Tot_P,C11_70_74_Married_M,C11_70_74_Married_F
6GHOB,15,22,41,9,11,13,7,3,7,5,4,16,6983,6726,13707,7017,6767,13781,210,418,630,22,39,60,18,14,35,5,7,13,7063,6743,13806,7326,7223,14548,1387,1899,3282,92,166,260,53,90,141,9,25,33,5088,4673,9766,6635,6847,13487,2454,3008,5462,149,229,378,195,277,477,11,20,29,3242,2920,6163,6058,6456,12512,3413,3899,7312,250,373,625,350,579,930,13,43,52,2505,2246,4756,6536,7149,13678,3831,4180,8008,349,419,766,647,1029,1678,22,70,94,2057,1767,3828,6909,7461,14375,4137,4325,8464,351,484,838,979,1415,2386,44,141,183,1586,1219,2809,7094,7580,14674,4510,4778,9292,361,445,803,1143,1614,2754,73,202,278,1227,970,2193,7311,8003,15317,4459,4468,8931,273,293,569,1136,1577,2710,109,359,469,810,599,1404,6784,7286,14078,4417,4036,8455,240,263,506,1016,1347,2364,186,545,733,476,385,860,6331,6582,12914,3285,2958,6241,149,143,285,682,885,1563,205,774,981,304,212,514,4626,4966,9593,2633,2154
6RTAS,12,27,42,4,7,17,3,11,16,5,5,12,9751,8966,18716,9777,9021,18803,281,612,886,23,51,73,13,22,36,7,14,18,7213,6686,13901,7533,7383,14914,1663,2466,4122,98,195,291,71,127,195,10,23,29,5130,4676,9805,6969,7484,14447,3096,3856,6949,191,323,512,200,353,552,11,26,39,3429,3118,6546,6930,7673,14601,4284,4964,9250,324,447,773,522,807,1335,23,64,87,3046,2657,5706,8207,8939,17145,5392,5961,11352,461,569,1036,885,1358,2245,43,105,147,2580,2113,4696,9355,10115,19469,5792,6259,12056,517,598,1117,1401,1748,3147,80,228,303,2142,1487,3632,9929,10326,20256,6544,6785,13330,535,567,1103,1631,2001,3637,113,344,458,1566,1048,2612,10392,10742,21134,6554,6706,13262,452,434,881,1648,1808,3462,172,524,692,1037,594,1631,9867,10067,19935,6971,6595,13568,375,332,707,1521,1669,3189,268,867,1138,720,409,1125,9856,9868,19723,5776,4971,10748,259,186,451,1066,1101,2166,404,1200,1606,441,263,711,7946,7724,15671,4288,3423
69499,0,3,3,0,0,0,0,0,0,0,0,0,45,52,93,45,56,96,3,0,3,0,0,0,0,0,0,0,0,0,50,47,99,54,47,105,0,6,11,0,0,4,0,0,0,0,0,0,73,46,114,74,48,123,9,6,18,0,0,0,3,3,7,0,0,0,46,18,59,60,23,83,6,3,9,3,10,9,0,3,8,0,0,0,43,10,49,56,21,77,9,13,22,9,3,17,8,13,25,0,0,0,27,7,32,50,33,86,11,6,13,12,4,13,14,11,22,0,0,0,21,13,30,49,33,84,8,9,19,8,8,9,11,8,18,0,0,0,13,7,16,37,34,65,19,8,25,3,5,11,9,15,20,3,0,6,7,0,8,42,31,69,16,29,39,8,4,6,16,7,22,0,0,3,3,4,9,47,40,87,16,10,23,0,0,0,6,3,15,5,4,6,0,3,0,25,19,44,4,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,10,5,4,10,6,0,3,0,0,0,0,0,0,0,0,0,4,4,13,6,8,15,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,5,4,8,6,0,6,0,0,0,0,0,5,0,0,0,7,0,8,12,6,20,6,0,6,0,0,0,0,0,6,0,0,0,7,0,7,11,0,13,3,0,0,0,0,0,8,0,8,0,0,0,0,0,0,10,0,12,7,0,7,0,0,0,6,0,6,0,0,0,0,0,0,12,0,11,0,3,4,3,0,3,0,0,3,0,0,0,0,0,0,8,8,11,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,4,0
7GDAR,27,34,64,8,5,12,8,4,11,0,0,0,4298,3645,7941,4335,3692,8023,320,494,811,11,37,50,9,16,23,4,14,13,4951,3601,8555,5298,4167,9459,1290,1731,3020,56,79,133,60,85,144,12,6,23,4324,3394,7712,5741,5295,11038,2120,2483,4605,99,148,243,142,220,352,7,14,18,2692,2105,4797,5057,4963,10023,2626,2650,5271,164,186,348,262,381,640,20,26,51,1966,1594,3559,5032,4828,9863,2626,2748,5366,208,228,437,505,560,1065,13,68,80,1582,1149,2730,4936,4750,9683,2510,2395,4907,244,241,481,532,679,1215,34,92,123,1232,885,2120,4554,4292,8846,2349,2273,4621,213,215,434,690,742,1434,36,139,172,903,595,1500,4197,3966,8157,2134,1910,4053,224,158,385,680,661,1345,75,185,261,511,324,836,3628,3245,6876,1890,1427,3313,152,155,302,610,527,1137,79,244,322,360,169,525,3093,2519,5608,1122,801,1918,105,65,171,335,283,614,62,255,313,200,69,269,1826,1468,3290,692,422
7RNTE,261,453,710,14,15,29,4,4,10,4,6,6,3222,2778,6000,3505,3253,6757,936,1174,2108,46,64,104,13,39,56,12,16,28,2596,2323,4923,3605,3619,7220,1511,1734,3244,65,125,194,48,71,119,14,33,46,2309,2032,4343,3950,3990,7940,1756,1872,3625,80,111,192,81,87,164,15,48,59,1639,1466,3113,3573,3581,7158,1883,1899,3789,121,131,249,157,165,325,12,67,78,1235,1159,2392,3411,3418,6828,1776,1828,3609,162,170,327,221,243,467,24,98,128,1037,968,2000,3222,3310,6535,1682,1582,3263,146,138,283,311,313,619,24,123,147,826,683,1514,2989,2842,5829,1541,1431,2978,129,124,260,368,400,764,51,209,262,660,535,1195,2757,2704,5458,1314,1135,2455,133,103,238,393,396,795,80,245,329,405,308,716,2333,2194,4523,1091,715,1807,99,72,176,336,256,592,73,266,334,206,183,389,1806,1488,3295,549,338,886,69,38,106,177,124,309,85,221,302,126,103,228,1008,828,1834,318,189
79499,0,0,0,0,0,0,0,0,0,0,0,0,14,23,32,14,23,32,3,3,6,0,0,0,0,0,3,0,0,0,67,65,132,65,74,143,12,9,26,0,4,4,0,4,6,0,0,0,107,82,188,123,94,224,23,27,51,0,0,3,5,0,7,0,0,0,51,38,83,75,72,144,35,30,65,4,0,5,4,4,3,0,0,0,33,14,47,83,45,128,25,29,48,5,4,7,3,6,7,0,0,0,29,9,42,64,45,108,18,23,42,3,8,5,13,14,29,0,0,0,24,9,32,62,57,118,32,48,80,11,8,13,12,15,27,0,0,4,11,17,30,72,86,156,72,64,138,16,6,15,20,24,43,3,4,8,9,15,24,117,115,225,80,66,144,13,5,12,17,23,42,7,0,7,14,0,10,125,90,217,61,55,118,6,0,9,17,9,18,3,3,8,3,0,3,94,66,160,27,9
79799,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,14,15,0,16,7,0,7,0,0,0,0,0,0,0,0,0,13,4,11,14,4,16,4,0,4,0,0,0,0,0,0,0,0,0,16,0,17,16,0,17,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,9,0,0,0,0,0,0,6,0,6,0,0,0,4,0,4,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,10,0,9,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,5,0,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0
8ACTE,23,34,60,0,5,5,0,6,5,5,9,10,12297,11564,23860,12328,11607,23937,442,1004,1445,28,66,96,7,26,35,12,8,23,15112,13958,29069,15600,15068,30662,3451,5104,8557,106,201,307,107,176,282,7,13,18,11562,9729,21283,15226,15224,30448,6815,7790,14605,239,333,578,332,547,872,7,21,36,6292,5259,11553,13690,13954,27644,8088,8490,16580,382,508,887,667,1031,1695,22,74,97,4166,3478,7641,13324,13579,26902,8142,8255,16397,497,571,1070,1006,1605,2613,35,95,133,3079,2625,5704,12761,13156,25917,7839,7889,15727,494,650,1146,1322,1999,3317,59,161,218,2219,1944,4161,11936,12638,24571,7603,7482,15087,509,556,1062,1412,2188,3602,82,308,391,1704,1514,3214,11307,12049,23352,6896,6678,13573,401,461,859,1384,2060,3443,126,447,577,1049,865,1919,9857,10516,20371,6622,5978,12601,293,364,655,1206,1819,3024,199,703,908,625,537,1164,8952,9398,18350,4748,3950,8696,193,183,376,694,1133,1828,221,901,1119,326,313,636,6178,6482,12659,3271,2717
89499,0,0,0,0,0,0,0,0,0,0,0,0,33,27,59,33,27,59,0,0,6,0,0,0,0,0,0,0,0,0,37,45,80,37,44,83,9,7,17,0,0,0,0,0,3,0,0,0,31,33,66,40,40,82,3,17,16,3,0,3,5,5,0,0,0,0,31,14,40,34,32,71,8,0,15,0,4,6,5,3,3,0,0,0,13,12,36,34,24,57,4,9,8,0,6,7,5,7,13,0,0,0,15,6,24,31,25,53,0,4,4,0,0,6,5,0,4,0,0,0,6,9,18,13,17,30,9,5,14,4,4,9,11,8,12,0,0,4,6,8,14,27,25,51,9,7,12,0,0,8,3,9,14,0,0,0,3,0,3,24,17,35,7,3,14,0,6,3,4,5,7,0,0,0,3,0,3,17,7,24,3,0,3,0,0,0,3,0,3,0,0,0,0,0,4,7,0,8,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,112,52,165,112,52,165,12,16,28,0,0,0,0,0,0,0,0,0,186,51,236,199,68,266,121,32,155,0,0,3,0,0,4,0,0,0,227,28,258,358,62,423,119,46,171,5,0,7,0,0,4,0,0,0,97,28,115,221,77,296,96,55,154,5,0,4,3,5,5,0,0,0,41,18,61,148,78,223,82,62,147,5,0,7,8,3,10,0,3,3,35,18,46,125,93,222,103,72,172,4,3,7,12,4,13,0,0,0,15,14,23,127,94,220,74,72,142,4,0,3,13,8,20,0,3,3,18,8,22,107,87,197,81,68,148,7,3,3,14,3,14,0,0,0,7,7,16,110,88,193,84,27,104,5,0,5,6,0,11,8,15,20,5,4,12,108,41,146,29,24,52,6,0,6,5,0,5,0,6,8,4,0,4,41,26,67,30,15
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
