GCCSA_CODE_2021,C11_F_CL_Tot_15_19,C11_F_CL_Tot_20_24,C11_F_CL_Tot_25_34,C11_F_CL_Tot_35_44,C11_F_CL_Tot_45_54,C11_F_CL_Tot_55_64,C11_F_CL_Tot_65_74,C11_F_CL_Tot_75_84,C11_F_CL_Tot_85over,C11_F_CL_Tot_Tot,C11_F_LE_ID_15_19,C11_F_LE_ID_20_24,C11_F_LE_ID_25_34,C11_F_LE_ID_35_44,C11_F_LE_ID_45_54,C11_F_LE_ID_55_64,C11_F_LE_ID_65_74,C11_F_LE_ID_75_84,C11_F_LE_ID_85over,C11_F_LE_ID_Tot,C11_F_LE_NS_15_19,C11_F_LE_NS_20_24,C11_F_LE_NS_25_34,C11_F_LE_NS_35_44,C11_F_LE_NS_45_54,C11_F_LE_NS_55_64,C11_F_LE_NS_65_74,C11_F_LE_NS_75_84,C11_F_LE_NS_85over,C11_F_LE_NS_Tot,C11_F_Tot_15_19_yrs,C11_F_Tot_20_24_yrs,C11_F_Tot_25_34_yrs,C11_F_Tot_35_44_yrs,C11_F_Tot_45_54_yrs,C11_F_Tot_55_64_yrs,C11_F_Tot_65_74_yrs,C11_F_Tot_75_84_yrs,C11_F_Tot_85over,C11_F_Tot_Tot,C16_F_Post_Deg_15_19_yrs,C16_F_Post_Deg_20_24_yrs,C16_F_Post_Deg_25_34_yrs,C16_F_Post_Deg_35_44_yrs,C16_F_Post_Deg_45_54_yrs,C16_F_Post_Deg_55_64_yrs,C16_F_Post_Deg_65_74_yrs,C16_F_Post_Deg_75_84_yrs,C16_F_Post_Deg_85over,C16_F_Post_Deg_Tot,C16_F_GrDip_GrCe_15_19,C16_F_GrDip_GrCe_20_24,C16_F_GrDip_GrCe_25_34,C16_F_GrDip_GrCe_35_44,C16_F_GrDip_GrCe_45_54,C16_F_GrDip_GrCe_55_64,C16_F_GrDip_GrCe_65_74,C16_F_GrDip_GrCe_75_84,C16_F_GrDip_GrCe_85over,C16_F_GrDip_GrCe_Tot,C16_F_BD_15_19,C16_F_BD_20_24,C16_F_BD_25_34,C16_F_BD_35_44,C16_F_BD_45_54,C16_F_BD_55_64,C16_F_BD_65_74,C16_F_BD_75_84,C16_F_BD_85over,C16_F_BD_Tot,C16_F_AdD_DL_15_19,C16_F_AdD_DL_20_24,C16_F_AdD_DL_25_34,C16_F_AdD_DL_35_44,C16_F_AdD_DL_45_54,C16_F_AdD_DL_55_64,C16_F_AdD_DL_65_74,C16_F_AdD_DL_75_84,C16_F_AdD_DL_85over,C16_F_AdD_DL_Tot,C16_F_CL_C_III_IV_15_19,C16_F_CL_C_III_IV_20_24,C16_F_CL_C_III_IV_25_34,C16_F_CL_C_III_IV_35_44,C16_F_CL_C_III_IV_45_54,C16_F_CL_C_III_IV_55_64,C16_F_CL_C_III_IV_65_74,C16_F_CL_C_III_IV_75_84,C16_F_CL_C_III_IV_85over,C16_F_CL_C_III_IV_Tot,C16_F_CL_C_I_II_15_19,C16_F_CL_C_I_II_20_24,C16_F_CL_C_I_II_25_34,C16_F_CL_C_I_II_35_44,C16_F_CL_C_I_II_45_54,C16_F_CL_C_I_II_55_64,C16_F_CL_C_I_II_65_74,C16_F_CL_C_I_II_75_84,C16_F_CL_C_I_II_85over,C16_F_CL_C_I_II_Tot,C16_F_CL_CL_nfd_15_19,C16_F_CL_CL_nfd_20_24,C16_F_CL_CL_nfd_25_34,C16_F_CL_CL_nfd_35_44,C16_F_CL_CL_nfd_45_54,C16_F_CL_CL_nfd_55_64,C16_F_CL_CL_nfd_65_74,C16_F_CL_CL_nfd_75_84,C16_F_CL_CL_nfd_85over,C16_F_CL_CL_nfd_Tot,C16_F_CL_Tot_15_19,C16_F_CL_Tot_20_24,C16_F_CL_Tot_25_34,C16_F_CL_Tot_35_44,C16_F_CL_Tot_45_54,C16_F_CL_Tot_55_64,C16_F_CL_Tot_65_74,C16_F_CL_Tot_75_84,C16_F_CL_Tot_85over,C16_F_CL_Tot_Tot,C16_F_LE_ID_15_19,C16_F_LE_ID_20_24,C16_F_LE_ID_25_34,C16_F_LE_ID_35_44,C16_F_LE_ID_45_54,C16_F_LE_ID_55_64,C16_F_LE_ID_65_74,C16_F_LE_ID_75_84,C16_F_LE_ID_85over,C16_F_LE_ID_Tot,C16_F_LE_NS_15_19,C16_F_LE_NS_20_24,C16_F_LE_NS_25_34,C16_F_LE_NS_35_44,C16_F_LE_NS_45_54,C16_F_LE_NS_55_64,C16_F_LE_NS_65_74,C16_F_LE_NS_75_84,C16_F_LE_NS_85over,C16_F_LE_NS_Tot,C16_F_Tot_15_19_yrs,C16_F_Tot_20_24_yrs,C16_F_Tot_25_34_yrs,C16_F_Tot_35_44_yrs,C16_F_Tot_45_54_yrs,C16_F_Tot_55_64_yrs,C16_F_Tot_65_74_yrs,C16_F_Tot_75_84_yrs,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_Post_Deg_15_19_yrs,C21_F_Post_Deg_20_24_yrs,C21_F_Post_Deg_25_34_yrs,C21_F_Post_Deg_35_44_yrs,C21_F_Post_Deg_45_54_yrs,C21_F_Post_Deg_55_64_yrs,C21_F_Post_Deg_65_74_yrs,C21_F_Post_Deg_75_84_yrs,C21_F_Post_Deg_85over,C21_F_Post_Deg_Tot,C21_F_GrDip_GrCe_15_19,C21_F_GrDip_GrCe_20_24,C21_F_GrDip_GrCe_25_34,C21_F_GrDip_GrCe_35_44,C21_F_GrDip_GrCe_45_54,C21_F_GrDip_GrCe_55_64,C21_F_GrDip_GrCe_65_74,C21_F_GrDip_GrCe_75_84,C21_F_GrDip_GrCe_85over,C21_F_GrDip_GrCe_Tot,C21_F_BD_15_19,C21_F_BD_20_24,C21_F_BD_25_34,C21_F_BD_35_44,C21_F_BD_45_54,C21_F_BD_55_64,C21_F_BD_65_74,C21_F_BD_75_84,C21_F_BD_85over,C21_F_BD_Tot,C21_F_AdD_DL_15_19,C21_F_AdD_DL_20_24,C21_F_AdD_DL_25_34,C21_F_AdD_DL_35_44,C21_F_AdD_DL_45_54,C21_F_AdD_DL_55_64,C21_F_AdD_DL_65_74,C21_F_AdD_DL_75_84,C21_F_AdD_DL_85over,C21_F_AdD_DL_Tot,C21_F_CL_C_III_IV_15_19,C21_F_CL_C_III_IV_20_24,C21_F_CL_C_III_IV_25_34,C21_F_CL_C_III_IV_35_44,C21_F_CL_C_III_IV_45_54,C21_F_CL_C_III_IV_55_64,C21_F_CL_C_III_IV_65_74,C21_F_CL_C_III_IV_75_84,C21_F_CL_C_III_IV_85over,C21_F_CL_C_III_IV_Tot
5RWAU,1578,3323,6879,6268,5260,3284,1171,595,265,28623,64,166,407,609,846,898,577,255,88,3907,1619,1323,3017,3228,2971,2472,1942,1625,750,18940,3384,6730,19718,20353,17431,12611,6285,3295,1302,91120,0,28,752,821,643,538,236,37,3,3062,3,93,789,1007,880,781,282,57,4,3899,16,1037,6131,6100,4225,3145,1672,636,134,23107,109,720,3234,3677,3964,3688,1936,692,176,18193,800,2444,6123,5243,4854,3232,1198,277,90,24254,627,672,1037,807,627,482,222,55,10,4535,114,319,740,1062,1106,1075,592,176,47,5234,1541,3438,7896,7113,6579,4787,2010,502,150,34023,17,54,220,206,218,268,243,147,40,1416,1895,1502,3986,3696,4149,4149,3554,2479,1306,26729,3582,6871,23014,22624,20667,17369,9929,4562,1814,110429,0,85,1055,1293,913,758,463,110,5,4693,4,77,895,1172,1137,979,602,147,24,5039,0,1152,6488,7025,5432,3871,2420,980,227,27599,82,587,2999,3868,4067,4178,2761,1029,259,19832,1137,2643,6627,6543,5802,4514,2091,495,93,29943
59499,13,49,101,47,71,67,21,0,0,358,0,8,18,6,9,23,5,5,0,80,23,35,94,96,66,72,24,15,4,430,37,165,488,294,251,309,99,17,5,1661,0,4,22,4,9,4,4,0,0,54,0,0,7,5,8,11,4,0,0,33,0,36,133,48,32,24,21,0,0,304,0,11,44,14,20,47,22,0,0,161,4,26,53,30,33,56,17,0,0,221,3,3,6,8,4,5,4,0,0,39,0,8,18,9,5,19,12,0,0,65,5,38,77,39,47,78,35,5,0,319,0,0,3,0,3,3,4,3,0,20,20,61,157,102,105,84,57,16,3,612,25,153,441,223,217,264,141,23,6,1492,0,0,42,18,8,10,7,0,0,90,0,0,7,12,9,11,10,0,0,49,0,40,140,80,27,36,13,0,0,340,0,8,48,44,27,45,16,5,0,190,3,25,65,69,48,47,22,0,0,286
59799,0,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,12,0,4,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,4,0,3,5,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,9,0,0,4,0,4,0,0,0,0,7,0,4,3,0,0,0,0,0,0,3
6GHOB,491,1584,2856,2379,2313,1388,533,259,100,11893,23,57,115,157,193,234,143,99,37,1052,609,440,756,837,1052,1274,1319,1356,785,8423,1148,3452,9030,9072,8932,7105,3810,2479,1201,46235,0,79,1213,1124,913,717,373,85,18,4525,3,56,527,607,675,581,293,60,18,2828,5,972,3527,3348,2556,2395,1306,473,175,14764,26,298,1151,1535,1792,1602,1080,521,183,8192,219,1149,2567,2028,1939,1441,492,178,71,10091,142,291,405,274,235,185,107,23,15,1678,44,125,282,374,411,490,301,147,88,2269,407,1563,3252,2676,2588,2122,897,355,175,14032,13,24,77,78,113,135,183,121,38,781,564,448,928,910,1069,1293,1391,1189,702,8493,1015,3447,10669,10279,9704,8853,5530,2804,1321,53612,0,140,3996,2266,1386,1001,665,172,27,9669,0,61,726,892,755,736,557,145,24,3892,4,1335,5571,4294,3211,2585,1997,770,213,19986,24,305,1432,1618,1967,1813,1460,653,237,9511,181,1241,2926,2614,2262,1899,880,240,70,12319
6RTAS,712,2033,3945,3763,3573,2318,726,242,92,17407,32,51,161,204,266,326,198,106,29,1378,807,379,777,1114,1381,1717,2068,1928,969,11134,1578,3328,9028,10219,10509,8917,5198,3001,1297,53084,0,30,418,518,571,557,314,45,8,2458,6,34,283,392,487,504,259,63,13,2044,0,633,2755,2808,2524,2482,1439,436,132,13211,26,305,1217,1771,2292,2235,1533,664,157,10201,353,1500,3184,2940,2898,2227,866,190,58,14213,236,461,612,441,435,307,152,37,14,2693,90,194,412,526,688,726,444,168,52,3313,678,2156,4209,3906,4024,3260,1463,397,128,20220,3,36,87,85,115,143,163,118,46,817,923,606,1161,1277,1728,2160,2577,1925,957,13307,1637,3796,10130,10762,11747,11339,7758,3645,1446,62252,0,35,1419,967,784,819,539,142,11,4701,0,47,434,531,606,633,473,144,24,2896,0,750,3775,3755,3053,2892,2229,785,154,17389,18,283,1353,1865,2479,2681,1987,911,237,11814,286,1706,4281,3882,3731,3277,1499,317,79,19051
69499,6,6,11,7,5,9,0,0,0,47,0,0,0,0,0,0,0,0,0,4,9,7,13,8,4,13,15,4,0,58,10,22,56,33,33,48,21,3,0,222,0,0,6,3,5,0,0,0,0,18,0,0,0,3,0,0,0,0,0,10,0,3,13,10,4,9,5,0,0,42,0,0,8,9,7,5,6,0,0,37,0,0,7,5,0,5,0,0,0,29,0,0,4,0,0,0,0,0,0,6,0,0,0,0,3,4,0,0,0,10,4,7,15,4,5,10,0,0,0,41,0,0,0,0,0,0,0,0,0,5,4,8,11,5,16,10,9,0,0,62,8,16,51,37,39,41,21,3,0,208,0,0,6,5,6,4,0,0,0,19,0,0,6,0,0,7,0,0,0,10,0,0,21,15,14,6,0,0,0,61,0,0,3,5,6,10,6,4,0,28,0,7,16,19,13,11,3,0,0,69
69799,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,301,907,1910,1494,1149,554,145,39,10,6513,9,46,86,101,113,85,47,18,3,504,566,499,1224,1209,1054,788,417,229,83,6067,907,2186,7254,6381,5137,3170,1136,392,119,26682,4,33,718,687,493,364,129,24,0,2453,0,33,441,457,348,279,79,16,0,1649,0,532,3341,2340,1396,911,390,93,23,9022,16,277,1190,1194,1106,747,284,83,12,4902,193,744,1895,1392,1063,572,168,32,8,6070,112,136,220,134,116,81,28,0,0,827,21,88,223,229,247,170,89,24,3,1094,327,966,2339,1756,1428,823,281,58,14,7996,0,30,84,72,56,43,32,15,7,348,488,588,1638,1189,1061,922,542,241,97,6771,832,2456,9753,7694,5892,4086,1741,532,153,33141,0,47,1544,1155,699,480,217,51,3,4197,0,50,506,593,476,330,159,30,0,2150,0,648,3830,2903,1697,1065,605,179,28,10956,15,222,1155,1285,1187,877,427,146,15,5332,235,630,1823,1637,1231,843,272,55,11,6746
7RNTE,162,445,1042,903,687,375,80,18,0,3708,3,19,53,66,82,64,20,5,0,318,564,483,930,895,675,464,278,128,56,4473,743,1267,3854,3493,2930,1893,576,188,69,15016,0,5,260,238,202,189,48,7,0,953,0,8,178,182,193,136,35,3,0,730,0,161,1137,833,623,500,152,37,11,3460,4,71,421,424,516,381,112,37,3,1965,87,271,704,529,541,356,94,18,4,2605,63,109,207,140,133,69,19,0,3,745,20,42,152,141,124,94,38,4,3,615,170,423,1063,811,801,525,152,24,8,3972,4,15,30,29,37,25,10,7,0,163,729,717,1549,1168,1114,789,387,132,51,6634,907,1399,4627,3687,3486,2535,902,258,73,17872,0,13,476,391,235,213,78,18,0,1423,0,13,193,228,187,156,64,15,0,850,3,195,1469,911,673,515,222,48,9,4037,7,71,424,406,472,411,175,45,10,2029,107,311,797,674,585,396,156,22,4,3060
79499,3,16,27,15,15,24,12,0,0,105,0,3,4,0,0,8,0,0,0,12,4,6,16,16,30,37,17,0,0,124,6,53,130,62,74,104,47,0,0,477,0,0,13,6,0,3,4,0,0,29,0,0,7,0,4,7,0,0,0,23,0,15,40,28,14,16,8,0,0,119,0,7,4,14,14,11,12,0,0,72,3,7,14,11,12,16,3,0,0,69,0,0,0,5,0,4,0,0,0,14,0,3,11,4,5,6,0,0,0,30,5,12,24,19,19,30,6,0,0,117,0,0,4,0,4,4,0,0,0,12,3,37,96,70,85,45,29,3,0,373,10,73,195,141,137,122,63,9,0,744,0,0,19,4,12,9,3,0,0,50,0,0,9,10,5,4,3,0,0,34,0,7,76,36,12,20,5,0,0,166,0,0,16,17,23,16,11,0,0,85,0,12,20,7,19,24,12,0,0,92
79799,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6
8ACTE,575,1935,3458,3246,2763,1913,790,342,138,15151,25,103,288,347,541,625,466,294,140,2818,896,909,1367,1122,1036,1018,965,1046,822,9190,1581,7479,23218,20039,17218,12690,6095,2998,1500,92815,0,258,4631,4647,3190,2022,984,248,47,16019,4,159,1813,1900,1750,1456,852,175,22,8126,17,3559,12048,9031,6135,4560,2650,1022,280,39301,81,943,3224,3488,3380,2626,1729,754,232,16456,361,1590,3180,2685,2258,1531,618,200,82,12509,196,262,334,312,259,220,141,52,22,1805,52,171,292,509,732,793,694,275,115,3639,616,2030,3803,3507,3247,2545,1451,530,220,17955,29,45,186,180,208,228,260,114,58,1304,698,971,2092,1612,1488,1539,1397,1207,1059,12066,1445,7953,27799,24367,19403,14983,9320,4048,1926,111240,0,322,7756,7465,4645,2857,1587,562,96,25288,4,226,2093,2492,2145,1620,1260,434,62,10337,4,4347,14315,11628,7722,5313,3798,1749,446,49327,76,1122,3341,3967,3810,3142,2212,1088,363,19121,409,1641,3440,3008,2646,1995,990,349,118,14593
89499,0,6,8,8,9,7,0,0,0,36,0,0,0,0,0,3,0,0,0,3,4,9,0,5,5,0,0,0,0,18,4,25,56,38,34,20,4,0,0,180,0,0,3,3,3,5,0,0,0,19,0,0,0,3,0,0,0,0,0,8,0,7,19,6,7,5,3,0,0,54,0,0,5,0,3,9,3,0,0,17,0,4,4,3,4,0,0,0,0,17,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,6,3,4,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,6,9,4,7,0,5,0,0,0,31,12,26,33,28,18,25,5,0,0,148,0,0,8,6,11,7,0,0,0,21,0,0,0,0,0,4,0,0,0,7,0,3,15,11,6,9,0,0,0,50,0,4,8,0,4,3,0,0,0,22,3,6,3,6,0,3,0,0,0,18
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,7,15,30,25,29,8,0,0,0,118,0,0,6,3,3,0,0,0,0,11,7,9,20,23,25,20,7,6,0,112,14,33,92,111,92,49,6,7,0,410,0,0,7,16,12,8,4,0,0,38,0,3,8,7,11,4,4,0,0,34,0,4,43,53,21,41,14,3,7,183,0,0,32,44,35,32,14,8,0,168,8,10,33,34,43,15,6,0,0,148,3,7,7,5,6,5,0,0,0,27,0,3,9,10,9,18,12,0,0,58,11,24,45,47,58,38,16,3,0,239,0,0,0,0,8,4,0,0,0,11,29,5,30,36,63,59,37,26,8,285,37,38,166,207,191,175,92,41,11,966,0,0,11,22,16,13,7,0,0,71,0,0,5,11,13,21,3,0,0,52,0,10,49,57,44,26,30,8,0,214,0,3,28,36,24,40,22,14,3,180,0,23,33,36,38,34,14,5,0,184
99499,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
