GCCSA_CODE_2021,C11_SH_FH_CF_no_ch,C11_SH_FH_CF_w_ch,C11_SH_FH_One_PFam,C11_SH_FH_oth_fa,C11_SH_FH_Tot,C11_SH_LP_H,C11_SH_GH,C11_SH_OH,C11_SH_Tot,C11_SDRTHT1S_FH_CF_no_ch,C11_SDRTHT1S_FH_CF_w_ch,C11_SDRTHT1S_FH_One_PFam,C11_SDRTHT1S_FH_oth_fa,C11_SDRTHT1S_FH_Tot,C11_SDRTHT1S_LP_H,C11_SDRTHT1S_GH,C11_SDRTHT1S_OH,C11_SDRTHT1S_Tot,C11_SDRTHT2S_FH_CF_no_ch,C11_SDRTHT2S_FH_CF_w_ch,C11_SDRTHT2S_FH_One_PFam,C11_SDRTHT2S_FH_oth_fa,C11_SDRTHT2S_FH_Tot,C11_SDRTHT2S_LP_H,C11_SDRTHT2S_GH,C11_SDRTHT2S_OH,C11_SDRTHT2S_Tot,C11_SDRTHT_FH_CF_no_ch,C11_SDRTHT_FH_CF_w_ch,C11_SDRTHT_FH_One_PFam,C11_SDRTHT_FH_oth_fa,C11_SDRTHT_FH_Tot,C11_SDRTHT_LP_H,C11_SDRTHT_GH,C11_SDRTHT_OH,C11_SDRTHT_Tot,C11_F_a_1_2_FH_CF_no_ch,C11_F_a_1_2_FH_CF_w_ch,C11_F_a_1_2_FH_One_PFam,C11_F_a_1_2_FH_oth_fa,C11_F_a_1_2_FH_Tot,C11_F_a_1_2_LP_H,C11_F_a_1_2_GH,C11_F_a_1_2_OH,C11_F_a_1_2_Tot,C11_F_a_3_FH_CF_no_ch,C11_F_a_3_FH_CF_w_ch,C11_F_a_3_FH_One_PFam,C11_F_a_3_FH_oth_fa,C11_F_a_3_FH_Tot,C11_F_a_3_LP_H,C11_F_a_3_GH,C11_F_a_3_OH,C11_F_a_3_Tot,C11_F_a_4_8_FH_CF_no_ch,C11_F_a_4_8_FH_CF_w_ch,C11_F_a_4_8_FH_One_PFam,C11_F_a_4_8_FH_oth_fa,C11_F_a_4_8_FH_Tot,C11_F_a_4_8_LP_H,C11_F_a_4_8_GH,C11_F_a_4_8_OH,C11_F_a_4_8_Tot,C11_F_a_9m_FH_CF_no_ch,C11_F_a_9m_FH_CF_w_ch,C11_F_a_9m_FH_One_PFam,C11_F_a_9m_FH_oth_fa,C11_F_a_9m_FH_Tot,C11_F_a_9m_LP_H,C11_F_a_9m_GH,C11_F_a_9m_OH,C11_F_a_9m_Tot,C11_F_a_a_h_FH_CF_no_ch,C11_F_a_a_h_FH_CF_w_ch,C11_F_a_a_h_FH_One_PFam,C11_F_a_a_h_FH_oth_fa,C11_F_a_a_h_FH_Tot,C11_F_a_a_h_LP_H,C11_F_a_a_h_GH,C11_F_a_a_h_OH,C11_F_a_a_h_Tot,C11_F_a_Tot_FH_CF_no_ch,C11_F_a_Tot_FH_CF_w_ch,C11_F_a_Tot_FH_One_PFam,C11_F_a_Tot_FH_oth_fa,C11_F_a_Tot_FH_Tot,C11_F_a_Tot_LP_H,C11_F_a_Tot_GH,C11_F_a_Tot_OH,C11_F_a_Tot_Tot,C11_OD_C_c_hb_FH_CF_no_ch,C11_OD_C_c_hb_FH_CF_w_ch,C11_OD_C_c_hb_FH_One_PFam,C11_OD_C_c_hb_FH_oth_fa,C11_OD_C_c_hb_FH_Tot,C11_OD_C_c_hb_LP_H,C11_OD_C_c_hb_GH,C11_OD_C_c_hb_OH,C11_OD_C_c_hb_Tot,C11_OD_Ih_t_s_FH_CF_no_ch,C11_OD_Ih_t_s_FH_CF_w_ch,C11_OD_Ih_t_s_FH_One_PFam,C11_OD_Ih_t_s_FH_oth_fa,C11_OD_Ih_t_s_FH_Tot,C11_OD_Ih_t_s_LP_H,C11_OD_Ih_t_s_GH,C11_OD_Ih_t_s_OH,C11_OD_Ih_t_s_Tot,C11_OD_H_f_so_FH_CF_no_ch,C11_OD_H_f_so_FH_CF_w_ch,C11_OD_H_f_so_FH_One_PFam,C11_OD_H_f_so_FH_oth_fa,C11_OD_H_f_so_FH_Tot,C11_OD_H_f_so_LP_H,C11_OD_H_f_so_GH,C11_OD_H_f_so_OH,C11_OD_H_f_so_Tot,C11_OD_Tot_FH_CF_no_ch,C11_OD_Tot_FH_CF_w_ch,C11_OD_Tot_FH_One_PFam,C11_OD_Tot_FH_oth_fa,C11_OD_Tot_FH_Tot,C11_OD_Tot_LP_H,C11_OD_Tot_GH,C11_OD_Tot_OH,C11_OD_Tot_Tot,C11_DS_ns_FH_CF_no_ch,C11_DS_ns_FH_CF_w_ch,C11_DS_ns_FH_One_PFam,C11_DS_ns_FH_oth_fa,C11_DS_ns_FH_Tot,C11_DS_ns_LP_H,C11_DS_ns_GH,C11_DS_ns_OH,C11_DS_NS_Tot,C11_Tot_FH_CF_no_ch,C11_Tot_FH_CF_w_ch,C11_Tot_FH_One_PFam,C11_Tot_FH_oth_fa,C11_Tot_FH_Tot,C11_Tot_LP_H,C11_Tot_GH,C11_Tot_OH,C11_Tot_Tot,C16_SH_FH_CF_no_ch,C16_SH_FH_CF_w_ch,C16_SH_FH_One_PFam,C16_SH_FH_oth_fa,C16_SH_FH_Tot,C16_SH_LP_H,C16_SH_GH,C16_SH_OH,C16_SH_Tot,C16_SDRTHT1S_FH_CF_no_ch,C16_SDRTHT1S_FH_CF_w_ch,C16_SDRTHT1S_FH_One_PFam,C16_SDRTHT1S_FH_oth_fa,C16_SDRTHT1S_FH_Tot,C16_SDRTHT1S_LP_H,C16_SDRTHT1S_GH,C16_SDRTHT1S_OH,C16_SDRTHT1S_Tot,C16_SDRTHT2S_FH_CF_no_ch,C16_SDRTHT2S_FH_CF_w_ch,C16_SDRTHT2S_FH_One_PFam,C16_SDRTHT2S_FH_oth_fa,C16_SDRTHT2S_FH_Tot,C16_SDRTHT2S_LP_H,C16_SDRTHT2S_GH,C16_SDRTHT2S_OH,C16_SDRTHT2S_Tot,C16_SDRTHT_Tot_FH_CF_no_ch,C16_SDRTHT_Tot_FH_CF_w_ch,C16_SDRTHT_Tot_FH_One_PFam,C16_SDRTHT_Tot_FH_oth_fa,C16_SDRTHT_Tot_FH_Tot,C16_SDRTHT_Tot_LP_H,C16_SDRTHT_Tot_GH,C16_SDRTHT_Tot_OH,C16_SDRTHT_Tot_Tot,C16_F_a_1_2_FH_CF_no_ch,C16_F_a_1_2_FH_CF_w_ch,C16_F_a_1_2_FH_One_PFam,C16_F_a_1_2_FH_oth_fa,C16_F_a_1_2_FH_Tot,C16_F_a_1_2_LP_H,C16_F_a_1_2_GH,C16_F_a_1_2_OH,C16_F_a_1_2_Tot,C16_F_a_3_FH_CF_no_ch,C16_F_a_3_FH_CF_w_ch,C16_F_a_3_FH_One_PFam,C16_F_a_3_FH_oth_fa,C16_F_a_3_FH_Tot,C16_F_a_3_LP_H,C16_F_a_3_GH,C16_F_a_3_OH,C16_F_a_3_Tot,C16_F_a_4_8_FH_CF_no_ch,C16_F_a_4_8_FH_CF_w_ch
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,102548,129367,43764,4196,279877,75335,11697,9742,376648,9697,4724,5562,643,20627,22262,2175,1692,46747,3474,2125,1418,267,7284,4095,1258,755,13396,13171,6844,6979,914,27910,26356,3430,2446,60146,7490,3202,3018,651,14362,24257,2378,2133,43129,690,309,134,71,1204,1955,425,414,4001,1056,260,169,124,1612,2204,643,970,5428,..,..,..,..,..,..,..,..,..,63,37,25,6,130,216,19,27,389,9301,3807,3341,855,17302,28633,3471,3538,52946,207,14,30,5,256,565,20,330,1168,5,5,3,0,13,17,0,135,174,78,55,33,8,174,147,31,31,380,295,76,67,12,441,735,58,496,1725,36,30,20,0,85,90,12,39,219,125346,140122,54169,5974,325616,131150,18659,16263,491688,100999,130625,44607,4162,280394,76220,11635,13024,381270,12786,8120,7053,903,28861,30309,2939,3719,65828,5421,4315,2505,441,12681,6369,1842,1409,22297,18209,12431,9560,1342,41541,36679,4783,5125,88124,5286,3243,2066,419,11011,15940,1671,1992,30610,797,393,194,86,1473,2075,429,562,4538,1494,400
4RSAU,43146,36085,12380,921,92529,32218,2821,5103,132660,1680,876,1129,104,3787,4231,295,452,8769,161,85,44,3,292,140,23,62,517,1836,967,1176,103,4078,4374,317,515,9279,720,183,306,48,1260,3721,160,443,5584,18,5,6,0,30,93,8,16,148,38,7,12,0,58,159,8,56,277,..,..,..,..,..,..,..,..,..,5,3,3,5,12,49,0,6,73,784,194,332,50,1361,4022,172,524,6080,289,45,18,0,358,664,37,1983,3046,46,28,4,3,85,84,5,195,360,127,80,23,3,234,103,10,31,382,457,156,54,11,679,860,48,2206,3790,52,24,8,0,87,50,8,249,393,46271,37431,13944,1086,98735,41517,3360,8598,152211,43754,34564,12383,947,91660,34039,2858,7873,136427,1946,1026,1531,111,4607,6145,360,968,12074,126,64,41,0,235,142,21,68,473,2074,1084,1570,114,4846,6281,381,1037,12545,483,151,206,35,874,2610,108,450,4046,19,0,3,0,20,43,0,6,71,7,3
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,135813,192831,54439,6591,389675,86363,16933,19438,512402,13206,7333,5385,921,26850,24796,3283,3074,58003,5738,3497,1690,446,11377,6322,1884,1731,21315,18944,10836,7077,1372,38231,31122,5165,4805,79325,6993,2974,2609,564,13137,16521,2209,2772,34637,2961,824,493,256,4534,6088,1177,1863,13659,3881,971,423,227,5503,5991,1069,2655,15215,..,..,..,..,..,..,..,..,..,112,58,37,10,224,283,22,47,574,13954,4822,3561,1061,23403,28877,4473,7338,64088,604,51,69,5,728,1380,38,595,2739,16,28,8,0,47,36,3,382,465,89,63,28,9,188,130,30,61,412,711,140,105,11,967,1547,73,1035,3619,80,59,10,0,148,108,20,67,347,169501,208683,65193,9041,452417,148017,26663,32680,659779,144706,212886,58269,6553,422414,90984,17429,24998,555837,19512,13216,8534,1307,42573,34687,4187,5895,87343,8490,5865,2579,538,17476,8831,2401,2429,31128,28000,19078,11113,1849,60045,43520,6587,8325,118474,3838,1526,1074,250,6685,9352,1081,2106,19234,2981,923,518,228,4652,5767,996,1840,13250,5622,1439
5RWAU,45450,49941,15159,1236,111787,29934,4088,10397,156210,1833,984,841,85,3740,4413,347,1128,9625,427,273,110,9,817,412,85,281,1591,2258,1259,951,94,4559,4822,432,1402,11218,1134,512,496,61,2204,3302,270,1073,6851,50,13,7,0,79,130,21,66,296,38,16,7,0,60,64,8,48,187,..,..,..,..,..,..,..,..,..,13,14,7,0,35,52,6,24,114,1234,557,519,66,2383,3550,311,1209,7446,1367,294,116,27,1802,1938,127,9308,13179,93,64,21,3,185,169,28,1227,1613,200,110,34,0,345,171,27,137,677,1657,464,172,34,2336,2273,182,10669,15470,131,65,19,4,218,165,15,864,1273,50735,52297,16821,1440,121285,40749,5027,24554,191617,48473,50863,16160,1446,116939,33801,4252,14706,169699,2151,1059,1112,129,4455,5910,389,1623,12377,489,320,151,18,981,575,98,319,1979,2639,1383,1266,147,5439,6484,485,1937,14353,707,265,214,28,1207,1961,150,904,4216,62,16,16,0,84,88,8,59,240,46,16
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,19331,21777,8724,642,50475,15341,2119,1982,69920,719,293,422,32,1461,2016,194,169,3845,400,193,168,27,789,636,209,104,1742,1118,488,587,58,2250,2652,409,274,5586,1214,474,749,86,2524,4128,427,442,7523,178,42,27,12,256,486,100,108,947,126,25,19,14,193,282,48,63,585,..,..,..,..,..,..,..,..,..,40,23,13,4,83,134,23,7,250,1563,563,806,117,3050,5027,604,623,9305,28,12,0,0,44,76,0,36,150,0,7,0,5,7,15,0,43,63,50,61,8,4,124,82,16,25,247,76,80,18,3,177,168,18,103,466,15,13,3,0,29,17,8,4,62,22102,22921,10139,821,55986,23209,3152,2987,85335,20520,22048,9354,709,52634,17626,2355,3236,75853,450,195,346,33,1024,1832,174,258,3287,474,235,208,35,957,897,216,152,2222,921,433,557,71,1980,2733,386,410,5508,944,386,578,67,1976,3322,411,520,6233,200,42,43,22,301,531,108,120,1055,136,28
6RTAS,31419,29354,11017,784,72574,23391,2612,3196,101772,787,278,448,47,1564,2834,140,210,4751,106,60,70,10,241,200,40,41,526,893,339,520,53,1809,3032,184,252,5272,889,228,451,44,1619,3633,195,323,5769,25,10,6,4,40,86,5,17,150,30,3,7,0,39,57,7,20,128,..,..,..,..,..,..,..,..,..,29,11,6,0,46,90,3,16,152,971,250,473,48,1741,3871,216,370,6202,115,40,26,4,179,338,15,141,672,23,22,3,0,43,53,3,65,159,120,58,21,6,210,138,19,31,396,252,114,57,12,430,525,33,237,1227,18,25,4,0,43,14,0,11,69,33556,30087,12061,898,76600,30826,3052,4065,114545,32063,27256,11278,789,71393,26378,2618,5999,106388,755,226,424,53,1458,3521,196,433,5604,257,168,101,14,543,490,80,110,1222,1011,395,525,69,1998,4009,274,542,6827,542,182,310,35,1068,2275,138,433,3915,14,6,8,0,31,108,14,25,173,19,0
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,6311,10805,3082,277,20473,3214,1175,2408,27278,732,490,341,35,1594,1163,206,352,3320,617,437,193,32,1272,545,201,228,2245,1341,926,533,66,2864,1710,416,573,5562,759,561,418,56,1802,1431,276,432,3936,512,219,98,23,855,559,273,430,2115,836,294,126,33,1286,753,359,571,2966,..,..,..,..,..,..,..,..,..,13,12,5,0,28,26,3,22,83,2118,1092,651,114,3973,2769,914,1450,9106,281,112,30,9,422,325,24,1333,2103,41,12,7,11,69,161,30,133,394,30,8,3,0,44,44,10,33,126,350,132,37,18,540,524,60,1497,2620,18,22,12,0,59,39,6,37,142,10141,12975,4317,470,27909,8260,2563,5976,44708,7126,11940,3111,311,22486,3532,1218,2638,29876,632,508,307,37,1483,970,169,307,2929,562,502,192,25,1285,561,169,250,2266,1196,1011,493,66,2772,1533,341,556,5197,900,766,405,53,2122,1455,265,503,4345,555,319,113,20,1003,563,193,327,2081,1529,753
7RNTE,3510,7116,2390,297,13314,2397,609,1268,17586,327,241,117,17,697,632,80,244,1658,114,72,38,6,237,193,54,77,555,443,315,155,25,934,825,137,320,2215,557,292,224,34,1112,1129,151,540,2930,12,0,0,0,11,21,3,20,54,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,6,3,0,0,10,569,298,229,34,1126,1157,148,565,2998,308,129,68,17,522,431,37,2809,3790,52,31,19,9,114,153,15,462,739,17,10,5,0,39,39,7,17,102,379,179,82,29,667,619,60,3288,4633,48,30,12,6,93,60,7,292,450,4954,7928,2870,390,16136,5061,964,5727,27887,3746,6318,2362,403,12826,2486,546,2416,18278,559,545,282,42,1426,986,106,451,2967,141,153,64,8,367,277,50,168,853,698,689,344,53,1788,1261,159,624,3829,193,108,75,14,398,607,96,390,1488,22,8,11,3,43,83,13,49,181,10,3
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,25303,38477,10259,990,75033,15480,3752,2508,96770,2882,1810,1194,146,6027,5162,687,469,12345,1890,1430,888,104,4311,1769,858,371,7307,4772,3235,2083,245,10336,6928,1547,845,19654,1169,491,389,75,2121,2768,501,472,5858,1505,420,286,84,2289,2757,785,701,6535,1475,293,135,51,1959,1978,587,865,5386,..,..,..,..,..,..,..,..,..,91,32,21,3,139,183,20,43,382,4236,1237,817,215,6504,7679,1886,2082,18159,34,6,16,3,58,123,4,133,326,0,0,0,0,0,3,0,25,32,5,6,3,0,12,13,6,4,34,41,12,19,3,72,138,10,166,395,11,12,9,4,34,16,0,7,54,34360,42972,13191,1454,91983,30249,7199,5611,135032,25336,40424,10018,864,76645,15811,3066,3595,99113,3064,2483,1505,149,7208,6050,619,828,14695,2946,2665,1239,165,7016,3275,1118,812,12221,6010,5150,2743,319,14223,9326,1731,1635,26916,1052,466,299,62,1876,2361,356,523,5117,1902,823,339,109,3170,3333,808,850,8161,2948,798
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,102,197,44,5,351,34,9,35,436,16,17,7,0,39,19,3,17,76,4,0,0,0,4,0,0,0,3,20,17,7,0,42,20,3,17,85,15,20,5,0,39,49,4,35,127,34,36,6,4,85,23,7,12,126,0,3,0,0,3,3,0,0,8,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,50,59,12,4,132,74,10,49,261,0,0,0,0,0,0,0,16,13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,3,0,0,0,0,16,19,10,3,0,0,11,3,0,4,17,180,281,70,6,541,138,20,124,819,363,350,112,5,832,286,13,117,1241,13,21,10,0,42,16,0,9,66,7,10,3,0,17,12,0,9,37,20,28,13,0,61,26,0,20,102,5,9,3,0,19,34,0,24,76,14,25,7,4,50,8,0,16,77,0,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
