GCCSA_CODE_2021,C11_SH_0b_s_a_b_NPGH_2,C11_SH_0b_s_a_b_NPGH_3,C11_SH_0b_s_a_b_NPGH_4,C11_SH_0b_s_a_b_NPGH_5,C11_SH_0b_s_a_b_NPGH_6_mor,C11_SH_0b_s_a_b_Tot,C11_SH_1b_NPGH_2,C11_SH_1b_NPGH_3,C11_SH_1b_NPGH_4,C11_SH_1b_NPGH_5,C11_SH_1b_NPGH_6_mor,C11_SH_1b_Tot,C11_SH_2b_NPGH_2,C11_SH_2b_NPGH_3,C11_SH_2b_NPGH_4,C11_SH_2b_NPGH_5,C11_SH_2b_NPGH_6_mor,C11_SH_2b_Tot,C11_SH_3b_NPGH_2,C11_SH_3b_NPGH_3,C11_SH_3b_NPGH_4,C11_SH_3b_NPGH_5,C11_SH_3b_NPGH_6_mor,C11_SH_3b_Tot,C11_SH_4mb_NPGH_2,C11_SH_4mb_NPGH_3,C11_SH_4mb_NPGH_4,C11_SH_4mb_NPGH_5,C11_SH_4mb_NPGH_6_mor,C11_SH_4mb_Tot,C11_SH_NB_NS_NPGH_2,C11_SH_NB_NS_NPGH_3,C11_SH_NB_NS_NPGH_4,C11_SH_NB_NS_NPGH_5,C11_SH_NB_NS_NPGH_6_mor,C11_SH_NB_NS_Tot,C11_SH_Tot_NPGH_2,C11_SH_Tot_NPGH_3,C11_SH_Tot_NPGH_4,C11_SH_Tot_NPGH_5,C11_SH_Tot_NPGH_6_mor,C11_SH_Tot_Tot,C11_SDRTHT_0b_s_a_b_NPGH_2,C11_SDRTHT_0b_s_a_b_NPGH_3,C11_SDRTHT_0b_s_a_b_NPGH_4,C11_SDRTHT_0b_s_a_b_NPGH_5,C11_SDRTHT_0b_s_a_b_NPGH_6mor,C11_SDRTHT_0b_s_a_b_Tot,C11_SDRTHT_1b_NPGH_2,C11_SDRTHT_1b_NPGH_3,C11_SDRTHT_1b_NPGH_4,C11_SDRTHT_1b_NPGH_5,C11_SDRTHT_1b_NPGH_6_mor,C11_SDRTHT_1b_Tot,C11_SDRTHT_2b_NPGH_2,C11_SDRTHT_2b_NPGH_3,C11_SDRTHT_2b_NPGH_4,C11_SDRTHT_2b_NPGH_5,C11_SDRTHT_2b_NPGH_6_mor,C11_SDRTHT_2b_Tot,C11_SDRTHT_3b_NPGH_2,C11_SDRTHT_3b_NPGH_3,C11_SDRTHT_3b_NPGH_4,C11_SDRTHT_3b_NPGH_5,C11_SDRTHT_3b_NPGH_6_mor,C11_SDRTHT_3b_Tot,C11_SDRTHT_4mb_NPGH_2,C11_SDRTHT_4mb_NPGH_3,C11_SDRTHT_4mb_NPGH_4,C11_SDRTHT_4mb_NPGH_5,C11_SDRTHT_4mb_NPGH_6_mor,C11_SDRTHT_4mb_Tot,C11_SDRTHT_NB_NS_NPGH_2,C11_SDRTHT_NB_NS_NPGH_3,C11_SDRTHT_NB_NS_NPGH_4,C11_SDRTHT_NB_NS_NPGH_5,C11_SDRTHT_NB_NS_NPGH_6_mor,C11_SDRTHT_NB_NS_Tot,C11_SDRTHT_Tot_NPGH_2,C11_SDRTHT_Tot_NPGH_3,C11_SDRTHT_Tot_NPGH_4,C11_SDRTHT_Tot_NPGH_5,C11_SDRTHT_Tot_NPGH_6_mor,C11_SDRTHT_Tot_Tot,C11_F_a_0b_s_a_b_NPGH_2,C11_F_a_0b_s_a_b_NPGH_3,C11_F_a_0b_s_a_b_NPGH_4,C11_F_a_0b_s_a_b_NPGH_5,C11_F_a_0b_s_a_b_NPGH_6_mor,C11_F_a_0b_s_a_b_Tot,C11_F_a_1b_NPGH_2,C11_F_a_1b_NPGH_3,C11_F_a_1b_NPGH_4,C11_F_a_1b_NPGH_5,C11_F_a_1b_NPGH_6_mor,C11_F_a_1b_Tot,C11_F_a_2b_NPGH_2,C11_F_a_2b_NPGH_3,C11_F_a_2b_NPGH_4,C11_F_a_2b_NPGH_5,C11_F_a_2b_NPGH_6_mor,C11_F_a_2b_Tot,C11_F_a_3b_NPGH_2,C11_F_a_3b_NPGH_3,C11_F_a_3b_NPGH_4,C11_F_a_3b_NPGH_5,C11_F_a_3b_NPGH_6_mor,C11_F_a_3b_Tot,C11_F_a_4mb_NPGH_2,C11_F_a_4mb_NPGH_3,C11_F_a_4mb_NPGH_4,C11_F_a_4mb_NPGH_5,C11_F_a_4mb_NPGH_6_mor,C11_F_a_4mb_Tot,C11_F_a_NB_NS_NPGH_2,C11_F_a_NB_NS_NPGH_3,C11_F_a_NB_NS_NPGH_4,C11_F_a_NB_NS_NPGH_5,C11_F_a_NB_NS_NPGH_6_mor,C11_F_a_NB_NS_Tot,C11_F_a_Tot_NPGH_2,C11_F_a_Tot_NPGH_3,C11_F_a_Tot_NPGH_4,C11_F_a_Tot_NPGH_5,C11_F_a_Tot_NPGH_6_mor,C11_F_a_Tot_Tot,C11_OD_0b_s_a_b_NPGH_2,C11_OD_0b_s_a_b_NPGH_3,C11_OD_0b_s_a_b_NPGH_4,C11_OD_0b_s_a_b_NPGH_5,C11_OD_0b_s_a_b_NPGH_6_mor,C11_OD_0b_s_a_b_Tot,C11_OD_1b_NPGH_2,C11_OD_1b_NPGH_3,C11_OD_1b_NPGH_4,C11_OD_1b_NPGH_5,C11_OD_1b_NPGH_6_mor,C11_OD_1b_Tot,C11_OD_2b_NPGH_2,C11_OD_2b_NPGH_3,C11_OD_2b_NPGH_4,C11_OD_2b_NPGH_5,C11_OD_2b_NPGH_6_mor,C11_OD_2b_Tot,C11_OD_3b_NPGH_2,C11_OD_3b_NPGH_3,C11_OD_3b_NPGH_4,C11_OD_3b_NPGH_5,C11_OD_3b_NPGH_6_mor,C11_OD_3b_Tot,C11_OD_4mb_NPGH_2,C11_OD_4mb_NPGH_3,C11_OD_4mb_NPGH_4,C11_OD_4mb_NPGH_5,C11_OD_4mb_NPGH_6_mor,C11_OD_4mb_Tot,C11_OD_NB_NS_NPGH_2,C11_OD_NB_NS_NPGH_3,C11_OD_NB_NS_NPGH_4,C11_OD_NB_NS_NPGH_5,C11_OD_NB_NS_NPGH_6_mor,C11_OD_NB_NS_Tot,C11_OD_Tot_NPGH_2,C11_OD_Tot_NPGH_3,C11_OD_Tot_NPGH_4,C11_OD_Tot_NPGH_5,C11_OD_Tot_NPGH_6_mor,C11_OD_Tot_Tot,C11_DS_NS_NPGH_2,C11_DS_NS_NPGH_3,C11_DS_NS_NPGH_4,C11_DS_NS_NPGH_5,C11_DS_NS_NPGH_6_mor,C11_DS_NS_Tot,C11_Tot_NPGH_2,C11_Tot_NPGH_3,C11_Tot_NPGH_4,C11_Tot_NPGH_5,C11_Tot_NPGH_6_mor,C11_Tot_Tot,C16_SH_0b_s_a_b_NPGH_2,C16_SH_0b_s_a_b_NPGH_3,C16_SH_0b_s_a_b_NPGH_4,C16_SH_0b_s_a_b_NPGH_5,C16_SH_0b_s_a_b_NPGH_6_mor,C16_SH_0b_s_a_b_Tot,C16_SH_1b_NPGH_2,C16_SH_1b_NPGH_3,C16_SH_1b_NPGH_4,C16_SH_1b_NPGH_5,C16_SH_1b_NPGH_6_mor,C16_SH_1b_Tot,C16_SH_2b_NPGH_2,C16_SH_2b_NPGH_3,C16_SH_2b_NPGH_4,C16_SH_2b_NPGH_5,C16_SH_2b_NPGH_6_mor,C16_SH_2b_Tot,C16_SH_3b_NPGH_2,C16_SH_3b_NPGH_3
1GSYD,59,12,9,0,4,81,209,22,5,4,0,242,3133,199,36,17,3,3393,7449,1813,286,86,40,9667,3178,1120,945,424,263,5933,446,120,52,28,26,673,14471,3288,1335,557,335,19988,35,13,3,3,5,57,184,11,0,0,0,199,3099,234,50,8,0,3393,2761,1814,309,53,23,4963,456,371,646,215,91,1783,151,49,22,12,10,249,6682,2491,1031,300,132,10639,315,78,34,12,6,444,1978,127,23,5,0,2133,19072,2911,1193,249,69,23496,2238,2810,703,238,120,6113,155,135,209,87,43,636,471,158,97,40,10,772,24230,6211,2273,627,251,33585,3,0,0,4,0,8,46,3,0,0,0,56,250,34,10,3,0,297,57,66,16,0,7,141,10,7,17,6,0,52,17,5,0,0,0,25,390,117,48,14,11,575,100,30,11,6,0,156,45879,12139,4694,1510,732,64952,57,18,9,10,10,99,249,49,16,10,16,337,2569,217,52,10,19,2865,6869,1771
1RNSW,64,6,3,0,0,79,203,17,0,3,0,231,3896,136,14,3,0,4057,9101,1605,207,22,3,10937,3351,861,698,277,107,5294,459,70,31,8,9,583,17087,2699,960,317,129,21187,15,0,0,0,0,14,74,7,0,0,0,76,1436,77,9,0,0,1521,1016,401,65,11,3,1499,93,49,63,13,10,222,77,17,12,6,0,107,2705,556,147,25,9,3438,26,3,0,0,0,32,227,0,0,0,0,230,2867,185,31,9,0,3079,560,401,52,17,0,1026,38,29,41,31,10,144,108,17,3,6,0,132,3825,634,127,55,12,4653,16,0,0,0,0,26,46,0,0,0,0,41,235,3,0,0,0,242,51,12,5,0,0,69,22,7,7,4,0,39,45,4,9,0,0,52,410,37,19,8,0,470,31,8,5,0,0,47,24054,3934,1259,406,150,29795,63,14,5,0,4,89,271,17,3,4,4,300,3703,166,20,7,4,3898,9446,1709
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,66,30,14,10,8,127,156,34,6,4,5,210,4488,341,68,17,7,4916,11901,4353,905,253,111,17524,3488,1548,1825,825,434,8128,528,182,122,55,48,938,20623,6482,2949,1167,618,31842,19,3,3,5,0,36,139,6,5,0,0,150,4415,391,81,19,6,4908,2577,2630,463,95,24,5792,281,321,672,220,88,1576,167,50,23,8,5,257,7600,3395,1247,348,127,12718,162,36,3,3,0,208,1519,110,23,3,0,1653,12693,1531,400,76,18,14726,1744,2139,394,75,24,4377,104,104,185,82,29,501,324,83,39,14,3,467,16542,4007,1047,265,72,21936,7,0,0,0,0,7,35,0,0,0,0,37,187,10,5,0,0,202,41,69,10,3,4,119,9,14,19,11,5,53,9,3,0,0,0,16,283,93,32,11,7,428,31,11,6,4,0,53,45078,13999,5285,1793,824,66976,42,26,14,6,11,94,196,57,35,11,8,303,3627,302,73,19,29,4056,10819,4036
2RVIC,21,4,3,0,0,25,84,7,4,0,0,103,2220,76,9,4,0,2311,6274,1284,141,37,12,7742,1488,446,371,159,101,2570,284,59,24,8,9,385,10374,1875,553,205,122,13126,6,0,0,0,0,7,26,3,0,0,0,29,444,25,8,0,0,478,201,112,18,0,0,328,13,15,15,3,5,42,22,5,0,0,0,29,707,152,38,9,5,904,9,4,0,0,0,8,81,5,0,0,0,83,900,56,11,0,0,965,164,82,9,0,0,256,14,4,8,5,0,24,50,4,0,0,0,57,1217,153,23,9,0,1399,9,0,0,0,0,9,28,0,0,0,0,24,70,4,0,0,0,73,33,9,4,0,0,44,8,0,3,0,0,13,31,4,0,0,5,40,178,20,5,0,5,213,6,3,0,0,5,12,12482,2199,618,226,134,15657,30,4,0,0,4,37,87,23,3,0,0,113,2136,96,24,11,0,2267,6405,1132
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,40,17,8,0,0,69,113,19,10,5,0,141,2082,125,14,9,3,2232,8279,2725,372,74,27,11475,4178,1775,1571,579,217,8318,378,132,84,26,28,644,15062,4788,2054,685,280,22875,14,3,7,0,0,24,54,5,0,0,0,58,1347,81,22,0,0,1454,1796,1190,234,37,15,3275,107,107,108,42,15,372,63,28,20,10,3,113,3376,1416,381,88,31,5293,45,14,5,0,0,58,370,22,3,0,0,393,5792,574,173,21,5,6563,1049,1189,227,49,22,2529,56,40,73,21,6,206,174,35,28,6,3,249,7487,1871,510,101,37,10001,10,0,0,0,0,10,37,0,0,0,0,37,84,5,0,0,0,83,12,7,0,0,0,21,10,0,0,0,0,16,15,0,0,0,0,14,160,14,7,0,0,182,8,4,0,0,0,17,26100,8094,2950,878,347,38363,37,14,6,0,5,66,156,26,22,7,4,220,1785,116,33,5,9,1940,7869,2378
3RQLD,66,15,0,0,0,83,198,17,8,0,0,222,2698,142,24,3,0,2865,8725,1764,213,39,10,10749,4311,1579,828,229,68,7012,447,111,57,14,18,647,16445,3624,1128,292,92,21576,4,0,0,0,0,4,32,0,4,0,0,36,1578,85,6,0,0,1673,1592,632,76,13,0,2317,118,63,72,10,10,266,94,12,4,0,0,115,3421,796,160,25,8,4409,30,3,3,0,0,38,370,28,3,0,0,399,4878,403,82,13,3,5378,1064,581,78,15,4,1749,89,76,57,16,3,239,176,45,16,6,0,241,6604,1135,245,45,10,8041,36,10,3,0,0,45,97,9,0,0,0,106,208,8,0,0,0,221,45,3,6,0,0,54,16,9,0,0,0,24,61,6,0,0,3,69,468,37,6,0,5,518,41,13,6,0,0,62,26976,5604,1543,365,114,34602,84,16,0,6,0,100,229,35,5,6,3,274,2578,140,20,0,0,2743,8798,1495
