GCCSA_CODE_2021,C11_Neg_Ni_inc_1PF_1C,C11_Neg_Ni_inc_1PF_2C,C11_Neg_Ni_inc_1PF_3C,C11_Neg_Ni_inc_1PF_4mor_c,C11_Neg_Ni_inc_Tot,C11_1_149_1PF_1C,C11_1_149_1PF_2C,C11_1_149_1PF_3C,C11_1_149_1PF_4mC,C11_1_149_Tot,C11_150_299_1PF_1C,C11_150_299_1PF_2C,C11_150_299_1PF_3C,C11_150_299_1PF_4mC,C11_150_299_Tot,C11_300_399_1PF_1C,C11_300_399_1PF_2C,C11_300_399_1PF_3C,C11_300_399_1PF_4mC,C11_300_399_Tot,C11_400_499_1PF_1C,C11_400_499_1PF_2C,C11_400_499_1PF_3C,C11_400_499_1PF_4mC,C11_400_499_Tot,C11_500_649_1PF_1C,C11_500_649_1PF_2C,C11_500_649_1PF_3C,C11_500_649_1PF_4mC,C11_500_649_Tot,C11_650_799_1PF_1C,C11_650_799_1PF_2C,C11_650_799_1PF_3C,C11_650_799_1PF_4mC,C11_650_799_Tot,C11_800_999_1PF_1C,C11_800_999_1PF_2C,C11_800_999_1PF_3C,C11_800_999_1PF_4mC,C11_800_999_Tot,C11_1000_1499_1PF_1C,C11_1000_1499_1PF_2C,C11_1000_1499_1PF_3C,C11_1000_1499_1PF_4mC,C11_1000_1499_Tot,C11_1500_1999_1PF_1C,C11_1500_1999_1PF_2C,C11_1500_1999_1PF_3C,C11_1500_1999_1PF_4mC,C11_1500_1999_Tot,C11_2000_2499_1PF_1C,C11_2000_2499_1PF_2C,C11_2000_2499_1PF_3C,C11_2000_2499_1PF_4mC,C11_2000_2499_Tot,C11_2500_2999_1PF_1C,C11_2500_2999_1PF_2C,C11_2500_2999_1PF_3C,C11_2500_2999_1PF_4mC,C11_2500_2999_Tot,C11_3000_3999_1PF_1C,C11_3000_3999_1PF_2C,C11_3000_3999_1PF_3C,C11_3000_3999_1PF_4mC,C11_3000_3999_Tot,C11_4000more_1PF_1C,C11_4000more_1PF_2C,C11_4000more_1PF_3C,C11_4000more_1PF_4mo_ch,C11_4000more_Tot,C11_Par_inc_st_1PF_1C,C11_Par_inc_st_1PF_2C,C11_Par_inc_st_1PF_3C,C11_Par_inc_st_1PF_4mC,C11_Par_inc_st_Tot,C11_All_inc_ns_1PF_1Ch,C11_All_inc_ns_1PF_2C,C11_All_inc_ns_1PF_3C,C11_All_inc_ns_1PF_4mC,C11_All_inc_ns_Tot,C11_Tot_1PF_1C,C11_Tot_1PF_2C,C11_Tot_1PF_3C,C11_Tot_1PF_4mC,C11_Tot_Tot,C16_Neg_Ni_inc_1PF_1C,C16_Neg_Ni_inc_1PF_2C,C16_Neg_Ni_inc_1PF_3C,C16_Neg_Ni_inc_1PF_4mor_c,C16_Neg_Ni_inc_Tot,C16_1_149_1PF_1C,C16_1_149_1PF_2C,C16_1_149_1PF_3C,C16_1_149_1PF_4mC,C16_1_149_Tot,C16_150_299_1PF_1C,C16_150_299_1PF_2C,C16_150_299_1PF_3C,C16_150_299_1PF_4mC,C16_150_299_Tot,C16_300_399_1PF_1C,C16_300_399_1PF_2C,C16_300_399_1PF_3C,C16_300_399_1PF_4mC,C16_300_399_Tot,C16_400_499_1PF_1C,C16_400_499_1PF_2C,C16_400_499_1PF_3C,C16_400_499_1PF_4mC,C16_400_499_Tot,C16_500_649_1PF_1C,C16_500_649_1PF_2C,C16_500_649_1PF_3C,C16_500_649_1PF_4mC,C16_500_649_Tot,C16_650_799_1PF_1C,C16_650_799_1PF_2C,C16_650_799_1PF_3C,C16_650_799_1PF_4mC,C16_650_799_Tot,C16_800_999_1PF_1C,C16_800_999_1PF_2C,C16_800_999_1PF_3C,C16_800_999_1PF_4mC,C16_800_999_Tot,C16_1000_1499_1PF_1C,C16_1000_1499_1PF_2C,C16_1000_1499_1PF_3C,C16_1000_1499_1PF_4mC,C16_1000_1499_Tot,C16_1500_1999_1PF_1C,C16_1500_1999_1PF_2C,C16_1500_1999_1PF_3C,C16_1500_1999_1PF_4mC,C16_1500_1999_Tot,C16_2000_2499_1PF_1C,C16_2000_2499_1PF_2C,C16_2000_2499_1PF_3C,C16_2000_2499_1PF_4mC,C16_2000_2499_Tot,C16_2500_2999_1PF_1C,C16_2500_2999_1PF_2C,C16_2500_2999_1PF_3C,C16_2500_2999_1PF_4mC,C16_2500_2999_Tot,C16_3000_3999_1PF_1C,C16_3000_3999_1PF_2C,C16_3000_3999_1PF_3C,C16_3000_3999_1PF_4mC,C16_3000_3999_Tot,C16_4000more_1PF_1C,C16_4000more_1PF_2C,C16_4000more_1PF_3C,C16_4000more_1PF_4mo_ch,C16_4000more_Tot,C16_Par_inc_st_1PF_1C,C16_Par_inc_st_1PF_2C,C16_Par_inc_st_1PF_3C,C16_Par_inc_st_1PF_4mC,C16_Par_inc_st_Tot,C16_All_inc_ns_1PF_1Ch,C16_All_inc_ns_1PF_2C,C16_All_inc_ns_1PF_3C,C16_All_inc_ns_1PF_4mC,C16_All_inc_ns_Tot,C16_Tot_1PF_1C,C16_Tot_1PF_2C,C16_Tot_1PF_3C,C16_Tot_1PF_4mC,C16_Tot_Tot,C21_Neg_Ni_inc_1PF_1C,C21_Neg_Ni_inc_1PF_2C,C21_Neg_Ni_inc_1PF_3C,C21_Neg_Ni_inc_1PF_4mor_c,C21_Neg_Ni_inc_Tot,C21_1_149_1PF_1C,C21_1_149_1PF_2C,C21_1_149_1PF_3C,C21_1_149_1PF_4mC,C21_1_149_Tot,C21_150_299_1PF_1C,C21_150_299_1PF_2C,C21_150_299_1PF_3C,C21_150_299_1PF_4mC,C21_150_299_Tot,C21_300_399_1PF_1C,C21_300_399_1PF_2C,C21_300_399_1PF_3C,C21_300_399_1PF_4mC,C21_300_399_Tot,C21_400_499_1PF_1C,C21_400_499_1PF_2C,C21_400_499_1PF_3C,C21_400_499_1PF_4mC,C21_400_499_Tot,C21_500_649_1PF_1C,C21_500_649_1PF_2C,C21_500_649_1PF_3C,C21_500_649_1PF_4mC,C21_500_649_Tot
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,411,172,63,17,661,379,195,45,18,642,1324,534,150,65,2069,2233,981,285,97,3592,3681,2540,769,221,7205,1742,587,261,120,2715,4305,2017,864,320,7508,3843,1609,492,207,6149,6246,2887,763,242,10131,2686,1466,351,115,4615,1077,641,141,51,1906,772,558,129,37,1500,263,198,67,11,536,46,37,23,7,106,2316,1743,717,292,5062,713,356,142,92,1302,32039,16517,5233,1912,55698,511,259,101,41,908,301,148,48,9,511,969,425,116,55,1568,1134,680,184,80,2074,2238,875,283,92,3495,3304,2045,597,222,6168,3559,1860,773,272,6458,4046,1686,584,278,6592,7181,3239,891,302,11618,3768,1985,488,146,6389,1963,1138,265,61,3431,677,469,119,43,1312,452,390,115,36,988,277,145,68,10,507,2427,1886,727,294,5331,645,280,101,66,1087,33456,17507,5460,1997,58423,639,280,88,50,1059,226,78,24,9,342,513,199,57,23,798,881,356,125,40,1409,1581,693,215,92,2579,2526,1418,421,143,4506
4RSAU,100,36,9,3,149,171,50,12,8,240,469,213,57,21,756,756,362,109,39,1270,1179,885,313,110,2486,537,176,73,43,823,1243,613,288,160,2305,898,403,151,81,1538,1134,567,174,84,1962,402,197,78,24,703,140,51,18,7,221,92,59,14,10,168,37,18,5,3,67,14,3,0,0,17,528,373,181,90,1177,303,98,55,38,493,7999,4103,1553,731,14385,94,40,18,9,158,79,31,18,0,129,340,140,47,15,550,406,264,103,32,798,734,340,114,42,1224,978,659,216,83,1933,953,538,289,120,1900,1035,444,173,101,1748,1501,651,221,95,2467,676,335,95,33,1136,290,123,52,14,485,89,40,14,9,159,59,48,15,3,131,41,22,4,5,70,588,457,200,104,1347,278,109,45,38,466,8140,4231,1622,704,14707,116,46,24,11,194,63,17,12,3,88,181,70,20,8,283,262,135,53,21,467,551,244,94,41,929,777,481,174,68,1506
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,654,349,133,40,1173,536,276,79,33,926,1382,646,205,103,2335,2266,1031,334,136,3769,3700,2502,875,278,7358,1515,516,232,124,2387,4178,2191,857,403,7620,3826,1842,569,251,6491,7386,3395,938,331,12042,3851,2091,563,148,6658,2007,887,238,73,3202,1763,1126,308,68,3273,768,486,150,45,1454,129,158,78,17,385,2909,2289,935,447,6578,940,417,201,130,1684,37821,20202,6696,2621,67333,987,639,198,73,1897,428,248,66,37,770,1297,646,189,74,2204,1376,842,302,111,2634,2471,1113,398,153,4133,3405,2206,760,296,6664,3597,1956,780,338,6667,4068,1983,664,334,7055,8362,4057,1182,426,14027,5111,2578,638,193,8513,3436,1809,422,130,5798,1441,760,197,58,2466,1101,882,256,69,2307,626,421,155,28,1231,3215,2365,942,389,6916,739,309,133,81,1265,41656,22822,7285,2799,74560,901,427,153,81,1557,306,145,37,20,511,664,320,103,33,1118,1155,570,193,83,2014,1978,988,322,139,3426,3226,1894,625,218,5971
5RWAU,150,64,27,16,255,177,98,23,3,297,541,282,103,51,973,821,399,169,75,1459,1158,958,313,152,2578,456,188,87,48,776,1165,695,290,179,2328,919,460,166,93,1639,1441,697,234,114,2489,690,347,115,36,1185,287,102,38,18,440,315,158,56,13,542,156,52,14,12,230,32,22,11,0,70,726,547,282,171,1730,359,198,92,78,723,9383,5288,2017,1048,17733,167,102,46,17,337,105,61,24,9,201,450,206,77,41,776,512,308,101,46,973,791,384,134,62,1375,980,748,276,110,2110,1072,612,310,142,2134,1023,477,186,129,1816,1756,849,280,168,3050,936,464,147,69,1618,617,308,100,22,1048,219,91,17,12,345,220,133,21,17,393,127,60,12,8,210,783,543,294,188,1809,305,162,83,56,597,10063,5513,2108,1098,18784,142,77,32,18,268,85,34,10,4,131,249,127,44,20,439,352,201,82,33,670,598,343,126,51,1116,827,510,219,102,1664
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,53,27,7,5,90,59,30,3,3,96,241,110,39,13,400,457,200,65,26,750,773,522,195,42,1527,318,106,33,14,466,832,419,196,100,1539,670,337,90,38,1128,1112,473,138,52,1774,473,264,53,16,806,185,92,13,4,300,115,72,26,8,225,38,29,5,0,69,12,0,0,0,13,434,326,127,82,967,153,74,26,18,267,5925,3079,1003,420,10426,44,35,25,5,106,43,7,5,0,55,174,74,14,13,274,232,142,52,18,451,436,175,76,19,712,625,465,147,60,1292,660,353,150,74,1241,736,345,140,58,1289,1330,608,170,65,2177,643,354,73,33,1107,339,186,58,20,602,115,59,5,0,180,79,54,14,6,158,42,18,8,0,65,439,359,139,53,988,108,54,18,13,201,6041,3281,1104,447,10878,79,34,15,5,132,28,14,7,0,51,86,31,8,7,138,163,71,22,3,260,315,156,69,17,557,488,328,125,48,996
6RTAS,62,26,3,8,96,83,38,5,5,125,373,168,56,26,619,691,326,98,35,1144,1069,767,276,94,2204,464,170,64,33,726,1028,438,269,123,1858,851,278,111,57,1299,1107,521,155,50,1835,393,203,46,11,657,121,58,12,4,194,75,45,17,3,137,34,21,0,0,52,4,3,0,0,10,487,358,158,83,1094,197,95,39,25,346,7039,3508,1295,556,12403,67,31,14,5,117,59,24,3,0,86,253,114,30,13,403,384,200,64,28,679,596,292,100,22,1013,877,572,199,52,1703,883,478,224,76,1665,906,364,123,75,1465,1336,580,193,92,2201,561,294,80,24,968,259,146,35,12,452,91,40,14,0,147,52,35,10,0,101,37,15,3,0,61,543,385,171,82,1180,190,81,24,17,311,7095,3644,1301,502,12546,97,37,19,15,154,48,18,5,5,72,116,50,15,3,183,239,115,32,13,394,433,225,73,33,769,717,439,152,64,1373
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,36,20,3,5,65,39,19,6,0,69,69,56,16,3,150,127,74,29,18,245,173,132,57,33,395,58,16,20,13,108,213,113,71,25,422,243,116,43,11,407,506,249,87,29,877,351,162,46,10,573,174,67,15,0,255,146,81,25,9,256,50,37,13,5,104,12,6,3,4,22,199,135,77,53,465,88,39,18,12,159,2490,1326,522,233,4569,34,25,7,8,76,24,13,8,0,45,58,20,12,4,91,78,43,17,7,153,121,67,16,14,222,134,98,40,19,290,172,84,43,20,324,218,97,26,28,376,480,239,72,27,821,386,169,46,21,621,304,130,39,14,484,147,47,12,12,217,108,69,26,6,204,62,34,5,7,102,201,148,61,40,448,63,47,15,19,140,2595,1314,450,237,4605,39,22,13,6,79,11,11,4,0,28,52,20,5,0,78,78,49,18,6,150,114,58,26,17,215,155,87,36,31,311
7RNTE,31,9,5,7,56,153,89,34,13,290,287,166,77,35,573,188,103,47,27,367,148,89,55,40,331,123,61,36,26,247,147,93,55,49,346,135,71,37,27,269,252,155,64,79,549,118,59,31,34,235,60,22,10,23,112,41,23,13,11,85,22,14,0,5,44,0,3,0,3,12,98,81,59,71,314,98,65,28,27,218,1902,1099,565,472,4037,33,11,6,5,59,86,43,6,3,144,303,140,74,26,539,89,56,31,11,190,148,76,47,22,301,130,77,56,24,284,137,91,34,29,286,131,78,33,42,285,257,143,64,76,536,148,81,46,24,300,105,36,14,13,167,30,22,6,5,59,37,15,5,5,62,14,13,0,0,30,132,100,64,87,387,133,98,40,50,318,1925,1079,524,424,3959,22,10,6,3,34,105,31,15,7,163,312,146,57,37,551,154,84,36,18,289,224,109,54,28,412,146,75,41,30,293
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,56,34,12,6,113,72,31,9,3,114,251,115,35,15,419,358,239,69,20,676,467,322,143,54,987,202,67,36,17,318,597,298,83,70,1052,620,322,82,35,1059,1543,748,214,49,2564,1193,639,131,22,1989,615,251,61,4,925,640,468,108,23,1235,295,178,53,18,539,41,55,23,0,124,572,460,190,59,1291,103,67,22,7,199,7634,4296,1270,404,13604,97,43,11,11,157,59,26,9,0,95,180,91,8,16,300,214,124,56,18,412,327,184,56,20,586,423,255,130,51,857,492,249,95,51,884,562,255,76,44,940,1478,696,176,75,2426,1358,657,181,57,2254,1072,589,114,29,1815,527,196,61,11,791,414,295,80,13,804,193,143,38,13,391,594,493,129,68,1283,86,39,16,10,154,8060,4332,1248,497,14130,105,63,15,17,196,57,18,0,8,85,107,41,18,9,170,152,78,14,17,266,285,132,47,20,478,354,208,87,46,697
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,3,3,0,0,0,3,0,0,0,0,7,3,0,0,0,9,4,11,0,0,19,4,0,0,0,4,4,0,0,0,4,0,3,0,0,4,3,0,0,0,3,0,0,0,0,0,0,5,5,0,9,0,0,0,0,0,35,28,3,4,76,0,5,0,0,5,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,4,8,0,0,0,7,5,0,0,0,10,11,4,0,0,14,14,6,0,0,25,14,4,0,0,18,6,3,3,0,14,3,0,0,0,4,0,3,0,0,9,0,0,0,0,0,14,3,0,4,22,4,7,0,4,15,90,43,10,12,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,5,8,0,0,0,6,0,0,0,0,4
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
