GCCSA_CODE_2021,C11_70_74_Married_P,C11_70_74_Sep_M,C11_70_74_Sep_F,C11_70_74_Sep_P,C11_70_74_Div_M,C11_70_74_Div_F,C11_70_74_Div_P,C11_70_74_Wid_M,C11_70_74_Wid_F,C11_70_74_Wid_P,C11_70_74_Nvr_marrd_M,C11_70_74_Nvr_marrd_F,C11_70_74_Nvr_marrd_P,C11_70_74_Tot_M,C11_70_74_Tot_F,C11_70_74_Tot_P,C11_75_79_Married_M,C11_75_79_Married_F,C11_75_79_Married_P,C11_75_79_Sep_M,C11_75_79_Sep_F,C11_75_79_Sep_P,C11_75_79_Div_M,C11_75_79_Div_F,C11_75_79_Div_P,C11_75_79_Wid_M,C11_75_79_Wid_F,C11_75_79_Wid_P,C11_75_79_Nvr_marrd_M,C11_75_79_Nvr_marrd_F,C11_75_79_Nvr_marrd_P,C11_75_79_Tot_M,C11_75_79_Tot_F,C11_75_79_Tot_P,C11_80_84_Married_M,C11_80_84_Married_F,C11_80_84_Married_P,C11_80_84_Sep_M,C11_80_84_Sep_F,C11_80_84_Sep_P,C11_80_84_Div_M,C11_80_84_Div_F,C11_80_84_Div_P,C11_80_84_Wid_M,C11_80_84_Wid_F,C11_80_84_Wid_P,C11_80_84_Nvr_marrd_M,C11_80_84_Nvr_marrd_F,C11_80_84_Nvr_marrd_P,C11_80_84_Tot_M,C11_80_84_Tot_F,C11_80_84_Tot_P,C11_85_over_Married_M,C11_85_over_Married_F,C11_85_over_Married_P,C11_85_over_Seprtd_M,C11_85_over_Seprtd_F,C11_85_over_Seprtd_P,C11_85_over_Divorce_M,C11_85_over_Divorce_F,C11_85_over_Divorce_P,C11_85_over_Wid_M,C11_85_over_Wid_F,C11_85_over_Wid_P,C11_85_over_Nvr_mard_M,C11_85_over_Nvr_mard_F,C11_85_over_Nvr_mard_P,C11_85_over_Tot_M,C11_85_over_Tot_F,C11_85_over_Tot_P,C11_Tot_Married_M,C11_Tot_Married_F,C11_Tot_Married_P,C11_Tot_Sep_M,C11_Tot_Sep_F,C11_Tot_Sep_P,C11_Tot_Div_M,C11_Tot_Div_F,C11_Tot_Div_P,C11_Tot_Wid_M,C11_Tot_Wid_F,C11_Tot_Wid_P,C11_Tot_nver_marrie_M,C11_Tot_nver_marrie_F,C11_Tot_nver_marrie_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_15_19_Married_M,C16_15_19_Married_F,C16_15_19_Married_P,C16_15_19_Sep_M,C16_15_19_Sep_F,C16_15_19_Sep_P,C16_15_19_Div_M,C16_15_19_Div_F,C16_15_19_Div_P,C16_15_19_Wid_M,C16_15_19_Wid_F,C16_15_19_Wid_P,C16_15_19_Nvr_marrd_M,C16_15_19_Nvr_marrd_F,C16_15_19_Nvr_marrd_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Married_M,C16_20_24_Married_F,C16_20_24_Married_P,C16_20_24_Sep_M,C16_20_24_Sep_F,C16_20_24_Sep_P,C16_20_24_Div_M,C16_20_24_Div_F,C16_20_24_Div_P,C16_20_24_Wid_M,C16_20_24_Wid_F,C16_20_24_Wid_P,C16_20_24_Nvr_marrd_M,C16_20_24_Nvr_marrd_F,C16_20_24_Nvr_marrd_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Married_M,C16_25_29_Married_F,C16_25_29_Married_P,C16_25_29_Sep_M,C16_25_29_Sep_F,C16_25_29_Sep_P,C16_25_29_Div_M,C16_25_29_Div_F,C16_25_29_Div_P,C16_25_29_Wid_M,C16_25_29_Wid_F,C16_25_29_Wid_P,C16_25_29_Nvr_marrd_M,C16_25_29_Nvr_marrd_F,C16_25_29_Nvr_marrd_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Married_M,C16_30_34_Married_F,C16_30_34_Married_P,C16_30_34_Sep_M,C16_30_34_Sep_F,C16_30_34_Sep_P,C16_30_34_Div_M,C16_30_34_Div_F,C16_30_34_Div_P,C16_30_34_Wid_M,C16_30_34_Wid_F,C16_30_34_Wid_P,C16_30_34_Nvr_marrd_M,C16_30_34_Nvr_marrd_F,C16_30_34_Nvr_marrd_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Married_M,C16_35_39_Married_F,C16_35_39_Married_P,C16_35_39_Sep_M,C16_35_39_Sep_F,C16_35_39_Sep_P,C16_35_39_Div_M,C16_35_39_Div_F,C16_35_39_Div_P,C16_35_39_Wid_M,C16_35_39_Wid_F,C16_35_39_Wid_P,C16_35_39_Nvr_marrd_M,C16_35_39_Nvr_marrd_F,C16_35_39_Nvr_marrd_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Married_M,C16_40_44_Married_F,C16_40_44_Married_P,C16_40_44_Sep_M,C16_40_44_Sep_F,C16_40_44_Sep_P,C16_40_44_Div_M,C16_40_44_Div_F,C16_40_44_Div_P,C16_40_44_Wid_M,C16_40_44_Wid_F,C16_40_44_Wid_P,C16_40_44_Nvr_marrd_M,C16_40_44_Nvr_marrd_F,C16_40_44_Nvr_marrd_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Married_M,C16_45_49_Married_F,C16_45_49_Married_P,C16_45_49_Sep_M
6RTAS,7708,165,99,272,613,621,1239,452,1612,2067,328,163,488,5855,5922,11770,2889,2136,5022,98,60,157,334,361,692,557,1848,2404,216,132,345,4080,4537,8617,1844,1131,2980,67,18,80,163,168,335,596,2084,2688,126,111,238,2799,3518,6320,1077,540,1618,28,26,53,62,112,168,750,2888,3638,81,139,216,1998,3700,5692,56456,56428,112887,3602,3915,7516,10143,12276,22420,3480,11836,15312,37825,32555,70379,111497,117009,228510,19,27,46,8,11,17,3,3,7,7,7,15,9016,8354,17370,9048,8399,17447,316,546,862,25,57,83,0,12,14,0,13,13,7797,6958,14758,8140,7579,15722,1458,2144,3600,91,201,292,55,77,137,4,17,22,5429,4916,10340,7033,7360,14394,3114,3781,6893,196,310,506,191,298,483,8,47,52,3718,3290,7005,7218,7723,14943,3636,4215,7849,266,426,699,361,574,937,23,60,84,2775,2575,5354,7065,7852,14912,4389,4927,9317,444,512,956,707,1036,1736,23,94,118,2706,2350,5051,8264,8910,17175,5218,5750,10970,556
69499,8,0,4,0,9,7,14,0,0,7,0,0,0,16,14,27,4,3,4,0,0,0,0,0,0,0,3,3,0,0,0,5,6,9,3,0,6,0,0,0,0,4,4,0,0,4,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,96,202,42,40,80,73,68,142,11,19,30,326,189,514,563,410,972,0,0,0,0,0,0,0,0,0,0,0,0,31,30,62,31,30,62,5,0,4,0,0,0,0,0,0,0,0,0,53,29,87,61,33,91,8,7,14,0,0,6,0,0,0,0,0,0,56,32,85,64,42,102,11,11,20,4,6,5,3,0,3,0,0,0,36,13,55,50,32,80,6,6,9,4,3,14,3,8,6,0,0,0,36,17,56,51,34,84,3,5,9,7,0,3,9,3,11,0,0,0,22,15,35,38,25,64,3,3,6,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,8,43,5,0,5,13,3,23,0,3,0,26,12,42,84,32,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,6,5,7,0,0,3,0,0,0,0,0,0,0,0,0,6,0,6,12,0,12,0,0,4,0,0,0,0,0,0,0,0,0,3,4,6,9,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,3,0,5,0
7GDAR,1112,68,34,100,185,157,336,83,286,372,115,36,155,1142,931,2073,359,208,564,32,15,43,83,60,147,61,225,284,65,21,82,593,528,1118,183,92,272,16,6,20,49,35,82,65,208,276,42,19,61,353,361,718,77,30,112,3,8,14,11,29,39,58,191,253,17,3,16,167,261,426,20324,19696,40019,1592,1573,3168,4154,4432,8594,609,1964,2568,23262,17598,40864,49945,45260,95208,18,22,45,5,0,6,0,4,5,3,0,5,4004,3525,7532,4040,3559,7600,296,513,813,19,26,48,12,12,19,5,4,5,4870,3799,8668,5204,4352,9552,1565,2089,3657,75,98,176,45,82,125,7,5,14,5394,4108,9503,7085,6388,13470,3146,3380,6522,133,154,288,157,221,378,7,6,13,3527,2657,6186,6967,6426,13392,3435,3239,6673,156,171,325,264,314,577,10,23,37,2171,1649,3823,6035,5402,11438,3216,2826,6044,191,214,401,371,445,818,13,41,54,1643,1391,3039,5439,4913,10345,3040,2720,5756,255
7RNTE,508,40,13,53,93,71,160,76,201,280,85,56,142,609,529,1140,118,78,201,21,12,30,38,12,48,55,172,222,34,40,78,261,322,582,81,32,104,4,7,14,20,12,32,52,142,193,33,12,47,187,203,396,32,20,55,4,0,4,3,9,17,33,133,166,11,19,23,87,176,267,14851,14484,29329,1136,1127,2264,2271,2200,4469,612,1982,2589,14433,12671,27103,33299,32457,65759,192,362,556,11,9,20,0,8,5,4,0,10,3209,2641,5853,3420,3025,6439,823,1009,1835,38,53,97,19,15,36,4,14,17,2657,2262,4917,3548,3353,6903,1435,1604,3036,60,109,170,35,52,85,15,27,42,2376,2267,4643,3924,4055,7976,1881,1991,3877,89,157,243,68,108,175,7,30,43,1727,1643,3374,3778,3934,7715,1733,1766,3497,89,139,231,111,165,273,12,51,64,1189,1133,2326,3137,3258,6393,1711,1646,3355,132,142,273,161,145,309,29,79,108,976,1022,1990,3011,3031,6039,1667,1626,3294,163
79499,43,4,0,4,8,4,11,5,3,7,0,0,0,45,19,67,8,3,15,0,0,0,0,0,4,0,0,0,0,0,0,15,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,409,367,772,55,32,90,102,93,203,17,17,40,358,264,626,948,778,1727,0,0,0,0,0,0,0,0,0,0,0,0,21,13,31,21,13,31,0,4,4,0,0,0,0,0,0,0,0,0,99,84,183,103,87,188,15,15,27,0,0,3,3,0,3,0,0,0,102,117,217,120,129,254,20,30,51,0,10,9,4,0,3,0,0,0,77,72,151,102,105,208,35,29,66,3,5,5,6,6,8,0,0,0,51,46,100,93,83,179,43,32,72,3,5,12,6,3,10,0,4,4,66,52,120,120,92,215,33,29,68,4
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,5,35,7,0,6,10,0,10,0,0,0,51,3,56,91,16,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,3,7,6,0,6,0,0,0,0,0,0,0,0,0,13,5,15,16,5,17,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,3,0,3,0
8ACTE,5986,124,97,222,431,690,1122,263,1099,1367,146,145,295,4234,4753,8985,2265,1702,3965,71,64,139,242,384,623,322,1300,1630,118,120,239,3016,3576,6591,1581,1010,2588,36,28,62,124,231,349,368,1548,1920,78,76,153,2179,2898,5072,993,554,1545,19,18,39,53,149,204,542,2361,2905,44,94,137,1655,3172,4825,68774,68631,137406,3388,4111,7503,8983,14033,23022,2285,9051,11341,58807,52233,111043,142236,148067,290305,27,34,60,7,5,11,7,3,8,7,4,12,12300,12081,24381,12350,12122,24472,404,863,1266,26,44,72,15,21,33,3,9,9,15385,14588,29967,15824,15525,31354,3241,5158,8406,114,243,359,112,182,294,13,13,29,12422,10920,23341,15911,16513,32426,8460,9974,18435,290,420,714,368,547,917,21,24,50,7319,6155,13472,16456,17129,33581,9530,9734,19264,380,503,878,601,886,1488,25,54,81,4449,3968,8416,14983,15147,30129,9199,9104,18303,471,573,1045,873,1386,2263,31,102,131,3319,3111,6426,13891,14276,28165,8531,8277,16806,573
89499,3,0,0,0,0,5,4,0,0,0,0,0,0,4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,3,54,49,105,13,19,36,35,34,69,0,11,11,190,154,348,301,271,569,0,0,0,0,0,0,0,0,0,0,0,0,15,16,33,15,16,33,0,0,4,0,0,0,0,0,0,0,0,0,32,35,73,36,40,78,3,0,4,0,0,0,0,0,0,0,0,0,31,19,53,36,22,63,4,0,5,3,0,3,0,0,4,0,0,0,26,12,36,29,18,47,8,7,12,0,0,6,0,4,0,0,0,0,23,18,37,34,30,61,4,0,5,3,0,6,5,3,8,0,0,0,21,8,26,35,11,48,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,43,0,0,0,0,0,0,9,0,11,0,0,0,38,16,53,3,7,13,0,0,0,0,0,0,4,4,6,3,0,3,10,10,21,0,0,4,0,0,0,0,0,0,0,9,3,0,0,0,5,9,12,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,839,498,1334,44,16,57,60,26,89,20,43,60,747,228,968,1708,805,2505,0,0,0,0,0,0,0,0,0,0,0,0,105,107,208,105,107,208,5,11,16,0,0,0,0,0,0,0,0,0,130,55,181,134,65,196,28,51,76,0,0,0,0,0,0,0,0,0,128,48,176,158,96,260,69,73,150,8,5,9,7,4,12,0,3,3,83,58,140,164,142,308,107,88,193,12,4,13,8,9,13,0,0,0,57,41,100,182,135,316,90,88,182,6,9,18,17,11,28,0,0,0,47,46,92,167,148,318,79,89,170,11
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,7,7,0,0,0,4,8,12,5,16,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
