GCCSA_CODE_2021,Pre_sch_C11_M,Pre_sch_C11_F,Pre_sch_C11_P,Pre_sch_C16_M,Pre_sch_C16_F,Pre_sch_C16_P,Pre_sch_C21_M,Pre_sch_C21_F,Pre_sch_C21_P,Prim_Govt_C11_M,Prim_Govt_C11_F,Prim_Govt_C11_P,Prim_Govt_C16_M,Prim_Govt_C16_F,Prim_Govt_C16_P,Prim_Govt_C21_M,Prim_Govt_C21_F,Prim_Govt_C21_P,Prim_Cath_C11_M,Prim_Cath_C11_F,Prim_Cath_C11_P,Prim_Cath_C16_M,Prim_Cath_C16_F,Prim_Cath_C16_P,Prim_Cath_C21_M,Prim_Cath_C21_F,Prim_Cath_C21_P,Pri_Oth_No_Gov_C11_M,Pri_Oth_No_Gov_C11_F,Pri_Oth_No_Gov_C11_P,Pri_Oth_No_Gov_C16_M,Pri_Oth_No_Gov_C16_F,Pri_Oth_No_Gov_C16_P,Pri_Oth_No_Gov_C21_M,Pri_Oth_No_Gov_C21_F,Pri_Oth_No_Gov_C21_P,Primary_Tot_Prim_C11_M,Primary_Tot_Prim_C11_F,Primary_Tot_Prim_C11_P,Primary_Tot_Prim_C16_M,Primary_Tot_Prim_C16_F,Primary_Tot_Prim_C16_P,Primary_Tot_Prim_C21_M,Primary_Tot_Prim_C21_F,Primary_Tot_Prim_C21_P,Sec_Govern_C11_M,Sec_Govern_C11_F,Sec_Govern_C11_P,Sec_Govern_C16_M,Sec_Govern_C16_F,Sec_Govern_C16_P,Sec_Govern_C21_M,Sec_Govern_C21_F,Sec_Govern_C21_P,Sec_Catholic_C11_M,Sec_Catholic_C11_F,Sec_Catholic_C11_P,Sec_Catholic_C16_M,Sec_Catholic_C16_F,Sec_Catholic_C16_P,Sec_Catholic_C21_M,Sec_Catholic_C21_F,Sec_Catholic_C21_P,Sec_Oth_Non_Gov_C11_M,Sec_Oth_Non_Gov_C11_F,Sec_Oth_Non_Gov_C11_P,Sec_Oth_Non_Gov_C16_M,Sec_Oth_Non_Gov_C16_F,Sec_Oth_Non_Gov_C16_P,Sec_Oth_Non_Gov_C21_M,Sec_Oth_Non_Gov_C21_F,Sec_Oth_Non_Gov_C21_P,Sec_Tot_Sec_C11_M,Sec_Tot_Sec_C11_F,Sec_Tot_Sec_C11_P,Sec_Tot_Sec_C16_M,Sec_Tot_Sec_C16_F,Sec_Tot_Sec_C16_P,Sec_Tot_Sec_C21_M,Sec_Tot_Sec_C21_F,Sec_Tot_Sec_C21_P,Tert_Voc_TPTP_FTS_15_24_C11_M,Tert_Voc_TPTP_FTS_15_24_C11_F,Tert_Voc_TPTP_FTS_15_24_C11_P,Tert_Voc_TPTP_FTS_15_24_C16_M,Tert_Voc_TPTP_FTS_15_24_C16_F,Tert_Voc_TPTP_FTS_15_24_C16_P,Tert_Voc_TPTP_FTS_15_24_C21_M,Tert_Voc_TPTP_FTS_15_24_C21_F,Tert_Voc_TPTP_FTS_15_24_C21_P,Tert_Voc_TPTP_FTS_25ove_C11_M,Tert_Voc_TPTP_FTS_25ove_C11_F,Tert_Voc_TPTP_FTS_25ove_C11_P,Tert_Voc_TPTP_FTS_25ove_C16_M,Tert_Voc_TPTP_FTS_25ove_C16_F,Tert_Voc_TPTP_FTS_25ove_C16_P,Tert_Voc_TPTP_FTS_25ove_C21_M,Tert_Voc_TPTP_FTS_25ove_C21_F,Tert_Voc_TPTP_FTS_25ove_C21_P,Tert_Voc_TPTP_PTS_15_24_C11_M,Tert_Voc_TPTP_PTS_15_24_C11_F,Tert_Voc_TPTP_PTS_15_24_C11_P,Tert_Voc_TPTP_PTS_15_24_C16_M,Tert_Voc_TPTP_PTS_15_24_C16_F,Tert_Voc_TPTP_PTS_15_24_C16_P,Tert_Voc_TPTP_PTS_15_24_C21_M,Tert_Voc_TPTP_PTS_15_24_C21_F,Tert_Voc_TPTP_PTS_15_24_C21_P,Tert_Voc_TPTP_PTS_25ov_C11_M,Tert_Voc_TPTP_PTS_25ov_C11_F,Tert_Voc_TPTP_PTS_25ov_C11_P,Tert_Voc_TPTP_PTS_25ov_C16_M,Tert_Voc_TPTP_PTS_25ov_C16_F,Tert_Voc_TPTP_PTS_25ov_C16_P,Tert_Voc_TPTP_PTS_25ov_C21_M,Tert_Voc_TPTP_PTS_25ov_C21_F,Tert_Voc_TPTP_PTS_25ov_C21_P,Tert_Voc_F_Pt_stu_st_ns_C11_M,Tert_Voc_F_Pt_stu_st_ns_C11_F,Tert_Voc_F_Pt_stu_st_ns_C11_P,Tert_Voc_F_Pt_stu_st_ns_C16_M,Tert_Voc_F_Pt_stu_st_ns_C16_F,Tert_Voc_F_Pt_stu_st_ns_C16_P,Tert_Voc_F_Pt_stu_st_ns_C21_M,Tert_Voc_F_Pt_stu_st_ns_C21_F,Tert_Voc_F_Pt_stu_st_ns_C21_P,Tert_Voc_Tot_C11_M,Tert_Voc_Tot_C11_F,Tert_Voc_Tot_C11_P,Tert_Voc_Tot_C16_M,Tert_Voc_Tot_C16_F,Tert_Voc_Tot_C16_P,Tert_Voc_Tot_C21_M,Tert_Voc_Tot_C21_F,Tert_Voc_Tot_C21_P,Tert_U_Ft_s_15_24_C11_M,Tert_U_Ft_s_15_24_C11_F,Tert_U_Ft_s_15_24_C11_P,Tert_U_Ft_s_15_24_C16_M,Tert_U_Ft_s_15_24_C16_F,Tert_U_Ft_s_15_24_C16_P,Tert_U_Ft_s_15_24_C21_M,Tert_U_Ft_s_15_24_C21_F,Tert_U_Ft_s_15_24_C21_P,Tert_U_Ft_s_25over_C11_M,Tert_U_Ft_s_25over_C11_F,Tert_U_Ft_s_25over_C11_P,Tert_U_Ft_s_25over_C16_M,Tert_U_Ft_s_25over_C16_F,Tert_U_Ft_s_25over_C16_P,Tert_U_Ft_s_25over_C21_M,Tert_U_Ft_s_25over_C21_F,Tert_U_Ft_s_25over_C21_P,Tert_U_Pt_s_15_24_C11_M,Tert_U_Pt_s_15_24_C11_F,Tert_U_Pt_s_15_24_C11_P,Tert_U_Pt_s_15_24_C16_M,Tert_U_Pt_s_15_24_C16_F,Tert_U_Pt_s_15_24_C16_P,Tert_U_Pt_s_15_24_C21_M,Tert_U_Pt_s_15_24_C21_F,Tert_U_Pt_s_15_24_C21_P,Tert_U_Pt_s_25over_C11_M,Tert_U_Pt_s_25over_C11_F,Tert_U_Pt_s_25over_C11_P,Tert_U_Pt_s_25over_C16_M,Tert_U_Pt_s_25over_C16_F,Tert_U_Pt_s_25over_C16_P,Tert_U_Pt_s_25over_C21_M,Tert_U_Pt_s_25over_C21_F,Tert_U_Pt_s_25over_C21_P,Tert_U_F_Pt_s_s_ns_C11_M,Tert_U_F_Pt_s_s_ns_C11_F,Tert_U_F_Pt_s_s_ns_C11_P,Tert_U_F_Pt_s_s_ns_C16_M,Tert_U_F_Pt_s_s_ns_C16_F,Tert_U_F_Pt_s_s_ns_C16_P,Tert_U_F_Pt_s_s_ns_C21_M,Tert_U_F_Pt_s_s_ns_C21_F,Tert_U_F_Pt_s_s_ns_C21_P,Tert_U_Tot_C11_M,Tert_U_Tot_C11_F,Tert_U_Tot_C11_P,Tert_U_Tot_C16_M,Tert_U_Tot_C16_F,Tert_U_Tot_C16_P,Tert_U_Tot_C21_M,Tert_U_Tot_C21_F,Tert_U_Tot_C21_P,Tert_Tot_Tert_C11_M,Tert_Tot_Tert_C11_F,Tert_Tot_Tert_C11_P,Tert_Tot_Tert_C16_M,Tert_Tot_Tert_C16_F,Tert_Tot_Tert_C16_P,Tert_Tot_Tert_C21_M,Tert_Tot_Tert_C21_F,Tert_Tot_Tert_C21_P,Ot_ty_Ed_Ins_Ft_st_C11_M,Ot_ty_Ed_Ins_Ft_st_C11_F
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,12703,11975,24681,12205,11572,23780,19258,17696,36950,49279,45706,94986,57959,53607,111570,64084,60099,124182,12865,12736,25596,14685,14482,29162,14594,14510,29111,10749,10616,21368,11727,11690,23413,12464,12339,24803,72889,69065,141951,84373,79775,164145,91288,87115,178400,24561,22975,47531,34319,32326,66649,41628,38662,80293,12428,12645,25075,14192,14266,28456,15253,15012,30261,12756,13307,26062,15156,15215,30370,16294,15915,32214,49741,48920,98669,63669,61807,125473,73256,69686,142947,5007,4465,9472,4782,4217,9000,4910,4619,9529,2644,3999,6647,3461,5137,8596,3932,6637,10571,5776,2995,8769,4719,2701,7420,6250,3632,9882,5361,8048,13408,4958,7854,12807,6992,12073,19062,228,156,388,178,142,319,97,90,184,19014,19670,38681,18097,20049,38147,22177,27052,49233,21213,25944,47153,24179,27707,51880,22430,28806,51234,6346,7699,14042,9074,10982,20056,8964,11892,20860,2202,3234,5437,2932,3858,6783,3756,4728,8480,7236,11154,18393,7899,12554,20453,8837,14629,23467,197,204,399,164,255,417,104,126,227,37200,48233,85431,44241,55345,99590,44088,60179,104270,56210,67897,124108,62341,75392,137737,66394,87359,153748,1840,1854
5RWAU,3920,3802,7723,3423,3027,6454,4300,4157,8461,17592,16589,34181,17078,16243,33318,16510,15182,31697,3991,3973,7958,3829,3849,7681,3841,3718,7561,2176,2163,4336,2306,2299,4601,2336,2252,4590,23757,22726,46477,23215,22392,45608,22724,21194,43915,8621,7872,16493,11123,10354,21477,11281,10708,21991,2208,2457,4660,2724,2871,5599,2963,3192,6156,1951,1842,3795,2196,2205,4399,2169,2436,4609,12782,12162,24951,16041,15433,31477,16431,16357,32786,773,779,1545,627,672,1293,727,696,1426,280,671,946,283,664,947,386,826,1219,1641,1131,2772,1249,983,2230,1771,1079,2848,1498,3120,4623,1296,2747,4042,1569,3432,5005,62,49,110,44,54,101,34,24,60,4246,5753,9996,3500,5115,8615,4495,6060,10557,521,913,1431,544,1014,1556,509,1109,1623,292,790,1086,430,973,1404,435,1129,1562,141,364,510,153,381,534,178,442,627,1096,2185,3278,1078,2490,3565,1058,2778,3840,19,17,34,18,18,31,7,16,23,2069,4275,6341,2214,4874,7089,2191,5474,7669,6311,10020,16333,5717,9987,15701,6695,11555,18252,295,279
59499,10,14,22,11,3,22,22,18,41,69,64,137,45,45,97,94,92,181,10,8,17,10,0,14,13,7,22,21,26,44,13,17,26,23,17,35,100,96,196,75,67,142,121,114,243,33,13,48,20,26,49,39,47,83,0,0,0,0,6,7,4,3,6,6,8,13,6,4,7,9,4,19,47,17,66,28,30,56,51,55,109,4,5,11,3,5,10,13,11,16,14,3,15,14,11,26,9,18,33,11,8,13,0,8,10,11,6,15,19,13,34,9,14,24,7,25,34,3,0,3,0,0,0,0,0,0,51,32,78,35,38,74,44,59,99,31,29,63,31,35,63,14,25,42,13,23,40,21,14,33,13,17,31,0,11,8,0,4,5,0,3,9,26,24,47,10,16,30,15,25,46,0,0,0,0,0,0,3,0,3,69,88,162,65,63,129,52,68,122,117,123,240,99,108,203,96,130,224,8,12
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,0,7,0,0,0,0,0,0,0,0,0,9,0,9,3,0,3,4,0,5,0,0,0,0,0,4,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,0,3,3,0,6,0,0,0,0,0,0,0,0,0,5,0,5,5,0,10,9,0,8,12,0,10,7,0,6,13,0,17,0,0
6GHOB,895,875,1764,859,850,1706,1662,1564,3223,6169,5571,11740,6907,6282,13190,7234,6525,13759,2009,1983,3998,2040,2150,4192,2131,2278,4409,1051,994,2045,1090,1073,2160,1131,1133,2266,9235,8549,17784,10043,9502,19544,10508,9944,20455,3571,3276,6847,3879,3433,7307,4083,3779,7860,1522,1774,3294,1656,1816,3471,1822,2003,3823,1227,1246,2475,1270,1253,2516,1481,1383,2864,6327,6291,12617,6802,6500,13304,7391,7173,14563,870,832,1700,626,628,1251,541,517,1054,267,414,686,283,469,749,1262,1288,2556,717,422,1139,580,358,937,832,456,1291,742,1088,1831,634,959,1591,1423,1449,2875,29,31,56,20,20,42,19,13,37,2624,2797,5415,2140,2431,4569,4072,3733,7808,2161,2502,4663,2307,2601,4901,1984,2399,4382,859,997,1853,1253,1330,2578,1569,1855,3421,225,292,515,231,329,559,300,416,716,897,1698,2591,1003,1947,2947,1255,2295,3546,19,14,36,11,22,34,14,9,21,4155,5498,9657,4799,6220,11026,5116,6972,12087,6775,8293,15072,6940,8650,15595,9203,10719,19923,142,211
6RTAS,1286,1153,2440,1075,951,2026,1661,1598,3260,9326,8961,18283,9281,8742,18020,9314,8890,18205,1826,1851,3672,1966,1913,3881,2055,1928,3980,1159,1140,2301,1174,1126,2305,1249,1262,2508,12311,11945,24253,12422,11779,24203,12621,12081,24708,5819,5482,11302,5456,5196,10651,5954,5725,11679,1539,1639,3184,1577,1576,3156,1622,1666,3287,1278,1197,2480,1172,1146,2319,1318,1263,2582,8638,8324,16962,8205,7914,16129,8899,8668,17569,1150,1311,2459,941,994,1938,495,536,1031,316,626,947,304,559,866,570,757,1328,973,600,1570,714,532,1240,1067,645,1714,951,1428,2374,708,1241,1950,1191,1602,2795,46,26,76,30,17,44,27,20,47,3435,3991,7426,2692,3349,6041,3357,3559,6913,1196,1609,2803,1324,1599,2925,986,1550,2539,586,844,1430,650,874,1524,738,1120,1856,112,275,389,135,243,376,194,351,542,701,1476,2177,699,1630,2324,890,1845,2732,9,19,29,13,21,37,7,17,23,2603,4221,6828,2817,4370,7185,2816,4878,7690,6042,8216,14253,5515,7716,13229,6172,8453,14623,218,275
69499,9,0,10,4,0,5,9,5,9,8,19,29,9,10,19,27,15,41,0,0,0,3,0,4,3,0,4,0,0,0,3,4,4,0,3,3,11,25,33,14,14,26,28,18,53,10,7,24,8,4,9,8,19,30,0,3,3,0,3,3,4,0,7,0,0,0,0,3,3,0,0,3,17,11,24,8,13,17,13,19,33,0,9,11,3,6,7,6,0,9,0,4,3,3,0,3,0,4,4,0,0,5,0,5,6,8,9,9,3,5,12,0,0,0,3,8,9,0,0,0,0,0,0,0,0,0,15,18,25,5,9,17,21,23,35,6,11,17,4,7,18,0,4,3,7,4,12,12,3,13,8,3,9,0,0,0,0,0,0,0,4,0,3,9,7,0,3,9,4,16,14,0,0,0,0,0,0,0,0,0,15,28,39,17,18,34,13,22,32,25,41,68,25,26,54,30,39,68,0,3
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,8,0,3,3,0,0,0,0,0
7GDAR,924,857,1774,1019,993,2009,1350,1272,2621,3576,3509,7093,4092,3867,7957,4626,4401,9030,608,658,1264,797,679,1471,699,705,1401,655,709,1364,878,860,1740,774,844,1616,4840,4878,9722,5771,5394,11166,6113,5952,12064,2582,2294,4879,2518,2378,4899,2791,2804,5590,457,419,877,603,586,1190,744,701,1444,825,871,1693,871,945,1821,796,811,1604,3865,3583,7449,3996,3915,7909,4333,4317,8648,94,57,156,108,88,195,172,141,312,67,104,170,102,139,243,331,352,680,269,182,447,247,195,438,308,229,532,338,463,807,436,722,1164,620,982,1602,6,4,11,14,16,27,11,5,10,774,816,1592,907,1159,2067,1431,1706,3134,434,661,1097,692,827,1518,675,950,1628,365,573,936,603,917,1515,796,1250,2043,213,355,565,209,345,557,213,364,579,745,1595,2343,889,1801,2692,971,2049,3020,12,16,26,11,19,32,8,11,18,1764,3199,4960,2401,3911,6313,2665,4622,7288,2538,4017,6550,3306,5066,8375,4106,6334,10440,105,105
7RNTE,781,770,1554,851,843,1695,853,764,1619,4183,3849,8037,3720,3434,7158,3788,3422,7210,674,645,1326,589,564,1151,588,566,1156,405,376,778,406,414,817,362,365,728,5259,4874,10138,4713,4415,9123,4746,4358,9110,1597,1526,3122,1727,1597,3324,1628,1584,3215,451,455,900,478,397,878,381,412,794,527,603,1128,533,557,1085,505,431,934,2572,2577,5150,2732,2552,5285,2514,2424,4935,61,26,89,52,34,87,41,31,78,59,75,135,36,69,105,65,82,144,143,129,275,94,78,173,109,86,202,262,356,613,183,378,563,266,421,681,5,7,10,10,6,14,5,4,8,530,591,1122,376,567,941,481,624,1106,43,86,125,33,102,139,60,117,179,73,133,204,100,177,277,121,246,370,51,101,152,34,91,124,34,103,137,383,815,1201,358,809,1169,392,806,1195,6,0,7,4,12,15,4,6,10,552,1138,1688,534,1185,1719,610,1275,1881,1080,1728,2813,910,1745,2656,1093,1904,2995,115,129
79499,4,0,5,3,0,4,5,8,14,23,19,45,21,24,49,56,38,101,0,0,0,6,3,5,0,0,3,6,10,14,0,5,8,13,7,27,31,24,56,30,32,61,77,57,132,0,4,4,3,3,8,12,16,26,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,10,11,17,0,4,4,9,3,16,26,24,48,0,0,0,15,4,25,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,3,4,12,6,11,3,6,5,4,8,15,0,0,0,0,0,0,0,0,0,9,4,17,23,11,36,9,11,21,6,4,8,6,0,6,0,0,4,7,4,5,0,6,5,13,4,16,0,0,0,0,0,0,0,0,0,4,10,15,3,9,9,4,15,25,0,0,0,0,0,0,0,0,0,9,18,35,12,10,21,20,24,46,20,26,45,37,22,60,20,39,68,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0
8ACTE,2789,2413,5196,3112,2794,5899,4604,4236,8837,8525,8064,16586,10711,9997,20712,12985,12045,25029,3826,3621,7446,4221,3904,8120,4517,4212,8725,1818,1844,3664,2000,1965,3964,2180,2264,4442,14164,13524,27692,16934,15870,32801,19702,18545,38251,6318,6047,12369,6906,6699,13604,8459,7690,16158,3332,3297,6631,3293,3075,6368,3652,3461,7118,2034,2056,4098,2068,2145,4211,2232,2403,4632,11688,11411,23095,12267,11913,24183,14353,13576,27930,786,828,1616,601,602,1204,720,660,1382,427,633,1063,595,776,1370,1064,1137,2198,1438,892,2334,1181,765,1945,1558,964,2518,1756,2331,4091,1439,2157,3594,2465,3222,5689,37,23,58,25,25,45,19,14,30,4448,4714,9160,3832,4319,8159,5833,5992,11821,6692,7259,13954,8134,8989,17125,7624,9093,16718,2354,2188,4543,3376,3118,6499,3185,3511,6698,677,944,1623,763,975,1742,1135,1474,2619,3514,4555,8070,3678,5095,8773,4248,5894,10141,59,35,93,44,49,96,28,25,61,13300,14986,28282,15991,18234,34229,16224,20007,36225,17746,19697,37442,19829,22556,42381,22083,26026,48106,485,290
89499,0,0,3,5,0,7,3,0,8,8,4,12,12,10,17,6,5,9,3,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,22,8,9,18,6,5,9,3,8,12,0,0,4,9,23,36,0,0,5,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,6,12,17,4,0,4,11,25,37,0,0,9,0,0,0,0,4,8,6,4,11,0,3,3,0,0,3,0,3,3,5,0,5,0,0,0,0,6,5,0,0,0,3,4,7,0,0,0,0,0,0,0,0,0,12,8,18,5,8,8,9,14,21,13,13,28,11,15,30,11,6,21,10,4,10,15,12,18,4,4,9,0,0,0,0,0,0,3,5,5,8,3,11,0,9,6,0,0,8,0,0,0,0,0,0,0,0,0,26,25,55,31,33,64,14,18,35,43,33,73,32,37,71,23,31,54,10,3
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,19,17,41,47,29,78,46,33,81,94,98,193,181,167,341,185,167,358,0,0,0,0,0,0,0,0,0,8,5,12,4,0,4,0,0,0,104,104,207,177,167,346,189,167,353,65,60,130,115,123,239,116,110,230,0,4,0,0,0,4,0,5,4,0,0,3,3,6,11,0,0,3,67,64,135,112,137,247,116,119,234,0,3,3,0,0,0,4,0,7,0,0,0,6,5,10,5,3,7,5,0,5,8,4,6,9,10,17,4,10,17,7,12,15,16,28,41,0,0,0,0,0,0,0,0,0,9,15,20,19,12,33,33,38,72,0,0,3,0,3,0,0,8,11,5,4,3,4,3,9,0,6,6,0,0,0,0,0,0,0,10,5,6,13,20,9,17,26,8,16,28,0,0,0,0,0,0,0,0,3,11,24,30,17,20,36,20,37,57,13,36,52,32,35,69,52,80,131,8,0
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
