GCCSA_CODE_2021,Managers_C11_M,Managers_C11_F,Managers_C11_P,Managers_C16_M,Managers_C16_F,Managers_C16_P,Managers_C21_M,Managers_C21_F,Managers_C21_P,Professionals_C11_M,Professionals_C11_F,Professionals_C11_P,Professionals_C16_M,Professionals_C16_F,Professionals_C16_P,Professionals_C21_M,Professionals_C21_F,Professionals_C21_P,Tech_trad_wkrs_C11_M,Tech_trad_wkrs_C11_F,Tech_trad_wkrs_C11_P,Tech_trad_wkrs_C16_M,Tech_trad_wkrs_C16_F,Tech_trad_wkrs_C16_P,Tech_trad_wkrs_C21_M,Tech_trad_wkrs_C21_F,Tech_trad_wkrs_C21_P,Com_pers_S_work_C11_Cens_M,Com_pers_S_work_C11_Cens_F,Com_pers_S_work_C11_Cens_P,Com_pers_S_work_C16_Cens_M,Com_pers_S_work_C16_Cens_F,Com_pers_S_work_C16_Cens_P,Com_pers_S_work_C21_Cens_M,Com_pers_S_work_C21_Cens_F,Com_pers_S_work_C21_Cens_P,Cler_admin_work_C11_M,Cler_admin_work_C11_F,Cler_admin_work_C11_P,Cler_admin_work_C16_M,Cler_admin_work_C16_F,Cler_admin_work_C16_P,Cler_admin_work_C21_M,Cler_admin_work_C21_F,Cler_admin_work_C21_P,Sales_workers_C11_M,Sales_workers_C11_F,Sales_workers_C11_P,Sales_workers_C16_M,Sales_workers_C16_F,Sales_workers_C16_P,Sales_workers_C21_M,Sales_workers_C21_F,Sales_workers_C21_P,Mach_oper_driv_C11_M,Mach_oper_driv_C11_F,Mach_oper_driv_C11_P,Mach_oper_driv_C16_M,Mach_oper_driv_C16_F,Mach_oper_driv_C16_P,Mach_oper_driv_C21_M,Mach_oper_driv_C21_F,Mach_oper_driv_C21_P,Labourers_C11_M,Labourers_C11_F,Labourers_C11_P,Labourers_C16_M,Labourers_C16_F,Labourers_C16_P,Labourers_C21_M,Labourers_C21_F,Labourers_C21_P,Inadeq_descr_Ns_C11_M,Inadeq_descr_Ns_C11_F,Inadeq_descr_Ns_C11_P,Inadeq_descr_Ns_C16_M,Inadeq_descr_Ns_C16_F,Inadeq_descr_Ns_C16_P,Inadeq_descr_Ns_C21_M,Inadeq_descr_Ns_C21_F,Inadeq_descr_Ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
39499,182,93,278,147,115,264,164,126,290,307,317,626,212,239,446,189,297,488,485,66,557,339,55,397,334,51,386,106,197,305,116,232,348,120,306,429,59,211,275,59,170,226,64,208,275,90,128,218,76,108,185,85,126,208,412,43,460,273,26,301,284,37,319,478,289,771,461,362,822,395,334,732,71,33,100,67,25,95,67,29,98,2202,1391,3592,1748,1341,3083,1705,1512,3219
39799,11,8,25,6,4,9,0,0,0,34,13,52,3,6,10,10,0,10,30,3,31,10,3,10,0,0,0,15,13,25,0,3,3,0,0,0,0,18,21,5,5,11,0,0,0,3,12,16,5,0,8,0,0,0,13,0,13,0,0,0,0,0,0,35,15,49,4,7,9,17,0,17,3,4,8,0,4,4,0,0,0,159,80,237,28,37,67,28,0,29
4GADE,41895,22419,64313,42224,25003,67231,49222,32080,81303,56923,67757,124682,57659,73189,130847,68557,89729,158286,68137,12457,80590,64696,12903,77595,71303,15335,86638,18942,42611,61548,22147,49832,71975,26983,61330,88320,21673,67346,89018,20809,62217,83024,23651,64625,88271,22098,34940,57034,22587,34945,57531,22974,33989,56970,30525,2767,33293,29752,2408,32164,33693,3265,36958,36697,20243,56940,37463,20288,57752,40500,22190,62688,5873,3525,9402,5310,3630,8935,6865,4664,11530,302759,274061,576818,302645,284415,587057,343752,327210,670956
4RSAU,19609,9310,28916,17978,8817,26798,18375,9667,28042,7618,12690,20307,7139,12992,20134,7360,14687,22041,19928,3938,23867,18673,3756,22429,19697,4024,23719,3470,12597,16064,3840,13751,17597,4456,16670,21129,2832,14279,17105,2652,13808,16457,2706,13920,16620,4341,9454,13795,4596,9588,14186,4671,9308,13976,12669,1023,13689,12287,983,13266,12394,1259,13657,15657,9484,25144,15645,9249,24892,15734,9527,25255,1797,934,2733,1598,955,2554,2041,1243,3280,87920,73701,161623,84406,73908,158312,87428,80295,167723
49499,48,17,69,34,16,52,38,26,66,64,61,131,52,49,103,55,72,123,118,12,126,96,18,109,82,20,106,24,60,85,22,31,53,24,55,76,39,56,95,20,38,54,19,40,64,18,35,53,23,19,51,25,38,57,85,0,84,79,3,84,56,8,66,165,74,243,137,73,211,96,42,141,27,7,34,15,3,12,21,8,27,592,321,910,467,268,733,419,311,724
49799,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,8,8,0,8
5GPER,64889,32960,97845,67573,37839,105417,77424,48138,125556,89695,96561,186252,93045,111422,204469,112850,138121,250973,117885,20037,137916,121621,22000,143625,128690,27111,155805,24709,58155,82862,29027,70655,99683,35599,91652,127252,29918,100991,130917,29182,96051,125237,31644,100473,132123,28485,49056,77544,31290,52939,84234,31240,52822,84068,50676,5867,56544,53927,6309,60236,64263,9426,73685,49021,26371,75391,52533,29832,82368,57624,34213,91834,7737,4624,12359,9197,5749,14947,10501,7095,17595,463013,394621,857631,487399,432800,920201,549839,509051,1058890
5RWAU,23577,12190,35769,21521,12303,33822,21602,13413,35016,13538,18052,31587,12891,19551,32445,13082,22667,35748,38921,5853,44767,37429,5912,43337,36357,6858,43221,4919,15357,20280,5458,17578,23039,6311,20545,26859,4371,22647,27018,3963,21091,25052,3931,21408,25334,4998,11904,16906,5607,12406,18012,5651,11880,17528,24016,2916,26938,22868,2980,25854,22505,3962,26465,19025,11261,30282,18296,11449,29744,18276,12456,30737,2435,1342,3775,2719,1396,4112,2832,1734,4566,135795,101528,237324,130756,104674,235428,130548,114926,245471
59499,111,62,171,70,41,109,57,49,107,244,219,457,124,119,234,115,139,257,475,58,537,302,47,347,232,34,272,73,165,231,61,96,161,51,172,223,52,184,239,34,82,112,36,112,150,53,96,147,27,58,89,29,47,77,296,39,334,236,36,272,182,31,213,293,126,417,234,151,390,169,120,292,29,18,51,33,18,55,19,11,33,1619,972,2595,1127,643,1772,899,715,1614
59799,9,0,8,8,3,9,9,0,9,53,0,55,72,6,81,32,0,33,74,6,74,82,8,81,77,11,83,4,9,12,4,4,3,0,4,9,0,0,6,7,0,8,10,0,10,0,0,0,0,0,0,0,0,0,41,0,41,31,0,31,25,0,31,128,3,130,100,0,102,86,15,98,4,0,4,13,0,13,12,0,6,310,18,328,321,15,332,246,29,277
6GHOB,7189,3893,11089,6988,4223,11211,8701,5878,14582,9573,12135,21706,9713,12669,22387,11935,16597,28533,11194,2168,13363,10856,2256,13114,12937,2766,15703,3533,7599,11130,3857,8830,12684,5401,11169,16578,3972,11590,15554,3839,10721,14564,4005,11309,15319,3670,5933,9603,3690,5953,9640,4029,5901,9933,4079,416,4497,4116,370,4487,4793,520,5313,5160,3339,8500,5475,3619,9096,6693,3938,10631,824,606,1430,966,739,1705,1220,912,2126,49190,47681,96873,49498,49385,98886,59730,58995,118720
6RTAS,10552,5306,15863,10051,5182,15233,11333,6468,17804,7523,10846,18373,7262,11073,18331,8467,13863,22328,15774,3044,18820,14063,3018,17083,16186,3543,19727,3156,9901,13054,3360,10672,14035,4472,13592,18066,2880,11591,14466,2825,10783,13607,2987,11446,14429,3832,7698,11534,3995,7753,11747,4075,7805,11881,9351,703,10050,8660,631,9288,9939,946,10880,9427,6632,16055,9330,6691,16015,10634,7346,17987,1139,692,1829,1254,803,2057,1623,955,2578,63640,56411,120047,60797,56605,117399,69710,65967,135680
69499,12,7,12,7,9,16,18,5,24,26,34,57,22,29,48,15,36,50,39,6,48,31,4,35,39,8,48,10,20,29,15,19,29,17,19,39,10,16,30,3,23,25,0,22,27,9,11,15,6,12,14,3,18,21,25,0,28,19,0,20,32,3,37,47,21,72,37,14,52,34,18,50,6,4,8,6,0,3,8,3,11,184,118,299,151,99,247,174,133,309
69799,5,0,6,3,0,3,0,0,0,6,3,9,11,0,12,0,0,0,26,4,26,12,0,8,0,0,0,7,3,6,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,3,20,9,3,18,3,0,5,4,0,3,0,0,0,0,0,0,62,19,76,39,11,48,10,0,12
7GDAR,4816,3131,7946,5193,3598,8793,5330,4350,9679,5121,7188,12314,5615,8145,13766,6168,10012,16185,8824,1354,10184,10868,1472,12338,9209,1580,10791,4046,4049,8092,3985,4873,8863,4718,6230,10944,2248,8013,10262,2391,8004,10393,2671,7886,10565,1707,2976,4680,1974,3234,5208,2013,3192,5211,3522,368,3890,3838,406,4238,3561,450,4011,2877,1732,4601,4102,2184,6288,3609,2193,5798,672,408,1073,912,561,1474,876,573,1448,33823,29226,63043,38884,32468,71358,38166,36467,74631
7RNTE,2343,1505,3847,2165,1517,3682,2283,1825,4104,2910,4292,7204,2685,4087,6781,2659,4606,7270,3959,653,4616,3152,586,3737,3284,633,3915,2095,2892,4987,2214,3021,5236,2536,3254,5789,853,3294,4145,802,2873,3676,801,2698,3492,682,1284,1964,645,1144,1786,646,1067,1715,1842,187,2026,1424,158,1578,1327,180,1507,3211,1485,4694,2154,1079,3231,2034,1128,3160,743,542,1284,641,408,1051,494,394,888,18635,16133,34770,15880,14871,30754,16062,15781,31846
79499,24,19,40,18,20,37,28,22,54,51,56,107,36,68,108,35,66,107,82,13,97,83,23,106,38,7,49,36,62,99,32,53,82,18,45,62,9,38,46,9,23,34,13,31,46,5,17,27,15,15,26,4,13,19,47,9,48,54,12,60,22,9,31,73,32,102,59,41,104,58,49,107,9,5,9,8,3,11,18,5,22,335,254,587,319,249,574,242,259,500
79799,5,0,0,0,0,0,0,0,0,18,0,18,5,0,5,16,0,18,8,0,13,7,0,7,9,0,9,7,0,7,0,0,0,6,0,5,15,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,18,5,19,13,3,15,23,3,26,0,0,0,0,0,0,0,0,0,72,7,80,24,5,28,56,3,56
8ACTE,18144,12861,31000,18837,13921,32757,23881,20483,44363,28731,29262,57998,30492,32174,62661,37554,40563,78121,16566,3315,19881,16244,3382,19619,19442,4407,23848,7148,11042,18185,8408,13246,21655,10064,17051,27111,11454,26022,37480,10613,24020,34633,11098,25031,36128,5522,7816,13342,5752,8191,13945,6642,8543,15185,4285,377,4664,4328,360,4682,5533,472,6002,6464,2785,9244,7121,3219,10333,8471,3889,12362,2133,1688,3820,2819,2303,5119,2859,2404,5261,100449,95170,195620,104613,100807,205419,125547,122843,248388
89499,19,10,32,11,7,23,6,20,28,39,47,84,28,31,57,22,30,51,23,5,25,13,3,14,20,8,25,19,31,41,12,26,38,19,11,30,10,23,36,11,23,26,8,17,27,9,8,19,6,4,15,8,14,21,7,0,11,3,0,8,4,0,5,19,6,18,12,3,21,12,9,19,0,0,0,7,0,6,0,0,0,144,134,274,109,99,201,104,111,216
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,115,46,157,204,139,340,195,167,364,88,99,185,101,141,236,107,193,299,178,15,201,321,52,379,347,44,391,53,87,140,111,183,299,107,227,333,39,111,146,52,195,250,53,226,279,3,19,20,32,97,135,37,98,135,93,4,101,144,11,163,121,14,135,105,65,174,167,126,296,150,118,270,24,5,32,37,11,57,26,13,43,703,457,1155,1173,973,2150,1142,1105,2243
99499,0,0,3,0,0,0,0,0,0,0,4,10,0,5,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,22,9,3,13,6,6,3
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
