GCCSA_CODE_2021,C11_0_4_Indig_M,C11_0_4_Indig_F,C11_0_4_Indig_P,C11_0_4_NonInd_M,C11_0_4_NonInd_F,C11_0_4_NonInd_P,C11_0_4_Indig_st_ns_M,C11_0_4_Indig_st_ns_F,C11_0_4_Indig_st_ns_P,C11_0_4_Tot_M,C11_0_4_Tot_F,C11_0_4_Tot_P,C11_5_9_Indig_M,C11_5_9_Indig_F,C11_5_9_Indig_P,C11_5_9_NonInd_M,C11_5_9_NonInd_F,C11_5_9_NonInd_P,C11_5_9_Indig_st_ns_M,C11_5_9_Indig_st_ns_F,C11_5_9_Indig_st_ns_P,C11_5_9_Tot_M,C11_5_9_Tot_F,C11_5_9_Tot_P,C11_10_14_Indigen_M,C11_10_14_Indigen_F,C11_10_14_Indigen_P,C11_10_14_NonInd_M,C11_10_14_NonInd_F,C11_10_14_NonInd_P,C11_10_14_Ind_st_ns_M,C11_10_14_Ind_st_ns_F,C11_10_14_Ind_st_ns_P,C11_10_14_Tot_M,C11_10_14_Tot_F,C11_10_14_Tot_P,C11_15_19_Indigen_M,C11_15_19_Indigen_F,C11_15_19_Indigen_P,C11_15_19_NonInd_M,C11_15_19_NonInd_F,C11_15_19_NonInd_P,C11_15_19_Ind_st_ns_M,C11_15_19_Ind_st_ns_F,C11_15_19_Ind_st_ns_P,C11_15_19_Tot_M,C11_15_19_Tot_F,C11_15_19_Tot_P,C11_20_24_Indigen_M,C11_20_24_Indigen_F,C11_20_24_Indigen_P,C11_20_24_NonInd_M,C11_20_24_NonInd_F,C11_20_24_NonInd_P,C11_20_24_Ind_st_ns_M,C11_20_24_Ind_st_ns_F,C11_20_24_Ind_st_ns_P,C11_20_24_Tot_M,C11_20_24_Tot_F,C11_20_24_Tot_P,C11_25_29_Indigen_M,C11_25_29_Indigen_F,C11_25_29_Indigen_P,C11_25_29_NonInd_M,C11_25_29_NonInd_F,C11_25_29_NonInd_P,C11_25_29_Ind_st_ns_M,C11_25_29_Ind_st_ns_F,C11_25_29_Ind_st_ns_P,C11_25_29_Tot_M,C11_25_29_Tot_F,C11_25_29_Tot_P,C11_30_34_Indigen_M,C11_30_34_Indigen_F,C11_30_34_Indigen_P,C11_30_34_NonInd_M,C11_30_34_NonInd_F,C11_30_34_NonInd_P,C11_30_34_Ind_st_ns_M,C11_30_34_Ind_st_ns_F,C11_30_34_Ind_st_ns_P,C11_30_34_Tot_M,C11_30_34_Tot_F,C11_30_34_Tot_P,C11_35_39_Indigen_M,C11_35_39_Indigen_F,C11_35_39_Indigen_P,C11_35_39_NonInd_M,C11_35_39_NonInd_F,C11_35_39_NonInd_P,C11_35_39_Ind_st_ns_M,C11_35_39_Ind_st_ns_F,C11_35_39_Ind_st_ns_P,C11_35_39_Tot_M,C11_35_39_Tot_F,C11_35_39_Tot_P,C11_40_44_Indigen_M,C11_40_44_Indigen_F,C11_40_44_Indigen_P,C11_40_44_NonInd_M,C11_40_44_NonInd_F,C11_40_44_NonInd_P,C11_40_44_Ind_st_ns_M,C11_40_44_Ind_st_ns_F,C11_40_44_Ind_st_ns_P,C11_40_44_Tot_M,C11_40_44_Tot_F,C11_40_44_Tot_P,C11_45_49_Indigen_M,C11_45_49_Indigen_F,C11_45_49_Indigen_P,C11_45_49_NonInd_M,C11_45_49_NonInd_F,C11_45_49_NonInd_P,C11_45_49_Ind_st_ns_M,C11_45_49_Ind_st_ns_F,C11_45_49_Ind_st_ns_P,C11_45_49_Tot_M,C11_45_49_Tot_F,C11_45_49_Tot_P,C11_50_54_Indigen_M,C11_50_54_Indigen_F,C11_50_54_Indigen_P,C11_50_54_NonInd_M,C11_50_54_NonInd_F,C11_50_54_NonInd_P,C11_50_54_Ind_st_ns_M,C11_50_54_Ind_st_ns_F,C11_50_54_Ind_st_ns_P,C11_50_54_Tot_M,C11_50_54_Tot_F,C11_50_54_Tot_P,C11_55_59_Indigen_M,C11_55_59_Indigen_F,C11_55_59_Indigen_P,C11_55_59_NonInd_M,C11_55_59_NonInd_F,C11_55_59_NonInd_P,C11_55_59_Ind_st_ns_M,C11_55_59_Ind_st_ns_F,C11_55_59_Ind_st_ns_P,C11_55_59_Tot_M,C11_55_59_Tot_F,C11_55_59_Tot_P,C11_60_64_Indigen_M,C11_60_64_Indigen_F,C11_60_64_Indigen_P,C11_60_64_NonInd_M,C11_60_64_NonInd_F,C11_60_64_NonInd_P,C11_60_64_Ind_st_ns_M,C11_60_64_Ind_st_ns_F,C11_60_64_Ind_st_ns_P,C11_60_64_Tot_M,C11_60_64_Tot_F,C11_60_64_Tot_P,C11_65_over_Indigen_M,C11_65_over_Indigen_F,C11_65_over_Indigen_P,C11_65ove_NonInd_M,C11_65ove_NonInd_F,C11_65ove_NonInd_P,C11_65ove_Indig_st_ns_M,C11_65ove_Indig_st_ns_F,C11_65ove_Indig_st_ns_P,C11_65_over_Tot_M,C11_65_over_Tot_F,C11_65_over_Tot_P,C11_Tot_Indig_M,C11_Tot_Indig_F,C11_Tot_Indig_P,C11_Tot_NonInd_M,C11_Tot_NonInd_F,C11_Tot_NonInd_P,C11_Tot_Indig_st_ns_M,C11_Tot_Indig_st_ns_F,C11_Tot_Indig_st_ns_P,C11_Tot_Tot_M,C11_Tot_Tot_F,C11_Tot_Tot_P,C16_0_4_Indig_M,C16_0_4_Indig_F,C16_0_4_Indig_P,C16_0_4_NonInd_M,C16_0_4_NonInd_F,C16_0_4_NonInd_P,C16_0_4_Indig_st_ns_M,C16_0_4_Indig_st_ns_F,C16_0_4_Indig_st_ns_P,C16_0_4_Tot_M,C16_0_4_Tot_F,C16_0_4_Tot_P,C16_5_9_Indig_M,C16_5_9_Indig_F,C16_5_9_Indig_P,C16_5_9_NonInd_M,C16_5_9_NonInd_F,C16_5_9_NonInd_P,C16_5_9_Indig_st_ns_M,C16_5_9_Indig_st_ns_F
39499,32,37,64,218,177,391,17,19,37,261,235,499,13,18,33,140,129,272,12,16,33,170,167,336,6,20,28,90,80,168,16,12,32,118,115,225,47,28,71,210,212,418,17,14,26,268,251,523,36,38,73,458,470,930,72,38,116,572,545,1118,33,27,62,557,465,1019,101,42,145,687,533,1223,40,10,56,433,304,737,56,24,76,530,339,872,46,26,67,379,254,635,57,27,83,483,300,788,48,28,73,369,231,602,65,27,92,485,287,772,47,24,66,401,255,652,68,22,88,511,294,817,27,18,45,397,386,783,42,29,71,471,432,898,26,14,43,543,505,1045,72,41,107,643,557,1199,13,9,17,712,601,1312,71,44,111,801,651,1445,9,6,14,1033,619,1651,110,55,163,1160,675,1831,421,305,723,5941,4686,10624,786,409,1194,7150,5391,12544,25,18,36,133,122,250,24,22,44,178,159,341,13,15,28,110,110,227,21,19
39799,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,7,3,5,0,5,7,3,3,7,0,0,0,8,5,9,0,0,0,8,5,10,0,0,0,11,4,21,0,0,0,12,12,21,0,0,0,35,16,46,5,0,8,39,17,50,0,0,0,22,10,32,9,0,8,29,9,37,0,0,0,17,0,19,0,0,3,21,5,24,0,0,0,15,9,28,3,0,10,21,12,31,0,0,0,17,10,27,3,0,6,18,7,29,4,0,4,9,12,21,7,0,8,21,10,32,0,0,0,14,15,36,11,0,11,26,17,48,0,0,0,18,7,27,3,4,8,20,11,37,0,0,0,16,16,32,0,5,8,20,22,40,0,0,0,40,56,91,0,13,8,39,62,103,7,0,7,223,164,391,50,29,72,278,195,470,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
4GADE,999,903,1901,35031,33737,68770,1465,1420,2884,37501,36057,73556,937,850,1784,33765,31864,65632,1385,1318,2703,36083,34029,70117,935,909,1853,34964,33414,68388,1431,1293,2720,37332,35623,72953,897,821,1721,38519,37097,75611,1620,1364,2987,41044,39283,80323,713,733,1447,41479,40854,82335,2042,1488,3529,44236,43071,87307,565,611,1177,40241,40457,80698,1963,1448,3407,42767,42519,85277,430,500,928,37214,37610,74824,1637,1246,2876,39279,39355,78633,427,486,914,38765,39569,78331,1588,1271,2862,40782,41323,82106,422,522,947,40715,42180,82894,1667,1324,2993,42804,44024,86830,349,444,795,40550,42214,82760,1640,1345,2989,42540,44004,86545,297,372,673,39247,41553,80801,1683,1352,3037,41231,43270,84508,270,260,533,34831,37941,72769,1360,1211,2565,36459,39409,75870,165,188,352,33135,35477,68612,1319,1248,2566,34617,36912,71535,221,364,590,79315,100777,180093,3804,5191,8995,83344,106328,189674,7636,7963,15596,567773,594754,1162522,24600,22515,47111,600009,625222,1225238,1122,1004,2128,36389,34280,70670,1729,1626,3350,39238,36906,76146,1088,1071,2159,36653,35286,71937,1629,1542
4RSAU,832,842,1671,10269,9590,19859,476,450,926,11572,10877,22449,862,817,1674,10404,9922,20329,518,448,966,11784,11189,22972,825,829,1656,11191,10721,21917,529,481,1009,12541,12035,24579,745,704,1447,10722,9708,20427,501,411,912,11968,10818,22784,626,631,1251,8507,7472,15987,458,306,760,9590,8403,17999,571,582,1153,8449,8538,16994,450,319,775,9470,9449,18921,422,459,885,8611,8702,17318,412,286,701,9453,9448,18899,453,494,950,9728,10078,19808,494,366,856,10673,10944,21610,442,465,913,11769,11679,23447,599,397,994,12809,12535,25350,441,423,867,12299,12093,24392,650,418,1075,13391,12941,26332,313,352,665,12857,12549,25403,595,440,1033,13761,13346,27105,233,259,489,12482,11945,24430,565,436,998,13280,12641,25923,177,210,392,12298,12021,24320,638,507,1146,13112,12745,25858,305,359,665,30117,33268,63386,1587,1854,3442,32011,35479,67487,7244,7425,14676,169710,168298,338006,8468,7117,15584,185424,182837,368261,854,790,1649,9130,8801,17929,645,614,1252,10629,10210,20839,927,875,1804,10400,9575,19981,696,651
49499,4,3,7,55,57,115,3,4,10,69,68,134,0,0,4,48,52,97,0,0,3,46,57,110,0,0,0,28,28,57,5,0,5,35,27,60,8,3,11,59,53,114,7,7,17,76,67,145,13,10,22,135,116,250,7,11,16,149,133,283,12,13,22,143,119,266,15,3,18,170,135,308,9,7,10,159,89,247,18,12,25,178,107,286,15,9,23,130,87,217,9,0,8,152,92,253,13,5,18,127,63,191,11,6,20,151,81,225,5,5,16,126,56,178,9,9,16,141,74,213,6,11,20,114,99,212,6,8,16,126,118,246,4,3,3,131,71,203,11,4,20,138,81,224,6,0,5,109,75,184,15,4,19,123,82,206,3,3,7,186,149,337,24,24,46,211,170,387,91,77,163,1549,1118,2666,140,93,240,1777,1291,3067,9,8,14,36,32,69,3,0,7,46,42,89,0,6,8,24,26,51,0,6
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,1687,1632,3316,54254,51171,105419,3143,2939,6082,59082,55737,114820,1607,1572,3183,50636,48026,98660,2778,2577,5353,55029,52174,107197,1686,1562,3251,52131,49629,101757,2779,2599,5384,56599,53788,110391,1664,1512,3180,55651,53280,108929,2978,2668,5644,60289,57461,117747,1351,1225,2569,60204,58789,118996,4466,3147,7615,66020,63159,129178,1045,1022,2071,61575,60193,121769,5049,3449,8494,67671,64665,132331,850,850,1697,55827,56720,112550,4130,3019,7150,60806,60585,121395,821,884,1700,56849,58787,115635,3771,2784,6553,61442,62448,123893,722,877,1600,58410,60969,119375,3786,2754,6545,62919,64605,127525,615,717,1331,56045,58628,114673,3373,2487,5859,60035,61830,121868,523,596,1121,51815,54790,106609,3094,2316,5408,55430,57706,113137,336,457,789,46106,49307,95412,2793,2150,4947,49242,51918,101150,260,326,587,42864,44160,87025,2358,2061,4415,45482,46544,92026,296,409,709,92426,110909,203335,5540,6614,12158,98271,117930,216195,13462,13643,27104,794797,815345,1610145,50044,41572,91615,858304,870565,1728868,1840,1746,3587,59794,56774,116568,3406,3156,6557,65037,61673,126714,1800,1782,3579,60298,57084,117385,3046,2822
5RWAU,2491,2409,4903,14770,13802,28568,1383,1320,2710,18645,17532,36179,2480,2547,5022,14259,13639,27894,1230,1219,2450,17966,17403,35366,2448,2368,4823,14632,13610,28243,1226,1213,2445,18316,17189,35507,2100,1973,4072,12834,11350,24187,1121,842,1963,16052,14169,30226,1789,1787,3575,12253,10649,22902,1762,944,2701,15799,13384,29176,1551,1657,3216,14726,13337,28065,2284,1152,3434,18567,16149,34708,1333,1455,2788,14657,13525,28185,1874,1115,2990,17865,16095,33967,1378,1372,2750,16109,14954,31065,1967,1208,3171,19458,17530,36987,1275,1430,2703,17054,15677,32733,2058,1110,3167,20389,18213,38604,1078,1179,2255,17017,15126,32144,1961,1052,3015,20058,17356,37414,907,972,1886,16783,15156,31934,1840,981,2826,19524,17115,36642,705,788,1489,14825,13516,28346,1406,786,2195,16936,15089,32026,459,556,1010,13353,11698,25049,1093,695,1788,14905,12947,27846,687,917,1607,26250,26642,52886,1793,1650,3444,28727,29210,57941,20691,21411,42102,219517,202677,422200,23009,15291,38296,263211,239384,502593,2487,2303,4795,14076,13190,27268,1467,1328,2798,18035,16819,34855,2600,2461,5062,15010,14248,29257,1457,1406
59499,9,9,15,107,110,220,13,15,30,126,132,259,9,7,17,87,82,170,14,9,23,109,96,204,7,6,7,54,53,108,8,10,17,68,71,141,6,13,20,98,89,184,14,8,21,121,106,232,22,22,36,279,242,526,39,16,55,335,278,614,20,15,34,396,295,691,78,25,96,494,333,826,31,24,48,337,249,589,57,26,87,428,294,721,41,21,67,283,166,452,39,22,63,368,212,584,42,21,62,289,164,449,37,17,48,364,200,562,36,26,61,283,143,429,47,11,56,368,180,543,18,17,34,250,200,454,46,19,65,314,236,553,14,10,21,309,295,603,39,30,69,362,333,694,8,3,15,320,258,582,32,23,48,368,283,648,9,10,15,407,239,650,43,14,61,458,260,720,261,195,457,3510,2587,6098,509,234,740,4282,3010,7294,11,16,28,58,48,103,11,14,28,81,79,163,6,5,18,56,53,107,3,10
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,28,8,31,6,0,6,33,8,38,0,0,0,58,5,61,12,0,16,71,7,79,0,0,0,60,0,58,12,0,9,68,4,72,0,0,0,48,3,48,14,0,14,62,3,61,0,0,0,33,0,33,7,0,3,41,5,42,0,0,0,27,5,31,3,0,3,33,5,33,0,0,0,31,0,31,3,0,3,35,0,37,0,0,0,15,0,15,7,0,7,21,0,21,0,0,0,11,0,11,0,0,3,13,0,10,0,0,0,6,11,14,0,0,5,7,7,14,4,0,4,312,27,338,61,3,68,377,34,415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,427,438,867,6218,5894,12113,300,293,595,6948,6622,13565,408,374,781,6008,5501,11510,280,258,540,6695,6135,12828,424,375,801,6154,5899,12047,262,269,528,6834,6539,13376,369,363,731,6380,6151,12527,274,257,523,7017,6767,13781,316,352,667,6658,6606,13261,350,269,622,7326,7223,14548,262,280,544,6067,6335,12394,310,239,546,6635,6847,13487,167,202,372,5634,6044,11680,256,209,463,6058,6456,12512,179,213,393,6095,6703,12799,257,231,486,6536,7149,13678,186,230,412,6430,7011,13444,292,228,521,6909,7461,14375,165,188,347,6660,7155,13815,270,240,515,7094,7580,14674,151,156,311,6871,7600,14469,291,245,533,7311,8003,15317,116,130,250,6383,6917,13295,292,241,533,6784,7286,14078,87,93,179,5953,6249,12201,297,238,530,6331,6582,12914,106,147,251,13595,17054,30645,698,925,1624,14397,18125,32517,3358,3535,6896,95100,101101,196202,4428,4135,8558,102882,108775,211657,473,419,897,5859,5599,11453,332,317,649,6660,6337,12998,504,502,1005,6287,5997,12284,359,338
6RTAS,761,775,1531,7943,7395,15338,344,356,701,9048,8529,17570,725,670,1397,7779,7539,15313,331,329,663,8838,8532,17373,795,754,1550,8543,8206,16751,375,378,748,9717,9335,19051,706,671,1373,8702,8041,16742,373,317,686,9777,9021,18803,478,486,960,6768,6676,13443,298,226,519,7533,7383,14914,368,442,808,6338,6836,13173,261,203,461,6969,7484,14447,299,378,671,6391,7062,13448,245,236,483,6930,7673,14601,305,360,672,7604,8294,15898,290,287,577,8207,8939,17145,370,446,818,8623,9390,18008,363,282,646,9355,10115,19469,325,377,699,9220,9652,18871,388,296,684,9929,10326,20256,306,341,650,9689,10088,19775,399,318,708,10392,10742,21134,253,240,490,9197,9503,18706,418,323,735,9867,10067,19935,210,186,398,9233,9346,18580,415,333,745,9856,9868,19723,320,319,638,21240,23826,45062,1124,1247,2371,22676,25397,48074,6205,6442,12648,127268,131846,259117,5614,5122,10741,139097,143409,282508,759,777,1539,6644,6325,12967,449,477,925,7851,7576,15432,920,869,1780,7583,7119,14701,526,501
69499,3,0,4,19,15,37,0,0,4,25,20,42,7,0,6,7,16,26,0,3,4,13,19,28,0,0,0,14,10,27,0,0,3,14,15,23,6,0,4,34,45,76,0,11,7,45,56,96,7,3,14,48,34,87,4,4,5,54,47,105,9,0,8,63,43,108,9,0,12,74,48,123,6,0,8,45,23,64,4,0,8,60,23,83,4,0,4,48,21,69,5,0,5,56,21,77,5,0,9,45,28,73,4,0,5,50,33,86,5,0,3,44,37,78,3,0,3,49,33,84,0,0,6,34,26,61,5,0,5,37,34,65,0,0,4,36,28,66,3,0,3,42,31,69,0,0,0,41,37,79,0,4,5,47,40,87,3,0,3,46,42,91,5,8,6,55,45,97,56,15,76,517,413,929,42,31,71,612,460,1075,3,0,4,21,11,39,0,0,0,21,15,39,0,0,0,9,13,20,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,3,0,0,0,3,0,0,0,0,0,5,4,10,0,0,0,5,4,10,0,0,0,6,8,15,0,0,0,6,8,15,0,0,0,8,0,3,0,0,0,6,0,11,0,0,4,3,5,6,0,0,0,5,4,8,0,0,0,12,0,12,6,0,6,12,6,20,0,0,0,11,0,13,0,0,0,11,0,13,0,0,0,10,0,8,0,0,0,10,0,12,0,0,0,12,0,11,0,0,0,12,0,11,0,0,0,8,3,4,0,0,0,8,8,11,0,0,0,6,3,12,0,0,0,6,3,9,6,4,9,76,30,97,4,3,7,84,34,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,601,602,1199,3524,3279,6803,495,409,903,4618,4286,8906,592,588,1183,3085,3116,6201,428,408,831,4106,4101,8211,669,651,1319,3095,2996,6093,459,402,856,4225,4038,8265,659,538,1200,3177,2783,5961,497,369,865,4335,3692,8023,502,441,947,4214,3333,7546,581,391,971,5298,4167,9459,442,387,830,4616,4407,9021,683,502,1187,5741,5295,11038,377,368,746,4157,4173,8326,525,426,948,5057,4963,10023,423,394,816,4120,3992,8109,490,450,939,5032,4828,9863,360,407,766,4025,3899,7919,553,439,990,4936,4750,9683,301,310,612,3763,3569,7335,487,416,901,4554,4292,8846,250,277,525,3459,3358,6822,486,333,818,4197,3966,8157,168,214,377,3074,2739,5810,387,302,688,3628,3245,6876,107,154,263,2634,2140,4770,351,221,576,3093,2519,5608,125,206,327,3524,3031,6548,436,311,746,4076,3546,7624,5571,5529,11101,50461,46799,97260,6864,5360,12224,62898,57684,120586,621,569,1184,4024,3966,7987,493,489,983,5133,5017,10155,672,623,1289,3667,3422,7086,438,406
7RNTE,2521,2384,4902,1467,1402,2865,196,189,385,4184,3968,8155,2817,2608,5417,1204,1186,2397,185,153,337,4205,3947,8146,2491,2330,4816,1125,1004,2129,203,161,364,3822,3495,7315,2279,2186,4460,1058,930,1989,169,137,307,3505,3253,6757,2108,2230,4338,1294,1236,2537,202,149,347,3605,3619,7220,1972,2074,4046,1728,1745,3464,250,178,429,3950,3990,7940,1677,1711,3387,1670,1708,3387,228,164,393,3573,3581,7158,1521,1634,3153,1669,1601,3267,221,186,402,3411,3418,6828,1335,1618,2954,1671,1503,3174,216,195,410,3222,3310,6535,1084,1155,2240,1676,1530,3204,226,155,383,2989,2842,5829,869,1045,1911,1698,1503,3201,187,154,346,2757,2704,5458,645,723,1368,1488,1354,2845,191,118,312,2333,2194,4523,427,541,971,1248,874,2121,132,74,204,1806,1488,3295,644,929,1567,1341,1004,2344,176,131,303,2152,2062,4219,22381,23156,45539,20339,18574,38912,2788,2136,4925,45508,43871,89372,2287,2108,4398,1246,1238,2480,293,219,517,3823,3570,7397,2438,2281,4715,1212,1120,2328,233,228
79499,5,5,9,24,23,44,0,0,3,29,36,59,3,3,3,23,23,48,0,3,4,28,26,57,0,5,3,9,12,18,0,0,3,11,17,28,4,3,9,3,15,20,4,0,4,14,23,32,5,3,8,51,63,117,7,7,15,65,74,143,8,3,13,85,85,172,22,6,35,123,94,224,12,5,14,54,61,113,11,5,17,75,72,144,11,0,12,60,39,94,14,3,16,83,45,128,5,5,11,53,34,83,15,4,17,64,45,108,4,3,13,46,39,85,13,6,18,62,57,118,9,6,16,49,69,120,7,9,22,72,86,156,4,3,8,99,94,192,12,14,32,117,115,225,5,5,8,100,79,179,17,10,30,125,90,217,0,4,4,139,78,221,13,6,21,152,91,245,80,53,130,797,712,1509,143,88,228,1020,852,1870,0,7,6,35,23,57,9,3,18,44,39,79,3,6,3,24,44,69,7,12
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,7,0,4,0,0,0,12,0,12,3,0,3,15,0,16,0,0,0,10,4,12,3,0,3,14,4,16,0,0,0,15,0,15,0,0,0,16,0,17,0,0,0,5,0,7,0,0,0,11,0,9,0,0,0,5,0,5,0,0,0,12,0,12,0,0,0,10,0,10,0,0,0,10,0,9,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,5,0,6,0,0,0,5,0,6,0,0,0,0,5,4,0,0,0,4,5,10,0,0,5,76,18,91,16,0,12,91,16,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,317,257,575,11557,10787,22344,499,403,905,12373,11442,23814,285,266,553,10404,9733,20141,366,334,699,11059,10335,21394,271,290,565,10072,9740,19819,405,293,697,10751,10327,21081,341,252,597,11431,10880,22305,554,479,1034,12328,11607,23937,284,280,562,14295,14018,28313,1021,774,1794,15600,15068,30662,235,227,457,14166,14376,28546,831,616,1445,15226,15224,30448,163,180,345,12893,13271,26160,636,499,1136,13690,13954,27644,175,160,329,12611,13004,25611,545,410,955,13324,13579,26902,147,158,304,12070,12583,24654,543,420,959,12761,13156,25917,136,151,287,11296,12129,23422,499,366,866,11936,12638,24571,106,106,210,10774,11590,22368,425,347,778,11307,12049,23352,87,89,182,9400,10116,19511,367,316,682,9857,10516,20371,49,41,86,8600,9093,17692,308,268,573,8952,9398,18350,45,64,111,16533,20038,36577,677,777,1456,17257,20880,38138,2639,2514,5155,166102,171360,337461,7679,6295,13972,176418,180171,356591,383,347,728,12856,12004,24860,653,541,1193,13892,12893,26785,369,308,675,12332,11451,23781,514,457
89499,0,0,0,13,17,28,0,0,0,15,17,28,0,0,0,11,5,19,0,0,0,14,13,20,0,0,0,5,6,6,0,0,0,5,6,6,0,0,0,29,25,55,0,0,5,33,27,59,0,3,4,31,42,70,3,7,5,37,44,83,0,5,9,38,37,73,0,0,0,40,40,82,0,0,0,33,32,63,4,0,4,34,32,71,0,0,0,29,23,52,0,0,0,34,24,57,0,0,0,28,24,52,4,0,4,31,25,53,0,0,0,11,11,24,3,0,0,13,17,30,4,0,4,22,24,41,5,0,7,27,25,51,3,3,7,19,14,29,0,0,0,24,17,35,0,0,0,9,7,20,3,0,3,17,7,24,0,0,0,17,11,28,0,0,0,17,13,30,16,11,30,282,286,571,27,12,35,323,306,631,0,0,0,8,3,10,0,0,0,6,3,11,0,0,0,4,8,14,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,10,16,20,61,42,103,4,8,13,78,60,140,14,14,28,64,69,132,6,9,14,87,87,176,15,14,28,75,62,138,9,12,19,92,93,182,7,7,16,97,40,137,0,3,4,112,52,165,3,9,11,187,52,241,7,0,13,199,68,266,6,3,11,346,54,405,3,4,8,358,62,423,14,6,20,206,61,269,4,0,5,221,77,296,9,13,20,127,66,189,11,3,13,148,78,223,3,6,8,118,82,193,3,10,14,125,93,222,5,5,8,122,87,211,4,3,6,127,94,220,10,8,16,97,79,175,5,0,6,107,87,197,4,4,10,93,73,164,3,11,16,110,88,193,4,4,9,92,34,132,5,0,9,108,41,146,3,7,17,85,45,131,4,5,8,98,63,158,119,124,244,1767,853,2621,74,68,138,1958,1045,3002,10,7,14,126,112,234,9,7,16,136,122,262,12,9,23,130,111,238,17,7
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,3,0,7,0,0,0,0,9,9,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,30,0,0,0,5,19,30,0,0,0,3,0,5,0,0,0,3,0,5,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
