GCCSA_CODE_2021,Age_37_C16_F,Age_37_C16_P,Age_37_C21_M,Age_37_C21_F,Age_37_C21_P,Age_38_C11_M,Age_38_C11_F,Age_38_C11_P,Age_38_C16_M,Age_38_C16_F,Age_38_C16_P,Age_38_C21_M,Age_38_C21_F,Age_38_C21_P,Age_39_C11_M,Age_39_C11_F,Age_39_C11_P,Age_39_C16_M,Age_39_C16_F,Age_39_C16_P,Age_39_C21_M,Age_39_C21_F,Age_39_C21_P,Age_35_39_C11_M,Age_35_39_C11_F,Age_35_39_C11_P,Age_35_39_C16_M,Age_35_39_C16_F,Age_35_39_C16_P,Age_35_39_C21_M,Age_35_39_C21_F,Age_35_39_C21_P,Age_40_C11_M,Age_40_C11_F,Age_40_C11_P,Age_40_C16_M,Age_40_C16_F,Age_40_C16_P,Age_40_C21_M,Age_40_C21_F,Age_40_C21_P,Age_41_C11_M,Age_41_C11_F,Age_41_C11_P,Age_41_C16_M,Age_41_C16_F,Age_41_C16_P,Age_41_C21_M,Age_41_C21_F,Age_41_C21_P,Age_42_C11_M,Age_42_C11_F,Age_42_C11_P,Age_42_C16_M,Age_42_C16_F,Age_42_C16_P,Age_42_C21_M,Age_42_C21_F,Age_42_C21_P,Age_43_C11_M,Age_43_C11_F,Age_43_C11_P,Age_43_C16_M,Age_43_C16_F,Age_43_C16_P,Age_43_C21_M,Age_43_C21_F,Age_43_C21_P,Age_44_C11_M,Age_44_C11_F,Age_44_C11_P,Age_44_C16_M,Age_44_C16_F,Age_44_C16_P,Age_44_C21_M,Age_44_C21_F,Age_44_C21_P,Age_40_44_C11_M,Age_40_44_C11_F,Age_40_44_C11_P,Age_40_44_C16_M,Age_40_44_C16_F,Age_40_44_C16_P,Age_40_44_C21_M,Age_40_44_C21_F,Age_40_44_C21_P,Age_45_C11_M,Age_45_C11_F,Age_45_C11_P,Age_45_C16_M,Age_45_C16_F,Age_45_C16_P,Age_45_C21_M,Age_45_C21_F,Age_45_C21_P,Age_46_C11_M,Age_46_C11_F,Age_46_C11_P,Age_46_C16_M,Age_46_C16_F,Age_46_C16_P,Age_46_C21_M,Age_46_C21_F,Age_46_C21_P,Age_47_C11_M,Age_47_C11_F,Age_47_C11_P,Age_47_C16_M,Age_47_C16_F,Age_47_C16_P,Age_47_C21_M,Age_47_C21_F,Age_47_C21_P,Age_48_C11_M,Age_48_C11_F,Age_48_C11_P,Age_48_C16_M,Age_48_C16_F,Age_48_C16_P,Age_48_C21_M,Age_48_C21_F,Age_48_C21_P,Age_49_C11_M,Age_49_C11_F,Age_49_C11_P,Age_49_C16_M,Age_49_C16_F,Age_49_C16_P,Age_49_C21_M,Age_49_C21_F,Age_49_C21_P,Age_45_49_C11_M,Age_45_49_C11_F,Age_45_49_C11_P,Age_45_49_C16_M,Age_45_49_C16_F,Age_45_49_C16_P,Age_45_49_C21_M,Age_45_49_C21_F,Age_45_49_C21_P,Age_50_C11_M,Age_50_C11_F,Age_50_C11_P,Age_50_C16_M,Age_50_C16_F,Age_50_C16_P,Age_50_C21_M,Age_50_C21_F,Age_50_C21_P,Age_51_C11_M,Age_51_C11_F,Age_51_C11_P,Age_51_C16_M,Age_51_C16_F,Age_51_C16_P,Age_51_C21_M,Age_51_C21_F,Age_51_C21_P,Age_52_C11_M,Age_52_C11_F,Age_52_C11_P,Age_52_C16_M,Age_52_C16_F,Age_52_C16_P,Age_52_C21_M,Age_52_C21_F,Age_52_C21_P,Age_53_C11_M,Age_53_C11_F,Age_53_C11_P,Age_53_C16_M,Age_53_C16_F,Age_53_C16_P,Age_53_C21_M,Age_53_C21_F,Age_53_C21_P,Age_54_C11_M,Age_54_C11_F,Age_54_C11_P,Age_54_C16_M,Age_54_C16_F,Age_54_C16_P,Age_54_C21_M,Age_54_C21_F,Age_54_C21_P,Age_50_54_C11_M,Age_50_54_C11_F,Age_50_54_C11_P,Age_50_54_C16_M,Age_50_54_C16_F,Age_50_54_C16_P,Age_50_54_C21_M,Age_50_54_C21_F,Age_50_54_C21_P,Age_55_C11_M,Age_55_C11_F,Age_55_C11_P,Age_55_C16_M,Age_55_C16_F,Age_55_C16_P
1GSYD,35393,70311,40989,42072,83053,33034,34573,67613,34163,34634,68805,41156,42259,83411,33990,35625,69616,33304,33904,67206,40040,40694,80731,164260,170338,334607,176949,178513,355461,203911,209496,413405,33852,36012,69867,33238,34095,67331,39534,39254,78789,31546,33303,64850,32946,33685,66633,37365,37152,74513,30709,32790,63497,33599,34486,68081,36044,36587,72632,29773,31435,61205,33530,35030,68559,34587,35155,69747,29186,30277,59460,34199,35773,69974,34060,34603,68667,155066,163819,318887,167513,173061,340581,181586,182755,364341,29658,30220,59875,34252,36619,70873,33575,34375,67950,29612,31056,60670,31852,33351,65204,33536,34380,67916,30562,31690,62252,30893,32832,63726,33637,34765,68408,30994,31986,62981,30248,32124,62373,34043,35319,69366,30572,31134,61710,29380,30217,59590,34778,36303,71080,151396,156088,307479,156618,165141,321766,169568,175147,344721,30166,31299,61466,29815,30368,60179,34672,36885,71552,28774,29897,58664,29310,30474,59785,31951,33474,65419,27899,28627,56526,30496,31544,62040,31306,33058,64363,27365,28870,56233,30811,31704,62519,29984,31642,61630,26745,27861,54607,30341,30956,61296,29296,30183,59481,140942,146554,287496,150772,155047,305816,157208,165240,322446,25977,27197,53174,29499,30818,60313
1RNSW,14513,28271,15914,17122,33030,15343,16546,31888,13760,14605,28370,16172,17064,33230,16585,17502,34087,14139,14835,28971,16048,16624,32672,73986,78478,152468,69789,73505,143293,80859,84966,165827,16830,17997,34829,14402,15378,29782,15802,16871,32667,15687,16702,32392,14911,15460,30374,15415,15991,31409,15863,17010,32874,15683,16392,32079,15199,16015,31219,15235,16162,31397,16270,17354,33622,15048,16068,31112,15495,16574,32068,17462,18312,35777,15256,16075,31340,79111,84453,163555,78731,82899,161625,76723,81022,157744,15575,16449,32021,17772,18673,36445,15567,16276,31842,16139,16602,32746,16486,17387,33876,15933,16541,32472,17280,17808,35089,16488,17540,34032,16577,17474,34047,17651,18603,36252,15803,16779,32586,17102,18216,35315,18210,18682,36888,15857,16994,32850,18311,19339,37644,84852,88149,172999,82406,87380,169779,83478,87841,171323,18255,18868,37122,16220,17049,33273,18690,19573,38258,17859,18477,36338,16451,17061,33513,17098,18004,35101,17837,18572,36409,17831,18485,36313,17167,18194,35363,17432,18183,35612,18213,19240,37450,16284,17389,33676,17397,17685,35089,18779,19446,38225,16650,17734,34389,88785,91783,180566,87492,91281,178772,85888,90890,176779,17050,17110,34161,19047,19601,38650
19499,53,178,129,87,212,123,69,202,133,79,207,117,68,185,123,88,210,94,60,150,103,78,176,661,385,1053,622,335,959,562,392,954,192,75,265,164,55,223,111,79,189,137,84,223,124,61,187,101,61,161,145,63,212,135,73,207,134,79,214,123,66,190,108,56,165,94,72,166,106,54,159,120,49,168,105,62,168,708,340,1047,644,296,938,542,357,902,151,70,218,152,78,229,101,63,160,130,51,176,101,46,150,104,76,177,123,51,183,117,61,171,130,68,192,90,61,152,108,77,182,117,65,183,129,81,211,95,56,152,97,64,161,622,319,938,568,310,878,540,332,877,157,71,230,156,77,234,106,75,185,106,78,186,108,59,164,78,66,145,104,72,176,104,70,173,113,69,182,103,73,173,82,55,140,84,49,136,128,61,187,131,74,207,82,72,153,602,355,954,584,335,920,473,333,801,108,68,177,108,78,190
19799,0,3,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,4,3,5,3,7,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,5,0,9,0,0,0,4,0,4,0,4,7,0,0,0,0,0,0,0,6,7,0,0,0,8,0,8,9,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,8,3,5,3,0,0,0,4,0,4,0,0,3,0,0,0,3,0,3,0,0,6,0,0,0,10,0,10,9,10,16,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,4,6,8,0,0,0,0,0,0,3,4,4,0,0,0,0,0,0,5,10,11,0,0,0,0,0,0,14,25,36,0,0,0,3,0,0,7,6,7
2GMEL,32569,64576,38915,39922,78840,29755,30914,60667,30991,31409,62397,39076,39883,78964,30479,32364,62846,30575,30776,61354,37948,38424,76369,147200,153491,300696,161753,163568,325322,194831,200968,395798,30999,33702,64703,30428,31149,61573,36778,36838,73619,29902,31478,61383,30119,31207,61322,34802,34932,69734,29339,31029,60369,30751,32214,62963,33593,33890,67483,28492,29992,58481,30565,32311,62880,32271,32578,64848,27130,28479,55611,31378,33647,65027,31618,31994,63615,145863,154680,300548,153238,160526,313771,169068,170237,339303,27099,28467,55561,31836,34834,66670,31254,31623,62880,27048,28380,55423,30530,32301,62828,31183,32330,63513,27200,28514,55714,29702,31736,61436,30941,32831,63770,27565,28389,55957,29234,30703,59941,31213,32740,63958,27233,27939,55173,27646,29065,56707,31951,34290,66244,136147,141678,277829,148946,158633,307587,156543,163821,320361,26713,27872,54584,27740,28945,56683,32302,35199,67500,25548,26940,52495,26920,28303,55219,30728,32405,63133,25527,26451,51974,27527,29019,56545,30108,31952,62054,24371,25568,49940,27655,28756,56409,29058,30393,59454,23583,24931,48507,26995,27881,54877,27613,28993,56605,125744,131763,257503,136829,142905,279732,149807,158943,308742,23668,24519,48186,26523,28030,54550
2RVIC,7862,15261,8940,9675,18611,8119,8736,16855,7807,8013,15825,9093,9590,18685,8644,9364,18012,7537,8197,15731,8584,9521,18105,39587,42375,81957,37727,40283,78018,44925,48263,93191,8946,9769,18710,7910,8304,16218,8694,9509,18207,8559,9232,17786,8092,8665,16762,8379,9009,17387,8998,9487,18482,8443,8984,17429,8439,8969,17404,8609,8998,17616,8668,9289,17954,8786,9108,17896,8413,8983,17396,9335,9833,19165,8567,9231,17797,43525,46465,89993,42445,45074,87524,42862,45823,88692,8464,9199,17664,9465,10322,19792,8751,9197,17955,8779,9245,18029,8916,9546,18466,8870,9533,18404,9193,9604,18798,9366,9841,19202,9260,9859,19114,9424,10019,19450,8974,9424,18401,9392,9964,19350,9734,10329,20070,8743,9330,18070,9995,10619,20615,45604,48405,94001,45471,48461,93935,46266,49169,95436,9702,10175,19874,8928,9666,18587,10350,11085,21434,9324,9851,19179,9085,9562,18651,9631,10307,19936,9596,9854,19453,9588,10219,19810,9907,10643,20545,9278,9662,18938,9846,10458,20303,9524,10073,19600,9168,9516,18686,10041,10792,20827,9388,10037,19424,47072,49050,96125,47486,50696,98181,48795,52146,100937,9298,9570,18868,9990,10781,20777
29499,48,130,106,83,192,87,51,135,80,41,119,85,65,154,114,53,164,71,35,102,83,74,161,479,276,757,439,251,691,515,416,929,114,50,164,94,35,131,142,81,224,74,64,136,60,58,108,97,84,182,75,52,128,88,40,125,89,62,150,75,49,118,65,43,113,69,52,117,83,31,113,75,53,128,88,44,131,414,248,661,370,228,599,488,321,806,67,37,105,93,43,138,140,61,199,63,39,99,62,35,98,78,32,107,55,45,103,78,30,105,87,42,124,72,33,107,68,25,93,99,44,148,69,48,114,53,30,86,87,59,147,330,197,527,351,167,523,483,238,723,80,42,124,69,26,92,134,50,186,72,30,103,57,34,93,87,49,138,43,41,84,55,36,91,68,62,136,46,33,85,52,43,92,60,52,116,53,34,90,51,32,86,69,32,100,297,176,475,281,176,455,427,242,668,42,30,78,51,30,85
29799,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,5,0,5,0,0,0,7,0,7,7,0,7,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,3,0,3,0,0,0,0,0,0
3GBRI,15538,30682,18378,19332,37716,15465,16089,31554,15057,15793,30852,18647,19807,38456,15817,16644,32466,14913,15721,30634,18283,18657,36942,75527,78388,153921,77273,80044,157316,92408,97141,189551,15996,17027,33027,15152,15764,30917,17926,18366,36292,15212,16004,31219,15394,16028,31421,16927,17838,34764,14594,15434,30023,15772,16353,32130,16632,17128,33756,14142,14789,28927,15999,16764,32763,16329,16966,33299,13974,14477,28448,16274,17107,33382,15904,16771,32677,73917,77729,151645,78591,82020,160612,83727,87059,170787,13609,14113,27721,16494,17451,33946,16121,16745,32868,13771,14168,27937,15583,16464,32047,16105,17031,33141,14263,14572,28838,14925,15737,30664,16358,17146,33501,13987,14752,28740,14673,15251,29925,16804,17653,34459,14001,14658,28660,14327,14953,29280,17131,17908,35040,69630,72269,141897,76005,79861,155861,82514,86490,169000,13752,14232,27987,13772,14458,28227,17312,18146,35457,13140,13792,26932,13828,14252,28086,15981,16936,32916,12864,13542,26408,14332,14836,29169,15479,16188,31670,12380,12992,25366,14042,14869,28908,14778,15574,30353,11994,12545,24540,14010,14795,28811,14483,15167,29656,64132,67099,131225,69989,73211,143194,78033,82018,160054,12014,12260,24277,13715,14326,28042
3RQLD,14991,29212,15870,17292,33165,15573,16383,31956,13877,14911,28782,16443,17753,34192,16271,17139,33411,14489,15096,29591,16071,17036,33108,75131,78310,153441,71687,75466,147154,80086,86376,166459,16914,17537,34450,14681,15599,30281,16075,17017,33094,15813,16373,32183,14762,15605,30363,15444,16249,31700,15781,16439,32215,15920,16517,32432,15318,16450,31772,15003,15705,30706,16347,17239,33590,14749,15914,30665,14995,15573,30569,16914,17957,34869,15331,16319,31651,78496,81628,160125,78623,82913,161536,76925,81953,158880,14950,15670,30623,17520,18536,36062,15497,16544,32048,15106,15938,31045,16353,17106,33464,15829,16737,32570,16030,16385,32414,16264,17023,33288,16699,17198,33897,16121,16762,32879,15549,16315,31856,17226,18104,35325,16288,16760,33049,15378,16312,31692,17606,18850,36452,78493,81510,160003,81059,85297,166353,82857,87428,170281,16386,16800,33185,15465,16176,31639,18387,19286,37675,15693,16048,31740,15540,16212,31755,17061,17813,34874,15363,15694,31059,16382,17064,33446,16714,17758,34475,14881,15543,30421,16563,17276,33845,16061,16822,32881,14710,14850,29559,16552,17371,33925,16120,16785,32902,77025,78933,155960,80507,84103,164606,84352,88462,172813,14490,14857,29350,16607,17318,33930
