GCCSA_CODE_2021,C21_F_Health_15_19,C21_F_Health_20_24,C21_F_Health_25_34,C21_F_Health_35_44,C21_F_Health_45_54,C21_F_Health_55_64,C21_F_Health_65_74,C21_F_Health_75_84,C21_F_Health_85over,C21_F_Health_Tot,C21_F_Educ_15_19,C21_F_Educ_20_24,C21_F_Educ_25_34,C21_F_Educ_35_44,C21_F_Educ_45_54,C21_F_Educ_55_64,C21_F_Educ_65_74,C21_F_Educ_75_84,C21_F_Educ_85over,C21_F_Educ_Tot,C21_F_MngtCom_15_19,C21_F_MngtCom_20_24,C21_F_MngtCom_25_34,C21_F_MngtCom_35_44,C21_F_MngtCom_45_54,C21_F_MngtCom_55_64,C21_F_MngtCom_65_74,C21_F_MngtCom_75_84,C21_F_MngtCom_85over,C21_F_MngtCom_Tot,C21_F_Soc_cult_15_19,C21_F_Soc_cult_20_24,C21_F_Soc_cult_25_34,C21_F_Soc_cult_35_44,C21_F_Soc_cult_45_54,C21_F_Soc_cult_55_64,C21_F_Soc_cult_65_74,C21_F_Soc_cult_75_84,C21_F_Soc_cult_85over,C21_F_Soc_cult_Tot,C21_F_Creative_art_15_19,C21_F_Creative_art_20_24,C21_F_Creative_art_25_34,C21_F_Creative_art_35_44,C21_F_Creative_art_45_54,C21_F_Creative_art_55_64,C21_F_Creative_art_65_74,C21_F_Creative_art_75_84,C21_F_Creative_art_85over,C21_F_Creative_art_Tot,C21_F_FoodHos_PS_15_19,C21_F_FoodHos_PS_20_24,C21_F_FoodHos_PS_25_34,C21_F_FoodHos_PS_35_44,C21_F_FoodHos_PS_45_54,C21_F_FoodHos_PS_55_64,C21_F_FoodHos_PS_65_74,C21_F_FoodHos_PS_75_84,C21_F_FoodHos_PS_85over,C21_F_FoodHos_PS_Tot,C21_F_MixFld_pr_15_19,C21_F_MixFld_pr_20_24,C21_F_MixFld_pr_25_34,C21_F_MixFld_pr_35_44,C21_F_MixFld_pr_45_54,C21_F_MixFld_pr_55_64,C21_F_MixFld_pr_65_74,C21_F_MixFld_pr_75_84,C21_F_MixFld_pr_85over,C21_F_MixFld_pr_Tot,C21_F_FldStu_ID_15_19,C21_F_FldStu_ID_20_24,C21_F_FldStu_ID_25_34,C21_F_FldStu_ID_35_44,C21_F_FldStu_ID_45_54,C21_F_FldStu_ID_55_64,C21_F_FldStu_ID_65_74,C21_F_FldStu_ID_75_84,C21_F_FldStu_ID_85over,C21_F_FldStu_ID_Tot,C21_F_FldStu_NS_15_19,C21_F_FldStu_NS_20_24,C21_F_FldStu_NS_25_34,C21_F_FldStu_NS_35_44,C21_F_FldStu_NS_45_54,C21_F_FldStu_NS_55_64,C21_F_FldStu_NS_65_74,C21_F_FldStu_NS_75_84,C21_F_FldStu_NS_85over,C21_F_FldStu_NS_Tot,C21_F_Tot_15_19,C21_F_Tot_20_24,C21_F_Tot_25_34,C21_F_Tot_35_44,C21_F_Tot_45_54,C21_F_Tot_55_64,C21_F_Tot_65_74,C21_F_Tot_75_84,C21_F_Tot_85over,C21_F_Tot_Tot,C11_P_NatPhy_sci_15_19,C11_P_NatPhy_sci_20_24,C11_P_NatPhy_sci_25_34,C11_P_NatPhy_sci_35_44,C11_P_NatPhy_sci_45_54,C11_P_NatPhy_sci_55_64,C11_P_NatPhy_sci_65_74,C11_P_NatPhy_sci_75_84,C11_P_NatPhy_sci_85over,C11_P_NatPhy_sci_Tot,C11_P_InfTec_15_19,C11_P_InfTec_20_24,C11_P_InfTec_25_34,C11_P_InfTec_35_44,C11_P_InfTec_45_54,C11_P_InfTec_55_64,C11_P_InfTec_65_74,C11_P_InfTec_75_84,C11_P_InfTec_85over,C11_P_InfTec_Tot,C11_P_EngRT_15_19,C11_P_EngRT_20_24,C11_P_EngRT_25_34,C11_P_EngRT_35_44,C11_P_EngRT_45_54,C11_P_EngRT_55_64,C11_P_EngRT_65_74,C11_P_EngRT_75_84,C11_P_EngRT_85over,C11_P_EngRT_Tot,C11_P_ArchBuild_15_19,C11_P_ArchBuild_20_24,C11_P_ArchBuild_25_34,C11_P_ArchBuild_35_44,C11_P_ArchBuild_45_54,C11_P_ArchBuild_55_64,C11_P_ArchBuild_65_74,C11_P_ArchBuild_75_84,C11_P_ArchBuild_85over,C11_P_ArchBuild_Tot,C11_P_AgEnv_RS_15_19,C11_P_AgEnv_RS_20_24,C11_P_AgEnv_RS_25_34,C11_P_AgEnv_RS_35_44,C11_P_AgEnv_RS_45_54,C11_P_AgEnv_RS_55_64,C11_P_AgEnv_RS_65_74,C11_P_AgEnv_RS_75_84,C11_P_AgEnv_RS_85over,C11_P_AgEnv_RS_Tot,C11_P_Health_15_19,C11_P_Health_20_24,C11_P_Health_25_34,C11_P_Health_35_44,C11_P_Health_45_54,C11_P_Health_55_64,C11_P_Health_65_74,C11_P_Health_75_84,C11_P_Health_85over,C11_P_Health_Tot,C11_P_Educ_15_19,C11_P_Educ_20_24,C11_P_Educ_25_34,C11_P_Educ_35_44,C11_P_Educ_45_54,C11_P_Educ_55_64,C11_P_Educ_65_74,C11_P_Educ_75_84,C11_P_Educ_85over,C11_P_Educ_Tot,C11_P_MngtCom_15_19,C11_P_MngtCom_20_24,C11_P_MngtCom_25_34,C11_P_MngtCom_35_44,C11_P_MngtCom_45_54,C11_P_MngtCom_55_64,C11_P_MngtCom_65_74,C11_P_MngtCom_75_84,C11_P_MngtCom_85over,C11_P_MngtCom_Tot,C11_P_Soc_cult_15_19,C11_P_Soc_cult_20_24,C11_P_Soc_cult_25_34,C11_P_Soc_cult_35_44,C11_P_Soc_cult_45_54,C11_P_Soc_cult_55_64,C11_P_Soc_cult_65_74,C11_P_Soc_cult_75_84,C11_P_Soc_cult_85over,C11_P_Soc_cult_Tot,C11_P_Creative_art_15_19,C11_P_Creative_art_20_24,C11_P_Creative_art_25_34,C11_P_Creative_art_35_44,C11_P_Creative_art_45_54,C11_P_Creative_art_55_64,C11_P_Creative_art_65_74,C11_P_Creative_art_75_84,C11_P_Creative_art_85over,C11_P_Creative_art_Tot
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,3,5,6,4,6,0,0,0,20,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4
7GDAR,37,386,2115,1429,895,717,388,143,33,6146,22,153,920,1045,889,689,433,150,15,4321,138,468,2627,2235,1586,1038,406,98,18,8607,79,322,1515,1428,1120,822,392,94,7,5783,9,69,326,265,166,97,60,13,5,1012,99,159,654,522,334,184,75,18,6,2054,6,3,13,13,9,3,0,0,0,41,8,21,139,116,105,61,38,10,0,496,360,430,1317,1110,876,685,465,240,98,5590,814,2233,10607,9076,6550,4610,2398,803,184,37272,0,57,374,358,287,191,70,13,0,1354,34,143,492,306,202,113,19,7,0,1308,106,791,2147,2243,2008,1369,595,154,18,9434,40,269,695,603,563,453,188,57,5,2873,41,113,362,361,255,126,48,8,3,1315,18,281,1342,1090,1026,674,225,80,15,4750,12,111,726,837,916,799,309,57,8,3771,147,744,2559,2279,1663,999,256,42,15,8707,81,428,1506,1439,1197,753,256,60,13,5727,14,114,437,287,211,150,49,14,0,1273
7RNTE,14,132,878,599,464,469,194,36,19,2799,12,80,453,437,478,415,199,54,11,2136,47,114,760,625,575,354,134,22,6,2643,19,127,744,621,487,384,145,29,3,2557,5,33,153,77,63,57,19,11,0,426,46,105,266,195,130,76,31,3,0,858,0,5,5,9,6,6,0,0,0,28,6,14,45,44,27,21,13,0,0,171,427,435,1098,833,742,635,337,100,33,4646,603,1159,4752,3698,3171,2536,1127,272,75,17392,0,34,166,128,105,69,28,6,0,536,4,30,128,81,56,25,4,0,0,335,54,334,966,1026,962,662,214,50,9,4263,28,129,414,348,312,229,98,9,0,1572,42,113,336,294,214,91,28,4,0,1129,20,98,719,698,712,469,113,34,3,2873,9,104,590,642,688,568,150,24,0,2774,43,250,919,891,698,470,81,16,0,3377,31,208,764,725,613,441,99,11,3,2900,15,57,191,159,129,75,27,0,0,655
79499,0,0,42,12,12,23,4,0,0,95,0,0,10,9,17,14,6,4,0,58,0,4,33,26,17,24,7,0,0,113,0,6,35,21,13,20,8,0,0,103,0,3,16,3,0,3,5,0,0,25,0,0,8,3,7,3,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,8,36,43,147,117,155,127,39,6,0,662,36,63,307,214,229,210,76,9,0,1144,0,3,7,3,4,0,0,0,0,26,0,0,4,4,4,0,0,0,0,14,3,17,31,26,33,55,23,0,0,187,0,0,17,15,10,15,10,0,0,71,0,0,14,9,8,5,0,0,0,34,0,5,25,6,17,32,6,0,0,93,0,4,8,3,8,14,14,0,0,56,0,9,34,17,11,26,11,0,0,110,0,18,29,21,14,10,6,0,0,101,0,5,11,6,3,4,0,0,0,37
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,8,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,6,9,7,3,0,0,0,29,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
8ACTE,56,1171,4724,3633,2649,2334,1731,888,327,17509,39,514,2604,2819,2368,2108,2142,1208,307,14115,158,1461,7548,7733,5960,4062,2415,879,264,30485,145,2340,7991,7363,5485,4138,2881,1146,249,31739,69,582,1926,1728,1140,662,378,167,60,6711,228,594,1399,1133,850,464,282,146,45,5142,16,23,22,16,17,19,20,10,6,141,17,137,486,601,457,345,214,125,53,2436,644,1012,2090,1539,1172,886,962,814,561,9675,1458,9120,33684,30894,23150,17130,12248,5789,1998,135466,17,802,2551,2340,2225,1796,879,334,108,11047,160,783,3934,3097,2381,1059,196,15,0,11633,74,960,3634,3744,3651,2959,1736,949,252,17966,73,788,1705,1645,1411,1151,705,354,105,7935,26,205,823,889,641,442,207,106,20,3359,30,675,2809,2841,3069,2270,1140,558,204,13597,15,369,2332,2409,2582,2795,1613,557,148,12823,275,2933,9217,8512,6941,4771,1852,654,316,35478,178,2685,9603,7719,6764,5639,2583,895,239,36308,100,984,2644,1721,1166,695,285,127,53,7779
89499,0,4,9,4,0,3,0,0,0,21,0,0,0,0,0,5,0,0,0,9,0,0,6,13,0,0,0,3,0,24,0,0,13,6,6,10,5,0,0,34,0,4,0,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,7,7,3,6,4,0,0,35,3,20,43,36,21,36,7,3,0,166,0,4,8,8,0,0,3,0,0,20,0,0,4,0,0,0,0,0,0,10,0,4,10,4,3,0,0,0,0,26,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,4,0,3,13,8,3,9,4,0,0,38,0,0,0,5,3,7,0,0,0,21,0,9,17,17,9,3,0,0,0,63,0,12,26,10,17,10,0,0,0,81,0,0,9,0,0,0,0,0,0,13
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,7,19,20,18,26,30,9,4,136,0,7,19,28,27,32,22,7,0,153,0,14,34,47,31,37,26,7,0,202,0,6,18,32,28,23,12,10,0,132,0,0,7,5,4,16,3,0,0,38,7,12,20,19,23,10,3,3,5,92,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,6,0,0,0,16,20,17,53,56,47,60,39,32,4,328,31,71,193,237,196,220,132,70,14,1170,0,0,6,10,0,0,0,0,0,19,0,3,7,3,0,0,0,0,0,9,0,11,27,39,50,35,8,0,0,171,0,0,9,10,15,11,6,0,0,45,0,3,6,12,12,3,0,0,0,30,0,5,8,12,11,16,4,0,0,49,0,0,20,29,24,12,0,0,0,98,8,8,30,33,34,10,3,0,0,129,0,6,22,23,20,4,0,0,0,82,0,0,5,0,5,0,0,0,0,13
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
