GCCSA_CODE_2021,C16_OD_H_f_a_s_o_NPUR_5,C16_OD_H_f_a_s_o_NPUR_6mor,C16_OD_H_f_a_s_o_Tot,C16_OD_Tot_NPUR_1,C16_OD_Tot_NPUR_2,C16_OD_Tot_NPUR_3,C16_OD_Tot_NPUR_4,C16_OD_Tot_NPUR_5,C16_OD_Tot_NPUR_6mor,C16_OD_Tot_Tot,C16_DS_ns_NPUR_1,C16_DS_ns_NPUR_2,C16_DS_ns_NPUR_3,C16_DS_ns_NPUR_4,C16_DS_ns_NPUR_5,C16_DS_ns_NPUR_6more,C16_Dwg_st_NS_Tot,C16_Tot_NPUR_1,C16_Tot_NPUR_2,C16_Tot_NPUR_3,C16_Tot_NPUR_4,C16_Tot_NPUR_5,C16_Tot_NPUR_6more,C16_Tot_Tot,C21_Se_h_NPUR_1,C21_Se_h_NPUR_2,C21_Se_h_NPUR_3,C21_Se_h_NPUR_4,C21_Se_h_NPUR_5,C21_Se_h_NPUR_6more,C21_Se_h_Tot,C21_SDRTHT1S_NPUR_1,C21_SDRTHT1S_NPUR_2,C21_SDRTHT1S_NPUR_3,C21_SDRTHT1S_NPUR_4,C21_SDRTHT1S_NPUR_5,C21_SDRTHT1S_NPUR_6mor,C21_SDRTHT1S_Tot,C21_SDRTHT2S_NPUR_1,C21_SDRTHT2S_NPUR_2,C21_SDRTHT2S_NPUR_3,C21_SDRTHT2S_NPUR_4,C21_SDRTHT2S_NPUR_5,C21_SDRTHT2S_NPUR_6mor,C21_SDRTHT2S_Tot,C21_SDRTHT_Tot_NPUR_1,C21_SDRTHT_Tot_NPUR_2,C21_SDRTHT_Tot_NPUR_3,C21_SDRTHT_Tot_NPUR_4,C21_SDRTHT_Tot_NPUR_5,C21_SDRTHT_Tot_NPUR_6mor,C21_SDRTHT_Tot_Tot,C21_F_a_1_2SB_NPUR_1,C21_F_a_1_2SB_NPUR_2,C21_F_a_1_2SB_NPUR_3,C21_F_a_1_2SB_NPUR_4,C21_F_a_1_2SB_NPUR_5,C21_F_a_1_2SB_NPUR_6mor,C21_F_a_1_2SB_Tot,C21_F_a_I_a_3SB_NPUR_1,C21_F_a_I_a_3SB_NPUR_2,C21_F_a_I_a_3SB_NPUR_3,C21_F_a_I_a_3SB_NPUR_4,C21_F_a_I_a_3SB_NPUR_5,C21_F_a_I_a_3SB_NPUR_6mor,C21_F_a_In_a_3_st_b_Tot,C21_F_a_4_8SB_NPUR_1,C21_F_a_4_8SB_NPUR_2,C21_F_a_4_8SB_NPUR_3,C21_F_a_4_8SB_NPUR_4,C21_F_a_4_8SB_NPUR_5,C21_F_a_4_8SB_NPUR_6mor,C21_F_a_4_8SB_Tot,C21_F_a_9mor_s_b_NPUR_1,C21_F_a_9mor_s_b_NPUR_2,C21_F_a_9mor_s_b_NPUR_3,C21_F_a_9mor_s_b_NPUR_4,C21_F_a_9mor_s_b_NPUR_5,C21_F_a_9m_s_b_NPUR_6mor,C21_F_a_9mor_st_bl_Tot,C21_F_a_AH_NPUR_1,C21_F_a_AH_NPUR_2,C21_F_a_AH_NPUR_3,C21_F_a_AH_NPUR_4,C21_F_a_AH_NPUR_5,C21_F_a_AH_NPUR_6mor,C21_F_a_AH_Tot,C21_F_a_Tot_NPUR_1,C21_F_a_Tot_NPUR_2,C21_F_a_Tot_NPUR_3,C21_F_a_Tot_NPUR_4,C21_F_a_Tot_NPUR_5,C21_F_a_Tot_NPUR_6mor,C21_F_a_Tot_Tot,C21_OD_CCH_NPUR_1,C21_OD_CCH_NPUR_2,C21_OD_CCH_NPUR_3,C21_OD_CCH_NPUR_4,C21_OD_CCH_NPUR_5,C21_OD_CCH_NPUR_6mor,C21_OD_CCH_Tot,C21_OD_IHTSO_NPUR_1,C21_OD_IHTSO_NPUR_2,C21_OD_IHTSO_NPUR_3,C21_OD_IHTSO_NPUR_4,C21_OD_IHTSO_NPUR_5,C21_OD_IHTSO_NPUR_6mor,C21_OD_IHTSO_Tot,C21_OD_H_f_a_s_o_NPUR_1,C21_OD_H_f_a_s_o_NPUR_2,C21_OD_H_f_a_s_o_NPUR_3,C21_OD_H_f_a_s_o_NPUR_4,C21_OD_H_f_a_s_o_NPUR_5,C21_OD_H_f_a_s_o_NPUR_6mor,C21_OD_H_f_a_s_o_Tot,C21_OD_Tot_NPUR_1,C21_OD_Tot_NPUR_2,C21_OD_Tot_NPUR_3,C21_OD_Tot_NPUR_4,C21_OD_Tot_NPUR_5,C21_OD_Tot_NPUR_6mor,C21_OD_Tot_Tot,C21_DS_ns_NPUR_1,C21_DS_ns_NPUR_2,C21_DS_ns_NPUR_3,C21_DS_ns_NPUR_4,C21_DS_ns_NPUR_5,C21_DS_ns_NPUR_6more,C21_Dwg_st_NS_Tot,C21_Tot_NPUR_1,C21_Tot_NPUR_2,C21_Tot_NPUR_3,C21_Tot_NPUR_4,C21_Tot_NPUR_5,C21_Tot_NPUR_6more,C21_Tot_Tot
1GSYD,397,278,6546,3387,2676,1367,926,448,318,9131,2851,1947,939,698,361,252,7048,351418,486343,285567,293510,130708,76318,1623874,147223,286487,187091,226817,107657,65355,1020631,27852,24401,11975,10723,3161,1295,79402,35879,44662,29504,29007,10358,5191,154597,63727,69067,41483,39728,13520,6479,234000,41731,28798,12325,7994,2150,816,93811,59559,54537,23190,13261,3142,1057,154743,64521,69837,30016,16786,3998,1230,186397,40224,46641,18307,9886,2516,1038,118617,2459,2561,1302,1084,578,432,8420,208498,202380,85144,49015,12383,4573,561988,1077,452,79,28,12,9,1659,35,28,8,5,0,4,78,2345,2162,1003,633,212,119,6477,3460,2646,1086,670,221,128,8216,1800,1089,490,361,163,116,4023,424713,561668,315293,316588,133944,76652,1828859
1RNSW,172,94,3416,7840,4606,906,630,295,176,14457,3031,2316,689,527,285,175,7029,269360,355954,139385,129295,58874,27572,980436,199896,329602,133847,129806,59719,29232,882102,38121,21312,5591,2906,932,368,69231,15009,12945,5147,2994,887,368,37349,53135,34260,10740,5899,1812,735,106581,24052,10341,3026,1406,436,204,39466,5782,3771,931,387,88,36,10994,5063,4369,894,349,72,21,10772,1973,2059,430,160,44,5,4681,863,744,242,181,67,43,2129,37727,21288,5516,2492,710,314,68041,5082,2530,252,145,57,37,8099,258,145,40,16,4,9,470,1028,864,314,208,110,64,2585,6364,3544,602,368,176,105,11158,1878,1053,333,269,130,69,3733,299004,389745,151038,138836,62542,30453,1071609
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,177,101,3757,3144,1798,690,448,193,126,6395,1863,1390,654,532,208,99,4740,366009,493659,271620,277013,111607,54574,1574476,205364,358822,227171,259642,104642,52254,1207906,64333,52570,22118,15927,4388,1695,161025,29779,44575,25614,19753,5619,2160,127502,94109,97140,47727,35686,10011,3853,288524,42577,27439,9472,5454,1248,447,86637,27729,18679,4433,1593,292,85,52803,31975,23758,4973,1676,296,64,62741,35051,29318,6821,2334,509,288,74322,463,256,95,99,65,31,1008,137800,99439,25796,11158,2408,910,277512,1477,323,38,15,4,4,1863,14,5,4,5,0,0,24,1531,1291,470,271,82,27,3672,3020,1623,508,289,88,38,5565,837,521,215,164,68,27,1837,441138,557553,301421,306937,117214,57084,1781346
2RVIC,72,41,1542,2632,1327,300,273,110,56,4699,1147,1040,319,266,127,60,2962,155821,195041,73368,69226,31661,13114,538232,140629,205430,78436,74648,33882,14500,547518,24483,9897,2354,1194,382,130,38437,2121,1965,693,377,82,44,5284,26603,11853,3048,1578,463,171,43726,7109,2411,591,249,67,26,10448,294,148,27,12,0,0,489,208,106,28,0,0,0,346,63,77,9,7,0,0,149,95,42,15,4,4,4,166,7763,2785,668,279,73,33,11604,2365,1000,126,92,31,16,3634,76,54,11,6,4,4,150,470,376,114,85,46,20,1116,2913,1429,248,188,79,35,4898,494,395,112,83,40,18,1142,178405,221900,82511,76775,34537,14758,608887
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,47,46,788,2854,1196,272,191,83,59,4658,1309,875,358,249,93,71,2961,173426,262942,135630,131113,55815,30538,789465,109242,217885,123431,131529,55928,31224,669242,17435,9721,2738,1474,518,297,32191,22985,24754,13169,7409,2146,895,71362,40421,34480,15904,8890,2670,1194,103557,19782,10604,3209,1459,326,129,35505,16313,13358,3547,1353,262,69,34907,12740,13684,3104,1238,226,56,31050,13046,13487,2929,1055,178,35,30739,699,639,164,103,37,50,1690,62584,51778,12954,5203,1022,338,133894,2272,793,113,53,16,3,3250,32,22,7,16,3,7,86,115,125,44,27,15,3,333,2417,937,172,93,32,12,3665,876,449,159,115,49,29,1686,215551,305533,152623,145830,59695,32806,912040
3RQLD,69,69,1439,7008,3840,583,406,173,147,12156,2601,1697,548,461,225,114,5646,215656,318897,131801,121132,52449,27429,867367,142594,269264,117740,117836,52145,29094,728682,30393,19267,5302,2914,911,424,59220,19081,20803,8980,4978,1439,491,55778,49477,40073,14287,7892,2348,916,114991,20236,11224,3296,1534,478,250,37020,10411,9524,2517,881,190,49,23575,7267,8622,1881,715,162,54,18694,7670,9131,1768,654,165,41,19433,374,324,102,55,26,31,912,45955,38822,9562,3845,1021,425,99634,4625,2745,322,158,85,48,7987,522,244,57,53,27,12,921,335,369,122,64,38,14,939,5488,3359,502,270,153,81,9851,1938,1452,397,271,114,80,4262,245457,352971,142486,130121,55782,30599,957416
