GCCSA_CODE_2021,Netherlands_C11_P,Netherlands_C16_M,Netherlands_C16_F,Netherlands_C16_P,Netherlands_C21_M,Netherlands_C21_F,Netherlands_C21_P,New_Zealand_C11_M,New_Zealand_C11_F,New_Zealand_C11_P,New_Zealand_C16_M,New_Zealand_C16_F,New_Zealand_C16_P,New_Zealand_C21_M,New_Zealand_C21_F,New_Zealand_C21_P,Pakistan_C11_M,Pakistan_C11_F,Pakistan_C11_P,Pakistan_C16_M,Pakistan_C16_F,Pakistan_C16_P,Pakistan_C21_M,Pakistan_C21_F,Pakistan_C21_P,Philippines_C11_M,Philippines_C11_F,Philippines_C11_P,Philippines_C16_M,Philippines_C16_F,Philippines_C16_P,Philippines_C21_M,Philippines_C21_F,Philippines_C21_P,Poland_C11_M,Poland_C11_F,Poland_C11_P,Poland_C16_M,Poland_C16_F,Poland_C16_P,Poland_C21_M,Poland_C21_F,Poland_C21_P,Singapore_C11_M,Singapore_C11_F,Singapore_C11_P,Singapore_C16_M,Singapore_C16_F,Singapore_C16_P,Singapore_C21_M,Singapore_C21_F,Singapore_C21_P,South_Africa_C11_M,South_Africa_C11_F,South_Africa_C11_P,South_Africa_C16_M,South_Africa_C16_F,South_Africa_C16_P,South_Africa_C21_M,South_Africa_C21_F,South_Africa_C21_P,Sri_Lanka_C11_M,Sri_Lanka_C11_F,Sri_Lanka_C11_P,Sri_Lanka_C16_M,Sri_Lanka_C16_F,Sri_Lanka_C16_P,Sri_Lanka_C21_M,Sri_Lanka_C21_F,Sri_Lanka_C21_P,Taiwan_C11_M,Taiwan_C11_F,Taiwan_C11_P,Taiwan_C16_M,Taiwan_C16_F,Taiwan_C16_P,Taiwan_C21_M,Taiwan_C21_F,Taiwan_C21_P,Thailand_C11_M,Thailand_C11_F,Thailand_C11_P,Thailand_C16_M,Thailand_C16_F,Thailand_C16_P,Thailand_C21_M,Thailand_C21_F,Thailand_C21_P,Unitd_Kingdom_C11_M,Unitd_Kingdom_C11_F,Unitd_Kingdom_C11_P,Unitd_Kingdom_C16_M,Unitd_Kingdom_C16_F,Unitd_Kingdom_C16_P,Unitd_Kingdom_C21_M,Unitd_Kingdom_C21_F,Unitd_Kingdom_C21_P,Unit_Sts_Amer_C11_M,Unit_Sts_Amer_C11_F,Unit_Sts_Amer_C11_P,Unit_Sts_Amer_C16_M,Unit_Sts_Amer_C16_F,Unit_Sts_Amer_C16_P,Unit_Sts_Amer_C21_M,Unit_Sts_Amer_C21_F,Unit_Sts_Amer_C21_P,Vietnam_C11_M,Vietnam_C11_F,Vietnam_C11_P,Vietnam_C16_M,Vietnam_C16_F,Vietnam_C16_P,Vietnam_C21_M,Vietnam_C21_F,Vietnam_C21_P,Born_elsewhere_C11_M,Born_elsewhere_C11_F,Born_elsewhere_C11_P,Born_elsewhere_C16_M,Born_elsewhere_C16_F,Born_elsewhere_C16_P,Born_elsewhere_C21_M,Born_elsewhere_C21_F,Born_elsewhere_C21_P,Country_birt_ns_C11_M,Country_birt_ns_C11_F,Country_birt_ns_C11_P,Country_birt_ns_C16_M,Country_birt_ns_C16_F,Country_birt_ns_C16_P,Country_birt_ns_C21_M,Country_birt_ns_C21_F,Country_birt_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
59799,0,0,0,0,3,0,3,26,5,28,34,0,34,25,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,3,21,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,6,0,6,7,0,7,3,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,37,4,42,53,0,53,24,3,30,5,0,5,10,0,12,4,0,3,0,0,0,5,0,5,0,0,0,16,0,16,17,3,19,19,3,25,57,4,62,64,4,71,197,19,215,377,34,415,405,27,431,455,58,514
6GHOB,832,391,397,783,387,392,778,899,977,1877,940,1013,1961,1025,1087,2108,44,38,75,150,88,238,588,266,846,150,386,535,191,518,712,386,781,1165,191,269,462,149,223,373,139,215,353,114,163,274,132,209,342,145,210,354,405,419,825,402,420,822,540,569,1108,67,75,146,96,94,195,451,388,840,34,31,67,46,85,131,170,220,392,92,181,268,123,253,375,141,348,487,5026,4858,9877,4752,4657,9410,4872,4785,9649,370,370,741,428,432,860,514,574,1093,93,86,181,107,147,251,443,572,1015,2127,2175,4304,2170,2256,4423,2826,3041,5861,4981,4948,9935,6893,7308,14196,5501,5671,11172,102882,108775,211657,107929,114421,222356,120521,126562,247086
6RTAS,1542,715,689,1404,680,675,1355,1553,1467,3018,1519,1479,2999,1689,1662,3349,24,11,36,67,43,111,467,152,618,114,607,726,154,743,901,274,999,1275,95,105,200,91,107,201,95,133,230,78,97,172,111,112,224,99,126,226,317,368,687,329,370,706,462,511,976,63,79,150,95,101,199,274,248,518,20,25,42,61,107,172,114,192,307,53,146,201,53,181,233,77,299,372,6759,6579,13333,6403,6304,12703,6607,6399,13003,350,373,717,379,389,765,461,501,966,34,44,78,57,90,151,148,221,371,1814,1762,3571,1874,1854,3727,2522,2523,5043,6864,6555,13418,11312,11607,22916,10065,9601,19670,139097,143409,282508,140980,145647,286626,152471,156617,309087
69499,6,0,4,7,0,4,4,11,12,24,6,11,15,10,10,25,0,0,0,0,0,0,6,0,6,3,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,7,6,0,4,0,0,0,0,0,4,0,0,3,0,0,0,26,31,58,27,17,46,19,26,53,3,4,7,3,0,8,0,0,3,3,0,0,0,0,0,0,0,3,17,9,22,5,9,16,18,20,39,46,25,75,76,38,114,131,108,242,612,460,1075,518,393,911,758,616,1377
69799,0,0,0,0,0,0,0,7,0,10,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,6,0,0,0,4,0,12,5,0,3,3,0,3,84,34,115,52,19,75,13,0,19
7GDAR,301,142,131,280,119,128,244,1339,1164,2504,1607,1290,2896,1278,1164,2437,106,51,158,198,111,309,392,204,598,1162,1728,2894,2192,2767,4962,2168,3121,5283,29,32,62,47,51,94,41,58,93,76,120,194,113,148,257,105,173,274,239,233,467,333,283,619,343,308,645,210,168,374,329,306,634,553,511,1060,49,104,154,160,322,475,129,281,415,149,473,620,225,588,809,239,709,947,2398,2244,4643,2700,2361,5060,2275,2204,4482,174,168,343,231,206,445,203,220,425,267,299,565,330,434,766,464,672,1137,2420,2305,4721,2943,2806,5750,2927,3300,6224,7380,5726,13108,9012,7000,16011,6271,5481,11752,62898,57684,120586,71889,64941,136831,70739,69161,139902
7RNTE,127,67,58,127,48,47,94,708,666,1380,830,842,1667,775,746,1521,20,9,33,26,17,39,56,31,86,249,428,677,350,580,927,419,679,1096,23,19,36,11,15,31,18,18,34,20,24,44,23,18,37,14,20,31,136,140,274,130,135,263,141,156,297,41,36,78,78,63,143,115,77,199,26,54,77,50,92,147,37,56,94,18,85,104,33,116,146,38,116,155,836,787,1623,796,724,1522,688,679,1370,393,309,702,415,344,764,404,346,756,56,46,105,75,83,165,103,113,217,719,718,1437,782,714,1495,1071,997,2068,3010,2362,5368,4848,4329,9177,4120,3495,7613,45508,43871,89372,45291,44156,89446,44877,44220,89103
79499,19,11,6,20,3,8,13,48,35,85,38,28,65,41,39,77,0,0,0,0,0,0,0,0,4,3,3,5,5,4,13,0,4,4,4,0,4,0,0,0,0,0,0,0,6,3,0,0,0,0,0,3,6,3,7,7,4,10,4,4,3,0,0,0,0,0,0,4,0,3,0,0,0,0,0,3,0,0,0,0,0,4,0,4,8,0,5,3,73,76,142,60,77,132,77,69,144,4,0,5,3,3,7,5,6,14,0,0,4,0,0,0,0,0,0,38,29,62,29,35,64,59,69,124,155,95,249,390,315,700,480,428,904,1020,852,1870,1334,1155,2485,1826,1675,3500
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,8,0,8,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,11,4,5,6,22,0,21,91,16,105,58,12,73,83,15,99
8ACTE,1120,491,550,1041,471,533,1001,2247,2124,4371,2392,2332,4723,2649,2442,5096,627,453,1086,1139,856,1993,1671,1239,2906,896,1518,2415,1494,2303,3792,1982,3067,5051,428,605,1022,397,542,946,430,578,1009,449,472,917,491,534,1026,537,629,1166,815,812,1629,983,1021,2004,1125,1212,2337,1109,1152,2263,1367,1408,2774,1612,1687,3306,141,215,356,233,288,520,297,395,688,379,665,1042,441,859,1303,504,1112,1616,8193,7884,16081,7922,7628,15548,8191,7806,15997,1154,1250,2402,1340,1438,2774,1592,1777,3369,1349,1608,2953,1464,1878,3340,1704,2377,4077,7875,8518,16397,9060,9812,18867,10942,12134,23078,8478,7323,15797,11065,11061,22129,8693,8134,16826,176418,180171,356591,195430,201426,396853,224022,229869,453890
89499,0,0,0,0,0,0,0,3,13,20,4,5,8,9,13,24,0,0,0,3,0,3,0,0,0,0,6,9,0,4,9,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,3,0,3,3,0,0,5,19,15,34,10,8,22,7,3,13,3,8,10,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,15,17,32,15,17,32,14,12,26,29,14,41,47,21,66,75,30,110,323,306,631,313,232,541,336,273,605
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,3,3,3,3,9,18,9,21,173,188,362,160,189,350,20,0,20,8,0,8,12,0,12,10,3,10,25,40,67,25,37,60,0,0,4,0,0,0,0,0,0,33,19,55,36,17,51,32,17,44,4,3,8,18,15,28,11,11,14,3,0,7,0,0,0,12,0,12,0,0,0,0,3,4,0,0,0,8,6,15,8,12,24,11,9,16,35,29,61,77,58,132,60,59,122,0,5,5,7,9,10,8,10,21,3,0,8,25,0,27,13,4,14,43,8,51,102,27,129,148,44,190,227,68,296,318,255,563,386,342,726,1958,1045,3002,2433,2089,4523,2511,2263,4778
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,5,3,4,0,0,0,0,0,0,0,4,4,3,0,3,5,19,30,21,29,54,6,4,11
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
