GCCSA_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
39499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,71835,37237,35500,72741,964,2342,3308,3832,5739,9571,35686,31104,66790,40484,39187,79672,7601,12427,20034,8316,9359,17670,22659,18453,41112,38576,40237,78818,18638,23028,41670,7194,7005,14201,14118,12417,26536,39953,42449,82404,21763,23511,45281,5119,5100,10219,10419,10469,20885,37302,39082,76383,22726,23749,46475,4778,4724,9505,10528,11440,21966,38030,39913,77943,23192,24246,47434,4497,4513,9012,11614,13162,24771,39305,41918,81222,22996,23485,46478,3951,3995,7945,11398,13501,24899,38341,40978,79321,22813,22799,45613,3336,3005,6341,10464,13888,24355,36613,39696,76306,21017,20797,41818,2382,2131,4510,8501,12571,21078,31905,35502,67407,20692,19433,40123,1684,1264,2949,6970,11903,18877,29346,32607,61949,15656,13829,29482,856,662,1518,4729,9980,14710,21244,24473,45716,11612,9218,20829,457,269,728,3526,9379,12907,15592,18868,34456,7787,4988,12778,185,146,332,3012,8668,11688,10985,13806,24791,5320,2551,7872,131,81,209,3724,11332,15054,9182,13957,23134,222801,226477,449279,46982,48545,95529,194303,223160,417463,464089,498177,962267,13,33,39,233,410,638,37280,34864,72147,37521,35306,72827,711,1686,2390,4048
4RSAU,18403,9841,9050,18896,293,573,869,1397,2129,3522,6220,4592,10815,7914,7299,15209,1730,2750,4483,2286,2363,4657,4000,3155,7158,8017,8272,16290,3772,4709,8485,1784,1784,3569,2810,2475,5287,8371,8974,17337,4466,5193,9660,1414,1487,2896,2296,2225,4515,8177,8908,17080,5185,5891,11076,1429,1506,2932,2892,2747,5642,9505,10141,19651,6097,6624,12724,1504,1590,3100,3388,3217,6602,10987,11428,22415,6466,7017,13491,1440,1369,2805,3822,3448,7267,11726,11833,23563,7237,7772,15015,1224,1180,2399,3807,3308,7116,12273,12258,24533,7750,7591,15346,902,813,1723,3316,3169,6489,11970,11580,23545,7809,7397,15204,666,536,1199,2863,3257,6114,11337,11186,22526,6287,5465,11755,405,261,667,2147,3065,5208,8836,8790,17628,4478,3496,7971,190,125,315,1506,2850,4357,6172,6472,12643,2667,1691,4361,110,56,164,1176,2568,3747,3957,4314,8271,1684,793,2472,52,45,94,1202,3168,4366,2935,4001,6940,65954,67009,132960,14936,15564,30496,51131,51951,103079,132017,134521,266537,15,21,36,131,258,382,9586,8358,17939,9721,8631,18359,212,420,633,1408
49499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,108505,56395,53572,109972,1483,3893,5374,6329,10199,16525,51470,43135,94608,59280,57223,116503,12492,21575,34060,15080,17899,32981,35713,27674,63392,63288,67151,130436,31607,39685,71296,13246,12752,25998,22174,18432,40606,67029,70873,137895,36149,40596,76748,8366,8524,16884,15025,14515,29535,59536,63628,123167,37631,40701,78332,7149,7207,14352,13577,15336,28905,58353,63240,121589,37851,39785,77631,6612,6620,13235,13859,16564,30419,58319,62967,121287,35318,36119,71432,5578,5373,10952,13313,16497,29812,54210,57989,112201,32470,32557,65024,4211,3946,8155,11903,16459,28364,48587,52959,101550,29467,28858,58326,3046,2517,5564,10141,15390,25527,42652,46766,89418,27634,24739,52371,2162,1644,3806,8418,14410,22831,38211,40792,79008,20068,16471,36547,1191,813,1999,5952,11706,17658,27215,28990,56205,14571,11036,25605,606,400,1010,4392,11117,15509,19562,22551,42114,9027,5955,14983,277,151,425,3344,9843,13185,12644,15950,28598,5802,2652,8457,162,94,256,3749,11755,15500,9711,14502,24214,331578,344706,676282,74437,79075,153511,268970,295385,564355,674984,719159,1394146,23,32,55,414,756,1166,58473,54921,113395,58909,55712,114622,996,2403,3399,6343
5RWAU,24292,13095,11965,25059,384,804,1186,2168,3210,5373,8062,6117,14173,10608,10123,20733,2564,4230,6792,3742,4290,8029,5649,4675,10321,11963,13188,25146,5883,7916,13799,3264,3522,6781,3991,3810,7806,13138,15247,28388,7255,8518,15771,2534,2636,5173,3192,3335,6526,12976,14490,27467,8091,9025,17108,2476,2536,5007,3513,3656,7171,14076,15210,29283,8430,9114,17538,2316,2400,4710,4002,4078,8080,14739,15593,30333,8422,8879,17303,2092,2061,4156,4306,4095,8398,14823,15036,29858,8641,8833,17477,1725,1630,3347,4152,4055,8208,14517,14520,29029,8056,7966,16017,1268,1004,2269,3657,3753,7416,12978,12729,25701,7724,6760,14486,798,577,1373,3211,3345,6561,11737,10680,22418,5483,4579,10062,415,282,696,2121,2812,4928,8016,7675,15690,3789,2735,6525,209,152,361,1475,2631,4107,5471,5518,10993,2194,1364,3559,96,61,157,956,2274,3232,3242,3702,6942,1352,588,1941,50,19,65,939,2365,3305,2336,2975,5315,78284,81372,159659,23354,24840,48193,62083,62433,124515,163717,168652,332371,22,55,81,236,454,689,12632,11539,24167,12892,12045,24938,313,555,871,2099
59499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,11874,6249,5872,12120,137,275,413,869,1279,2145,5086,4412,9503,6097,5965,12058,1030,1568,2602,1697,1858,3550,3323,3047,6370,6050,6473,12522,2537,3074,5604,1469,1434,2903,2115,2178,4289,6119,6678,12800,2956,3334,6293,1104,1177,2282,1642,1885,3521,5703,6394,12091,3320,3782,7101,1045,1046,2088,1710,2124,3838,6070,6957,13028,3559,3751,7315,1027,1009,2033,1813,2308,4117,6402,7066,13472,3606,3768,7375,888,848,1734,1935,2392,4325,6431,7007,13435,3889,4050,7936,747,643,1390,1910,2567,4480,6544,7257,13799,3744,3624,7379,510,452,957,1573,2300,3873,5827,6380,12206,3698,3223,6923,351,274,620,1306,2181,3487,5353,5682,11033,2517,2293,4809,224,129,347,933,1894,2827,3670,4313,7991,1952,1459,3410,107,59,163,716,1789,2503,2771,3307,6077,1170,749,1921,38,21,67,544,1556,2092,1750,2326,4078,792,362,1156,24,12,33,619,1827,2444,1431,2204,3637,34920,35316,70237,10165,10395,20560,31386,38159,69548,76469,83875,160344,0,3,6,59,90,150,6229,5728,11958,6286,5821,12110,134,326,458,836
6RTAS,15013,8017,7393,15413,262,474,728,1186,1718,2901,5450,4270,9719,6890,6455,13352,1287,1928,3209,1812,1918,3729,2938,2658,5600,6031,6506,12539,2731,3441,6174,1489,1514,3002,2061,2061,4123,6279,7018,13299,3260,3834,7092,1239,1288,2529,1719,2042,3765,6223,7165,13387,3936,4508,8450,1262,1285,2547,2113,2390,4498,7307,8188,15496,4639,5196,9838,1252,1287,2544,2436,2814,5252,8331,9300,17633,5040,5476,10520,1161,1114,2269,2695,2873,5563,8899,9459,18355,5659,5896,11550,963,871,1836,2656,3030,5690,9276,9801,19075,5689,5576,11260,767,584,1351,2380,2814,5196,8836,8974,17806,5607,5165,10769,550,390,938,2139,2889,5025,8290,8443,16734,4410,3667,8076,301,229,531,1565,2506,4072,6268,6410,12681,3053,2147,5193,134,99,230,1142,2345,3493,4330,4591,8921,1717,1098,2812,66,37,107,879,2017,2893,2659,3149,5813,1003,461,1466,41,25,65,801,2139,2940,1844,2622,4468,48281,48881,97161,12345,12614,24962,38852,43987,82836,99487,105484,204967,3,9,10,62,141,206,7676,7086,14762,7741,7235,14976,203,409,610,1244
69499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,6223,3380,3032,6412,138,379,514,678,1039,1716,2827,2063,4896,3649,3486,7133,1037,1655,2693,1462,1640,3099,2586,1989,4574,5090,5282,10374,2277,2858,5137,1322,1252,2575,1741,1368,3108,5341,5479,10824,2593,2830,5422,863,802,1674,1209,1079,2289,4664,4720,9384,2442,2462,4907,676,722,1400,1128,1102,2227,4250,4281,8535,2291,2296,4588,717,683,1408,1203,1087,2283,4208,4072,8285,2027,1899,3927,579,569,1154,1108,1079,2190,3722,3551,7270,1782,1671,3450,464,396,863,953,1056,2011,3202,3119,6319,1538,1250,2791,295,210,502,882,920,1803,2713,2384,5092,1190,898,2089,172,140,308,702,741,1450,2060,1786,3844,754,504,1255,78,51,128,399,517,914,1227,1069,2301,426,243,664,45,14,57,249,421,675,717,674,1397,189,91,279,14,3,15,114,263,385,318,360,677,84,36,116,4,0,9,107,203,311,199,238,438,18752,19091,37847,7429,7662,15089,18547,16782,35333,44736,43541,88273,3,8,13,45,92,137,3325,3163,6493,3379,3263,6637,95,266,359,647
7RNTE,4835,2738,2443,5185,459,642,1104,344,430,770,1815,1585,3397,2613,2654,5270,908,1115,2026,561,691,1250,1466,1407,2879,2941,3216,6153,1279,1488,2766,564,602,1169,1049,1135,2185,2890,3225,6116,1240,1334,2580,453,474,924,781,903,1680,2469,2712,5183,1204,1217,2422,427,396,830,724,883,1611,2360,2501,4863,1174,1228,2400,384,383,770,762,926,1694,2321,2542,4861,1123,1054,2183,291,286,582,774,937,1713,2193,2282,4474,997,896,1886,241,208,445,623,848,1470,1853,1950,3807,797,665,1457,181,123,306,557,733,1292,1532,1523,3054,540,324,867,83,65,144,402,511,917,1027,899,1928,275,176,448,70,36,100,270,327,599,615,531,1144,157,81,240,13,15,24,159,213,367,323,310,639,49,36,86,5,3,12,88,144,233,146,188,332,35,10,40,3,4,6,45,107,150,86,114,196,10317,10429,20739,3647,3804,7452,12144,12859,25003,26105,27093,53203,86,129,217,42,75,113,2773,2441,5208,2898,2640,5542,433,582,1014,314
79499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,20418,10562,10100,20662,263,680,946,1511,2222,3729,10427,9381,19811,12199,12280,24480,2661,4446,7105,3378,3761,7135,7580,6310,13892,13617,14515,28132,7333,8947,16279,2707,2526,5230,4551,4110,8660,14592,15585,30176,8525,8931,17455,1901,1815,3715,3093,3246,6336,13518,13994,27505,8244,8330,16569,1545,1579,3123,2768,3350,6120,12556,13259,25817,7672,7535,15210,1410,1358,2769,2857,3497,6352,11942,12387,24327,6900,6883,13785,1184,1161,2340,2598,3502,6098,10675,11549,22223,6378,6172,12557,904,766,1676,2382,3474,5854,9667,10422,20086,5604,5220,10824,609,517,1125,1858,3074,4935,8066,8819,16888,5177,4682,9864,436,318,754,1483,2970,4456,7106,7971,15076,3717,3009,6726,218,153,367,972,2362,3339,4904,5525,10432,2473,1881,4359,106,63,166,704,1974,2679,3283,3924,7204,1529,990,2524,47,36,80,536,1633,2170,2109,2656,4767,1019,481,1497,29,10,40,673,1957,2622,1713,2447,4164,67492,68211,135705,16053,16442,32497,52958,60780,113732,136506,145431,281939,10,5,12,87,155,233,11378,10549,21929,11468,10708,22179,276,668,947,1807
89499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,167,84,88,171,0,10,7,4,12,14,53,25,81,59,44,109,13,30,47,10,7,18,34,24,56,53,73,124,53,64,119,10,17,27,20,27,44,83,110,190,72,78,148,14,22,37,30,21,45,116,118,235,70,76,143,25,22,47,24,33,60,115,133,246,56,68,122,24,32,50,36,33,73,113,125,246,82,79,165,16,14,33,35,34,76,137,127,268,87,79,165,12,13,31,38,35,76,143,132,275,68,68,141,9,5,21,36,42,75,112,118,228,84,55,145,8,7,11,19,38,63,116,102,215,50,47,98,3,0,5,17,23,40,69,75,144,28,26,51,4,0,4,15,26,42,49,48,93,11,9,23,0,0,0,11,18,25,25,25,53,17,0,16,0,0,0,9,20,25,22,20,45,694,691,1382,148,159,306,462,494,952,1300,1338,2641,0,0,0,3,0,0,75,73,149,76,79,155,6,9,15,9
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
