GCCSA_CODE_2021,C16_15_19_N_mar_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Mar_RegM_M,C16_20_24_Mar_RegM_F,C16_20_24_Mar_RegM_P,C16_20_24_Mar_DFM_M,C16_20_24_Mar_DFM_F,C16_20_24_Mar_DFM_P,C16_20_24_N_mar_M,C16_20_24_N_mar_F,C16_20_24_N_mar_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Mar_RegM_M,C16_25_29_Mar_RegM_F,C16_25_29_Mar_RegM_P,C16_25_29_Mar_DFM_M,C16_25_29_Mar_DFM_F,C16_25_29_Mar_DFM_P,C16_25_29_N_mar_M,C16_25_29_N_mar_F,C16_25_29_N_mar_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Mar_RegM_M,C16_30_34_Mar_RegM_F,C16_30_34_Mar_RegM_P,C16_30_34_Mar_DFM_M,C16_30_34_Mar_DFM_F,C16_30_34_Mar_DFM_P,C16_30_34_N_mar_M,C16_30_34_N_mar_F,C16_30_34_N_mar_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Mar_RegM_M,C16_35_39_Mar_RegM_F,C16_35_39_Mar_RegM_P,C16_35_39_Mar_DFM_M,C16_35_39_Mar_DFM_F,C16_35_39_Mar_DFM_P,C16_35_39_N_mar_M,C16_35_39_N_mar_F,C16_35_39_N_mar_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Mar_RegM_M,C16_40_44_Mar_RegM_F,C16_40_44_Mar_RegM_P,C16_40_44_Mar_DFM_M,C16_40_44_Mar_DFM_F,C16_40_44_Mar_DFM_P,C16_40_44_N_mar_M,C16_40_44_N_mar_F,C16_40_44_N_mar_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Mar_RegM_M,C16_45_49_Mar_RegM_F,C16_45_49_Mar_RegM_P,C16_45_49_Mar_DFM_M,C16_45_49_Mar_DFM_F,C16_45_49_Mar_DFM_P,C16_45_49_N_mar_M,C16_45_49_N_mar_F,C16_45_49_N_mar_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Mar_RegM_M,C16_50_54_Mar_RegM_F,C16_50_54_Mar_RegM_P,C16_50_54_Mar_DFM_M,C16_50_54_Mar_DFM_F,C16_50_54_Mar_DFM_P,C16_50_54_N_mar_M,C16_50_54_N_mar_F,C16_50_54_N_mar_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Mar_RegM_M,C16_55_59_Mar_RegM_F,C16_55_59_Mar_RegM_P,C16_55_59_Mar_DFM_M,C16_55_59_Mar_DFM_F,C16_55_59_Mar_DFM_P,C16_55_59_N_mar_M,C16_55_59_N_mar_F,C16_55_59_N_mar_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Mar_RegM_M,C16_60_64_Mar_RegM_F,C16_60_64_Mar_RegM_P,C16_60_64_Mar_DFM_M,C16_60_64_Mar_DFM_F,C16_60_64_Mar_DFM_P,C16_60_64_N_mar_M,C16_60_64_N_mar_F,C16_60_64_N_mar_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Mar_RegM_M,C16_65_69_Mar_RegM_F,C16_65_69_Mar_RegM_P,C16_65_69_Mar_DFM_M,C16_65_69_Mar_DFM_F,C16_65_69_Mar_DFM_P,C16_65_69_N_mar_M,C16_65_69_N_mar_F,C16_65_69_N_mar_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Mar_RegM_M,C16_70_74_Mar_RegM_F,C16_70_74_Mar_RegM_P,C16_70_74_Mar_DFM_M,C16_70_74_Mar_DFM_F,C16_70_74_Mar_DFM_P,C16_70_74_N_mar_M,C16_70_74_N_mar_F,C16_70_74_N_mar_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Mar_RegM_M,C16_75_79_Mar_RegM_F,C16_75_79_Mar_RegM_P,C16_75_79_Mar_DFM_M,C16_75_79_Mar_DFM_F,C16_75_79_Mar_DFM_P,C16_75_79_N_mar_M,C16_75_79_N_mar_F,C16_75_79_N_mar_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Mar_RegM_M,C16_80_84_Mar_RegM_F,C16_80_84_Mar_RegM_P,C16_80_84_Mar_DFM_M,C16_80_84_Mar_DFM_F,C16_80_84_Mar_DFM_P,C16_80_84_N_mar_M,C16_80_84_N_mar_F,C16_80_84_N_mar_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Mar_RegM_M,C16_85_over_Mar_RegM_F,C16_85_over_Mar_RegM_P,C16_85_over_Mar_DFM_M,C16_85_over_Mar_DFM_F,C16_85_over_Mar_DFM_P,C16_85_over_N_mar_M,C16_85_over_N_mar_F,C16_85_over_N_mar_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Marr_reg_marr_M,C16_Tot_Marr_reg_marr_F,C16_Tot_Marr_reg_marr_P,C16_Tot_Mar_de_fa_mar_M,C16_Tot_Mar_de_fa_mar_F,C16_Tot_Mar_de_fa_mar_P,C16_Tot_N_mar_M,C16_Tot_N_mar_F,C16_Tot_N_mar_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Mar_RegM_M,C21_15_19_Mar_RegM_F,C21_15_19_Mar_RegM_P,C21_15_19_Mar_DFM_M,C21_15_19_Mar_DFM_F,C21_15_19_Mar_DFM_P,C21_15_19_N_mar_M,C21_15_19_N_mar_F,C21_15_19_N_mar_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Mar_RegM_M,C21_20_24_Mar_RegM_F,C21_20_24_Mar_RegM_P,C21_20_24_Mar_DFM_M
1GSYD,263743,136326,129560,265884,3981,10965,14945,9542,14331,23876,139134,124557,263689,152665,149847,302506,33479,56053,89531,27176,31034,58205,105836,86333,192166,166486,173413,339896,85414,103987,189400,25880,24687,50571,62175,53346,115526,173473,182027,355496,100664,106845,207517,19048,17495,36540,40576,40750,81327,160285,165094,325383,100610,103991,204607,16468,15392,31856,35436,41980,77416,152515,161363,313878,93972,97017,190987,14385,13503,27883,34345,43637,77982,142697,154158,296857,91073,88868,179935,12520,11199,23721,33967,44193,78156,137556,144261,281815,83682,81070,164754,9829,8547,18381,31227,44162,75389,124740,133777,258520,73616,68588,142204,6981,5828,12813,25387,40708,66093,105983,115127,221105,66032,58379,124405,5159,3661,8821,21645,38013,59660,92832,100049,192884,49429,40038,89462,2897,1885,4775,15799,32036,47834,68124,73952,142072,35100,26009,61106,1628,882,2508,11481,28917,40403,48216,55804,104018,22503,13728,36232,709,389,1097,8942,26159,35106,32154,40277,72437,15139,6667,21803,429,235,669,10798,33030,43826,26366,39931,66296,854757,862543,1717307,153245,150194,303438,712399,805909,1518309,1720403,1818647,3539049,41,144,182,622,1106,1737,142030,132118,274146,142695,133367,276057,3360,8247,11604,12063
1RNSW,136954,72009,67703,139711,1739,3757,5498,9154,13298,22455,51202,43542,94742,62094,60598,122694,12901,19966,32873,15233,16798,32026,31816,27284,59104,59951,64050,124005,28704,35311,64019,12394,12171,24566,20402,19637,40037,61497,67122,128621,34270,38715,72982,9877,10044,19924,16527,18433,34955,60673,67189,127861,40179,44059,84238,9720,10092,19818,18938,21755,40689,68838,75904,144744,41376,45410,86790,9552,9765,19317,21406,24388,45794,72332,79567,151896,44251,47533,91786,8811,9007,17823,23634,25641,49269,76695,82182,158881,48078,50240,98324,7832,7684,15518,24103,27259,51367,80025,85188,165210,47752,47932,95682,6252,5160,11410,21662,25241,46905,75664,78331,153996,49076,45034,94108,4678,3779,8458,19163,24897,44062,72922,73704,146627,39200,33939,73137,2754,1960,4717,14131,22830,36958,56083,58731,114812,28183,22134,50314,1518,943,2459,10818,21491,32306,40521,44565,85079,17699,11579,29279,641,393,1038,7943,19579,27523,26287,31550,57836,11012,5142,16153,358,205,565,8293,23611,31907,19664,28963,48622,444468,450850,895324,99584,103113,202702,361201,411381,772577,905250,965346,1870594,23,47,73,907,1795,2707,73682,67935,141618,74614,69784,144397,1321,2591,3911,10695
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,246122,126701,121374,248080,2972,8558,11530,10046,15082,25124,137685,123610,261293,150701,147250,297950,30063,49899,79962,30498,34686,65183,99178,81370,180546,159742,165952,325693,79650,95644,175301,27923,26047,53975,55788,49714,105500,163364,171412,334775,91545,95320,186859,19340,18558,37893,36523,37641,74166,147401,151519,298921,90978,93508,184484,16599,16365,32959,32464,39711,72179,140040,149581,289621,88349,90864,179214,14994,14311,29303,33210,42965,76169,136555,148136,284690,82145,80763,162908,11760,10898,22658,31246,41259,72507,125151,132922,258071,75676,73174,148848,9370,8052,17426,27842,40128,67977,112891,121354,234247,66288,62920,129211,6533,5338,11876,22853,36307,59162,95679,104571,200252,59957,55074,115027,4366,3331,7695,18716,34011,52731,83040,92414,175449,45474,38291,83761,2405,1606,4014,13256,28328,41583,61133,68231,129361,33370,25245,58618,1249,750,1993,10158,26764,36919,44776,52759,97534,21743,13657,35397,604,334,942,8139,24468,32604,30486,38458,68946,14267,6428,20693,379,195,573,9943,29338,39279,24585,35956,60541,782555,789597,1572152,156671,156579,313248,663029,755714,1418745,1602259,1701883,3304142,32,110,143,511,940,1452,131528,123546,255075,132075,124598,256674,2153,5540,7694,11637
2RVIC,75240,39795,36687,76481,856,1741,2601,5094,7264,12358,28240,23580,51820,34188,32584,66770,6742,10376,17123,8995,9601,18598,16854,14673,31532,32595,34649,67249,15912,19435,35345,6859,6788,13648,10276,10688,20959,33048,36912,69957,19060,21420,40475,5362,5578,10936,8609,9701,18306,33029,36693,69726,21954,23930,45883,5552,5557,11104,9805,11804,21607,37311,41290,78601,23505,25605,49107,5147,5308,10454,11282,13259,24540,39933,44166,84102,24936,26843,51780,4638,4694,9329,12182,14003,26186,41758,45545,87303,26869,27709,54581,3949,3719,7667,12258,14567,26826,43077,45998,89073,26919,26517,53435,3176,2679,5856,11289,13773,25064,41387,42971,84355,26425,24671,51096,2213,1693,3907,10042,13399,23442,38679,39761,78439,20103,17502,37604,1291,910,2207,7323,11577,18900,28715,29987,58709,14576,11247,25832,679,422,1098,5318,11071,16397,20575,22745,43318,9064,5940,15010,273,158,428,3992,10156,14150,13336,16251,29588,5849,2818,8658,159,103,260,4314,12199,16512,10322,15115,25441,242798,245813,488609,53716,55299,109010,191240,220245,411484,487749,521357,1009108,20,24,42,343,690,1034,40640,37264,77903,40997,37978,78975,620,1230,1849,5400
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,129954,67649,64727,132375,2054,4506,6562,9734,14046,23777,62864,56534,119401,74655,75089,149744,15069,23051,38124,18013,19774,37786,40279,34473,74761,73364,77305,150668,34840,42578,77422,14940,14348,29291,25136,22925,48062,74923,79858,154778,40529,44586,85119,10611,10340,20950,17890,19085,36974,69031,74009,143043,43749,46241,89989,9503,9315,18822,17319,20746,38067,70579,76300,146874,42807,44842,87647,8319,7883,16202,17014,21394,38405,68137,74111,142248,39925,40186,80111,6632,6301,12929,16318,21034,37351,62868,67515,130389,37339,36872,74212,4911,4468,9386,14578,19865,34440,56823,61206,118033,33613,31977,65588,3541,2932,6473,12399,18219,30618,49549,53128,102678,31121,28364,59482,2540,1890,4432,10674,17663,28332,44334,47915,92247,23434,19038,42470,1440,951,2392,7528,14888,22418,32400,34877,67276,15604,11433,27033,688,416,1104,5480,12547,18024,21769,24393,46165,8892,5663,14555,251,141,398,3928,10976,14910,13078,16785,29860,5760,2639,8400,161,76,237,4463,13221,17685,10379,15944,26320,374782,382083,756861,92071,94362,186433,322689,366713,689401,789540,843158,1632704,28,60,91,791,1405,2202,73136,68843,141986,73957,70316,144271,1563,3116,4685,11469
3RQLD,126227,66686,62978,129663,1988,4127,6112,10912,15666,26584,46525,40440,86961,59425,60234,119658,12742,19917,32661,16736,18868,35604,30035,26523,56560,59509,65313,124824,27706,35626,63335,14065,14113,28177,19940,19837,39778,61710,69575,131289,33389,38997,72384,10764,10910,21674,16391,18457,34849,60546,68358,128901,38734,43800,82538,10121,10156,20271,17962,21315,39277,66820,75276,142090,40495,44120,84617,9447,9737,19185,19052,22988,42036,69000,76845,145842,40338,43392,83729,8312,8254,16565,19937,23165,43099,68584,74814,143399,40757,42685,83446,6886,6553,13434,19316,22832,42142,66955,72068,139029,39483,38767,78246,5168,4348,9516,16608,20818,37426,61255,63931,125186,39710,36071,75779,3973,2981,6947,15518,20445,35956,59200,59495,118689,31108,26326,57436,2359,1627,3992,11563,17726,29289,45035,45676,90718,21795,15861,37659,1170,699,1872,8155,15795,23950,31126,32355,63488,12719,7792,20510,540,264,808,5824,13157,18977,19082,21218,40294,7544,3474,11016,256,136,396,5675,15391,21071,13480,19009,32485,388568,401070,789633,101721,106592,208308,318128,359491,677616,808410,867150,1675565,34,70,107,1013,1884,2895,69766,64728,134489,70810,66690,137493,1532,2958,4493,11111
