GCCSA_CODE_2021,C16_5_9_Indig_st_ns_P,C16_5_9_Tot_M,C16_5_9_Tot_F,C16_5_9_Tot_P,C16_10_14_Indigen_M,C16_10_14_Indigen_F,C16_10_14_Indigen_P,C16_10_14_NonInd_M,C16_10_14_NonInd_F,C16_10_14_NonInd_P,C16_10_14_Ind_st_ns_M,C16_10_14_Ind_st_ns_F,C16_10_14_Ind_st_ns_P,C16_10_14_Tot_M,C16_10_14_Tot_F,C16_10_14_Tot_P,C16_15_19_Indigen_M,C16_15_19_Indigen_F,C16_15_19_Indigen_P,C16_15_19_NonInd_M,C16_15_19_NonInd_F,C16_15_19_NonInd_P,C16_15_19_Ind_st_ns_M,C16_15_19_Ind_st_ns_F,C16_15_19_Ind_st_ns_P,C16_15_19_Tot_M,C16_15_19_Tot_F,C16_15_19_Tot_P,C16_20_24_Indigen_M,C16_20_24_Indigen_F,C16_20_24_Indigen_P,C16_20_24_NonInd_M,C16_20_24_NonInd_F,C16_20_24_NonInd_P,C16_20_24_Ind_st_ns_M,C16_20_24_Ind_st_ns_F,C16_20_24_Ind_st_ns_P,C16_20_24_Tot_M,C16_20_24_Tot_F,C16_20_24_Tot_P,C16_25_29_Indigen_M,C16_25_29_Indigen_F,C16_25_29_Indigen_P,C16_25_29_NonInd_M,C16_25_29_NonInd_F,C16_25_29_NonInd_P,C16_25_29_Ind_st_ns_M,C16_25_29_Ind_st_ns_F,C16_25_29_Ind_st_ns_P,C16_25_29_Tot_M,C16_25_29_Tot_F,C16_25_29_Tot_P,C16_30_34_Indigen_M,C16_30_34_Indigen_F,C16_30_34_Indigen_P,C16_30_34_NonInd_M,C16_30_34_NonInd_F,C16_30_34_NonInd_P,C16_30_34_Ind_st_ns_M,C16_30_34_Ind_st_ns_F,C16_30_34_Ind_st_ns_P,C16_30_34_Tot_M,C16_30_34_Tot_F,C16_30_34_Tot_P,C16_35_39_Indigen_M,C16_35_39_Indigen_F,C16_35_39_Indigen_P,C16_35_39_NonInd_M,C16_35_39_NonInd_F,C16_35_39_NonInd_P,C16_35_39_Ind_st_ns_M,C16_35_39_Ind_st_ns_F,C16_35_39_Ind_st_ns_P,C16_35_39_Tot_M,C16_35_39_Tot_F,C16_35_39_Tot_P,C16_40_44_Indigen_M,C16_40_44_Indigen_F,C16_40_44_Indigen_P,C16_40_44_NonInd_M,C16_40_44_NonInd_F,C16_40_44_NonInd_P,C16_40_44_Ind_st_ns_M,C16_40_44_Ind_st_ns_F,C16_40_44_Ind_st_ns_P,C16_40_44_Tot_M,C16_40_44_Tot_F,C16_40_44_Tot_P,C16_45_49_Indigen_M,C16_45_49_Indigen_F,C16_45_49_Indigen_P,C16_45_49_NonInd_M,C16_45_49_NonInd_F,C16_45_49_NonInd_P,C16_45_49_Ind_st_ns_M,C16_45_49_Ind_st_ns_F,C16_45_49_Ind_st_ns_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Indigen_M,C16_50_54_Indigen_F,C16_50_54_Indigen_P,C16_50_54_NonInd_M,C16_50_54_NonInd_F,C16_50_54_NonInd_P,C16_50_54_Ind_st_ns_M,C16_50_54_Ind_st_ns_F,C16_50_54_Ind_st_ns_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Indigen_M,C16_55_59_Indigen_F,C16_55_59_Indigen_P,C16_55_59_NonInd_M,C16_55_59_NonInd_F,C16_55_59_NonInd_P,C16_55_59_Ind_st_ns_M,C16_55_59_Ind_st_ns_F,C16_55_59_Ind_st_ns_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Indigen_M,C16_60_64_Indigen_F,C16_60_64_Indigen_P,C16_60_64_NonInd_M,C16_60_64_NonInd_F,C16_60_64_NonInd_P,C16_60_64_Ind_st_ns_M,C16_60_64_Ind_st_ns_F,C16_60_64_Ind_st_ns_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_over_Indigen_M,C16_65_over_Indigen_F,C16_65_over_Indigen_P,C16_65over_NonInd_M,C16_65over_NonInd_F,C16_65over_NonInd_P,C16_65over_Indig_st_ns_M,C16_65over_Indig_st_ns_F,C16_65over_Indig_st_ns_P,C16_65_over_Tot_M,C16_65_over_Tot_F,C16_65_over_Tot_P,C16_Tot_Indig_M,C16_Tot_Indig_F,C16_Tot_Indig_P,C16_Tot_NonInd_M,C16_Tot_NonInd_F,C16_Tot_NonInd_P,C16_Tot_Indig_st_ns_M,C16_Tot_Indig_st_ns_F,C16_Tot_Indig_st_ns_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_0_4_Indig_M,C21_0_4_Indig_F,C21_0_4_Indig_P,C21_0_4_NonInd_M,C21_0_4_NonInd_F,C21_0_4_NonInd_P,C21_0_4_Indig_st_ns_M,C21_0_4_Indig_st_ns_F,C21_0_4_Indig_st_ns_P,C21_0_4_Tot_M,C21_0_4_Tot_F,C21_0_4_Tot_P,C21_5_9_Indig_M,C21_5_9_Indig_F,C21_5_9_Indig_P,C21_5_9_NonInd_M,C21_5_9_NonInd_F,C21_5_9_NonInd_P,C21_5_9_Indig_st_ns_M,C21_5_9_Indig_st_ns_F,C21_5_9_Indig_st_ns_P,C21_5_9_Tot_M,C21_5_9_Tot_F,C21_5_9_Tot_P,C21_10_14_Indigen_M,C21_10_14_Indigen_F,C21_10_14_Indigen_P,C21_10_14_NonInd_M,C21_10_14_NonInd_F,C21_10_14_NonInd_P,C21_10_14_Ind_st_ns_M,C21_10_14_Ind_st_ns_F,C21_10_14_Ind_st_ns_P,C21_10_14_Tot_M,C21_10_14_Tot_F,C21_10_14_Tot_P,C21_15_19_Indigen_M,C21_15_19_Indigen_F,C21_15_19_Indigen_P,C21_15_19_NonInd_M
1GSYD,13693,158718,150522,309234,3966,3586,7547,134558,126887,261442,6189,5709,11900,144711,136177,280889,3784,3566,7346,137221,130558,267780,6975,6260,13239,147981,140387,288366,3361,3245,6609,158726,155395,314119,10203,9815,20010,172284,168452,340739,2586,2676,5260,173025,178232,351260,12537,12394,24933,188149,193304,381453,2032,2332,4365,179170,185387,364553,12351,11675,24029,193555,199391,392946,1794,1978,3771,164884,167012,331895,10272,9520,19793,176949,178513,355461,1872,2194,4063,156537,162470,319002,9106,8405,17508,167513,173061,340581,1789,2108,3897,146376,155129,301506,8454,7904,16358,156618,165141,321766,1615,1802,3412,141131,145693,286827,8023,7551,15575,150772,155047,305816,1334,1447,2777,128211,136142,264355,7326,7103,14426,136867,144689,281554,957,1131,2086,109474,118183,227657,6319,6393,12712,116747,125704,242452,1614,1899,3511,286796,341033,627831,18469,22748,41217,306877,365680,672561,34719,35417,70137,2211227,2282262,4493492,130822,129541,260360,2376771,2447226,4823993,5000,4754,9754,149453,140735,290192,6339,6082,12417,160794,151568,312364,5067,4587,9658,156588,148550,305136,7359,6924,14283,169015,160061,329072,4965,4780,9748,153694,145295,298993,6776,6255,13029,165443,156334,321768,4717,4284,8994,141352
1RNSW,10120,86368,82336,168703,8405,7987,16392,69681,66163,135840,5003,4711,9719,83082,78860,161944,7611,7362,14972,69231,65574,134808,4992,4755,9751,81831,77692,159532,6267,5967,12235,64139,61516,125656,5046,4627,9670,75450,72107,147559,4904,4890,9792,61607,63124,124733,4988,4621,9608,71504,72630,144133,4033,4149,8183,62923,65783,128702,4781,4586,9370,71736,74521,146252,3447,3656,7101,61856,65557,127410,4489,4294,8786,69789,73505,143293,3598,4174,7779,69890,73741,143633,5237,4984,10221,78731,82899,161625,3604,4197,7802,73151,77769,150916,5657,5409,11065,82406,87380,169779,3334,3823,7157,78022,81697,159718,6137,5759,11892,87492,91281,178772,2946,3307,6250,81936,86453,168389,6498,6138,12640,91387,95897,187283,2319,2424,4738,78546,81342,159887,6181,5871,12055,87047,89637,176683,3741,4288,8028,232417,261640,494062,19111,22162,41271,255269,288094,543366,72105,73084,145189,1141620,1181290,2322913,87995,87441,175438,1301714,1341814,2643535,10508,9858,20373,64899,61608,126502,4252,4106,8356,79655,75571,155229,11137,10236,21375,71576,67616,139194,5507,5238,10743,88216,83093,171313,10928,10475,21410,75174,71305,146483,5717,5391,11112,91820,87172,178998,9359,9071,18423,69100
19499,21,117,122,242,14,7,20,57,65,120,10,9,24,82,80,157,25,27,55,215,170,378,44,36,80,283,231,516,66,43,105,589,471,1059,95,101,197,746,614,1359,64,23,88,641,492,1135,216,119,342,927,634,1561,51,18,70,544,354,896,95,79,177,685,453,1139,66,33,95,475,246,728,80,58,142,622,335,959,52,22,78,466,230,693,125,42,169,644,296,938,58,34,92,439,237,673,74,45,120,568,310,878,38,14,55,437,273,707,106,56,157,584,335,920,19,14,33,404,281,688,88,41,129,512,343,857,15,17,35,391,317,709,64,48,117,476,393,866,23,12,35,760,533,1295,133,97,226,915,641,1553,539,298,839,5658,3871,9526,1155,763,1921,7353,4938,12288,66,50,119,131,97,230,59,60,118,258,203,460,41,44,82,96,98,195,70,86,155,199,227,428,32,25,57,86,91,178,63,70,136,185,185,369,50,49,94,152
19799,0,5,3,11,0,4,4,6,9,11,0,0,0,5,11,12,0,0,0,3,6,13,0,0,0,3,11,13,0,0,0,5,3,9,0,0,0,5,3,9,0,0,0,5,9,8,0,0,0,5,8,17,0,0,0,8,7,18,0,5,3,11,8,19,0,0,0,5,3,8,0,0,0,5,3,7,0,0,0,11,13,20,0,0,3,9,10,24,0,4,4,9,7,15,0,0,0,9,10,16,0,0,0,14,16,32,0,0,5,14,25,36,0,0,0,7,26,28,3,0,0,7,21,35,0,0,5,10,19,33,0,6,8,16,28,45,0,0,0,60,86,144,8,11,17,71,95,162,7,8,12,149,205,359,22,28,44,174,240,419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,13109,142671,135833,278505,1235,1123,2362,123300,116956,240259,5841,5559,11401,130381,123642,254016,1168,1174,2345,129162,124846,254015,6406,6250,12656,136741,132274,269019,1179,1163,2339,157745,154648,312397,9437,9195,18629,168358,165008,333362,999,1024,2022,166384,171568,337950,11103,11354,22456,178490,183947,362435,848,783,1620,169010,175597,344606,10946,10733,21681,180800,187110,367915,689,718,1404,152044,154436,306478,9019,8415,17435,161753,163568,325322,738,735,1471,144238,151894,296132,8271,7897,16164,153238,160526,313771,749,718,1466,140373,150275,290646,7829,7648,15470,148946,158633,307587,532,637,1163,128803,135228,264026,7494,7041,14538,136829,142905,279732,445,456,906,116455,124817,241276,6796,6840,13640,123705,132122,255821,356,405,759,99551,108680,208231,5993,6091,12082,105903,115179,221079,524,679,1209,265577,321242,586821,18308,23149,41461,284404,345080,629488,11932,12134,24064,2065925,2149832,4215757,121736,123650,245385,2199598,2285613,4485210,1728,1633,3363,142143,134577,276722,5382,5185,10571,149255,141400,290649,1611,1557,3168,150194,142081,292278,6169,5909,12072,157973,149552,307523,1592,1563,3155,143204,135691,278897,5840,5523,11366,150634,142778,293410,1523,1424,2939,134055
2RVIC,5658,46314,43625,89936,1304,1330,2638,40284,38467,78746,2855,2632,5488,44440,42430,86871,1212,1214,2427,40930,38134,79064,2780,2692,5478,44927,42041,86964,999,914,1918,37087,35035,72121,2835,2654,5494,40922,38609,79530,758,830,1583,35081,35889,70970,2700,2584,5280,38533,39309,77839,586,658,1250,35124,37564,72688,2585,2640,5225,38291,40867,79157,515,600,1117,34819,37194,72013,2392,2490,4883,37727,40283,78018,556,619,1180,39045,41687,80730,2842,2771,5612,42445,45074,87524,569,676,1245,41660,44732,86392,3247,3054,6297,45471,48461,93935,551,594,1147,43625,46812,90437,3312,3289,6601,47486,50696,98181,479,521,999,45277,48145,93425,3467,3468,6939,49226,52138,101367,386,394,776,44365,46131,90490,3525,3576,7093,48270,50097,98369,611,689,1298,125037,141418,266463,11418,13281,24701,137068,155397,292467,11533,11914,23444,643001,667269,1310267,49598,50511,100103,704122,729690,1433818,1812,1807,3613,39120,37698,76819,2261,2137,4400,43195,41636,84837,1995,1879,3875,43512,41026,84538,3055,2785,5838,48558,45693,94252,1968,1836,3807,45378,42489,87871,3108,2863,5968,50457,47190,97643,1521,1527,3050,41261
29499,29,88,106,196,3,0,9,73,70,144,9,14,25,90,91,179,13,11,28,144,146,286,23,16,35,177,175,357,13,8,18,365,387,756,62,61,125,448,451,899,21,5,27,437,386,827,85,59,144,543,450,988,19,9,35,414,281,690,77,55,131,513,344,855,23,4,32,352,199,556,65,45,105,439,251,691,17,18,36,299,175,474,61,34,93,370,228,599,16,7,21,286,143,428,47,24,72,351,167,523,15,7,18,226,146,368,48,21,69,281,176,455,8,7,13,194,158,354,36,20,56,238,183,422,5,3,15,188,134,321,28,27,55,224,165,393,0,4,4,316,239,554,48,33,81,363,279,643,164,115,278,3533,2688,6222,634,434,1069,4329,3241,7572,19,25,42,178,153,331,26,15,43,222,189,414,6,14,25,174,144,319,26,22,54,208,181,393,7,14,24,125,139,261,24,20,47,161,175,334,18,14,28,194
29799,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,22,5,0,5,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,7291,78960,74963,153922,3152,2924,6076,66867,63211,130084,3236,3181,6416,73256,69320,142576,2975,2892,5867,68077,65764,133837,3471,3409,6876,74524,72056,146583,2699,2603,5307,77871,77660,155530,4958,4941,9901,85533,85210,170742,2035,2048,4081,76955,79157,156114,5177,5289,10470,84170,86491,170663,1703,1655,3354,78023,81105,159126,5167,4920,10086,84889,87677,172567,1416,1524,2939,71451,74545,145995,4405,3977,8383,77273,80044,157316,1459,1609,3066,72762,76377,149132,4378,4040,8418,78591,82020,160612,1329,1517,2847,70231,74436,144667,4440,3910,8349,76005,79861,155861,1146,1273,2422,64777,68207,132987,4060,3727,7790,69989,73211,143194,876,1027,1902,58902,62654,121551,3639,3425,7061,63409,67105,130517,674,768,1442,51404,54973,106382,3244,3204,6449,55327,58944,114275,912,1221,2130,130341,153167,283509,8423,10003,18425,139678,164389,304068,26810,27349,54157,1028411,1064713,2093126,62227,61289,123521,1117452,1153351,2270807,4396,4207,8602,70036,66039,136076,2999,2829,5824,77426,73074,150503,4458,4208,8669,77026,73114,150138,3556,3315,6870,85041,80642,165679,4347,4246,8595,78567,74093,152662,3451,3256,6705,86365,81594,167962,3929,3798,7720,73335
3RQLD,10316,83694,79223,162923,7729,7515,15246,67630,63721,131349,4962,4768,9728,80317,76000,156322,6890,6609,13496,64665,61409,126077,4902,4811,9714,76455,72829,149287,5609,5470,11080,61404,60716,122117,6173,5608,11776,73187,71790,144978,4446,4613,9058,62147,65023,127170,6643,5860,12503,73238,75499,148736,3751,4137,7879,63969,68512,132485,6544,5515,12060,74264,78161,152425,3421,3729,7152,62261,66671,128926,6001,5074,11076,71687,75466,147154,3523,3892,7412,68651,73527,142174,6445,5497,11949,78623,82913,161536,3310,3788,7099,70978,75643,146616,6774,5864,12639,81059,85297,166353,2975,3242,6211,70753,75011,145771,6772,5853,12621,80507,84103,164606,2412,2711,5125,69787,73340,143127,6619,5711,12333,78820,81763,160584,1755,2017,3779,64142,66220,130360,5664,5304,10971,71567,73543,145106,2677,3356,6029,179592,193093,372687,15734,17041,32776,198008,213488,411494,64873,66650,131518,1039004,1068874,2107879,93554,86774,180324,1197426,1222294,2419723,8740,8297,17042,60126,56341,116469,4131,3808,7943,73003,68446,141447,9239,8897,18131,69346,65605,134947,5129,4906,10042,83714,79408,163120,9739,9168,18907,74435,70290,144719,5568,4981,10541,89739,84431,174166,7962,7881,15843,66923
