GCCSA_CODE_2021,C11_AP_15_19_NCB_0,C11_AP_15_19_NCB_1,C11_AP_15_19_NCB_2,C11_AP_15_19_NCB_3,C11_AP_15_19_NCB_4,C11_AP_15_19_NCB_5,C11_AP_15_19_NCB_6mor,C11_AP_15_19_NCB_NS,C11_AP_15_19_Tot,C11_AP_20_24_NCB_0,C11_AP_20_24_NCB_1,C11_AP_20_24_NCB_2,C11_AP_20_24_NCB_3,C11_AP_20_24_NCB_4,C11_AP_20_24_NCB_5,C11_AP_20_24_NCB_6mor,C11_AP_20_24_NCB_NS,C11_AP_20_24_Tot,C11_AP_25_29_NCB_0,C11_AP_25_29_NCB_1,C11_AP_25_29_NCB_2,C11_AP_25_29_NCB_3,C11_AP_25_29_NCB_4,C11_AP_25_29_NCB_5,C11_AP_25_29_NCB_6mor,C11_AP_25_29_NCB_NS,C11_AP_25_29_Tot,C11_AP_30_34_NCB_0,C11_AP_30_34_NCB_1,C11_AP_30_34_NCB_2,C11_AP_30_34_NCB_3,C11_AP_30_34_NCB_4,C11_AP_30_34_NCB_5,C11_AP_30_34_NCB_6mor,C11_AP_30_34_NCB_NS,C11_AP_30_34_Tot,C11_AP_35_39_NCB_0,C11_AP_35_39_NCB_1,C11_AP_35_39_NCB_2,C11_AP_35_39_NCB_3,C11_AP_35_39_NCB_4,C11_AP_35_39_NCB_5,C11_AP_35_39_NCB_6mor,C11_AP_35_39_NCB_NS,C11_AP_35_39_Tot,C11_AP_40_44_NCB_0,C11_AP_40_44_NCB_1,C11_AP_40_44_NCB_2,C11_AP_40_44_NCB_3,C11_AP_40_44_NCB_4,C11_AP_40_44_NCB_5,C11_AP_40_44_NCB_6mor,C11_AP_40_44_NCB_NS,C11_AP_40_44_Tot,C11_AP_45_49_NCB_0,C11_AP_45_49_NCB_1,C11_AP_45_49_NCB_2,C11_AP_45_49_NCB_3,C11_AP_45_49_NCB_4,C11_AP_45_49_NCB_5,C11_AP_45_49_NCB_6mor,C11_AP_45_49_NCB_NS,C11_AP_45_49_Tot,C11_AP_50_54_NCB_0,C11_AP_50_54_NCB_1,C11_AP_50_54_NCB_2,C11_AP_50_54_NCB_3,C11_AP_50_54_NCB_4,C11_AP_50_54_NCB_5,C11_AP_50_54_NCB_6mor,C11_AP_50_54_NCB_NS,C11_AP_50_54_Tot,C11_AP_55_59_NCB_0,C11_AP_55_59_NCB_1,C11_AP_55_59_NCB_2,C11_AP_55_59_NCB_3,C11_AP_55_59_NCB_4,C11_AP_55_59_NCB_5,C11_AP_55_59_NCB_6mor,C11_AP_55_59_NCB_NS,C11_AP_55_59_Tot,C11_AP_60_64_NCB_0,C11_AP_60_64_NCB_1,C11_AP_60_64_NCB_2,C11_AP_60_64_NCB_3,C11_AP_60_64_NCB_4,C11_AP_60_64_NCB_5,C11_AP_60_64_NCB_6mor,C11_AP_60_64_NCB_NS,C11_AP_60_64_Tot,C11_AP_65_69_NCB_0,C11_AP_65_69_NCB_1,C11_AP_65_69_NCB_2,C11_AP_65_69_NCB_3,C11_AP_65_69_NCB_4,C11_AP_65_69_NCB_5,C11_AP_65_69_NCB_6mor,C11_AP_65_69_NCB_NS,C11_AP_65_69_Tot,C11_AP_70_74_NCB_0,C11_AP_70_74_NCB_1,C11_AP_70_74_NCB_2,C11_AP_70_74_NCB_3,C11_AP_70_74_NCB_4,C11_AP_70_74_NCB_5,C11_AP_70_74_NCB_6mor,C11_AP_70_74_NCB_NS,C11_AP_70_74_Tot,C11_AP_75_79_NCB_0,C11_AP_75_79_NCB_1,C11_AP_75_79_NCB_2,C11_AP_75_79_NCB_3,C11_AP_75_79_NCB_4,C11_AP_75_79_NCB_5,C11_AP_75_79_NCB_6mor,C11_AP_75_79_NCB_NS,C11_AP_75_79_Tot,C11_AP_80_84_NCB_0,C11_AP_80_84_NCB_1,C11_AP_80_84_NCB_2,C11_AP_80_84_NCB_3,C11_AP_80_84_NCB_4,C11_AP_80_84_NCB_5,C11_AP_80_84_NCB_6mor,C11_AP_80_84_NCB_NS,C11_AP_80_84_Tot,C11_AP_85over_N_c_b_0,C11_AP_85over_N_c_b_1,C11_AP_85over_N_c_b_2,C11_AP_85over_N_c_b_3,C11_AP_85over_N_c_b_4,C11_AP_85over_N_c_b_5,C11_AP_85over_N_c_b_6mor,C11_AP_85over_N_c_b_NS,C11_AP_85over_Tot,C11_AP_Tot_NCB_0,C11_AP_Tot_NCB_1,C11_AP_Tot_NCB_2,C11_AP_Tot_NCB_3,C11_AP_Tot_NCB_4,C11_AP_Tot_NCB_5,C11_AP_Tot_N_c_b_6mor,C11_AP_Tot_NCB_NS,C11_AP_Tot_Tot,C16_AP_15_19_NCB_0,C16_AP_15_19_NCB_1,C16_AP_15_19_NCB_2,C16_AP_15_19_NCB_3,C16_AP_15_19_NCB_4,C16_AP_15_19_NCB_5,C16_AP_15_19_NCB_6mor,C16_AP_15_19_NCB_NS,C16_AP_15_19_Tot,C16_AP_20_24_NCB_0,C16_AP_20_24_NCB_1,C16_AP_20_24_NCB_2,C16_AP_20_24_NCB_3,C16_AP_20_24_NCB_4,C16_AP_20_24_NCB_5,C16_AP_20_24_NCB_6mor,C16_AP_20_24_NCB_NS,C16_AP_20_24_Tot,C16_AP_25_29_NCB_0,C16_AP_25_29_NCB_1,C16_AP_25_29_NCB_2,C16_AP_25_29_NCB_3,C16_AP_25_29_NCB_4,C16_AP_25_29_NCB_5,C16_AP_25_29_NCB_6mor,C16_AP_25_29_NCB_NS,C16_AP_25_29_Tot,C16_AP_30_34_NCB_0,C16_AP_30_34_NCB_1,C16_AP_30_34_NCB_2,C16_AP_30_34_NCB_3,C16_AP_30_34_NCB_4,C16_AP_30_34_NCB_5,C16_AP_30_34_NCB_6mor,C16_AP_30_34_NCB_NS,C16_AP_30_34_Tot,C16_AP_35_39_NCB_0,C16_AP_35_39_NCB_1,C16_AP_35_39_NCB_2,C16_AP_35_39_NCB_3,C16_AP_35_39_NCB_4,C16_AP_35_39_NCB_5,C16_AP_35_39_NCB_6mor,C16_AP_35_39_NCB_NS,C16_AP_35_39_Tot,C16_AP_40_44_NCB_0,C16_AP_40_44_NCB_1,C16_AP_40_44_NCB_2,C16_AP_40_44_NCB_3,C16_AP_40_44_NCB_4,C16_AP_40_44_NCB_5,C16_AP_40_44_NCB_6mor,C16_AP_40_44_NCB_NS,C16_AP_40_44_Tot,C16_AP_45_49_NCB_0,C16_AP_45_49_NCB_1
4RSAU,9527,278,28,4,4,0,0,967,10818,5835,1314,593,146,30,13,4,468,8403,4116,1923,1926,747,203,55,31,446,9449,1988,1691,3016,1650,478,157,76,390,9448,1458,1377,4091,2380,827,223,166,426,10944,1440,1396,4607,3037,1070,305,219,459,12535,1533,1356,4676,3167,1150,370,216,471,12941,1446,1275,4994,3327,1228,363,203,505,13346,1271,1148,4837,3196,1246,311,140,493,12641,1020,1025,4940,3396,1282,356,180,548,12745,781,649,3450,2946,1389,438,273,480,10415,519,430,2023,2249,1436,589,425,447,8128,378,304,1173,1581,1240,576,513,421,6186,314,328,1026,1149,954,495,542,465,5270,420,416,1196,1147,792,428,452,631,5479,32047,14911,42567,30106,13333,4701,3447,7619,148738,8685,141,25,6,5,0,0,1331,10202,6155,1042,531,95,31,0,9,764,8629,4360,1745,1709,628,202,53,27,698,9414,2259,1815,2980,1524,499,156,91,657,9976,1317,1215,3340,2196,713,234,146,615,9762,1284,1234,3971,2520,929,287,188,680,11095,1482,1361
49499,45,6,0,0,0,0,0,13,67,91,20,11,7,0,0,0,11,133,91,9,17,3,0,0,0,14,135,45,17,14,7,4,5,0,10,107,39,8,20,12,6,0,4,9,92,23,5,15,11,0,0,4,12,81,18,11,17,11,0,3,0,13,74,21,10,29,30,12,5,0,12,118,17,9,26,15,9,0,0,11,81,8,3,33,12,8,0,0,8,82,0,0,16,15,3,0,0,9,55,3,4,4,0,3,4,4,11,34,3,0,0,0,4,0,0,15,21,0,0,0,0,3,0,0,14,21,0,0,0,0,0,0,0,36,43,415,106,203,122,57,22,20,197,1138,54,9,0,0,0,0,0,17,75,63,9,8,3,0,0,0,17,102,74,14,0,0,0,0,0,25,115,51,9,9,10,0,0,0,16,90,25,3,15,7,6,0,5,20,80,15,7,9,8,0,0,0,19,63,25,7
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,51622,847,105,24,14,6,19,4821,57461,51418,4976,1999,430,88,19,31,4203,63159,40712,10148,6783,2144,583,152,77,4074,64665,22727,12724,14196,5172,1643,447,257,3422,60585,12855,10367,22165,9673,2843,818,583,3146,62448,10085,8950,25172,11874,3650,1076,717,3081,64605,8688,7682,23924,12803,4170,1132,716,2718,61830,7278,6434,22063,13044,4473,1195,640,2585,57706,5808,5466,19940,12257,4331,1084,637,2397,51918,4344,4392,18366,11376,4126,1068,587,2286,46544,2698,2676,11934,8825,3735,1091,634,1748,33333,1977,1831,7523,7399,4041,1406,970,1691,26848,1514,1342,5064,5488,3577,1571,1226,1731,21511,1231,1215,4006,4082,2797,1278,1226,1838,17680,1391,1717,4209,3607,2381,1094,1122,3032,18558,224333,80775,187449,108191,42445,13451,9454,42756,708854,52005,493,60,14,0,3,13,6138,58736,52389,4411,1665,326,72,16,23,6181,65082,47426,11352,7028,2197,555,136,78,6670,75447,29618,17229,17356,5716,1639,477,247,5765,78040,14564,12408,23790,9797,2783,801,525,4202,68877,10476,9916,26109,12103,3712,1125,791,4029,68258,9569,9331
5RWAU,12064,446,68,9,10,5,9,1569,14169,8745,1979,1031,292,55,10,6,1258,13384,7612,2877,2730,1052,357,80,44,1389,16149,4135,2812,4364,2179,884,285,183,1255,16095,2592,2219,6028,3433,1201,415,305,1343,17530,2238,1982,6338,3935,1576,511,383,1238,18213,2055,1687,5817,4110,1659,530,343,1159,17356,1774,1431,5755,4262,1863,573,359,1101,17115,1396,1163,5158,3928,1708,502,332,909,15089,985,862,4443,3530,1601,475,281,768,12947,659,528,2770,2608,1390,449,322,536,9260,391,323,1504,1983,1348,575,457,458,7046,266,209,843,1283,1116,606,464,441,5220,198,199,643,850,788,443,452,386,3957,245,246,679,748,613,327,357,518,3726,45355,18965,48165,34210,16162,5785,4299,14318,187256,11544,275,36,8,5,5,4,2205,14084,8299,1657,761,181,46,8,15,1472,12443,7556,2808,2506,1031,304,87,35,1857,16176,4804,3126,4723,2378,781,208,146,1844,18014,2595,2161,5371,3192,1191,377,269,1558,16704,2156,1961,6026,3512,1352,446,375,1562,17378,2195,1977
59499,76,4,0,0,0,0,0,25,106,212,10,12,0,0,0,0,33,278,252,16,11,3,5,0,0,48,333,151,32,45,13,4,0,4,50,294,68,24,38,16,10,7,0,53,212,58,28,39,21,7,0,0,48,200,41,27,47,22,7,5,0,34,180,38,27,83,39,8,7,3,35,236,40,25,120,74,34,3,5,40,333,20,25,107,82,23,0,0,19,283,10,14,63,39,19,5,0,11,165,8,0,11,18,7,3,4,3,55,0,4,0,5,6,0,0,5,23,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,4,12,979,231,578,340,131,38,19,400,2712,44,6,0,0,0,0,0,20,65,162,8,4,0,0,0,0,67,245,184,17,6,7,3,0,0,84,310,107,5,20,9,3,0,0,77,223,57,13,20,15,5,0,0,47,156,41,9,26,11,0,4,0,53,149,36,15
59799,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,3,0,0,4,34,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0
6GHOB,6056,154,21,5,3,0,6,520,6767,5663,764,317,68,15,0,5,387,7223,3915,1239,910,361,92,30,9,299,6847,2162,1438,1577,663,250,72,41,251,6456,1499,1205,2518,1073,368,143,84,256,7149,1247,1129,2731,1358,462,180,105,247,7461,1146,1037,2847,1486,519,166,105,267,7580,1153,1010,2924,1684,625,212,112,292,8003,973,828,2643,1673,625,155,98,293,7286,742,656,2448,1612,577,185,94,262,6582,515,444,1668,1260,549,168,125,236,4966,351,297,1113,1052,544,251,189,228,4028,266,192,761,790,551,282,200,245,3295,248,228,602,617,437,213,225,227,2800,311,310,669,598,389,188,199,372,3040,26233,10933,23756,14298,6018,2254,1602,4385,89488,5847,96,19,0,0,0,0,723,6684,5466,604,239,65,6,5,0,571,6953,4350,1137,831,301,85,23,10,472,7209,2488,1560,1791,713,242,64,39,433,7329,1420,1240,2334,1003,364,120,79,368,6923,1281,1097,2699,1282,460,160,102,392,7483,1216,1077
6RTAS,8057,228,39,0,7,0,0,675,9021,5319,1050,502,121,28,3,0,354,7383,3446,1501,1425,605,189,44,21,248,7484,1952,1468,2305,1082,405,125,72,261,7673,1403,1311,3224,1709,619,215,153,316,8939,1388,1315,3762,2135,802,246,159,311,10115,1388,1198,3778,2293,855,309,193,309,10326,1453,1084,3828,2538,1008,302,179,363,10742,1153,1009,3593,2476,1031,306,140,360,10067,1039,887,3437,2543,1088,338,166,364,9868,747,551,2376,2019,1053,373,242,365,7724,467,376,1357,1510,1028,460,371,345,5922,346,318,910,1051,792,419,378,325,4537,307,272,686,724,531,306,368,329,3518,348,380,787,731,439,236,302,484,3700,28822,12959,32004,21528,9864,3689,2757,5397,117009,7234,146,12,3,3,0,4,997,8399,5438,957,435,91,22,4,7,630,7579,3524,1394,1246,466,128,44,24,532,7360,1911,1457,2178,1123,360,121,69,505,7723,1275,1130,2682,1406,550,192,127,499,7852,1254,1150,3121,1761,638,253,180,559,8910,1396,1330
69499,41,3,0,0,0,0,0,12,56,35,7,0,0,0,0,0,3,47,32,7,9,0,0,0,0,3,48,8,6,3,3,0,0,0,5,23,15,0,0,5,0,0,0,0,21,10,5,5,10,0,0,0,4,33,10,5,13,10,0,0,0,0,33,9,3,8,3,6,0,0,0,34,7,3,9,3,0,3,0,5,31,5,5,15,6,3,0,0,7,40,4,0,4,6,0,0,0,0,19,0,0,0,0,0,0,0,4,14,0,0,3,0,0,0,0,0,6,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,169,42,78,47,22,3,10,38,410,28,5,0,0,0,0,0,0,30,15,3,0,0,0,0,0,6,33,29,4,0,0,0,0,0,6,42,10,4,6,0,0,0,0,3,32,15,3,7,3,0,0,0,4,34,11,0,0,5,3,0,0,0,25,4,5
69799,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,5,3,3,3,0,0,5,32,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,3033,85,9,0,3,0,7,558,3692,2971,487,188,54,8,0,0,461,4167,2996,858,560,191,55,23,11,600,5295,1789,911,1119,423,154,49,28,503,4963,1111,736,1378,681,269,89,63,509,4828,795,590,1515,863,293,106,79,504,4750,739,522,1288,817,291,101,73,464,4292,559,476,1263,765,367,113,52,368,3966,382,358,1067,692,285,91,41,328,3245,269,254,769,558,243,108,67,248,2519,161,132,426,337,170,54,57,143,1468,96,62,214,190,126,58,71,107,931,35,32,96,83,86,47,77,72,528,20,38,61,55,42,34,55,57,361,13,29,47,40,28,15,35,48,261,14964,5569,10001,5748,2420,878,702,4979,45260,2905,50,3,0,0,0,0,601,3559,3109,401,165,25,7,0,3,642,4352,3721,931,573,198,46,16,9,889,6388,2376,1300,1275,504,139,50,27,756,6426,1158,927,1606,765,267,79,40,564,5402,893,696,1536,791,321,84,75,521,4913,754,614
7RNTE,2296,314,49,12,0,0,0,579,3253,1750,770,462,134,39,7,3,448,3619,1532,682,652,411,183,54,27,441,3990,954,569,694,512,295,125,67,368,3581,652,489,752,508,338,178,111,390,3418,569,396,735,561,353,182,138,376,3310,495,308,683,511,299,140,115,298,2842,383,265,685,537,274,147,135,272,2704,287,218,528,447,276,122,101,205,2194,180,132,373,278,150,96,123,156,1488,97,54,161,151,81,67,100,107,828,60,26,91,63,66,46,72,100,529,40,9,31,49,46,31,59,62,322,19,16,27,26,23,28,41,33,203,14,11,28,15,20,13,16,55,176,9327,4262,5943,4225,2440,1230,1123,3896,32457,1804,220,26,9,3,0,3,955,3025,1474,698,368,81,15,9,6,711,3353,1514,678,646,326,102,21,13,755,4055,1016,640,757,479,239,103,55,643,3934,609,404,700,506,269,156,108,505,3258,511,346,668,463,296,134,107,505,3031,502,347
79499,19,6,0,0,0,0,0,0,23,64,0,0,0,0,0,0,4,74,78,3,0,0,0,0,0,12,94,41,7,4,9,0,0,0,5,72,18,6,11,9,0,0,0,3,45,15,3,5,4,3,0,0,6,45,10,4,18,4,6,4,0,12,57,15,3,19,24,7,3,0,11,86,14,7,37,20,8,0,0,20,115,3,4,35,21,14,0,0,7,90,3,3,21,13,9,0,0,7,66,0,0,4,5,0,0,0,3,19,0,0,0,3,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,43,159,105,56,16,10,98,778,14,0,0,0,0,0,0,0,13,49,0,0,0,0,0,0,35,87,60,10,7,4,0,0,0,48,129,34,12,12,6,4,0,0,40,105,19,8,16,6,0,0,0,30,83,17,6,19,11,6,5,3,27,92,14,8
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,4,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,10609,110,23,6,0,0,0,863,11607,12999,758,288,58,8,0,7,949,15068,10930,1985,1132,322,77,28,22,722,15224,5964,3033,3006,1015,248,73,28,575,13954,3288,2329,4821,1923,550,123,75,470,13579,2499,1940,5072,2242,684,166,99,456,13156,2224,1645,4868,2449,769,200,104,381,12638,1950,1535,4449,2602,822,191,106,403,12049,1388,1172,3967,2484,868,225,85,329,10516,1059,1018,3576,2286,824,203,140,296,9398,654,581,2296,1667,698,211,112,260,6482,391,390,1368,1241,675,264,179,246,4753,309,284,898,908,537,232,215,202,3576,210,244,668,644,412,209,210,295,2898,216,356,736,653,363,183,176,483,3172,54696,17385,37171,20490,7533,2310,1549,6946,148067,10964,48,14,4,0,0,0,1099,12122,13352,624,211,53,7,0,4,1277,15525,11634,2122,1115,297,85,19,7,1230,16513,7130,3937,3634,1005,217,71,44,1091,17129,3640,2814,5271,1949,462,147,74,792,15147,2595,2094,5556,2324,689,181,107,736,14276,2304,1915
89499,19,5,0,0,0,0,0,0,27,39,0,0,0,0,0,0,4,44,37,4,6,0,0,0,0,0,40,20,3,7,4,0,0,0,0,32,16,3,0,0,0,0,0,0,24,7,3,7,0,0,0,0,5,25,7,0,0,0,0,0,0,3,17,11,4,10,0,0,0,0,0,25,0,0,3,8,0,0,0,3,17,0,6,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,31,35,22,11,3,4,20,271,17,0,0,0,0,0,0,0,16,29,0,0,0,0,0,0,4,40,18,0,0,0,0,0,0,0,22,9,0,4,0,0,0,0,3,18,14,0,3,3,0,0,0,5,30,3,0,6,0,0,0,0,0,11,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,50,0,0,0,0,0,0,5,52,40,12,11,0,0,0,0,5,68,28,12,14,3,0,0,0,3,62,25,12,13,14,0,0,5,7,77,16,19,21,14,3,0,0,8,78,15,17,24,22,9,4,5,8,93,11,9,33,16,9,5,6,4,94,4,5,31,27,13,0,5,0,87,10,7,27,17,8,3,6,10,88,6,3,9,9,9,0,0,8,41,3,9,3,4,0,6,5,0,26,0,0,9,5,0,0,0,4,16,0,0,0,4,0,0,4,0,10,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,218,104,191,136,49,24,25,59,805,76,0,0,0,0,0,0,27,107,46,3,0,0,0,0,0,11,65,42,19,15,6,6,0,0,12,96,44,23,36,19,8,0,0,16,142,30,18,39,33,5,0,6,11,135,32,25,43,25,10,5,0,16,148,33,21
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,16,4,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
