GCCSA_CODE_2021,C16_45_49_Sep_F,C16_45_49_Sep_P,C16_45_49_Div_M,C16_45_49_Div_F,C16_45_49_Div_P,C16_45_49_Wid_M,C16_45_49_Wid_F,C16_45_49_Wid_P,C16_45_49_Nvr_marrd_M,C16_45_49_Nvr_marrd_F,C16_45_49_Nvr_marrd_P,C16_45_49_Tot_M,C16_45_49_Tot_F,C16_45_49_Tot_P,C16_50_54_Married_M,C16_50_54_Married_F,C16_50_54_Married_P,C16_50_54_Sep_M,C16_50_54_Sep_F,C16_50_54_Sep_P,C16_50_54_Div_M,C16_50_54_Div_F,C16_50_54_Div_P,C16_50_54_Wid_M,C16_50_54_Wid_F,C16_50_54_Wid_P,C16_50_54_Nvr_marrd_M,C16_50_54_Nvr_marrd_F,C16_50_54_Nvr_marrd_P,C16_50_54_Tot_M,C16_50_54_Tot_F,C16_50_54_Tot_P,C16_55_59_Married_M,C16_55_59_Married_F,C16_55_59_Married_P,C16_55_59_Sep_M,C16_55_59_Sep_F,C16_55_59_Sep_P,C16_55_59_Div_M,C16_55_59_Div_F,C16_55_59_Div_P,C16_55_59_Wid_M,C16_55_59_Wid_F,C16_55_59_Wid_P,C16_55_59_Nvr_marrd_M,C16_55_59_Nvr_marrd_F,C16_55_59_Nvr_marrd_P,C16_55_59_Tot_M,C16_55_59_Tot_F,C16_55_59_Tot_P,C16_60_64_Married_M,C16_60_64_Married_F,C16_60_64_Married_P,C16_60_64_Sep_M,C16_60_64_Sep_F,C16_60_64_Sep_P,C16_60_64_Div_M,C16_60_64_Div_F,C16_60_64_Div_P,C16_60_64_Wid_M,C16_60_64_Wid_F,C16_60_64_Wid_P,C16_60_64_Nvr_marrd_M,C16_60_64_Nvr_marrd_F,C16_60_64_Nvr_marrd_P,C16_60_64_Tot_M,C16_60_64_Tot_F,C16_60_64_Tot_P,C16_65_69_Married_M,C16_65_69_Married_F,C16_65_69_Married_P,C16_65_69_Sep_M,C16_65_69_Sep_F,C16_65_69_Sep_P,C16_65_69_Div_M,C16_65_69_Div_F,C16_65_69_Div_P,C16_65_69_Wid_M,C16_65_69_Wid_F,C16_65_69_Wid_P,C16_65_69_Nvr_marrd_M,C16_65_69_Nvr_marrd_F,C16_65_69_Nvr_marrd_P,C16_65_69_Tot_M,C16_65_69_Tot_F,C16_65_69_Tot_P,C16_70_74_Married_M,C16_70_74_Married_F,C16_70_74_Married_P,C16_70_74_Sep_M,C16_70_74_Sep_F,C16_70_74_Sep_P,C16_70_74_Div_M,C16_70_74_Div_F,C16_70_74_Div_P,C16_70_74_Wid_M,C16_70_74_Wid_F,C16_70_74_Wid_P,C16_70_74_Nvr_marrd_M,C16_70_74_Nvr_marrd_F,C16_70_74_Nvr_marrd_P,C16_70_74_Tot_M,C16_70_74_Tot_F,C16_70_74_Tot_P,C16_75_79_Married_M,C16_75_79_Married_F,C16_75_79_Married_P,C16_75_79_Sep_M,C16_75_79_Sep_F,C16_75_79_Sep_P,C16_75_79_Div_M,C16_75_79_Div_F,C16_75_79_Div_P,C16_75_79_Wid_M,C16_75_79_Wid_F,C16_75_79_Wid_P,C16_75_79_Nvr_marrd_M,C16_75_79_Nvr_marrd_F,C16_75_79_Nvr_marrd_P,C16_75_79_Tot_M,C16_75_79_Tot_F,C16_75_79_Tot_P,C16_80_84_Married_M,C16_80_84_Married_F,C16_80_84_Married_P,C16_80_84_Sep_M,C16_80_84_Sep_F,C16_80_84_Sep_P,C16_80_84_Div_M,C16_80_84_Div_F,C16_80_84_Div_P,C16_80_84_Wid_M,C16_80_84_Wid_F,C16_80_84_Wid_P,C16_80_84_Nvr_marrd_M,C16_80_84_Nvr_marrd_F,C16_80_84_Nvr_marrd_P,C16_80_84_Tot_M,C16_80_84_Tot_F,C16_80_84_Tot_P,C16_85_over_Married_M,C16_85_over_Married_F,C16_85_over_Married_P,C16_85_over_Seprtd_M,C16_85_over_Seprtd_F,C16_85_over_Seprtd_P,C16_85_over_Divorce_M,C16_85_over_Divorce_F,C16_85_over_Divorce_P,C16_85_over_Wid_M,C16_85_over_Wid_F,C16_85_over_Wid_P,C16_85_over_Nvr_mard_M,C16_85_over_Nvr_mard_F,C16_85_over_Nvr_mard_P,C16_85_over_Tot_M,C16_85_over_Tot_F,C16_85_over_Tot_P,C16_Tot_Married_M,C16_Tot_Married_F,C16_Tot_Married_P,C16_Tot_Sep_M,C16_Tot_Sep_F,C16_Tot_Sep_P,C16_Tot_Div_M,C16_Tot_Div_F,C16_Tot_Div_P,C16_Tot_Wid_M,C16_Tot_Wid_F,C16_Tot_Wid_P,C16_Tot_nver_marrie_M,C16_Tot_nver_marrie_F,C16_Tot_nver_marrie_P,C16_Tot_Tot_M,C16_Tot_Tot_F,C16_Tot_Tot_P,C21_15_19_Married_M,C21_15_19_Married_F,C21_15_19_Married_P,C21_15_19_Sep_M,C21_15_19_Sep_F,C21_15_19_Sep_P,C21_15_19_Div_M,C21_15_19_Div_F,C21_15_19_Div_P,C21_15_19_Wid_M,C21_15_19_Wid_F,C21_15_19_Wid_P,C21_15_19_Nvr_marrd_M,C21_15_19_Nvr_marrd_F,C21_15_19_Nvr_marrd_P,C21_15_19_Tot_M,C21_15_19_Tot_F,C21_15_19_Tot_P,C21_20_24_Married_M,C21_20_24_Married_F,C21_20_24_Married_P,C21_20_24_Sep_M,C21_20_24_Sep_F,C21_20_24_Sep_P
1GSYD,8447,14857,14107,22107,36215,626,2290,2917,31798,26482,58277,156618,165141,321766,100390,97794,198183,6604,8036,14643,16901,24855,41758,1075,3841,4918,25806,20516,46323,150772,155047,305816,92303,90059,182359,5977,6937,12915,17652,25542,43196,1610,6568,8172,19327,15587,34916,136867,144689,281554,81660,77029,158692,4811,5533,10345,15424,22434,37862,2253,9955,12208,12602,10756,23356,116747,125704,242452,73385,65656,139042,4239,4146,8384,13183,19213,32400,3423,14201,17619,8879,7199,16075,103107,110425,213529,55306,45295,100601,2753,2417,5166,8652,12667,21318,4116,17924,22040,5489,4347,9839,76311,82645,158956,39683,29888,69565,1655,1236,2897,4948,7200,12148,5061,22160,27224,3371,2861,6225,54714,63346,118063,26210,16687,42898,862,676,1535,2609,4132,6742,5821,24899,30715,2099,2005,4103,37596,48392,85991,19665,9784,29448,588,365,949,1604,3407,5013,11531,44534,56067,1764,2784,4544,35148,60871,96019,968112,966017,1934135,49720,61779,111497,119103,179333,298435,36592,149060,185646,740793,653194,1393989,1914319,2009384,3923699,176,269,442,29,28,61,27,24,55,36,36,70,151964,142173,294133,152229,142533,294764,4900,11109,16013,277,729,1007
1RNSW,5620,10154,9359,13337,22699,460,1448,1907,21159,16710,37869,82406,87380,169779,50429,53209,103639,4787,5624,10411,12513,16304,28815,836,2479,3317,18932,13667,32591,87492,91281,178772,55251,57268,112515,4879,5270,10148,14716,18647,33360,1422,4193,5610,15120,10520,25641,91387,95897,187283,55520,55674,111191,4285,3996,8285,14813,17013,31824,2164,6573,8735,10261,6379,16641,87047,89637,176683,57699,52981,110680,3870,3063,6930,13378,14865,28248,3418,10414,13830,6408,3991,10406,84776,85313,170094,46060,39646,85702,2375,1713,4087,8918,9748,18672,4256,14112,18372,3903,2409,6314,65508,67629,133138,32974,25981,58955,1415,906,2318,5193,5489,10679,5191,17831,23020,2429,1623,4047,47189,51834,99023,21063,14124,35186,692,438,1125,2462,2858,5318,5590,19975,25571,1427,1090,2522,31230,38486,69712,14455,7450,21904,404,253,652,1312,2027,3340,9322,33762,43084,1072,1341,2411,26566,44830,71398,515192,513402,1028597,36844,40954,77802,94199,118073,212268,33280,112366,145643,373117,320847,693966,1052625,1105645,2158269,94,74,166,23,21,51,19,18,39,31,30,60,83487,78800,162283,83664,78934,162601,1635,2903,4541,103,248,349
19499,51,134,112,61,177,7,8,9,307,119,427,568,310,878,83,96,180,102,29,133,137,109,241,17,17,28,247,91,333,584,335,920,117,139,247,69,30,100,145,90,235,16,16,33,168,71,237,512,343,857,152,217,371,62,23,84,150,92,241,15,12,28,95,56,147,476,393,866,185,193,375,45,17,58,137,68,212,33,23,57,57,22,83,456,327,781,110,84,196,27,4,28,79,34,109,25,22,46,27,9,37,267,152,417,45,32,82,6,0,11,32,21,51,19,19,32,18,9,23,116,84,201,13,14,26,4,4,4,21,4,18,7,17,24,4,3,4,43,42,82,12,4,14,6,0,3,5,10,15,9,28,38,3,4,12,33,42,74,1154,1180,2336,633,257,895,980,566,1546,144,188,334,4045,2391,6445,6959,4583,11549,0,0,0,0,4,0,0,0,0,0,0,0,252,278,528,253,279,532,7,10,15,5,3,4
19799,0,0,0,0,0,0,0,0,3,3,7,9,10,16,9,16,20,0,0,0,4,5,5,0,0,0,4,0,7,14,25,36,9,14,21,0,4,4,0,3,4,0,3,3,0,0,0,7,21,35,16,17,34,0,0,0,0,8,5,0,0,0,0,0,0,16,28,45,23,24,50,0,0,0,3,9,10,0,4,4,0,0,0,31,41,64,10,8,21,0,0,3,0,3,6,0,6,12,0,0,0,19,27,40,8,8,9,0,0,0,0,0,0,0,7,5,0,0,0,8,14,27,9,4,11,0,0,0,0,0,0,0,5,6,0,0,0,14,9,20,0,3,7,0,0,0,0,0,0,0,4,3,0,0,0,4,3,11,106,117,225,3,9,13,16,36,45,8,21,31,24,39,66,158,221,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,8656,15349,13642,21111,34752,641,2029,2672,31076,27566,58642,148946,158633,307587,90425,89077,179503,6391,7678,14067,15993,23540,39529,1017,3350,4362,23003,19255,42261,136829,142905,279732,83331,81883,165210,5609,6544,12160,16591,23870,40461,1551,5603,7157,16613,14223,30837,123705,132122,255821,73965,71074,145036,4447,5011,9453,14287,21087,35374,2291,8551,10841,10912,9453,20367,105903,115179,221079,67803,63100,130902,3671,3724,7396,11660,17990,29641,3198,12979,16178,7065,5814,12879,93398,103600,197002,52057,44418,96475,2209,2115,4327,7474,11249,18724,3833,16303,20140,4139,3478,7614,69710,77568,147282,38850,29809,68659,1436,1222,2661,4375,6419,10792,4791,21184,25981,2488,2257,4745,51936,60899,112837,25827,16995,42818,746,586,1333,2250,3561,5812,5837,24346,30184,1498,1578,3075,36156,47062,83218,18851,9505,28360,521,305,821,1332,2510,3847,11037,41451,52487,1460,2173,3639,33200,55949,89150,885650,887072,1772723,46260,57701,103957,108053,163980,272034,35264,138302,173570,703936,639289,1343228,1779168,1886349,3665512,136,212,351,29,30,58,31,27,59,26,25,49,140639,133548,274186,140865,133838,274698,3030,7386,10418,157,457,614
2RVIC,3191,5740,5034,7286,12320,261,788,1049,10933,9032,19966,45471,48461,93935,28431,30207,58640,2698,3124,5820,6694,9051,15744,451,1272,1724,9213,7036,16252,47486,50696,98181,30899,31910,62808,2551,2795,5351,7718,9781,17490,785,2293,3075,7277,5359,12634,49226,52138,101367,31811,31640,63449,2315,2266,4583,7764,9256,17016,1218,3598,4814,5168,3331,8499,48270,50097,98369,32314,30419,62734,2093,1632,3729,6827,7895,14727,1815,5557,7373,3460,2069,5522,46518,47570,94090,24894,21594,46492,1256,946,2203,4405,4738,9144,2266,7289,9553,2096,1261,3355,34917,35831,70744,17963,13824,31784,665,437,1109,2409,2609,5015,2627,9480,12110,1274,912,2187,24939,27261,52201,11168,7567,18735,342,216,566,1112,1261,2373,2953,10685,13643,771,553,1319,16351,20281,36629,7869,4227,12093,196,134,331,588,902,1488,5025,18371,23395,679,818,1500,14351,24446,38802,285653,284439,570099,19724,22267,41987,48240,61513,109753,17740,60221,77964,199013,174534,373543,570374,602974,1173346,31,40,68,16,14,32,9,7,14,11,22,32,45343,42549,87893,45414,42621,88042,750,1398,2144,69,158,223
29499,21,80,56,49,104,0,4,8,183,66,252,351,167,523,51,49,96,44,27,75,65,46,104,3,4,3,124,51,174,281,176,455,64,85,151,29,13,48,71,40,108,3,15,17,75,33,107,238,183,422,81,75,157,27,13,36,74,60,130,4,14,16,37,8,54,224,165,393,78,79,152,32,10,37,40,33,73,10,6,18,19,10,30,171,138,313,52,30,83,3,7,12,27,12,41,8,8,14,17,7,23,111,59,174,16,17,30,3,0,3,5,0,16,6,9,17,15,3,16,45,32,77,12,7,21,0,0,0,3,3,5,3,4,11,3,0,3,32,16,47,3,0,4,0,0,0,0,3,3,3,23,26,0,0,5,10,29,42,652,621,1278,354,193,546,423,327,755,48,91,141,2459,1647,4105,3940,2881,6821,0,0,0,0,0,0,0,0,0,0,0,0,234,231,461,234,229,459,9,13,18,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,7,0,7,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,16,3,0,3,0,0,0,0,0,0,6,0,6,24,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,4808,8757,8177,11810,19984,366,1080,1446,15787,13277,29071,76005,79861,155861,44624,44486,89111,3633,4290,7925,9473,13439,22909,549,1863,2419,11699,9132,20835,69989,73211,143194,41960,41276,83234,3105,3523,6627,9545,13344,22888,864,2807,3668,7935,6160,14090,63409,67105,130517,37857,36156,74007,2457,2622,5085,8730,11853,20577,1184,4208,5397,5099,4108,9204,55327,58944,114275,35220,31933,67156,2029,2027,4058,7408,10222,17629,1752,6402,8153,3398,2724,6124,49806,53309,103116,26245,21341,47584,1309,1170,2479,4659,6501,11154,2114,8089,10204,2007,1650,3661,36333,38756,75091,17621,13105,30723,749,502,1246,2608,3499,6101,2420,9375,11797,1238,1163,2399,24632,27643,52272,10303,6762,17071,352,262,615,1238,1784,3021,2549,10328,12876,778,865,1648,15228,20006,35231,7434,3853,11284,238,145,385,735,1307,2036,4625,18305,22930,656,1067,1722,13677,24674,38350,424794,426329,851121,27850,33651,61501,65242,92353,157599,17031,63923,80953,354463,320761,675230,889382,937015,1826399,82,103,189,26,26,50,13,14,27,23,14,32,80194,76630,156818,80337,76779,157117,1968,3785,5755,154,315,469
3RQLD,5785,10374,9415,13465,22874,456,1209,1665,19037,15266,34305,81059,85297,166353,47791,49610,97401,4539,5151,9691,11903,15966,27868,717,2185,2900,15559,11188,26748,80507,84103,164606,48435,49264,97696,4155,4436,8589,13356,16604,29960,1173,3515,4694,11698,7946,19647,78820,81763,160584,46659,45475,92134,3367,3379,6745,12530,14660,27183,1599,5435,7037,7401,4603,12002,71567,73543,145106,47001,42293,89292,3115,2511,5628,11526,12673,24203,2518,8384,10902,4980,2797,7779,69143,68662,137806,36321,30698,67013,1970,1461,3438,7674,8157,15832,3081,10485,13565,3129,1661,4792,52176,52467,104641,25307,18535,43847,1142,750,1893,4197,4459,8661,3477,12702,16176,1893,1038,2930,36015,37488,73506,15088,9499,24584,613,321,933,2062,2185,4248,3752,13114,16865,1086,693,1783,22601,25811,48417,9952,5042,14995,314,182,492,1093,1510,2607,5811,21478,27285,899,841,1742,18075,29054,47130,460764,460163,920930,33858,38830,72682,86387,108806,195196,23208,80188,103395,353190,306872,660061,957407,994851,1952261,96,125,214,21,33,59,15,9,27,20,12,35,79751,75730,155480,79911,75915,155824,1901,3455,5362,179,286,461
