GCCSA_CODE_2021,C21_M_40_44_Em_Tot,C21_M_40_44_Unem_Look_FT,C21_M_40_44_Unem_Look_PT,C21_M_40_44_Unem_Tot,C21_M_40_44_Tot_LF,C21_M_40_44_Not_LF,C21_M_40_44_LF_NS,C21_M_40_44_Tot,C21_M_45_49_Em_FT,C21_M_45_49_Em_PT,C21_M_45_49_Em_AFW,C21_M_45_49_Em_Hrs_NS,C21_M_45_49_Em_Tot,C21_M_45_49_Unem_Look_FT,C21_M_45_49_Unem_Look_PT,C21_M_45_49_Unem_Tot,C21_M_45_49_Tot_LF,C21_M_45_49_Not_LF,C21_M_45_49_LF_NS,C21_M_45_49_Tot,C21_M_50_54_Em_FT,C21_M_50_54_Em_PT,C21_M_50_54_Em_AFW,C21_M_50_54_Em_Hrs_NS,C21_M_50_54_Em_Tot,C21_M_50_54_Unem_Look_FT,C21_M_50_54_Unem_Look_PT,C21_M_50_54_Unem_Tot,C21_M_50_54_Tot_LF,C21_M_50_54_Not_LF,C21_M_50_54_LF_NS,C21_M_50_54_Tot,C21_M_55_59_Em_FT,C21_M_55_59_Em_PT,C21_M_55_59_Em_AFW,C21_M_55_59_Em_Hrs_NS,C21_M_55_59_Em_Tot,C21_M_55_59_Unem_Look_FT,C21_M_55_59_Unem_Look_PT,C21_M_55_59_Unem_Tot,C21_M_55_59_Tot_LF,C21_M_55_59_Not_LF,C21_M_55_59_LF_NS,C21_M_55_59_Tot,C21_M_60_64_Em_FT,C21_M_60_64_Em_PT,C21_M_60_64_Em_AFW,C21_M_60_64_Em_Hrs_NS,C21_M_60_64_Em_Tot,C21_M_60_64_Unem_Look_FT,C21_M_60_64_Unem_Look_PT,C21_M_60_64_Unem_Tot,C21_M_60_64_Tot_LF,C21_M_60_64_Not_LF,C21_M_60_64_LF_NS,C21_M_60_64_Tot,C21_M_65_69_Em_FT,C21_M_65_69_Em_PT,C21_M_65_69_Em_AFW,C21_M_65_69_Em_Hrs_NS,C21_M_65_69_Em_Tot,C21_M_65_69_Unem_Look_FT,C21_M_65_69_Unem_Look_PT,C21_M_65_69_Unem_Tot,C21_M_65_69_Tot_LF,C21_M_65_69_Not_LF,C21_M_65_69_LF_NS,C21_M_65_69_Tot,C21_M_70_74_Em_FT,C21_M_70_74_Em_PT,C21_M_70_74_Em_AFW,C21_M_70_74_Em_Hrs_NS,C21_M_70_74_Em_Tot,C21_M_70_74_Unem_Look_FT,C21_M_70_74_Unem_Look_PT,C21_M_70_74_Unem_Tot,C21_M_70_74_Tot_LF,C21_M_70_74_Not_LF,C21_M_70_74_LF_NS,C21_M_70_74_Tot,C21_M_75over_Em_FT,C21_M_75over_Em_PT,C21_M_75over_Em_AFW,C21_M_75over_Em_Hrs_NS,C21_M_75over_Em_Tot,C21_M_75over_Unem_Lo_ft_wor,C21_M_75over_Unem_Lo_pt_wor,C21_M_75over_Unempl_Tot,C21_M_75over_Tot_LF,C21_M_75over_N_lab_forc,C21_M_75over_LF_NS,C21_M_75over_Tot,C21_M_Tot_Em_FT,C21_M_Tot_Em_PT,C21_M_Tot_Em_AFW,C21_M_Tot_Em_Hrs_NS,C21_M_Tot_Em_Tot,C21_M_Tot_Unem_Look_FT,C21_M_Tot_Unem_Look_PT,C21_M_Tot_Unem_Tot,C21_M_Tot_Tot_labo_for,C21_M_Tot_Not_LF,C21_M_Tot_LF_NS,C21_M_Tot_Tot,C11_F_15_19_Em_FT,C11_F_15_19_Em_PT,C11_F_15_19_Em_AFW,C11_F_15_19_Em_Hrs_NS,C11_F_15_19_Em_Tot,C11_F_15_19_Unem_Look_FT,C11_F_15_19_Unem_Look_PT,C11_F_15_19_Unem_Tot,C11_F_15_19_Tot_LF,C11_F_15_19_Not_LF,C11_F_15_19_LF_NS,C11_F_15_19_Tot,C11_F_20_24_Em_FT,C11_F_20_24_Em_PT,C11_F_20_24_Em_AFW,C11_F_20_24_Em_Hrs_NS,C11_F_20_24_Em_Tot,C11_F_20_24_Unem_Look_FT,C11_F_20_24_Unem_Look_PT,C11_F_20_24_Unem_Tot,C11_F_20_24_Tot_LF,C11_F_20_24_Not_LF,C11_F_20_24_LF_NS,C11_F_20_24_Tot,C11_F_25_29_Em_FT,C11_F_25_29_Em_PT,C11_F_25_29_Em_AFW,C11_F_25_29_Em_Hrs_NS,C11_F_25_29_Em_Tot,C11_F_25_29_Unem_Look_FT,C11_F_25_29_Unem_Look_PT,C11_F_25_29_Unem_Tot,C11_F_25_29_Tot_LF,C11_F_25_29_Not_LF,C11_F_25_29_LF_NS,C11_F_25_29_Tot,C11_F_30_34_Em_FT,C11_F_30_34_Em_PT,C11_F_30_34_Em_AFW,C11_F_30_34_Em_Hrs_NS,C11_F_30_34_Em_Tot,C11_F_30_34_Unem_Look_FT,C11_F_30_34_Unem_Look_PT,C11_F_30_34_Unem_Tot,C11_F_30_34_Tot_LF,C11_F_30_34_Not_LF,C11_F_30_34_LF_NS,C11_F_30_34_Tot,C11_F_35_39_Em_FT,C11_F_35_39_Em_PT,C11_F_35_39_Em_AFW,C11_F_35_39_Em_Hrs_NS,C11_F_35_39_Em_Tot,C11_F_35_39_Unem_Look_FT,C11_F_35_39_Unem_Look_PT,C11_F_35_39_Unem_Tot,C11_F_35_39_Tot_LF,C11_F_35_39_Not_LF,C11_F_35_39_LF_NS,C11_F_35_39_Tot,C11_F_40_44_Em_FT,C11_F_40_44_Em_PT,C11_F_40_44_Em_AFW,C11_F_40_44_Em_Hrs_NS,C11_F_40_44_Em_Tot,C11_F_40_44_Unem_Look_FT,C11_F_40_44_Unem_Look_PT,C11_F_40_44_Unem_Tot,C11_F_40_44_Tot_LF,C11_F_40_44_Not_LF,C11_F_40_44_LF_NS,C11_F_40_44_Tot,C11_F_45_49_Em_FT,C11_F_45_49_Em_PT,C11_F_45_49_Em_AFW,C11_F_45_49_Em_Hrs_NS,C11_F_45_49_Em_Tot,C11_F_45_49_Unem_Look_FT,C11_F_45_49_Unem_Look_PT,C11_F_45_49_Unem_Tot,C11_F_45_49_Tot_LF,C11_F_45_49_Not_LF,C11_F_45_49_LF_NS,C11_F_45_49_Tot,C11_F_50_54_Em_FT,C11_F_50_54_Em_PT,C11_F_50_54_Em_AFW,C11_F_50_54_Em_Hrs_NS,C11_F_50_54_Em_Tot,C11_F_50_54_Unem_Look_FT,C11_F_50_54_Unem_Look_PT,C11_F_50_54_Unem_Tot,C11_F_50_54_Tot_LF,C11_F_50_54_Not_LF,C11_F_50_54_LF_NS,C11_F_50_54_Tot
39499,167,29,7,37,207,136,232,575,90,32,20,7,145,32,9,45,190,156,223,567,74,30,12,6,122,29,4,36,163,150,168,478,82,34,17,4,142,22,10,31,171,232,174,582,71,32,13,5,124,18,17,38,160,420,138,715,27,27,6,3,64,3,0,11,72,537,125,730,5,10,0,0,17,4,0,3,21,420,85,525,0,5,3,0,4,0,0,0,10,245,53,302,1003,462,167,74,1705,346,122,466,2172,2898,2040,7108,24,36,4,0,68,25,17,40,106,95,48,251,133,96,17,7,250,43,25,66,322,156,65,545,152,81,16,8,259,42,15,55,316,164,59,533,70,47,11,0,133,25,7,33,167,142,34,339,60,36,10,5,108,18,12,30,141,126,35,300,52,36,11,3,94,31,10,36,132,107,50,287,62,34,6,3,110,18,3,28,133,131,33,294,68,56,16,4,144,27,17,43,190,198,43,432
39799,5,0,0,0,5,0,18,26,9,0,0,0,11,0,0,0,11,0,20,26,4,0,0,0,4,0,0,0,4,0,11,16,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,5,28,0,0,0,31,6,109,149,0,0,0,0,3,0,0,0,3,8,0,12,4,5,0,0,10,0,0,0,10,0,0,17,5,3,3,0,8,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,3,0,0,5,4,6,0,0,9,0,0,0,9,0,0,12,5,4,6,0,6,0,0,0,6,0,0,7,0,0,0,0,7,0,0,0,7,4,0,10,12,3,0,0,16,0,0,0,15,0,0,17
4GADE,35583,1122,328,1451,37035,4311,1739,43080,28145,5424,899,418,34884,1175,292,1477,36358,4788,1697,42847,27297,5368,1015,365,34043,1157,335,1496,35535,6173,1683,43389,23398,5783,1163,308,30650,1079,373,1447,32100,8095,1575,41765,15823,6116,1168,205,23311,882,444,1323,24638,13473,1377,39480,5957,4328,549,123,10953,240,209,449,11405,21930,1203,34533,1681,2512,173,79,4448,27,73,103,4555,25811,1190,31552,626,1476,141,99,2342,19,40,55,2397,45178,2873,50449,240391,87209,11152,5004,343752,13349,8349,21703,365455,170220,22651,558325,2167,13888,736,551,17347,972,2251,3219,20568,17501,1211,39283,12499,14086,1164,656,28403,1431,1511,2938,31344,10190,1536,43071,17992,9702,1782,419,29899,1033,866,1903,31797,9191,1528,42519,13021,11059,2296,342,26717,734,786,1514,28240,9759,1361,39355,12018,14294,1689,405,28407,755,815,1567,29972,10039,1314,41323,14222,16119,1217,461,32010,684,755,1438,33451,9239,1338,44024,16366,15296,1122,435,33222,641,607,1248,34470,8213,1320,44004,16392,13478,1399,424,31694,520,458,985,32676,9273,1322,43270
4RSAU,7663,233,75,308,7968,1416,725,10110,6669,1215,312,192,8383,307,96,402,8782,1661,815,11254,7510,1555,370,187,9616,322,107,429,10054,2223,956,13229,7138,1816,526,170,9645,378,145,524,10166,3001,957,14128,5632,2210,491,140,8467,303,185,487,8958,5207,913,15076,2620,1636,317,91,4665,66,56,124,4789,8915,898,14601,969,1014,117,71,2166,5,21,25,2193,10358,803,13354,512,719,77,107,1418,3,13,19,1434,16557,1668,19663,62279,19379,3730,2034,87428,3357,1578,4941,92369,59317,11330,163013,794,3768,230,174,4964,312,438,748,5708,4710,399,10818,2787,2149,262,143,5347,403,173,574,5919,2130,351,8403,2995,2412,464,100,5978,219,150,372,6353,2692,401,9449,2195,3191,437,89,5913,185,184,370,6279,2829,340,9448,2788,4196,377,119,7476,198,198,404,7878,2667,392,10944,3807,4851,342,138,9131,228,176,406,9541,2549,451,12535,4425,4645,400,172,9639,213,181,394,10032,2461,439,12941,4507,4645,468,128,9746,190,157,343,10092,2808,444,13346
49499,42,9,7,18,55,42,40,134,22,8,4,0,40,13,4,16,55,46,46,151,34,10,0,0,47,6,0,12,53,54,44,151,20,11,3,0,34,12,5,10,43,53,54,152,13,12,4,4,29,15,6,16,48,73,45,161,8,5,0,0,10,0,0,3,14,81,23,121,0,0,0,0,0,0,0,0,0,71,22,94,0,0,0,0,5,0,0,0,5,42,0,44,233,124,35,28,419,99,52,150,562,651,447,1668,3,12,0,0,12,9,7,14,27,29,9,67,25,21,0,0,49,11,6,20,62,57,7,133,44,25,3,0,70,10,5,12,85,40,14,135,21,12,4,0,40,4,0,7,48,47,13,107,17,15,3,0,38,9,5,8,47,40,7,92,16,9,3,0,27,3,3,9,35,31,10,81,3,7,4,0,18,3,0,8,23,36,12,74,10,9,4,0,30,15,4,10,43,64,15,118
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,5,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,59610,1637,338,1977,61587,5209,4366,71155,47314,6693,1806,797,56611,1710,347,2056,58672,5761,4036,68465,45064,6829,1950,697,54541,1741,393,2134,56675,6771,3914,67358,37827,7340,2131,575,47864,1578,450,2028,49897,8483,3364,61737,25677,8123,1908,397,36100,1408,578,1988,38091,14499,2714,55301,10031,6924,979,193,18122,454,422,873,18999,26878,2118,47993,2830,4170,324,113,7445,85,177,265,7703,33148,1805,42656,960,2346,169,134,3614,34,65,96,3709,55318,4866,63892,402013,118616,19718,9492,549839,19177,11420,30595,580432,210306,48205,838947,5695,19916,1131,869,27610,1425,2663,4092,31699,23134,2624,57461,23226,17899,1789,961,43875,1685,1705,3388,47270,12624,3263,63159,29696,12601,2310,599,45207,1250,1068,2318,47524,13558,3583,64665,20852,15164,2917,500,39442,903,1100,2005,41449,15989,3152,60585,17852,19878,2297,614,40643,836,1194,2025,42666,16841,2944,62448,20609,22776,1772,689,45841,894,1227,2119,47960,13818,2822,64605,23013,20862,1776,672,46322,853,869,1723,48046,11291,2495,61830,22030,17807,1924,593,42356,683,660,1341,43703,11694,2312,57706
5RWAU,13086,377,105,480,13565,1656,2256,17476,11121,1482,711,249,13558,370,93,461,14020,1780,2314,18113,11133,1728,850,253,13959,352,112,464,14423,2082,2366,18866,10215,1997,932,232,13376,361,111,476,13853,2710,2150,18715,7922,2417,813,177,11320,309,153,465,11784,4516,1826,18136,3479,1910,466,81,5943,98,104,200,6150,8070,1377,15587,1266,1155,174,85,2682,10,34,49,2730,9682,1163,13572,640,795,114,126,1674,4,19,24,1701,14086,1921,17705,97240,23093,7261,2951,130548,4081,1820,5900,136444,57261,25497,219201,2143,3980,306,254,6677,452,416,871,7547,5690,931,14169,5336,2404,405,199,8347,404,232,636,8980,3282,1119,13384,5972,3086,658,164,9883,295,253,545,10428,4429,1287,16149,4340,4255,711,165,9477,276,283,549,10024,4872,1196,16095,4721,5594,622,187,11124,273,283,555,11671,4542,1313,17530,5887,6110,581,227,12807,303,290,589,13404,3617,1197,18213,6563,5381,588,208,12744,278,201,479,13221,3038,1099,17356,6425,5051,711,217,12407,206,139,342,12754,3338,1026,17115
59499,99,24,3,32,126,54,296,476,56,10,14,0,79,24,4,27,110,59,265,433,59,13,5,3,80,14,3,18,93,66,245,404,39,13,8,0,59,14,5,19,74,83,175,330,31,22,3,0,59,8,0,16,69,120,154,339,9,8,3,0,23,5,0,5,27,155,82,268,0,0,0,0,5,0,0,0,5,104,67,176,0,0,0,0,0,0,0,0,3,72,58,132,572,210,95,18,899,179,45,227,1125,990,2132,4247,10,22,0,0,28,11,9,24,55,35,27,106,88,44,7,0,138,17,9,27,165,72,34,278,116,51,14,3,185,25,4,32,212,75,46,333,87,33,12,6,133,12,15,17,156,99,44,294,46,21,5,0,75,7,5,14,80,79,51,212,53,18,7,9,78,20,7,19,100,63,41,200,43,29,15,0,85,15,0,19,109,49,24,180,53,31,12,0,100,11,3,15,111,94,32,236
59799,41,0,0,0,39,0,36,79,22,0,0,0,30,0,0,0,30,0,23,51,24,0,0,0,27,0,0,0,27,5,24,48,8,0,4,0,13,0,0,5,15,0,11,26,12,0,4,0,16,0,0,0,16,0,11,27,3,0,0,0,3,0,0,0,3,3,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,14,9,5,246,5,0,3,252,12,195,455,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,0,0,8,3,0,0,0,5,0,0,0,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,5725,193,49,244,5971,786,278,7027,4481,981,175,67,5703,154,53,206,5914,865,288,7068,4412,948,216,66,5642,137,56,191,5837,1012,296,7148,3743,1102,215,42,5104,140,55,192,5299,1504,280,7081,2593,1229,221,44,4093,115,55,170,4261,2637,297,7192,885,915,123,27,1952,28,43,71,2026,4165,281,6470,269,549,32,14,865,0,18,20,885,4716,265,5866,97,263,22,15,395,3,6,7,396,7695,576,8679,40042,16710,2019,956,59730,2484,1709,4199,63929,30854,4397,99180,513,2257,133,86,2996,180,344,527,3519,3008,238,6767,2219,2213,216,86,4721,243,197,438,5163,1777,275,7223,2650,1685,318,55,4710,162,128,291,5000,1592,259,6847,1991,2011,379,51,4430,101,115,218,4651,1576,231,6456,2027,2732,319,65,5149,104,101,203,5347,1561,236,7149,2399,2923,204,75,5600,99,112,206,5805,1429,230,7461,2954,2633,214,73,5873,98,93,201,6070,1272,237,7580,3083,2584,280,81,6027,108,69,172,6198,1542,266,8003
6RTAS,6249,218,69,287,6538,950,454,7946,5208,1117,281,118,6726,258,92,351,7080,1364,529,8973,5689,1324,330,144,7486,245,79,328,7811,1657,545,10016,5387,1577,373,123,7463,225,92,317,7781,2354,609,10748,3810,1782,413,103,6108,220,130,346,6457,4201,582,11245,1564,1304,185,62,3123,54,52,102,3219,6731,640,10591,486,724,58,38,1296,3,12,21,1319,7716,603,9635,245,458,43,60,810,3,7,15,823,11613,1164,13600,48194,17091,2945,1475,69710,3041,1498,4542,74250,44391,7720,126364,746,2838,201,112,3900,312,450,768,4661,4045,314,9021,2273,1961,226,94,4553,319,195,515,5066,2061,248,7383,2442,1856,323,69,4690,168,158,331,5018,2241,224,7484,1823,2405,403,74,4702,165,178,346,5051,2355,268,7673,2176,3320,297,88,5881,175,179,355,6241,2387,312,8939,2935,3830,265,86,7118,201,203,404,7525,2279,310,10115,3443,3681,304,105,7538,212,143,357,7887,2149,289,10326,3491,3472,406,108,7474,181,142,325,7798,2609,332,10742
69499,12,8,3,7,23,17,17,52,11,7,0,0,16,8,0,10,26,14,10,53,8,11,0,3,20,6,6,10,27,30,18,75,4,3,0,0,11,6,0,7,15,28,15,57,3,3,5,0,14,0,0,0,14,15,21,54,0,3,0,0,3,0,0,0,4,26,24,61,0,0,0,0,0,0,0,0,0,13,22,31,0,0,0,0,0,0,0,0,0,11,4,17,101,53,12,6,174,60,18,81,249,242,197,689,5,3,0,0,9,5,0,9,17,30,7,56,4,9,0,0,15,6,0,3,21,20,3,47,14,3,4,0,20,5,0,9,29,20,3,48,0,3,0,0,12,0,0,0,11,7,5,23,10,0,0,0,5,0,0,5,14,9,0,21,6,5,0,0,11,10,0,7,23,14,4,33,7,7,0,0,17,3,0,6,19,14,0,33,11,4,4,0,15,0,4,4,18,12,0,34
69799,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,0,0,10,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,4,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,4007,84,24,105,4109,420,490,5029,3063,395,155,67,3679,96,14,112,3790,450,487,4727,2933,439,184,73,3628,90,29,116,3739,463,428,4633,2388,381,160,50,2978,88,30,120,3101,597,389,4082,1580,393,137,42,2150,79,31,103,2253,867,300,3416,739,295,71,25,1122,37,13,53,1175,1306,247,2732,239,166,26,10,435,4,14,21,460,1478,194,2133,79,82,8,9,179,3,4,7,183,1817,203,2203,28961,6841,1558,802,38166,1120,532,1655,39816,11155,5334,56309,590,1034,48,68,1736,86,125,214,1947,1365,378,3692,1928,789,126,55,2896,112,50,164,3061,687,422,4167,2601,829,271,67,3769,90,48,142,3911,855,526,5295,2226,960,286,57,3529,75,49,115,3651,882,434,4963,2114,1023,216,71,3417,60,56,116,3538,820,470,4828,2309,1022,154,64,3545,49,30,76,3622,663,459,4750,2271,801,140,56,3269,50,40,87,3356,511,420,4292,2151,666,160,53,3027,32,15,52,3079,543,343,3966
7RNTE,1628,102,38,141,1764,896,309,2971,1196,173,60,44,1471,94,21,116,1588,808,310,2705,1165,224,76,32,1491,75,23,98,1590,758,310,2655,1088,220,69,33,1409,54,22,69,1478,622,333,2433,863,187,56,22,1131,33,15,47,1173,632,240,2054,405,125,28,18,579,10,8,25,600,735,187,1520,132,69,20,4,229,0,6,7,240,636,109,979,51,43,0,9,109,0,8,10,114,661,120,901,12122,2752,694,491,16062,1215,446,1664,17732,12767,3837,34338,289,450,44,53,840,121,67,186,1024,1916,309,3253,930,433,76,68,1518,178,74,246,1764,1515,338,3619,1271,545,130,80,2028,143,77,214,2245,1375,371,3990,1087,558,145,75,1871,124,61,181,2048,1219,317,3581,1055,658,111,54,1874,106,60,167,2044,1057,320,3418,1260,569,75,48,1952,98,34,126,2081,892,346,3310,1248,471,94,50,1869,70,23,91,1960,633,247,2842,1199,423,103,48,1777,33,19,56,1835,629,242,2704
79499,31,7,0,7,37,51,59,149,11,7,3,0,21,6,3,4,24,64,72,156,11,0,3,0,19,4,5,8,26,56,73,151,11,6,0,0,15,4,0,4,16,71,71,154,5,7,0,0,17,6,8,8,28,73,44,146,3,3,0,0,7,4,0,0,13,78,40,124,0,0,0,0,0,0,0,0,0,58,18,78,0,0,0,0,0,0,0,0,0,22,13,36,132,60,39,17,242,50,19,70,312,645,613,1567,3,0,3,0,5,0,3,3,14,8,0,23,30,7,4,0,43,3,5,5,48,20,4,74,38,12,12,4,52,4,0,4,61,28,10,94,18,3,6,0,31,4,0,3,33,28,4,72,9,0,5,0,18,0,0,3,20,25,3,45,0,3,0,0,10,0,0,0,12,18,6,45,12,6,0,0,23,0,0,4,26,17,11,57,18,5,5,0,33,4,0,4,34,39,12,86
79799,4,0,0,0,4,0,3,11,3,0,0,0,7,0,0,0,7,0,6,14,3,0,0,0,7,0,0,0,7,0,0,10,3,0,0,0,3,0,0,0,3,0,0,3,6,0,0,0,6,0,0,0,10,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5,3,56,4,0,4,58,6,19,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,14185,240,62,302,14488,873,621,15984,10738,1418,329,112,12600,227,62,289,12888,1041,527,14457,9598,1333,385,102,11420,224,61,282,11706,1172,457,13331,6981,1400,388,61,8839,205,75,285,9118,2089,437,11645,3967,1435,307,46,5751,153,88,238,5987,3878,361,10224,1611,1110,174,24,2915,49,60,112,3032,5291,306,8629,517,689,68,14,1284,12,33,47,1333,6342,321,7994,163,415,34,16,629,3,14,24,650,10280,721,11648,92981,26891,4118,1563,125547,2916,2483,5404,130954,42349,7967,181261,1136,4356,270,188,5953,146,625,778,6730,4426,452,11607,5953,4267,498,163,10880,226,423,660,11538,2763,766,15068,8708,2495,796,137,12139,199,155,356,12495,2105,619,15224,6424,3106,1185,109,10823,161,146,309,11136,2300,526,13954,5770,3831,862,110,10574,130,167,299,10871,2284,432,13579,6224,3827,580,105,10742,136,116,253,10999,1748,411,13156,6868,3173,434,136,10610,133,104,238,10848,1445,349,12638,6599,2656,496,107,9852,98,77,175,10033,1688,333,12049
89499,9,3,0,3,14,4,20,30,7,0,0,0,11,0,3,3,12,3,14,29,4,0,0,0,9,0,0,0,9,6,4,22,4,0,0,0,4,0,0,0,4,6,11,17,4,0,0,0,7,0,0,0,7,10,6,20,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,0,0,0,0,9,3,9,0,0,0,0,0,0,0,0,0,4,4,3,61,25,6,3,104,18,10,29,135,89,92,315,3,5,0,0,7,3,4,8,16,10,3,27,10,13,0,0,24,0,4,3,33,11,4,44,14,10,0,0,22,0,0,0,26,15,0,40,14,6,3,0,23,0,0,0,23,6,0,32,12,4,0,0,18,0,4,5,16,7,0,24,9,0,0,0,14,0,0,0,9,10,5,25,7,4,0,0,8,0,0,0,7,7,0,17,10,7,0,0,17,0,0,3,19,4,0,25
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,98,0,5,0,106,27,18,145,87,11,3,4,114,0,0,0,114,23,25,165,83,21,5,0,116,0,0,0,117,25,35,180,118,26,11,0,150,3,3,6,150,16,22,190,85,32,5,0,123,0,5,5,124,41,23,189,47,25,6,5,79,0,0,0,79,57,23,165,27,16,10,0,41,0,0,0,48,88,18,157,9,10,3,0,25,0,0,0,24,108,24,153,810,246,58,27,1142,12,10,24,1163,599,306,2068,17,9,0,0,23,0,0,5,25,30,0,52,27,4,0,0,41,3,0,3,43,20,5,68,27,6,5,3,36,3,0,0,44,16,6,62,28,15,5,0,50,0,3,3,53,18,0,77,30,24,0,0,53,0,0,0,59,16,6,78,45,16,3,0,62,4,0,4,67,21,8,93,36,29,3,3,66,0,0,0,69,21,0,94,36,15,0,0,56,0,0,0,55,31,0,87
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,5,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,4,0,0,0,4,0,0,4
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
