GCCSA_CODE_2021,C11_M_Post_Deg_15_19_yrs,C11_M_Post_Deg_20_24_yrs,C11_M_Post_Deg_25_34_yrs,C11_M_Post_Deg_35_44_yrs,C11_M_Post_Deg_45_54_yrs,C11_M_Post_Deg_55_64_yrs,C11_M_Post_Deg_65_74_yrs,C11_M_Post_Deg_75_84_yrs,C11_M_Post_Deg_85over,C11_M_Post_Deg_Tot,C11_M_GrDip_GrCe_15_19,C11_M_GrDip_GrCe_20_24,C11_M_GrDip_GrCe_25_34,C11_M_GrDip_GrCe_35_44,C11_M_GrDip_GrCe_45_54,C11_M_GrDip_GrCe_55_64,C11_M_GrDip_GrCe_65_74,C11_M_GrDip_GrCe_75_84,C11_M_GrDip_GrCe_85over,C11_M_GrDip_GrCe_Tot,C11_M_BD_15_19,C11_M_BD_20_24,C11_M_BD_25_34,C11_M_BD_35_44,C11_M_BD_45_54,C11_M_BD_55_64,C11_M_BD_65_74,C11_M_BD_75_84,C11_M_BD_85over,C11_M_BD_Tot,C11_M_AdD_DL_15_19,C11_M_AdD_DL_20_24,C11_M_AdD_DL_25_34,C11_M_AdD_DL_35_44,C11_M_AdD_DL_45_54,C11_M_AdD_DL_55_64,C11_M_AdD_DL_65_74,C11_M_AdD_DL_75_84,C11_M_AdD_DL_85over,C11_M_AdD_DL_Tot,C11_M_CL_C_III_IV_15_19,C11_M_CL_C_III_IV_20_24,C11_M_CL_C_III_IV_25_34,C11_M_CL_C_III_IV_35_44,C11_M_CL_C_III_IV_45_54,C11_M_CL_C_III_IV_55_64,C11_M_CL_C_III_IV_65_74,C11_M_CL_C_III_IV_75_84,C11_M_CL_C_III_IV_85over,C11_M_CL_C_III_IV_Tot,C11_M_CL_C_I_II_15_19,C11_M_CL_C_I_II_20_24,C11_M_CL_C_I_II_25_34,C11_M_CL_C_I_II_35_44,C11_M_CL_C_I_II_45_54,C11_M_CL_C_I_II_55_64,C11_M_CL_C_I_II_65_74,C11_M_CL_C_I_II_75_84,C11_M_CL_C_I_II_85over,C11_M_CL_C_I_II_Tot,C11_M_CL_CL_nfd_15_19,C11_M_CL_CL_nfd_20_24,C11_M_CL_CL_nfd_25_34,C11_M_CL_CL_nfd_35_44,C11_M_CL_CL_nfd_45_54,C11_M_CL_CL_nfd_55_64,C11_M_CL_CL_nfd_65_74,C11_M_CL_CL_nfd_75_84,C11_M_CL_CL_nfd_85over,C11_M_CL_CL_nfd_Tot,C11_M_CL_Tot_15_19,C11_M_CL_Tot_20_24,C11_M_CL_Tot_25_34,C11_M_CL_Tot_35_44,C11_M_CL_Tot_45_54,C11_M_CL_Tot_55_64,C11_M_CL_Tot_65_74,C11_M_CL_Tot_75_84,C11_M_CL_Tot_85over,C11_M_CL_Tot_Tot,C11_M_LE_ID_15_19,C11_M_LE_ID_20_24,C11_M_LE_ID_25_34,C11_M_LE_ID_35_44,C11_M_LE_ID_45_54,C11_M_LE_ID_55_64,C11_M_LE_ID_65_74,C11_M_LE_ID_75_84,C11_M_LE_ID_85over,C11_M_LE_ID_Tot,C11_M_LE_NS_15_19,C11_M_LE_NS_20_24,C11_M_LE_NS_25_34,C11_M_LE_NS_35_44,C11_M_LE_NS_45_54,C11_M_LE_NS_55_64,C11_M_LE_NS_65_74,C11_M_LE_NS_75_84,C11_M_LE_NS_85over,C11_M_LE_NS_Tot,C11_M_Tot_15_19_yrs,C11_M_Tot_20_24_yrs,C11_M_Tot_25_34_yrs,C11_M_Tot_35_44_yrs,C11_M_Tot_45_54_yrs,C11_M_Tot_55_64_yrs,C11_M_Tot_65_74_yrs,C11_M_Tot_75_84_yrs,C11_M_Tot_85over,C11_M_Tot_Tot,C16_M_Post_Deg_15_19_yrs,C16_M_Post_Deg_20_24_yrs,C16_M_Post_Deg_25_34_yrs,C16_M_Post_Deg_35_44_yrs,C16_M_Post_Deg_45_54_yrs,C16_M_Post_Deg_55_64_yrs,C16_M_Post_Deg_65_74_yrs,C16_M_Post_Deg_75_84_yrs,C16_M_Post_Deg_85over,C16_M_Post_Deg_Tot,C16_M_GrDip_GrCe_15_19,C16_M_GrDip_GrCe_20_24,C16_M_GrDip_GrCe_25_34,C16_M_GrDip_GrCe_35_44,C16_M_GrDip_GrCe_45_54,C16_M_GrDip_GrCe_55_64,C16_M_GrDip_GrCe_65_74,C16_M_GrDip_GrCe_75_84,C16_M_GrDip_GrCe_85over,C16_M_GrDip_GrCe_Tot,C16_M_BD_15_19,C16_M_BD_20_24,C16_M_BD_25_34,C16_M_BD_35_44,C16_M_BD_45_54,C16_M_BD_55_64,C16_M_BD_65_74,C16_M_BD_75_84,C16_M_BD_85over,C16_M_BD_Tot,C16_M_AdD_DL_15_19,C16_M_AdD_DL_20_24,C16_M_AdD_DL_25_34,C16_M_AdD_DL_35_44,C16_M_AdD_DL_45_54,C16_M_AdD_DL_55_64,C16_M_AdD_DL_65_74,C16_M_AdD_DL_75_84,C16_M_AdD_DL_85over,C16_M_AdD_DL_Tot,C16_M_CL_C_III_IV_15_19,C16_M_CL_C_III_IV_20_24,C16_M_CL_C_III_IV_25_34,C16_M_CL_C_III_IV_35_44,C16_M_CL_C_III_IV_45_54,C16_M_CL_C_III_IV_55_64,C16_M_CL_C_III_IV_65_74,C16_M_CL_C_III_IV_75_84,C16_M_CL_C_III_IV_85over,C16_M_CL_C_III_IV_Tot,C16_M_CL_C_I_II_15_19,C16_M_CL_C_I_II_20_24,C16_M_CL_C_I_II_25_34,C16_M_CL_C_I_II_35_44,C16_M_CL_C_I_II_45_54,C16_M_CL_C_I_II_55_64,C16_M_CL_C_I_II_65_74,C16_M_CL_C_I_II_75_84,C16_M_CL_C_I_II_85over,C16_M_CL_C_I_II_Tot,C16_M_CL_CL_nfd_15_19,C16_M_CL_CL_nfd_20_24,C16_M_CL_CL_nfd_25_34,C16_M_CL_CL_nfd_35_44,C16_M_CL_CL_nfd_45_54,C16_M_CL_CL_nfd_55_64,C16_M_CL_CL_nfd_65_74,C16_M_CL_CL_nfd_75_84,C16_M_CL_CL_nfd_85over,C16_M_CL_CL_nfd_Tot,C16_M_CL_Tot_15_19,C16_M_CL_Tot_20_24,C16_M_CL_Tot_25_34,C16_M_CL_Tot_35_44,C16_M_CL_Tot_45_54,C16_M_CL_Tot_55_64,C16_M_CL_Tot_65_74,C16_M_CL_Tot_75_84,C16_M_CL_Tot_85over,C16_M_CL_Tot_Tot,C16_M_LE_ID_15_19,C16_M_LE_ID_20_24,C16_M_LE_ID_25_34,C16_M_LE_ID_35_44,C16_M_LE_ID_45_54,C16_M_LE_ID_55_64,C16_M_LE_ID_65_74,C16_M_LE_ID_75_84,C16_M_LE_ID_85over,C16_M_LE_ID_Tot
1GSYD,12,1458,29094,28223,22988,15416,6858,2155,487,106687,9,320,4548,5921,5007,4180,1426,451,92,21955,167,19801,81618,66972,50479,35343,15570,6425,1910,278281,696,11561,32288,32523,26373,18266,9426,4498,1389,137018,3885,22677,57534,63654,62561,47888,30718,15815,4684,309421,973,1884,3014,2422,2059,1563,790,274,73,13041,394,1409,3233,3692,4204,4099,2556,1086,268,20942,5255,25971,63776,69769,68826,53546,34068,17168,5023,343404,463,1938,5444,5452,5519,4809,3204,2013,813,29654,14107,14164,30078,24681,22953,19406,15782,12808,6017,159982,20713,75212,246845,233546,202139,150966,86325,45521,15729,1076998,17,1809,39243,42049,28183,19694,11079,3629,869,146568,23,407,5062,6959,5847,5159,2637,767,165,27023,250,26925,102760,80127,56381,42237,24127,9100,2853,344759,884,10386,35831,35402,31481,22281,12941,5368,1903,156478,3925,22178,61483,60583,62606,50786,35962,18976,6174,322676,766,1641,2669,2177,1928,1434,986,331,100,12031,483,1681,4502,5230,5870,5940,4841,2106,645,31291,5176,25502,68654,67984,70410,58163,41785,21407,6925,366002,296,1156,3634,3489,3124,2692,2118,1137,429,18073
1RNSW,6,158,2748,4359,4987,4946,2658,926,191,20976,0,73,962,1809,2375,2713,922,266,36,9162,29,3608,15099,16695,14388,14561,7047,2709,763,74896,159,2189,7542,12346,12747,11791,6585,2971,740,57075,3420,18239,41953,48952,56278,46783,31153,15213,3764,265754,1001,1683,2179,1533,1369,1110,559,214,31,9674,299,734,1523,1694,2160,2713,1700,765,199,11787,4713,20654,45655,52182,59811,50608,33412,16192,3989,287219,183,503,1192,1474,1950,2163,1595,856,250,10166,8744,6477,11409,12844,14493,14323,13672,12376,4880,99230,13839,33663,84614,101697,110751,101105,65899,36307,10848,558724,5,141,4040,5670,5647,5742,4341,1427,332,27345,7,90,1229,1979,2331,3184,1878,464,98,11268,45,4071,17963,18258,15304,16061,10940,3879,1082,87604,202,2188,9218,13181,14782,13936,9867,3791,1081,68254,3244,18926,48591,47504,53822,52768,39172,18996,5187,288210,956,1767,2129,1567,1462,1260,824,279,57,10304,348,892,1985,2408,3050,3733,3554,1685,465,18120,4547,21588,52706,51482,58334,57762,43555,20959,5715,316636,134,311,815,867,931,1131,1246,683,223,6339
19499,0,6,73,39,9,17,15,0,0,159,0,0,15,9,13,9,3,0,0,44,0,84,227,109,73,71,28,8,0,597,0,21,68,52,53,55,33,4,0,295,17,82,242,217,201,173,147,14,3,1083,11,17,11,12,5,3,7,0,0,69,0,10,26,6,14,12,8,0,0,66,30,106,277,232,221,187,158,14,3,1222,3,6,27,15,16,15,9,0,0,83,72,141,385,450,468,294,154,44,24,2032,102,361,1067,917,851,634,396,78,28,4434,0,6,91,43,18,10,17,4,0,189,0,3,13,3,12,18,6,0,0,48,0,89,213,96,68,53,45,8,0,572,0,29,69,47,37,46,50,6,0,297,6,92,229,174,182,203,148,15,0,1060,14,16,20,13,4,5,5,0,0,68,3,13,17,17,15,24,15,3,0,104,24,128,263,202,195,232,157,21,3,1236,0,9,13,7,5,4,7,0,0,47
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,9,8,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,8,9,11,9,6,0,38,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,7,0,0,3,0,0,3,9,0,0,10,0,0,4,5,4,5,12,3,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,5,12,3,0,39,0,0,0,0,0,0,0,0,0,0
2GMEL,10,1299,23598,20981,16669,11348,5438,1658,370,81366,7,403,5551,7455,6857,5139,1683,476,83,27660,117,19830,77984,59601,41878,28583,12277,5009,1550,246832,582,12396,29800,26619,22411,18711,10672,4693,1279,127167,4810,23081,55980,61766,58706,42251,27107,13856,3838,291403,1175,1669,2538,1766,1385,951,443,195,47,10160,374,1266,2887,3063,2984,2618,1360,602,171,15330,6359,26017,61404,66594,63078,45819,28905,14654,4062,316900,204,1011,3005,2874,2714,2140,1497,972,380,14804,12444,13022,25362,21296,19738,17489,14926,13253,6196,143723,19723,73979,226713,205422,173350,129230,75400,40713,13915,958446,20,2093,34517,32797,21256,14630,8556,2717,628,117202,17,516,6264,8200,7593,6765,3307,798,171,33623,183,26009,95070,73080,49097,34774,19377,7086,2295,306974,846,11689,37066,32247,27419,20929,14266,5809,1948,152221,5098,23998,65991,58774,62915,48357,31435,17253,5356,319172,983,1889,2509,2010,1570,1000,583,213,45,10790,444,1523,3817,4191,4391,4035,2885,1342,469,23100,6519,27406,72320,64966,68876,53391,34901,18808,5873,353065,237,961,2944,2670,2207,1898,1574,922,359,13768
2RVIC,0,76,1189,1878,2096,2022,1143,312,69,8787,0,66,742,1362,1695,1774,644,125,20,6434,18,2085,8508,8591,7329,7130,3165,1123,305,38260,71,1264,4187,6213,6811,7418,4211,1694,366,32221,2301,10664,22886,26825,28659,22594,14121,6516,1582,136140,610,832,1033,753,563,443,204,55,17,4506,149,398,752,796,991,1175,607,233,66,5166,3059,11895,24672,28365,30216,24212,14935,6806,1656,145820,86,208,567,654,756,852,669,403,121,4312,4599,3017,5720,6622,7485,7856,7540,6862,2794,52492,7832,18612,45581,53677,56393,51265,32303,17325,5337,288325,0,148,1840,2478,2476,2428,1848,555,101,11880,9,72,936,1504,1742,2038,1274,259,43,7889,20,2383,9706,10080,7646,8083,5404,1675,457,45456,137,1479,5564,6898,7626,8059,6379,2285,588,39013,2146,11148,27178,25319,29082,26812,18569,8459,2358,151077,489,842,998,778,634,627,367,79,21,4836,113,462,1089,1246,1399,1629,1465,568,190,8160,2749,12453,29264,27340,31121,29076,20403,9103,2565,164073,39,147,409,452,469,566,606,407,120,3230
29499,0,4,50,30,12,6,10,0,0,109,0,3,15,5,8,4,0,0,0,40,0,51,191,98,45,24,8,4,0,422,0,23,65,38,36,26,11,3,0,205,13,65,148,148,111,81,57,9,6,639,6,13,16,3,7,6,0,0,0,48,0,8,10,4,10,0,0,0,0,47,18,93,175,162,123,92,60,7,6,729,0,3,11,5,6,0,0,0,0,29,66,130,275,298,209,88,59,34,8,1162,88,305,781,641,431,249,145,51,12,2696,0,5,59,32,17,15,7,0,0,131,0,0,9,11,8,3,0,0,0,29,0,37,159,64,35,26,17,4,0,343,0,20,64,37,26,30,8,5,0,191,11,42,142,112,87,78,44,9,0,538,0,7,9,0,4,0,0,0,0,21,0,4,9,12,8,4,6,0,0,44,16,55,157,126,104,86,55,13,0,604,0,3,3,7,0,0,0,0,0,22
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,14,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,7,3,6,5,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,4,4,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0
3GBRI,3,463,8106,9119,7914,5612,2401,725,134,34471,8,177,2035,3097,2817,1993,623,168,23,10953,81,8704,31251,26651,18235,12750,5582,1966,510,105732,490,3923,10985,13053,12463,9612,4716,1718,434,57401,3505,14434,35199,35917,34341,27506,16843,7556,1886,177194,1564,1446,1917,1134,719,504,250,81,17,7640,308,730,1634,1640,1346,1526,813,326,89,8410,5376,16610,38748,38690,36408,29536,17914,7964,1997,193242,163,583,1520,1610,1415,1298,940,559,150,8229,6636,6878,12699,11307,10046,8619,6790,5648,2743,71364,12765,37333,105343,103532,89287,69416,38977,18750,5992,481392,9,482,10381,12543,9912,6928,3942,1249,299,45732,5,300,2594,3410,3504,2693,1222,320,56,14107,91,10218,35439,30337,21881,14816,8828,2972,738,125318,778,5135,13523,15151,15141,11512,6936,2435,634,71247,4834,15663,41542,37326,36180,30018,20823,9596,2604,198590,1646,1737,1737,1211,807,529,350,106,20,8140,475,956,2164,2390,2183,2072,1717,763,243,12972,6964,18354,45437,40930,39175,32618,22884,10473,2865,219704,139,463,1217,1170,1010,860,828,497,166,6359
3RQLD,0,187,2487,3599,3793,3186,1772,501,89,15611,4,121,946,1649,1762,1598,643,149,15,6887,50,3995,15456,15196,12065,10176,4990,1733,423,64074,297,1999,7299,11794,11786,9890,5414,2130,491,51095,4071,17558,43705,48233,48797,39056,23844,9829,2229,237318,1754,1601,2098,1342,1011,664,334,107,21,8933,348,668,1485,1847,1644,1710,990,372,95,9154,6171,19829,47291,51418,51451,41426,25173,10309,2350,255402,204,498,1301,1579,1727,1668,1365,702,208,9254,8342,7591,15079,15445,15284,13583,11495,9075,3817,99722,15073,34220,89856,100680,97863,81525,50851,24598,7392,502049,5,222,3571,4828,4632,3967,2827,951,137,21134,6,179,1272,1827,2209,2141,1190,324,49,9189,68,4529,17687,17284,13901,11658,7969,2818,693,76601,499,2600,9239,13040,14517,12348,8251,2963,773,64228,4718,18138,49821,49082,49954,44715,31104,13566,3203,264306,1814,1978,1960,1395,1113,767,488,171,22,9712,453,877,2119,2486,2766,2799,2368,1133,262,15256,6984,20990,53899,52965,53831,48283,33963,14875,3481,289278,124,291,858,997,1029,1062,1051,669,198,6279
