GCCSA_CODE_2021,C16_F_NatPhy_sci_15_19,C16_F_NatPhy_sci_20_24,C16_F_NatPhy_sci_25_34,C16_F_NatPhy_sci_35_44,C16_F_NatPhy_sci_45_54,C16_F_NatPhy_sci_55_64,C16_F_NatPhy_sci_65_74,C16_F_NatPhy_sci_75_84,C16_F_NatPhy_sci_85over,C16_F_NatPhy_sci_Tot,C16_F_InfTec_15_19,C16_F_InfTec_20_24,C16_F_InfTec_25_34,C16_F_InfTec_35_44,C16_F_InfTec_45_54,C16_F_InfTec_55_64,C16_F_InfTec_65_74,C16_F_InfTec_75_84,C16_F_InfTec_85over,C16_F_InfTec_Tot,C16_F_EngRT_15_19,C16_F_EngRT_20_24,C16_F_EngRT_25_34,C16_F_EngRT_35_44,C16_F_EngRT_45_54,C16_F_EngRT_55_64,C16_F_EngRT_65_74,C16_F_EngRT_75_84,C16_F_EngRT_85over,C16_F_EngRT_Tot,C16_F_ArchBuild_15_19,C16_F_ArchBuild_20_24,C16_F_ArchBuild_25_34,C16_F_ArchBuild_35_44,C16_F_ArchBuild_45_54,C16_F_ArchBuild_55_64,C16_F_ArchBuild_65_74,C16_F_ArchBuild_75_84,C16_F_ArchBuild_85over,C16_F_ArchBuild_Tot,C16_F_AgEnv_RS_15_19,C16_F_AgEnv_RS_20_24,C16_F_AgEnv_RS_25_34,C16_F_AgEnv_RS_35_44,C16_F_AgEnv_RS_45_54,C16_F_AgEnv_RS_55_64,C16_F_AgEnv_RS_65_74,C16_F_AgEnv_RS_75_84,C16_F_AgEnv_RS_85over,C16_F_AgEnv_RS_Tot,C16_F_Health_15_19,C16_F_Health_20_24,C16_F_Health_25_34,C16_F_Health_35_44,C16_F_Health_45_54,C16_F_Health_55_64,C16_F_Health_65_74,C16_F_Health_75_84,C16_F_Health_85over,C16_F_Health_Tot,C16_F_Educ_15_19,C16_F_Educ_20_24,C16_F_Educ_25_34,C16_F_Educ_35_44,C16_F_Educ_45_54,C16_F_Educ_55_64,C16_F_Educ_65_74,C16_F_Educ_75_84,C16_F_Educ_85over,C16_F_Educ_Tot,C16_F_MngtCom_15_19,C16_F_MngtCom_20_24,C16_F_MngtCom_25_34,C16_F_MngtCom_35_44,C16_F_MngtCom_45_54,C16_F_MngtCom_55_64,C16_F_MngtCom_65_74,C16_F_MngtCom_75_84,C16_F_MngtCom_85over,C16_F_MngtCom_Tot,C16_F_Soc_cult_15_19,C16_F_Soc_cult_20_24,C16_F_Soc_cult_25_34,C16_F_Soc_cult_35_44,C16_F_Soc_cult_45_54,C16_F_Soc_cult_55_64,C16_F_Soc_cult_65_74,C16_F_Soc_cult_75_84,C16_F_Soc_cult_85over,C16_F_Soc_cult_Tot,C16_F_Creative_art_15_19,C16_F_Creative_art_20_24,C16_F_Creative_art_25_34,C16_F_Creative_art_35_44,C16_F_Creative_art_45_54,C16_F_Creative_art_55_64,C16_F_Creative_art_65_74,C16_F_Creative_art_75_84,C16_F_Creative_art_85over,C16_F_Creative_art_Tot,C16_F_FoodHos_PS_15_19,C16_F_FoodHos_PS_20_24,C16_F_FoodHos_PS_25_34,C16_F_FoodHos_PS_35_44,C16_F_FoodHos_PS_45_54,C16_F_FoodHos_PS_55_64,C16_F_FoodHos_PS_65_74,C16_F_FoodHos_PS_75_84,C16_F_FoodHos_PS_85over,C16_F_FoodHos_PS_Tot,C16_F_MixFld_pr_15_19,C16_F_MixFld_pr_20_24,C16_F_MixFld_pr_25_34,C16_F_MixFld_pr_35_44,C16_F_MixFld_pr_45_54,C16_F_MixFld_pr_55_64,C16_F_MixFld_pr_65_74,C16_F_MixFld_pr_75_84,C16_F_MixFld_pr_85over,C16_F_MixFld_pr_Tot,C16_F_FldStu_ID_15_19,C16_F_FldStu_ID_20_24,C16_F_FldStu_ID_25_34,C16_F_FldStu_ID_35_44,C16_F_FldStu_ID_45_54,C16_F_FldStu_ID_55_64,C16_F_FldStu_ID_65_74,C16_F_FldStu_ID_75_84,C16_F_FldStu_ID_85over,C16_F_FldStu_ID_Tot,C16_F_FldStu_NS_15_19,C16_F_FldStu_NS_20_24,C16_F_FldStu_NS_25_34,C16_F_FldStu_NS_35_44,C16_F_FldStu_NS_45_54,C16_F_FldStu_NS_55_64,C16_F_FldStu_NS_65_74,C16_F_FldStu_NS_75_84,C16_F_FldStu_NS_85over,C16_F_FldStu_NS_Tot,C16_F_Tot_15_19,C16_F_Tot_20_24,C16_F_Tot_25_34,C16_F_Tot_35_44,C16_F_Tot_45_54,C16_F_Tot_55_64,C16_F_Tot_65_74,C16_F_Tot_75_84,C16_F_Tot_85over,C16_F_Tot_Tot,C21_F_NatPhy_sci_15_19,C21_F_NatPhy_sci_20_24,C21_F_NatPhy_sci_25_34,C21_F_NatPhy_sci_35_44,C21_F_NatPhy_sci_45_54,C21_F_NatPhy_sci_55_64,C21_F_NatPhy_sci_65_74,C21_F_NatPhy_sci_75_84,C21_F_NatPhy_sci_85over,C21_F_NatPhy_sci_Tot,C21_F_InfTec_15_19,C21_F_InfTec_20_24,C21_F_InfTec_25_34,C21_F_InfTec_35_44,C21_F_InfTec_45_54,C21_F_InfTec_55_64,C21_F_InfTec_65_74,C21_F_InfTec_75_84,C21_F_InfTec_85over,C21_F_InfTec_Tot,C21_F_EngRT_15_19,C21_F_EngRT_20_24,C21_F_EngRT_25_34,C21_F_EngRT_35_44,C21_F_EngRT_45_54,C21_F_EngRT_55_64,C21_F_EngRT_65_74,C21_F_EngRT_75_84,C21_F_EngRT_85over,C21_F_EngRT_Tot,C21_F_ArchBuild_15_19,C21_F_ArchBuild_20_24,C21_F_ArchBuild_25_34,C21_F_ArchBuild_35_44,C21_F_ArchBuild_45_54,C21_F_ArchBuild_55_64,C21_F_ArchBuild_65_74,C21_F_ArchBuild_75_84,C21_F_ArchBuild_85over,C21_F_ArchBuild_Tot,C21_F_AgEnv_RS_15_19,C21_F_AgEnv_RS_20_24,C21_F_AgEnv_RS_25_34,C21_F_AgEnv_RS_35_44,C21_F_AgEnv_RS_45_54,C21_F_AgEnv_RS_55_64,C21_F_AgEnv_RS_65_74,C21_F_AgEnv_RS_75_84,C21_F_AgEnv_RS_85over,C21_F_AgEnv_RS_Tot
39499,0,12,21,3,7,3,4,0,0,53,0,0,6,3,8,6,4,0,0,22,0,7,19,7,4,15,12,6,0,67,0,4,10,8,0,4,0,0,0,28,0,3,13,9,10,0,0,0,0,41,14,28,95,38,61,120,77,6,0,430,0,12,32,23,24,58,43,3,0,197,13,56,139,77,73,103,57,11,0,521,5,55,122,49,57,99,33,3,0,420,4,35,58,11,8,4,10,0,0,140,13,31,40,23,25,34,29,0,0,196,0,3,0,0,0,0,0,0,0,3,0,0,4,5,0,9,6,0,0,26,32,118,227,136,155,201,119,40,11,1039,84,371,782,390,437,657,377,79,14,3185,0,8,34,17,5,8,5,0,0,74,0,0,7,9,6,7,4,0,0,34,5,9,26,11,16,13,3,0,0,72,0,4,12,5,4,11,5,0,0,32,0,10,21,19,13,6,3,0,0,69
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,5,0,0,0,0,3,0,0,5,0,0,0,0,0,0,7,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,15,0,3,7,3,3,11,5,3,4,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4GADE,22,835,2523,2340,1624,1123,544,187,73,9260,28,137,1181,1079,683,387,117,24,4,3638,46,430,1569,1366,1155,781,638,526,298,6799,34,389,1026,701,529,288,140,39,14,3149,78,288,862,736,566,333,123,44,4,3036,297,3332,12435,10392,10436,9996,5010,2197,918,55017,77,1164,5852,6160,5934,7161,5194,1689,686,33916,735,4542,16728,15889,12306,7813,3894,1372,654,63929,804,4095,12167,11732,10612,8346,4193,1041,284,53277,197,1194,3211,2461,1740,1079,699,303,138,11018,840,2415,5297,3902,3392,2052,1471,474,185,20031,65,96,92,101,162,128,195,180,88,1111,29,172,805,924,647,445,285,129,82,3516,2476,2473,5288,4543,4871,4878,5055,4810,3903,38292,5717,21557,69023,62329,54661,44807,27559,13014,7325,306004,14,980,2675,2794,1953,1350,914,312,90,11088,17,327,1823,1645,885,520,261,57,8,5543,42,488,1930,1675,1226,901,596,445,254,7558,31,337,1341,934,690,401,233,69,16,4051,119,380,983,897,721,492,190,54,10,3835
4RSAU,0,53,240,249,200,147,98,25,9,1022,6,24,61,88,65,62,37,14,0,359,30,73,245,263,255,171,164,115,64,1383,7,21,66,69,59,37,22,7,0,290,51,167,439,517,402,217,106,16,7,1921,70,575,1936,1872,2709,3336,1786,707,221,13221,34,388,1660,1712,1580,2012,1602,484,145,9618,200,916,2873,3076,2658,1966,969,323,122,13101,264,811,2237,2384,2774,2326,1084,200,42,12120,22,124,338,320,221,221,121,54,29,1448,262,628,1412,1182,915,615,481,134,34,5647,13,13,37,34,42,37,63,56,32,322,11,27,72,108,129,60,69,28,19,525,1187,764,1538,1589,2120,2369,2439,1970,1436,15411,2163,4575,13144,13472,14133,13575,9045,4129,2166,76400,0,68,227,292,246,196,160,47,11,1247,5,19,91,91,85,72,67,4,0,441,19,67,225,240,281,221,132,99,50,1336,5,30,86,99,91,69,47,15,3,444,100,210,484,584,444,338,159,23,3,2354
49499,0,5,9,4,5,0,0,0,0,15,0,0,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,6,0,0,0,14,0,0,17,17,19,18,3,0,0,74,0,0,0,3,5,8,4,0,0,28,0,8,33,11,11,18,7,0,0,99,0,5,23,13,21,9,12,0,0,82,0,0,5,5,3,0,0,0,0,22,3,4,6,6,4,4,3,0,0,38,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,0,0,0,0,6,14,18,45,38,53,28,11,4,0,211,29,47,155,98,124,95,46,10,3,602,0,0,3,4,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,4,5,0,0,0,0,0,14,0,0,0,5,0,3,0,0,0,13,0,0,4,0,0,0,0,0,0,0
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5GPER,53,1954,5099,4235,2834,1656,705,202,79,16816,80,343,1953,1738,1108,575,177,36,3,6011,121,934,3730,3065,1920,1174,670,615,282,12510,50,578,1797,1231,823,428,139,35,14,5095,86,464,1570,1477,926,462,187,62,20,5245,606,5132,18346,14698,13679,11297,6476,3073,969,74272,341,2287,10110,11877,12341,10757,5829,2324,658,56509,1434,7354,28288,25992,19857,12207,6668,2725,1001,105518,1106,5342,17585,15986,12954,9814,4757,1284,328,69163,510,2364,5874,4024,2532,1456,974,419,154,18301,1221,3821,9408,6528,5224,3061,1921,572,245,31996,127,135,176,144,134,173,236,194,66,1378,60,379,1241,1136,961,646,326,177,56,4990,4040,4813,11766,9125,8434,7593,7123,6970,5892,65768,9828,35898,116942,101266,83725,61288,36181,18692,9757,473569,48,2233,5235,5220,3698,2328,1226,395,102,20489,56,369,2124,2551,1392,903,324,64,7,7797,186,958,4325,4107,2397,1503,895,463,284,15120,50,451,2036,1647,1057,661,294,75,22,6286,96,531,1649,1771,1149,697,289,70,29,6280
5RWAU,7,126,622,708,420,257,88,18,3,2259,15,41,174,202,133,106,42,8,0,724,38,183,656,532,331,225,130,102,53,2237,14,56,213,175,152,74,37,6,0,714,94,229,750,799,561,317,93,31,4,2873,173,680,3051,3037,3119,3444,1989,844,210,16538,87,571,2711,3473,3405,3011,1480,521,121,15377,480,1512,4826,4509,3819,2609,1338,452,113,19648,341,865,2918,3045,2741,2401,1004,207,38,13570,93,207,715,669,515,373,252,100,23,2946,290,815,2235,1694,1303,780,472,116,45,7757,37,37,53,26,43,44,50,54,19,370,16,39,183,197,237,141,78,22,9,912,1899,1510,3917,3560,3900,3593,2876,2087,1166,24505,3582,6871,23014,22624,20667,17369,9929,4562,1814,110429,3,149,603,759,557,356,182,44,8,2659,13,20,143,196,145,119,75,18,0,739,77,183,717,582,400,274,158,90,42,2521,12,34,210,223,199,113,46,9,0,855,141,256,714,885,684,477,181,39,6,3388
59499,0,6,22,0,3,0,0,0,0,32,0,0,0,6,3,4,0,0,0,9,0,6,14,9,6,8,0,0,0,40,0,0,7,3,0,0,0,0,0,15,0,5,12,4,4,4,0,0,0,28,0,11,48,18,22,34,19,0,0,156,0,7,20,10,13,31,22,5,0,105,3,26,73,32,26,50,22,0,0,229,0,9,43,14,17,35,13,0,0,132,0,8,24,4,4,3,0,0,0,48,0,8,31,18,14,19,3,0,0,94,0,0,0,0,0,0,0,0,0,10,0,0,0,4,0,3,0,0,0,8,22,68,151,100,105,75,54,10,8,590,25,153,441,223,217,264,141,23,6,1492,0,3,17,11,0,7,3,0,0,49,0,0,0,3,0,0,3,0,0,6,0,3,14,13,3,4,3,0,0,36,0,0,0,5,0,3,0,0,0,13,0,0,7,10,0,0,3,0,0,25
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,4,0,3,5,0,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6GHOB,0,135,498,505,364,221,119,42,19,1907,3,48,100,138,91,62,43,9,0,491,4,62,183,223,175,130,102,75,45,993,3,26,102,109,68,53,14,0,0,374,8,46,143,184,182,118,34,13,4,729,33,432,1545,1415,1629,1650,1045,488,185,8422,8,126,902,1103,1140,1573,983,477,165,6482,162,768,2548,2314,1954,1447,730,290,164,10375,99,686,2093,2070,1985,1723,866,241,71,9827,25,159,527,462,375,281,187,84,29,2123,97,451,944,697,604,359,224,74,25,3467,10,16,12,14,3,25,38,29,12,163,5,33,136,152,130,121,62,21,12,672,558,457,937,902,998,1105,1086,967,575,7587,1015,3447,10669,10279,9704,8853,5530,2804,1321,53612,6,224,648,564,465,300,196,54,14,2470,0,78,562,224,118,75,58,11,0,1115,5,51,312,250,210,155,107,56,40,1184,6,23,194,154,111,68,38,4,0,608,8,70,203,178,209,143,68,19,3,903
6RTAS,3,31,193,250,201,172,104,23,10,984,3,16,63,88,80,82,34,8,0,374,19,51,129,224,228,179,152,88,31,1093,4,56,90,67,79,59,23,5,5,397,32,109,256,306,246,143,60,13,8,1174,62,486,1535,1401,1912,2246,1402,572,192,9808,21,184,1069,1414,1488,1710,1275,644,164,7981,170,801,2222,2272,2232,1806,950,276,108,10848,178,734,1766,1977,2335,2065,875,181,49,10153,11,122,333,362,379,333,237,87,23,1901,215,580,1245,1014,775,535,368,89,27,4847,8,17,21,12,23,34,56,36,20,226,5,15,83,109,135,134,69,37,9,586,910,589,1132,1266,1629,1831,2154,1590,795,11895,1637,3796,10130,10762,11747,11339,7758,3645,1446,62252,4,71,285,309,254,250,158,38,10,1382,0,29,200,92,107,97,59,10,0,596,15,72,242,216,236,236,146,66,34,1259,3,42,155,115,86,88,37,11,0,538,29,103,382,351,325,260,105,24,10,1591
69499,0,0,3,0,0,4,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,6,4,6,0,0,0,27,0,0,4,4,4,8,5,0,0,15,0,0,4,9,3,6,0,0,0,32,0,5,8,3,5,4,0,0,0,34,0,0,3,0,0,0,0,0,0,11,0,0,9,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,8,13,5,16,6,12,3,0,56,8,16,51,37,39,41,21,3,0,208,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6
69799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7GDAR,0,66,219,244,156,87,30,3,6,809,0,17,128,142,67,50,13,4,0,428,17,71,234,167,126,75,35,11,3,745,5,15,97,64,45,20,8,0,0,246,16,34,161,174,89,50,14,0,0,543,9,300,1566,1058,779,624,265,95,23,4709,6,114,824,863,779,617,298,73,15,3589,114,542,2293,1848,1331,732,270,57,8,7196,68,344,1455,1192,965,709,227,58,4,5003,9,76,332,223,129,82,36,7,0,895,73,267,696,428,300,127,56,21,4,1976,7,14,21,8,16,10,6,0,0,81,10,10,87,95,94,41,24,3,0,372,492,588,1631,1180,1019,876,468,204,86,6543,832,2456,9753,7694,5892,4086,1741,532,153,33141,0,63,251,267,186,104,49,13,0,935,4,30,199,184,88,62,20,3,0,598,19,44,267,209,125,72,41,17,4,805,3,19,90,70,41,26,7,0,0,259,24,53,168,171,122,59,24,4,5,630
7RNTE,0,11,73,62,31,23,8,0,0,215,4,6,38,21,15,15,3,0,0,97,6,16,64,56,48,14,14,0,6,214,0,4,26,16,13,3,0,0,0,70,22,64,123,113,50,24,8,0,0,395,11,105,616,529,500,438,137,49,9,2399,9,47,446,421,468,429,152,31,3,2006,26,146,649,536,521,339,94,22,6,2334,28,125,635,483,482,356,82,18,3,2212,9,25,116,86,63,53,19,8,0,372,56,108,240,156,135,64,27,3,3,785,3,4,11,9,13,3,5,0,0,51,5,11,39,41,49,18,7,0,0,163,740,733,1562,1165,1099,754,359,115,44,6565,907,1399,4627,3687,3486,2535,902,258,73,17872,0,12,83,62,49,33,16,3,0,249,0,7,44,28,9,14,4,0,0,98,8,15,76,52,40,27,10,3,0,234,0,3,25,20,12,3,6,0,0,80,27,74,126,100,80,42,11,3,0,464
79499,0,0,4,4,3,0,0,0,0,15,0,0,0,0,0,0,0,0,0,7,0,0,0,5,0,6,0,0,0,8,0,0,4,0,0,0,0,0,0,4,4,0,5,0,0,0,0,0,0,14,0,3,22,15,15,22,7,0,0,84,0,0,14,3,0,16,10,0,0,45,0,6,14,12,15,19,3,0,0,70,0,7,16,15,10,7,4,0,0,65,0,4,5,0,0,0,4,0,0,25,0,4,13,6,0,8,0,0,0,36,0,3,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5,0,0,5,3,37,92,70,85,45,29,3,0,367,10,73,195,141,137,122,63,9,0,744,0,0,10,8,5,0,0,0,0,15,0,0,0,0,0,3,0,0,0,5,0,0,3,4,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,12
79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8ACTE,19,557,1504,1373,1079,701,405,114,56,5802,35,167,882,824,701,417,120,11,0,3166,12,151,589,438,279,250,146,101,64,2027,8,91,330,243,201,120,54,13,3,1064,17,118,361,387,255,133,66,22,5,1375,36,711,3291,2676,2283,2134,1212,648,210,13206,31,404,2154,2258,1949,2076,1671,710,163,11426,162,1801,6334,6014,4722,3127,1784,558,225,24729,191,1838,6856,5749,4511,3523,2046,603,152,25464,61,485,1634,1299,907,501,275,115,51,5322,154,565,1273,942,643,390,226,78,27,4301,26,28,15,11,14,23,31,26,11,177,15,72,435,489,395,245,154,66,31,1901,679,972,2133,1648,1468,1351,1124,969,927,11270,1445,7953,27799,24367,19403,14983,9320,4048,1926,111240,9,580,1778,1563,1258,876,595,218,60,6935,32,356,1454,1323,784,582,246,44,3,4824,10,102,751,709,364,281,193,90,49,2546,11,110,466,345,258,176,96,22,3,1489,24,137,446,390,383,199,104,43,12,1721
89499,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,13,0,0,0,0,4,5,0,0,0,17,5,6,4,3,3,7,0,0,0,28,0,9,7,12,7,5,0,0,0,37,0,0,0,0,0,0,0,0,0,11,0,0,3,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,9,4,5,0,5,0,0,0,28,12,26,33,28,18,25,5,0,0,148,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0
89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9OTER,0,0,5,9,3,0,0,0,0,14,0,0,3,0,0,0,0,0,0,10,0,0,0,5,0,3,0,0,0,16,0,0,0,0,3,0,0,0,0,4,0,0,9,3,5,0,0,0,0,20,0,4,12,21,9,29,16,6,5,89,0,3,21,27,17,22,12,7,0,114,3,7,43,59,54,40,21,4,0,234,3,0,23,23,22,7,8,0,0,95,0,0,8,6,9,3,3,0,0,24,0,9,18,11,12,7,0,0,0,67,0,0,0,0,0,3,0,0,0,4,0,0,0,0,3,4,0,0,0,12,28,9,30,36,62,52,32,22,8,268,37,38,166,207,191,175,92,41,11,966,0,0,5,12,4,4,0,0,0,26,0,0,4,5,6,0,0,0,0,8,0,0,0,4,6,4,0,0,0,17,0,0,0,0,0,0,0,0,0,7,0,0,5,3,9,4,0,0,0,18
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,4,3,0,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
