GCCSA_CODE_2021,C21_P_35_39_Tot_LF,C21_P_35_39_Not_LF,C21_P_35_39_LF_NS,C21_P_35_39_Tot,C21_P_40_44_Em_FT,C21_P_40_44_Em_PT,C21_P_40_44_Em_AFW,C21_P_40_44_Em_Hrs_NS,C21_P_40_44_Em_Tot,C21_P_40_44_Unem_Look_FT,C21_P_40_44_Unem_Look_PT,C21_P_40_44_Unem_Tot,C21_P_40_44_Tot_LF,C21_P_40_44_Not_LF,C21_P_40_44_LF_NS,C21_P_40_44_Tot,C21_P_45_49_Em_FT,C21_P_45_49_Em_PT,C21_P_45_49_Em_AFW,C21_P_45_49_Em_Hrs_NS,C21_P_45_49_Em_Tot,C21_P_45_49_Unem_Look_FT,C21_P_45_49_Unem_Look_PT,C21_P_45_49_Unem_Tot,C21_P_45_49_Tot_LF,C21_P_45_49_Not_LF,C21_P_45_49_LF_NS,C21_P_45_49_Tot,C21_P_50_54_Em_FT,C21_P_50_54_Em_PT,C21_P_50_54_Em_AFW,C21_P_50_54_Em_Hrs_NS,C21_P_50_54_Em_Tot,C21_P_50_54_Unem_Look_FT,C21_P_50_54_Unem_Look_PT,C21_P_50_54_Unem_Tot,C21_P_50_54_Tot_LF,C21_P_50_54_Not_LF,C21_P_50_54_LF_NS,C21_P_50_54_Tot,C21_P_55_59_Em_FT,C21_P_55_59_Em_PT,C21_P_55_59_Em_AFW,C21_P_55_59_Em_Hrs_NS,C21_P_55_59_Em_Tot,C21_P_55_59_Unem_Look_FT,C21_P_55_59_Unem_Look_PT,C21_P_55_59_Unem_Tot,C21_P_55_59_Tot_LF,C21_P_55_59_Not_LF,C21_P_55_59_LF_NS,C21_P_55_59_Tot,C21_P_60_64_Em_FT,C21_P_60_64_Em_PT,C21_P_60_64_Em_AFW,C21_P_60_64_Em_Hrs_NS,C21_P_60_64_Em_Tot,C21_P_60_64_Unem_Look_FT,C21_P_60_64_Unem_Look_PT,C21_P_60_64_Unem_Tot,C21_P_60_64_Tot_LF,C21_P_60_64_Not_LF,C21_P_60_64_LF_NS,C21_P_60_64_Tot,C21_P_65_69_Em_FT,C21_P_65_69_Em_PT,C21_P_65_69_Em_AFW,C21_P_65_69_Em_Hrs_NS,C21_P_65_69_Em_Tot,C21_P_65_69_Unem_Look_FT,C21_P_65_69_Unem_Look_PT,C21_P_65_69_Unem_Tot,C21_P_65_69_Tot_LF,C21_P_65_69_Not_LF,C21_P_65_69_LF_NS,C21_P_65_69_Tot,C21_P_70_74_Em_FT,C21_P_70_74_Em_PT,C21_P_70_74_Em_AFW,C21_P_70_74_Em_Hrs_NS,C21_P_70_74_Em_Tot,C21_P_70_74_Unem_Look_FT,C21_P_70_74_Unem_Look_PT,C21_P_70_74_Unem_Tot,C21_P_70_74_Tot_LF,C21_P_70_74_Not_LF,C21_P_70_74_LF_NS,C21_P_70_74_Tot,C21_P_75over_Emp_Wor_ft,C21_P_75over_Em_Work_pt,C21_P_75over_Em_Aw_fr_w,C21_P_75over_Emp_Hou_w_ns,C21_P_75over_Em_Tot,C21_P_75over_Unem_Lo_ft_w,C21_P_75over_Unem_Lo_pt_w,C21_P_75over_Unemp_Tot,C21_P_75over_Tot_lab_for,C21_P_75over_N_lab_forc,C21_P_75over_LF_NS,C21_P_75over_Tot,C21_P_Tot_Em_FT,C21_P_Tot_Em_PT,C21_P_Tot_Em_AFW,C21_P_Tot_Em_Hrs_NS,C21_P_Tot_Em_Tot,C21_P_Tot_Unem_Look_FT,C21_P_Tot_Unem_Look_PT,C21_P_Tot_Unem_Tot,C21_P_Tot_Tot_labo_for,C21_P_Tot_Not_LF,C21_P_Tot_LF_NS,C21_P_Tot_Tot
1GSYD,320794,70727,21884,413405,181109,67603,20305,3988,273007,7375,3307,10685,283699,63072,17576,364341,170692,63337,19191,3303,256519,7148,3053,10200,266715,62719,15281,344721,149371,59132,19226,2965,230687,6649,2932,9580,240270,68331,13842,322446,121936,55414,19082,2504,198931,5886,3053,8937,207873,82672,12940,303485,76914,47782,15793,1710,142201,4472,3224,7690,149894,114433,11356,275683,30305,28685,8219,879,68088,1248,1432,2683,70766,153535,10276,234579,9197,14320,3382,456,27347,208,519,722,28069,166434,10387,204890,3120,7800,1658,538,13109,82,241,320,13434,304952,36860,355246,1421283,709200,258428,41783,2430704,74598,54944,129539,2560242,1477147,230551,4267941
1RNSW,132115,23222,10487,165827,77879,36897,4986,1820,121575,2774,1539,4311,125890,21980,9870,157744,86459,37641,5118,1819,131042,3009,1577,4586,135631,25362,10334,171323,84627,38483,5921,1808,130840,2921,1649,4568,135408,31257,10115,176779,74632,41114,6818,1656,124225,2809,1780,4590,128817,46212,10795,185830,51525,39895,6539,1434,99389,2331,2251,4578,103969,80586,10582,195135,20197,22994,3441,754,47387,601,924,1523,48912,122196,10172,181273,6916,10974,1204,542,19637,71,306,378,20012,136580,10340,166927,3706,6321,782,917,11727,41,129,169,11899,239730,28218,279850,714094,441543,72896,22405,1250938,32827,26842,59669,1310611,860627,152864,2324100
19499,344,221,388,954,123,64,27,7,221,47,20,71,293,223,384,902,117,62,26,3,219,49,14,62,282,247,341,877,90,72,23,13,195,36,16,56,247,263,290,801,98,71,26,11,207,21,14,37,245,313,283,844,55,63,14,6,134,23,20,46,174,456,175,808,22,36,5,3,68,11,3,10,79,418,142,637,3,15,0,0,19,0,0,5,21,337,54,415,4,0,0,5,6,0,0,4,8,248,73,323,1229,910,284,87,2511,419,224,647,3161,3630,3319,10112
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,323289,53749,18763,395798,181563,73349,8557,3739,267211,6674,3725,10398,277607,46550,15150,339303,171194,69099,7325,3116,250736,6481,3426,9899,260635,46177,13542,320361,157423,65983,7917,2960,234287,6130,3218,9352,243635,52585,12528,308742,124669,59401,7988,2265,194326,5098,3102,8205,202525,64498,10950,277976,78335,51852,7521,1563,139265,3816,3123,6936,146206,96193,9610,252005,29535,30486,4168,817,65005,1053,1346,2394,67402,138823,8964,215194,8292,14923,1669,466,25351,157,440,598,25946,154860,9020,189829,2841,7577,1002,577,11998,78,221,300,12298,296038,26685,335020,1469932,815265,119571,40224,2444991,69628,67122,136749,2581742,1248587,195836,4026163
2RVIC,74118,13298,5773,93191,42879,22171,2688,1094,68831,1312,823,2137,70969,12251,5466,88692,47409,22633,2595,1176,73810,1528,809,2334,76142,13569,5722,95436,47485,23367,3306,1266,75421,1528,905,2432,77853,17242,5842,100937,42393,24951,4174,1064,72575,1451,1019,2474,75052,24283,6033,105372,30132,24512,4325,920,59887,1214,1159,2368,62256,41729,6128,110111,12251,14558,2348,620,29782,311,497,807,30592,68234,6128,104945,4199,6830,826,435,12294,49,137,193,12482,76240,6250,94972,2396,3775,526,651,7342,21,92,114,7462,129139,15475,152074,400417,260831,40862,13985,716097,16186,14245,30433,746527,468616,84747,1299885
29499,255,223,452,929,86,39,15,7,145,39,11,52,198,195,413,806,72,47,13,6,142,38,7,44,180,203,341,723,73,41,15,10,140,20,9,31,170,203,299,668,71,49,11,7,133,21,13,29,163,182,217,563,38,48,18,0,95,16,8,17,115,215,189,511,14,18,3,0,37,5,3,10,47,228,148,418,3,10,0,0,11,0,3,0,15,136,41,194,0,3,0,4,11,0,0,0,11,122,48,181,919,646,164,69,1797,329,163,485,2281,2447,3220,7946
29799,0,0,4,3,3,0,0,0,3,0,0,0,3,0,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,3,0,0,0,3,0,5,9,0,0,0,0,4,0,0,0,4,0,4,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,15,0,0,0,15,0,27,38
3GBRI,155308,24908,9330,189551,92488,34799,6843,1717,135850,3353,1784,5142,140987,22211,7586,170787,92888,32372,6755,1545,133561,3437,1618,5050,138620,23143,7243,169000,84949,30130,7030,1434,123542,3182,1473,4658,128202,25264,6592,160054,66504,27198,6788,1104,101604,2792,1485,4277,105884,32193,5653,143731,40502,23250,5912,728,70391,2206,1546,3755,74144,50864,5058,130066,14318,13184,2893,375,30764,572,673,1243,32010,76343,4584,112944,3865,6190,1105,188,11340,84,222,306,11649,85055,4520,101223,1333,2972,448,280,5028,35,86,119,5147,140778,12977,158905,746555,383943,95168,19110,1244782,39187,32940,72132,1316910,624953,100237,2042096
3RQLD,131009,22197,13257,166459,78396,35502,5517,2017,121435,3043,1776,4812,126247,20667,11967,158880,85887,35685,5962,2002,129535,3401,1746,5146,134686,22889,12717,170281,83310,35052,6873,1996,127236,3429,1742,5172,132406,27907,12500,172813,70980,35077,7250,1642,114948,3312,1987,5303,120251,39258,12025,171537,48152,31612,6490,1250,87506,2805,2212,5018,92520,64212,10751,167484,19180,18550,3135,686,41549,708,939,1644,43196,97665,9433,150295,6006,8848,1164,454,16481,115,299,412,16891,110974,9013,136876,2962,4739,628,718,9041,54,131,184,9223,181882,21634,212738,694264,401875,76302,23623,1196051,36550,29187,65734,1261790,709475,165039,2136302
