GCCSA_CODE_2021,C21_20_24_Div_M,C21_20_24_Div_F,C21_20_24_Div_P,C21_20_24_Wid_M,C21_20_24_Wid_F,C21_20_24_Wid_P,C21_20_24_Nvr_marrd_M,C21_20_24_Nvr_marrd_F,C21_20_24_Nvr_marrd_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Married_M,C21_25_29_Married_F,C21_25_29_Married_P,C21_25_29_Sep_M,C21_25_29_Sep_F,C21_25_29_Sep_P,C21_25_29_Div_M,C21_25_29_Div_F,C21_25_29_Div_P,C21_25_29_Wid_M,C21_25_29_Wid_F,C21_25_29_Wid_P,C21_25_29_Nvr_marrd_M,C21_25_29_Nvr_marrd_F,C21_25_29_Nvr_marrd_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Married_M,C21_30_34_Married_F,C21_30_34_Married_P,C21_30_34_Sep_M,C21_30_34_Sep_F,C21_30_34_Sep_P,C21_30_34_Div_M,C21_30_34_Div_F,C21_30_34_Div_P,C21_30_34_Wid_M,C21_30_34_Wid_F,C21_30_34_Wid_P,C21_30_34_Nvr_marrd_M,C21_30_34_Nvr_marrd_F,C21_30_34_Nvr_marrd_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Married_M,C21_35_39_Married_F,C21_35_39_Married_P,C21_35_39_Sep_M,C21_35_39_Sep_F,C21_35_39_Sep_P,C21_35_39_Div_M,C21_35_39_Div_F,C21_35_39_Div_P,C21_35_39_Wid_M,C21_35_39_Wid_F,C21_35_39_Wid_P,C21_35_39_Nvr_marrd_M,C21_35_39_Nvr_marrd_F,C21_35_39_Nvr_marrd_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Married_M,C21_40_44_Married_F,C21_40_44_Married_P,C21_40_44_Sep_M,C21_40_44_Sep_F,C21_40_44_Sep_P,C21_40_44_Div_M,C21_40_44_Div_F,C21_40_44_Div_P,C21_40_44_Wid_M,C21_40_44_Wid_F,C21_40_44_Wid_P,C21_40_44_Nvr_marrd_M,C21_40_44_Nvr_marrd_F,C21_40_44_Nvr_marrd_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Married_M,C21_45_49_Married_F,C21_45_49_Married_P,C21_45_49_Sep_M,C21_45_49_Sep_F,C21_45_49_Sep_P,C21_45_49_Div_M,C21_45_49_Div_F,C21_45_49_Div_P,C21_45_49_Wid_M,C21_45_49_Wid_F,C21_45_49_Wid_P,C21_45_49_Nvr_marrd_M,C21_45_49_Nvr_marrd_F,C21_45_49_Nvr_marrd_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Married_M,C21_50_54_Married_F,C21_50_54_Married_P,C21_50_54_Sep_M,C21_50_54_Sep_F,C21_50_54_Sep_P,C21_50_54_Div_M,C21_50_54_Div_F,C21_50_54_Div_P,C21_50_54_Wid_M,C21_50_54_Wid_F,C21_50_54_Wid_P,C21_50_54_Nvr_marrd_M,C21_50_54_Nvr_marrd_F,C21_50_54_Nvr_marrd_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Married_M,C21_55_59_Married_F,C21_55_59_Married_P,C21_55_59_Sep_M,C21_55_59_Sep_F,C21_55_59_Sep_P,C21_55_59_Div_M,C21_55_59_Div_F,C21_55_59_Div_P,C21_55_59_Wid_M,C21_55_59_Wid_F,C21_55_59_Wid_P,C21_55_59_Nvr_marrd_M,C21_55_59_Nvr_marrd_F,C21_55_59_Nvr_marrd_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Married_M,C21_60_64_Married_F,C21_60_64_Married_P,C21_60_64_Sep_M,C21_60_64_Sep_F,C21_60_64_Sep_P,C21_60_64_Div_M,C21_60_64_Div_F,C21_60_64_Div_P,C21_60_64_Wid_M,C21_60_64_Wid_F,C21_60_64_Wid_P,C21_60_64_Nvr_marrd_M,C21_60_64_Nvr_marrd_F,C21_60_64_Nvr_marrd_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Married_M,C21_65_69_Married_F,C21_65_69_Married_P,C21_65_69_Sep_M,C21_65_69_Sep_F,C21_65_69_Sep_P,C21_65_69_Div_M,C21_65_69_Div_F,C21_65_69_Div_P,C21_65_69_Wid_M,C21_65_69_Wid_F,C21_65_69_Wid_P,C21_65_69_Nvr_marrd_M,C21_65_69_Nvr_marrd_F,C21_65_69_Nvr_marrd_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Married_M,C21_70_74_Married_F,C21_70_74_Married_P,C21_70_74_Sep_M,C21_70_74_Sep_F,C21_70_74_Sep_P,C21_70_74_Div_M,C21_70_74_Div_F,C21_70_74_Div_P,C21_70_74_Wid_M,C21_70_74_Wid_F,C21_70_74_Wid_P,C21_70_74_Nvr_marrd_M,C21_70_74_Nvr_marrd_F,C21_70_74_Nvr_marrd_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Married_M,C21_75_79_Married_F,C21_75_79_Married_P,C21_75_79_Sep_M,C21_75_79_Sep_F,C21_75_79_Sep_P,C21_75_79_Div_M,C21_75_79_Div_F
1GSYD,180,440,617,65,69,132,171069,154226,325291,176492,166569,343064,33503,53178,86681,1462,2802,4267,1423,2565,3982,92,136,223,160550,137836,298386,197024,196510,393535,89165,112061,201227,3410,5491,8903,4708,7237,11950,154,305,465,106655,88583,195239,204099,213685,417779,127533,136270,263806,5248,7634,12882,8460,12113,20574,210,624,836,62452,52852,115307,203911,209496,413405,121684,120572,242262,6465,8592,15056,10770,15797,26565,360,1113,1475,42303,36680,78988,181586,182755,364341,112748,111639,224391,7230,9295,16521,14148,21212,35358,609,1995,2602,34836,31010,65842,169568,175147,344721,102595,102740,205331,7207,8900,16109,17161,25691,42850,975,3370,4347,29270,24539,53812,157208,165240,322446,98524,94271,192797,6730,7719,14447,18812,26845,45653,1541,5941,7480,23870,19239,43108,149478,154011,303485,89573,85808,175378,5769,6521,12287,17944,25984,43920,2283,9754,12041,17629,14423,32059,133198,142487,275683,77580,72336,149919,4752,5023,9777,14473,21924,36399,3217,14090,17313,11211,9962,21173,111238,123339,234579,69119,59267,128391,3778,3453,7230,12122,17992,30113,5023,19893,24920,7590,6656,14243,97631,107264,204890,49725,37672,87400,2287,1765,4051,7211,11310
1RNSW,46,66,109,60,45,103,76072,71121,147190,77907,74384,152295,13235,19425,32656,708,1439,2145,440,832,1271,50,82,131,66099,59012,125106,80528,80789,161317,32530,39844,72378,1866,3052,4921,1836,2904,4737,61,232,292,45079,39804,84883,81370,85838,167210,43170,47481,90654,2899,4245,7143,3646,5347,8992,136,377,512,31008,27515,58521,80859,84966,165827,43521,45690,89209,3591,4842,8433,5385,7804,13196,220,703,920,24003,21981,45989,76723,81022,157744,46900,49081,95980,4515,5586,10103,8676,12144,20825,395,1251,1646,22988,19783,42776,83478,87841,171323,47797,50901,98699,4772,5527,10295,11791,15746,27544,757,2100,2859,20771,16617,37388,85888,90890,176779,51426,54205,105633,4727,5368,10094,14207,18381,32585,1232,3835,5064,18798,13652,32449,90390,95443,185830,57121,58423,115546,4662,5103,9761,15996,20006,36005,2196,6431,8626,14696,10507,25207,94668,100460,195135,56391,54826,111221,4288,3721,8003,15278,17936,33218,3180,9597,12771,9698,6360,16057,88832,92442,181273,55446,48450,103897,3493,2682,6172,12915,14622,27536,5043,14644,19690,5766,3859,9626,82664,84267,166927,40032,32012,72045,1934,1321,3256,7613,8640
19499,0,0,0,0,0,0,400,406,801,411,418,829,39,43,76,10,14,26,0,12,13,0,3,3,532,462,998,586,533,1118,91,102,189,38,35,73,14,21,36,0,0,0,432,344,777,574,495,1068,120,97,213,73,37,106,31,30,64,3,0,3,336,230,563,562,392,954,88,75,164,68,42,109,58,53,110,0,6,5,331,178,510,542,357,902,86,77,162,80,38,120,95,75,168,4,8,12,281,144,420,540,332,877,99,88,192,63,35,101,82,95,177,7,17,17,218,96,314,473,333,801,121,136,255,67,29,98,123,107,237,4,8,11,168,71,242,480,359,844,149,130,280,48,34,86,140,111,245,18,21,38,111,44,156,470,339,808,157,113,263,49,15,69,110,71,180,19,20,39,68,21,85,403,236,637,89,73,162,37,19,53,81,41,120,16,27,39,26,10,37,250,163,415,57,31,86,10,4,10,34,21
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,103,251,355,67,55,122,165099,151936,317038,168453,160090,328543,27049,43923,70970,1048,2135,3187,1040,1938,2980,105,134,239,163971,141787,305757,193215,189925,383135,82203,104116,186310,2947,4649,7590,3988,6278,10265,167,344,511,108082,92793,200872,197383,208174,405556,119667,127019,246685,4778,6954,11733,7461,11071,18535,232,709,942,62695,55216,117913,194831,200968,395798,111389,109147,220537,5628,7802,13428,9847,14001,23851,379,1087,1462,41828,38201,80026,169068,170237,339303,101568,101208,202774,6722,8784,15506,13055,19846,32906,604,1847,2450,34586,32128,66723,156543,163821,320361,95694,96206,191898,7396,9078,16475,16709,24790,41499,1001,3147,4147,29010,25720,54723,149807,158943,308742,88307,85876,174186,6404,7350,13751,17769,25711,43483,1518,5127,6638,21552,18365,39915,135553,142429,277976,81354,78619,159976,5415,6137,11550,16771,24389,41164,2324,8462,10792,15198,13325,28525,121073,130934,252005,70922,66960,137886,4265,4525,8791,13545,20619,34163,3227,12588,15818,9781,8762,18539,101739,113462,215194,63911,57449,121360,3328,3205,6528,10534,16836,27377,4593,18474,23065,6100,5406,11506,88460,101370,189829,46672,36937,83613,1906,1675,3584,6534,10188
2RVIC,24,28,55,31,28,58,40867,37786,78648,41733,39392,81124,6737,9883,16626,395,670,1064,203,346,546,34,63,97,38435,34706,73144,45802,45675,91470,18097,21683,39782,990,1595,2584,911,1452,2366,52,120,170,25615,22994,48608,45663,47849,93507,24559,26835,51395,1541,2338,3876,1996,2829,4823,72,224,302,16759,16040,32797,44925,48263,93191,24524,25862,50387,2032,2802,4835,2957,4114,7069,134,373,508,13219,12674,25896,42862,45823,88692,26317,27231,53544,2488,3186,5674,4575,6681,11254,248,636,884,12640,11441,24083,46266,49169,95436,27422,29124,56544,2893,3296,6194,6652,9055,15708,421,1220,1639,11410,9444,20855,48795,52146,100937,29785,31476,61261,2814,3243,6054,7935,10538,18476,740,2055,2795,9448,7339,16784,50726,54645,105372,33082,33778,66856,2687,2733,5421,8731,11073,19800,1276,3630,4912,7461,5670,13125,53233,56876,110111,33514,32482,65999,2440,2243,4684,8466,9941,18406,1788,5400,7191,5169,3499,8667,51379,53567,104945,32163,28423,60586,2024,1490,3518,6910,7870,14780,2752,8040,10791,3222,2077,5301,47064,47905,94972,22145,17991,40136,1079,678,1757,3835,4391
29499,0,0,0,0,0,3,337,304,641,345,321,671,22,46,64,9,16,24,7,8,12,0,0,0,437,381,822,474,450,928,64,74,142,25,36,69,22,17,39,0,0,4,345,295,641,463,425,892,142,94,233,53,26,79,38,37,79,0,5,5,283,252,535,515,416,929,103,72,174,45,35,84,47,41,90,0,7,8,290,161,451,488,321,806,97,47,147,63,33,98,76,44,119,3,4,9,244,107,351,483,238,723,99,53,151,75,37,103,84,73,157,5,4,13,167,74,247,427,242,668,101,71,175,55,23,73,83,62,147,7,7,14,101,46,155,353,212,563,115,89,204,28,19,48,78,59,135,8,23,33,61,32,90,288,217,511,115,67,179,35,3,45,86,41,130,8,8,18,27,20,48,271,141,418,52,32,87,15,8,25,32,27,53,9,8,15,8,9,20,116,74,194,28,17,46,11,6,12,20,16
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6,0,6,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,9,0,9,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,0,6,6,5,0,5,0,0,0,0,0,0,0,0,0,5,6,9,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,6,0,6,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,59,89,146,37,42,83,85672,82528,168191,87883,86761,174643,14311,21438,35745,872,1567,2441,561,1038,1601,48,84,134,75891,69206,145095,91682,93335,185017,37318,46064,83379,2073,3330,5409,2296,3583,5879,92,202,289,50389,43713,94100,92163,96894,189055,52215,57591,109807,3185,4557,7746,4302,6253,10554,141,381,523,32557,28364,60923,92408,97141,189551,51289,52813,104101,3790,5057,8838,5905,8433,14337,224,652,880,22519,20108,42626,83727,87059,170787,50781,51304,102090,4345,5390,9735,8378,11800,20183,353,1132,1487,18660,16857,35518,82514,86490,169000,48243,48252,96493,4231,5009,9243,9982,14125,24104,564,1787,2349,15012,12848,27861,78033,82018,160054,44167,43240,87410,3728,4159,7887,10345,14644,24988,832,2832,3666,10961,8819,19784,70034,73701,143731,41110,39773,80882,2943,3383,6318,10015,14086,24102,1211,4186,5393,7352,6017,13369,62624,67444,130066,36427,34073,70504,2456,2570,5025,8528,12238,20759,1766,6290,8057,4687,3909,8593,53875,59069,112944,33710,29529,63238,1847,1731,3581,7057,10052,17107,2591,9205,11800,2971,2535,5503,48175,53049,101223,23772,18009,41783,1116,922,2039,4073,6023
3RQLD,54,84,135,43,49,94,72374,69722,142098,74553,73598,148151,12852,18882,31736,785,1416,2203,467,866,1334,76,100,176,65527,60265,125792,79705,81532,161241,30001,37299,67307,1849,3111,4958,2049,3121,5171,86,207,289,45198,40791,85986,79187,84526,163714,41767,47188,88962,3056,4554,7613,4016,5831,9847,111,426,536,31130,28380,59513,80086,86376,166459,43297,46251,89542,3731,5224,8954,5955,8416,14375,240,687,927,23706,21378,45079,76925,81953,158880,47094,49263,96357,4714,5814,10532,8923,12593,21521,409,1179,1589,21717,18579,40293,82857,87428,170281,48343,49768,98114,4763,5656,10416,11899,15880,27780,692,1986,2674,18655,15177,33828,84352,88462,172813,48846,50595,99441,4390,5068,9459,13706,17966,31679,1104,3380,4491,15329,11151,26474,83377,88162,171537,50356,50174,100536,4106,4353,8459,14297,17795,32096,1761,5499,7265,11296,7837,19132,81822,85657,167484,47775,45067,92843,3602,3253,6861,13011,15357,28368,2547,8014,10555,7061,4610,11671,73998,76297,150295,45498,39350,84849,2983,2218,5200,11485,12551,24034,3689,12021,15708,4448,2640,7086,68102,68775,136876,32585,25273,57853,1636,1155,2795,6679,7506
