GCCSA_CODE_2021,C11_CF_1F1NW_800_1249,C11_CF_1F1NW_1250_1999,C11_CF_1F1NW_2000_2499,C11_CF_1F1NW_2500_2999,C11_CF_1F1NW_3000_3999,C11_CF_1F1NW_4000more,C11_CF_1F1NW_Ns,C11_CF_1F1NW_Tot,C11_CF_1P1NW_Neg_ni_inc,C11_CF_1P1NW_1_149,C11_CF_1P1NW_150_399,C11_CF_1P1NW_400_649,C11_CF_1P1NW_650_799,C11_CF_1P1NW_800_1249,C11_CF_1P1NW_1250_1999,C11_CF_1P1NW_2000_2499,C11_CF_1P1NW_2500_2999,C11_CF_1P1NW_3000_3999,C11_CF_1P1NW_4000more,C11_CF_1P1NW_Ns,C11_CF_1P1NW_Tot,C11_CF_1A1NW_Neg_ni_inc,C11_CF_1A1NW_1_149,C11_CF_1A1NW_150_399,C11_CF_1A1NW_400_649,C11_CF_1A1NW_650_799,C11_CF_1A1NW_800_1249,C11_CF_1A1NW_1250_1999,C11_CF_1A1NW_2000_2499,C11_CF_1A1NW_2500_2999,C11_CF_1A1NW_3000_3999,C11_CF_1A1NW_4000more,C11_CF_1A1NW_Ns,C11_CF_1A1NW_Tot,C11_CF_BA_Neg_ni_inc,C11_CF_BA_1_149,C11_CF_BA_150_399,C11_CF_BA_400_649,C11_CF_BA_650_799,C11_CF_BA_800_1249,C11_CF_BA_1250_1999,C11_CF_BA_2000_2499,C11_CF_BA_2500_2999,C11_CF_BA_3000_3999,C11_CF_BA_4000more,C11_CF_BA_Ns,C11_fc_BA_Tot,C11_CF_BNW_Neg_ni_inc,C11_CF_BNW_1_149,C11_CF_BNW_150_399,C11_CF_BNW_400_649,C11_CF_BNW_650_799,C11_CF_BNW_800_1249,C11_CF_BNW_1250_1999,C11_CF_BNW_2000_2499,C11_CF_BNW_2500_2999,C11_CF_BNW_3000_3999,C11_CF_BNW_4000more,C11_CF_BNW_Ns,C11_CF_BNW_Tot,C11_CF_LFns_Neg_ni_inc,C11_CF_LFns_1_149,C11_CF_LFns_150_399,C11_CF_LFns_400_649,C11_CF_LFns_650_799,C11_CF_LFns_800_1249,C11_CF_LFns_1250_1999,C11_CF_LFns_2000_2499,C11_CF_LFns_2500_2999,C11_CF_LFns_3000_3999,C11_CF_LFns_4000more,C11_CF_LFns_Ns,C11_CF_LFns_Tot,C11_CF_Tot_Neg_ni_inc,C11_CF_Tot_1_149,C11_CF_Tot_150_399,C11_CF_Tot_400_649,C11_CF_Tot_650_799,C11_CF_Tot_800_1249,C11_CF_Tot_1250_1999,C11_CF_Tot_2000_2499,C11_CF_Tot_2500_2999,C11_CF_Tot_3000_3999,C11_CF_Tot_4000more,C11_CF_TotFI_Ns,C11_CF_Tot_Tot,C11_1PF_F_Neg_ni_inc,C11_1PF_F_1_149,C11_1PF_F_150_399,C11_1PF_F_400_649,C11_1PF_F_650_799,C11_1PF_F_800_1249,C11_1PF_F_1250_1999,C11_1PF_F_2000_2499,C11_1PF_F_2500_2999,C11_1PF_F_3000_3999,C11_1PF_F_4000more,C11_1PF_F_Ns,C11_1PF_F_Tot,C11_1PF_P_Neg_ni_inc,C11_1PF_P_1_149,C11_1PF_P_150_399,C11_1PF_P_400_649,C11_1PF_P_650_799,C11_1PF_P_800_1249,C11_1PF_P_1250_1999,C11_1PF_P_2000_2499,C11_1PF_P_2500_2999,C11_1PF_P_3000_3999,C11_1PF_P_4000more,C11_1PF_P_Ns,C11_1PF_P_Tot,C11_1PF_A_Neg_ni_inc,C11_1PF_A_1_149,C11_1PF_A_150_399,C11_1PF_A_400_649,C11_1PF_A_650_799,C11_1PF_A_800_1249,C11_1PF_A_1250_1999,C11_1PF_A_2000_2499,C11_1PF_A_2500_2999,C11_1PF_A_3000_3999,C11_1PF_A_4000more,C11_1PF_A_Ns,C11_1PF_A_Tot,C11_1PF_U_Neg_ni_inc,C11_1PF_U_1_149,C11_1PF_U_150_399,C11_1PF_U_400_649,C11_1PF_U_650_799,C11_1PF_U_800_1249,C11_1PF_U_1250_1999,C11_1PF_U_2000_2499,C11_1PF_U_2500_2999,C11_1PF_U_3000_3999,C11_1PF_U_4000more,C11_1PF_U_Ns,C11_1PF_U_Tot,C11_1PF_N_lf_Fi_Neg_ni_inc,C11_1PF_N_lf_Fi_1_149,C11_1PF_N_lf_Fi_150_399,C11_1PF_N_lf_Fi_400_649,C11_1PF_N_lf_Fi_650_799,C11_1PF_N_lf_Fi_800_1249,C11_1PF_N_lf_Fi_1250_1999,C11_1PF_N_lf_Fi_2000_2499,C11_1PF_N_lf_Fi_2500_2999,C11_1PF_N_lf_Fi_3000_3999,C11_1PF_N_lf_Fi_4000more,C11_1PF_N_lf_Fi_Ns,C11_1PF_N_lf_Tot,C11_1PF_LFns_Neg_ni_inc,C11_1PF_LFns_1_149,C11_1PF_LFns_150_399,C11_1PF_LFns_400_649,C11_1PF_LFns_650_799,C11_1PF_LFns_800_1249,C11_1PF_LFns_1250_1999,C11_1PF_LFns_2000_2499,C11_1PF_LFns_2500_2999,C11_1PF_LFns_3000_3999,C11_1PF_LFns_4000more,C11_1PF_LFns_Ns,C11_1PF_LF_NS_Tot,C11_1PF_TotFI_Neg_ni_inc,C11_1PF_TotFI_1_149,C11_1PF_TotFI_150_399,C11_1PF_TotFI_400_649,C11_1PF_TotFI_650_799,C11_1PF_TotFI_800_1249,C11_1PF_TotFI_1250_1999,C11_1PF_TotFI_2000_2499,C11_1PF_TotFI_2500_2999,C11_1PF_TotFI_3000_3999,C11_1PF_TotFI_4000more,C11_1PF_TotFI_Ns,C11_1PF_TotFI_Tot,C11_TotFI_Neg_ni_inc,C11_TotFI_1_149,C11_TotFI_150_399,C11_TotFI_400_649,C11_TotFI_650_799,C11_TotFI_800_1249,C11_TotFI_1250_1999,C11_TotFI_2000_2499,C11_TotFI_2500_2999,C11_TotFI_3000_3999,C11_TotFI_4000more,C11_TotFI_Ns,C11_Tot_Tot,C16_CFNC_BF_Neg_ni_inc,C16_CFNC_BF_1_149,C16_CFNC_BF_150_399,C16_CFNC_BF_400_649,C16_CFNC_BF_650_799,C16_CFNC_BF_800_1249,C16_CFNC_BF_1250_1999,C16_CFNC_BF_2000_2499,C16_CFNC_BF_2500_2999,C16_CFNC_BF_3000_3999
1GSYD,23053,33495,7713,26690,8100,4450,8277,122866,148,189,1468,3845,3229,6619,5637,1911,1837,1420,759,2692,29759,97,48,295,616,617,1853,2000,584,1061,442,235,1576,9421,38,15,40,66,86,467,1008,843,576,924,674,1160,5907,1674,500,3422,7722,5066,10966,11163,3702,2275,2308,1118,6393,56301,61,18,114,215,220,485,516,162,162,97,70,28540,30671,3230,1373,7131,17551,18263,63153,114585,66997,71362,78486,48795,72977,563886,197,189,506,1803,3994,12048,15526,4517,5904,2394,596,6064,53743,128,441,2918,6409,5585,7852,5119,1251,966,471,107,3499,34745,56,56,337,596,543,946,974,290,280,117,31,865,5092,394,342,2265,2294,802,1012,576,114,114,46,21,815,8796,2700,1520,11394,14893,8988,13696,8916,2545,1623,1010,357,7830,75474,59,27,133,140,125,207,123,28,16,15,0,2483,3367,3535,2576,17567,26133,20037,35768,31234,8736,8903,4059,1123,21551,181216,14000,4962,36257,94003,65108,156979,213405,118009,108430,121168,72978,125518,1130816,90,39,33,145,229,1594,14398,22673,19613,25798
1RNSW,11759,16184,3054,6918,1962,687,3683,48430,37,36,361,1651,1574,3990,2652,630,524,270,99,1255,13082,39,12,81,265,318,1020,1147,246,368,131,58,661,4342,25,3,17,65,69,294,677,453,302,392,165,606,3063,317,111,1146,3905,3027,6017,4139,883,412,300,141,2903,23307,28,8,29,71,86,230,231,57,45,31,13,16441,17255,1048,474,2657,8679,10060,40308,69196,34519,25804,25428,9546,40246,267963,96,111,428,1515,3322,7905,7834,1579,1545,555,92,3412,28403,53,292,2488,6728,5379,5783,2309,378,232,111,24,2516,26274,34,41,281,565,402,652,468,91,78,31,8,604,3253,134,204,2109,2316,683,571,189,26,20,0,3,653,6912,746,744,8829,12941,7810,8606,3315,651,346,147,71,5281,49493,35,12,108,116,103,155,62,9,8,0,0,1737,2348,1100,1401,14247,24178,17691,23674,14177,2739,2230,841,199,14205,116687,5244,2427,25830,90380,56701,119819,133896,59819,40266,39404,14530,79629,667958,250,100,73,447,625,2509,11817,11650,8057,7861
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,22777,33275,6727,21424,6418,3047,8358,111563,158,164,1232,3139,2632,5938,5214,1521,1433,1021,454,2407,25307,93,46,217,482,548,1708,1955,461,885,333,160,1419,8314,44,13,32,78,91,444,1159,818,541,790,480,1130,5623,1325,416,2860,6077,4154,9543,9534,2820,1607,1429,610,5522,45895,66,18,111,210,166,499,496,134,131,74,42,24573,26514,2791,1190,6097,14660,16195,62189,117383,63004,60679,61852,32381,67520,505945,207,197,560,1693,3701,11501,13583,3875,4202,1715,347,6011,47589,144,433,3005,6762,5983,8245,4752,1031,769,283,66,3639,35122,71,67,299,515,499,903,809,244,202,103,20,845,4566,334,312,1819,1759,658,835,445,95,89,41,12,693,7086,2102,1306,9728,12469,7654,12670,7395,1842,1048,621,190,6950,63982,70,25,130,109,140,180,98,18,7,9,0,2078,2866,2923,2333,15538,23307,18631,34332,27091,7107,6323,2766,628,20217,161210,11893,4536,32574,89824,62510,154960,212212,112881,92355,94967,47933,117362,1034015,129,29,32,159,266,1595,15549,24058,19502,21628
2RVIC,7820,9168,1510,3023,807,279,2103,27529,29,21,181,861,854,2054,1298,281,197,112,40,674,6597,20,11,40,149,194,647,619,129,212,63,11,398,2502,15,0,18,23,45,207,454,260,127,159,65,381,1750,165,56,625,1892,1502,2776,1809,359,177,111,56,1320,10836,23,0,17,45,56,149,96,24,16,8,0,8224,8654,605,281,1562,4777,6049,24774,40871,18465,12194,10403,3535,21612,145130,59,43,240,791,1739,4161,3534,670,598,163,46,1904,13953,29,143,1385,3747,3037,3204,1184,188,84,27,16,1555,14594,10,10,152,301,238,310,283,46,33,10,4,324,1727,54,84,904,967,277,265,91,16,5,0,4,309,2965,365,384,4336,6347,3489,4013,1544,280,123,64,27,2416,23393,8,5,49,58,49,67,32,3,0,3,0,806,1093,531,672,7073,12213,8827,12028,6669,1203,843,263,88,7310,57717,2859,1237,13598,45844,30491,67560,76679,32708,18755,16475,5597,42704,354523,166,108,52,307,379,1548,7007,6937,4293,3636
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,10540,16719,3236,10488,2927,1198,3178,51418,42,46,369,1121,1053,2817,2424,658,545,365,152,873,10469,25,16,76,140,242,840,1070,233,440,165,56,566,3875,17,0,16,30,21,192,524,457,282,351,185,469,2557,438,122,920,2453,1804,4077,3671,1046,584,413,226,1960,17721,10,3,22,55,65,178,172,29,58,25,24,14671,15313,940,409,1983,5230,6382,27902,58236,34584,31698,32456,15033,31705,246558,60,116,246,986,2734,7842,8710,2170,2339,807,146,2866,29019,47,158,1275,3726,3520,4402,2477,492,342,167,35,1540,18187,33,23,167,311,309,606,493,148,120,53,11,398,2661,144,144,1287,1504,515,544,272,51,40,5,7,406,4916,871,556,4738,7390,4584,6155,3243,771,393,241,61,3027,32039,13,8,44,57,36,100,36,11,5,3,0,1113,1439,1177,1001,7763,13979,11707,19650,15223,3644,3241,1277,260,9352,88262,4394,1827,14561,45065,33469,80371,114092,63552,49640,50523,22447,57613,537557,69,44,25,117,180,1018,9564,13725,10437,11379
3RQLD,11481,15947,2811,7825,1795,657,3257,47673,53,32,339,1383,1348,3372,2525,530,506,206,70,978,11342,23,11,77,193,239,971,1287,211,539,149,47,646,4400,27,0,15,39,42,258,663,381,226,320,118,608,2695,436,119,1051,3179,2380,4707,3082,674,337,216,132,2063,18381,18,4,22,47,64,191,172,40,51,27,11,21439,22105,1180,485,2498,7197,8373,34748,62180,30813,25400,22825,8650,40292,244639,93,122,399,1375,3306,7946,7203,1424,1496,549,126,2828,26867,47,245,2032,5400,4570,4919,2228,358,229,84,19,1922,22068,25,42,219,431,430,632,436,95,92,41,15,527,2989,155,177,1714,2212,672,603,227,30,32,8,4,531,6379,855,648,6092,9401,5437,6449,2601,479,319,127,41,3687,36142,17,16,65,90,71,98,39,3,6,6,0,1411,1836,1190,1252,10534,18907,14498,20643,12745,2399,2172,815,208,10908,96283,5771,2299,20233,67054,44914,100181,123686,57309,40481,37535,13792,78032,591293,324,128,74,396,558,2254,12469,13074,8874,8549
