GCCSA_CODE_2021,C21_Chr_Ch_nfd_0_14,C21_Chr_Ch_nfd_15_24,C21_Chr_Ch_nfd_25_34,C21_Chr_Ch_nfd_35_44,C21_Chr_Ch_nfd_45_54,C21_Chr_Ch_nfd_55_64,C21_Chr_Ch_nfd_65_74,C21_Chr_Ch_nfd_75_84,C21_Chr_Ch_nfd_85ov,C21_Chr_Ch_nfd_Tot,C21_Chr_Oth_Ch_0_14,C21_Chr_Oth_Ch_15_24,C21_Chr_Oth_Ch_25_34,C21_Chr_Oth_Ch_35_44,C21_Chr_Oth_Ch_45_54,C21_Chr_Oth_Ch_55_64,C21_Chr_Oth_Ch_65_74,C21_Chr_Oth_Ch_75_84,C21_Chr_Oth_Ch_85ov,C21_Chr_Oth_Ch_Tot,C21_Christ_Tot_0_14,C21_Christ_Tot_15_24,C21_Christ_Tot_25_34,C21_Christ_Tot_35_44,C21_Christ_Tot_45_54,C21_Christ_Tot_55_64,C21_Christ_Tot_65_74,C21_Christ_Tot_75_84,C21_Christ_Tot_85ov,C21_Christ_Tot_Tot,C21_Hinduism_0_14,C21_Hinduism_15_24,C21_Hinduism_25_34,C21_Hinduism_35_44,C21_Hinduism_45_54,C21_Hinduism_55_64,C21_Hinduism_65_74,C21_Hinduism_75_84,C21_Hinduism_85ov,C21_Hinduism_Tot,C21_Islam_0_14,C21_Islam_15_24,C21_Islam_25_34,C21_Islam_35_44,C21_Islam_45_54,C21_Islam_55_64,C21_Islam_65_74,C21_Islam_75_84,C21_Islam_85ov,C21_Islam_Tot,C21_Judaism_0_14,C21_Judaism_15_24,C21_Judaism_25_34,C21_Judaism_35_44,C21_Judaism_45_54,C21_Judaism_55_64,C21_Judaism_65_74,C21_Judaism_75_84,C21_Judaism_85ov,C21_Judaism_Tot,C21_OR_AusAborTrad_0_14,C21_OR_AusAborTrad15_24,C21_OR_AusAborTrad25_34,C21_OR_AusAborTrad35_44,C21_OR_AusAborTrad45_54,C21_OR_AusAborTrad55_64,C21_OR_AusAborTrad65_74,C21_OR_AusAborTrad75_84,C21_OR_AusAborTrad85ov,C21_OR_AusAborTrade_Tot,C21_OR_Sikhism_0_14,C21_OR_Sikhism_15_24,C21_OR_Sikhism_25_34,C21_OR_Sikhism_35_44,C21_OR_Sikhism_45_54,C21_OR_Sikhism_55_64,C21_OR_Sikhism_65_74,C21_OR_Sikhism_75_84,C21_OR_Sikhism_85ov,C21_OR_Sikhism_Tot,C21_OR_Ot_Re_Gr_0_14,C21_OR_Ot_Re_Gr_15_24,C21_OR_Ot_Re_Gr_25_34,C21_OR_Ot_Re_Gr_35_44,C21_OR_Ot_Re_Gr_45_54,C21_OR_Ot_Re_Gr_55_64,C21_OR_Ot_Re_Gr_65_74,C21_OR_Ot_Re_Gr_75_84,C21_OR_Ot_Re_Gr_85ov,C21_OR_Ot_Re_Gr_Tot,C21_Oth_Rel_Tot_0_14,C21_Oth_Rel_Tot_15_24,C21_Oth_Rel_Tot_25_34,C21_Oth_Rel_Tot_35_44,C21_Oth_Rel_Tot_45_54,C21_Oth_Rel_Tot_55_64,C21_Oth_Rel_Tot_65_74,C21_Oth_Rel_Tot_75_84,C21_Oth_Rel_Tot_85ov,C21_Oth_Rel_Tot_Tot,C21_SBOSB_No_RA_0_14,C21_SBOSB_No_RA_15_24,C21_SBOSB_No_RA_25_34,C21_SBOSB_No_RA_35_44,C21_SBOSB_No_RA_45_54,C21_SBOSB_No_RA_55_64,C21_SBOSB_No_RA_65_74,C21_SBOSB_No_RA_75_84,C21_SBOSB_No_RA_85ov,C21_SBOSB_No_RA_Tot,C21_Rel_aff_ns_0_14,C21_Rel_aff_ns_15_24,C21_Rel_aff_ns_25_34,C21_Rel_aff_ns_35_44,C21_Rel_aff_ns_45_54,C21_Rel_aff_ns_55_64,C21_Rel_aff_ns_65_74,C21_Rel_aff_ns_75_84,C21_Rel_aff_ns_85ov,C21_Rel_aff_ns_Tot,C21_Tot_0_14,C21_Tot_15_24,C21_Tot_25_34,C21_Tot_35_44,C21_Tot_45_54,C21_Tot_55_64,C21_Tot_65_74,C21_Tot_75_84,C21_Tot_85ov,C21_Tot_Tot
1GSYD,25240,16723,20625,20305,17062,15410,10252,4579,1588,131784,571,418,398,476,575,616,463,294,149,3967,401582,269636,264634,302129,338006,315894,262219,170164,70208,2394480,53970,33011,59383,60341,21362,13040,8072,3171,852,253210,97915,46627,57924,56835,32238,20986,11785,4396,867,329566,6544,3902,3804,4521,4931,4688,5241,3006,1226,37879,119,72,80,81,77,39,16,3,0,492,9159,4630,10245,8132,2785,1849,1334,454,126,38713,4662,3498,4856,5000,3743,3261,2071,896,254,28231,13942,8197,15178,13206,6601,5151,3421,1352,380,67435,307431,215685,316771,253018,193782,157984,104510,42238,14149,1605566,61195,40614,60670,51430,38515,31830,24605,18314,15300,342473,963205,637826,811314,777748,667167,579166,439467,249517,105729,5231147
1RNSW,12235,6959,6704,7923,8030,8399,7211,3300,965,61727,334,236,174,244,313,334,375,235,76,2311,204617,131020,113387,143112,189708,230166,228807,148022,58066,1446903,4014,1830,6876,4190,1651,1046,625,232,48,20504,5581,2208,4182,3651,1838,1022,633,330,65,19509,373,173,204,305,341,317,418,175,49,2352,242,123,152,115,130,111,37,11,4,921,1982,676,2848,1642,476,408,288,78,44,8441,1376,1454,1758,1603,1641,1352,843,238,58,10324,3600,2246,4762,3362,2248,1877,1167,320,108,19690,245790,149728,166331,136831,121576,115541,88846,35457,10378,1070478,39387,25941,29549,27889,26784,27584,25170,16514,9293,228102,505534,314893,328523,323565,348104,380961,348204,201734,78115,2829637
19499,38,22,35,37,42,27,13,6,0,222,0,0,0,3,0,0,0,0,0,5,251,225,377,422,478,625,511,145,28,3064,4,11,29,17,0,0,0,0,0,64,18,26,64,30,12,3,3,0,0,163,0,0,0,8,0,5,5,3,0,16,0,0,0,3,0,0,0,0,0,9,0,0,4,0,0,0,0,0,0,6,0,6,8,16,15,15,12,0,0,65,0,4,14,15,15,15,15,0,0,79,417,590,877,530,481,487,288,61,0,3736,552,488,792,807,684,493,223,56,15,4113,1260,1357,2187,1859,1678,1648,1055,277,49,11371
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,25819,16870,18795,20975,18381,14558,10837,4908,1699,132835,421,301,358,406,485,518,412,338,155,3396,301963,213944,207569,238121,284092,270680,228163,159450,69868,1973846,47616,21872,50685,53241,14698,7736,5266,1678,406,203192,75328,37380,48668,43883,25384,15343,8212,3367,678,258250,8588,4946,4667,5602,5561,4892,6468,3226,1739,45698,52,17,35,38,32,13,6,4,0,201,23030,8774,25148,20110,3287,2409,2001,425,111,85286,2191,2100,3715,3719,2638,2107,1361,506,160,18490,25270,10891,28895,23862,5959,4530,3368,929,271,103978,354851,254773,359726,288873,227640,173404,115409,45866,15595,1836131,53821,37333,55781,45861,36189,29308,22922,15343,9631,306196,891585,603243,788689,735102,629107,529975,405027,234998,100021,4917750
2RVIC,6328,3510,3609,4225,4209,4473,3829,1836,553,32581,146,56,88,90,131,139,153,94,38,936,90766,57628,49825,63334,87111,111710,116935,74809,29987,682095,2115,1210,3623,2395,693,396,264,66,20,10790,3827,1980,3060,2533,1541,914,457,222,35,14567,92,77,106,113,113,138,194,71,18,923,42,16,19,39,28,23,13,0,0,181,1603,605,2231,1419,242,194,111,26,3,6444,407,529,893,818,825,674,391,93,12,4642,2054,1155,3145,2272,1096,892,514,120,24,11260,155248,92688,106750,93056,87961,83090,64419,24292,7144,714648,21118,13155,15802,15444,15592,16456,15948,9755,5154,128418,276727,169167,184984,181883,196379,215485,199919,109653,42424,1576613
29499,25,32,41,34,34,26,14,5,0,212,5,0,0,0,3,4,0,0,0,11,165,181,240,287,291,318,227,65,15,1797,14,11,22,28,4,5,0,0,0,78,63,38,46,19,26,8,8,0,0,211,6,0,9,6,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,4,5,4,5,3,0,0,0,0,0,15,0,8,10,15,8,0,0,4,0,48,7,8,14,20,12,9,3,4,0,68,398,487,710,459,377,295,165,47,5,2937,477,404,736,896,667,424,203,35,15,3854,1143,1131,1819,1736,1393,1074,613,152,29,9089
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,9,3,9,0,0,0,27,0,0,6,16,3,14,4,0,0,38
3GBRI,18042,10879,11136,11925,10348,8682,5660,2557,836,80065,831,688,479,668,796,726,594,402,164,5351,183474,121811,106349,138868,163258,156362,136200,82574,30617,1119499,11529,5509,11475,12424,4555,2690,1621,610,163,50564,14330,6613,8415,8241,4555,2474,1406,481,89,46604,299,233,307,327,327,327,318,129,44,2320,79,29,49,41,53,19,17,0,0,285,5434,1887,6401,4397,836,539,449,116,37,20096,1202,1417,2164,1968,1688,1148,680,257,71,10597,6715,3333,8615,6409,2569,1707,1145,380,105,30975,231704,166718,201388,159505,125462,88330,56568,22425,6629,1058723,30627,22433,29658,25196,20569,15791,12641,8101,4845,169865,484145,331761,374070,360339,329053,273801,214163,116022,42879,2526238
3RQLD,17760,9575,9566,10777,10356,9962,7109,3382,1001,79483,536,346,298,403,513,520,551,296,111,3571,186107,114794,101622,134165,171827,193027,182553,110862,38477,1233435,3763,2233,5617,4006,1584,938,551,183,45,18914,3545,1831,2530,2541,1620,880,496,212,40,13696,314,191,230,300,304,372,453,236,81,2485,189,80,114,99,92,84,26,11,0,691,1843,706,2824,1507,281,244,132,45,21,7603,1792,1561,1865,1745,1683,1296,765,287,72,11071,3830,2348,4808,3354,2050,1621,924,343,93,19365,239254,152026,170474,143263,129298,109341,76693,31821,8598,1060773,39125,28339,35832,32355,31627,29240,23099,14122,6746,240484,478735,303971,324954,325336,343100,339019,287170,158531,54209,2615036
39499,71,52,56,59,50,54,44,15,0,398,8,3,0,9,5,0,0,0,0,26,359,293,456,471,562,981,1052,243,24,4435,4,7,18,5,0,0,8,0,0,46,13,13,29,9,4,0,7,0,0,76,0,0,10,0,0,0,0,3,0,14,0,0,0,0,0,0,0,0,0,0,3,3,3,4,0,0,0,0,0,18,8,7,12,12,10,14,5,3,0,75,5,14,18,18,10,14,5,3,0,91,790,721,1256,778,675,907,678,122,11,5943,261,439,824,762,653,552,371,75,10,3935,1437,1495,2649,2077,1929,2468,2124,444,44,14670
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,14,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,3,0,0,17,0,14,33,51,34,8,0,0,0,135,0,16,49,64,45,5,3,0,0,183
4GADE,7387,4567,4879,5564,4869,4418,3404,1632,585,37301,586,380,315,384,396,356,351,285,106,3157,74166,53718,48107,58240,73315,83916,79931,55006,25982,552378,8268,4760,9965,9000,2785,1137,701,267,80,36975,11666,5998,7330,6846,3773,1753,858,303,72,38597,140,78,91,156,129,128,170,85,41,1024,29,13,12,18,19,16,9,4,0,126,3931,1882,5490,3427,621,360,252,62,16,16041,850,878,1182,1290,1120,896,579,266,82,7155,4810,2778,6683,4741,1768,1274,847,332,93,23322,121950,89343,105054,89304,78747,67225,47990,19785,6900,626298,12463,8908,11388,10517,9594,9014,7509,4962,2841,77200,237535,169352,193712,184652,175064,168406,140746,81558,36258,1387290
4RSAU,1886,966,1071,1118,1239,1444,1218,620,174,9734,142,94,92,74,107,95,75,61,8,738,18575,11172,10126,13336,19566,27722,31099,20336,7707,159639,206,107,370,234,92,50,35,13,3,1110,363,183,374,326,208,110,71,21,5,1662,9,12,7,13,17,18,26,9,9,124,68,46,61,46,43,25,19,8,3,318,269,141,337,241,87,75,43,14,5,1215,111,117,200,165,215,190,127,39,10,1169,449,307,598,452,337,295,191,58,22,2708,39803,23195,24899,22412,23730,24657,18927,7744,2050,187421,5568,3453,4227,4272,4695,5030,4641,2781,1254,35930,65200,38583,40951,41473,49086,58227,55238,31032,11053,390843
49499,6,6,11,16,14,15,7,3,0,74,0,0,0,0,0,6,0,0,0,8,64,62,99,111,127,156,140,31,10,796,0,6,10,0,0,0,0,0,0,18,15,4,11,8,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,4,3,10,4,6,4,0,0,0,31,3,0,10,4,3,4,0,0,0,34,236,239,313,221,196,202,137,15,0,1560,88,76,175,185,152,139,70,13,0,893,409,394,627,534,478,513,359,64,11,3377
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,0,0,0,3,5,0,0,0,0,12
5GPER,15736,9304,9973,11567,9902,7879,5575,2276,655,72877,368,252,261,297,389,394,297,155,63,2486,139967,92679,82224,107014,124758,125509,113823,70451,27726,884151,12665,4958,10768,12578,4529,2308,1344,429,78,49662,18839,9203,11218,11014,6333,3665,1811,647,154,62899,784,574,510,573,729,746,850,445,216,5424,23,22,7,25,26,17,4,0,0,126,4654,1637,6250,3591,705,579,437,113,28,17990,897,992,1505,1691,1340,1300,814,309,99,8951,5574,2651,7761,5307,2072,1895,1256,430,128,27064,195186,125027,158212,137077,109463,85079,55218,21579,6938,893778,21816,15702,24207,22231,18464,14708,10747,7628,5165,140669,401240,255946,303907,306917,274565,240188,189951,103099,40831,2116647
5RWAU,3921,1796,2079,2384,2247,2069,1517,656,186,16856,80,48,48,73,84,106,57,33,8,533,31036,16527,16925,23162,29528,34502,31669,18179,6313,207834,563,141,568,667,245,97,69,26,6,2368,980,373,711,743,400,339,170,72,13,3796,28,19,36,22,40,36,31,21,3,232,250,160,169,157,99,85,29,17,5,969,154,25,221,142,26,11,7,0,0,585,141,176,266,319,307,261,143,55,6,1677,541,366,657,617,431,358,178,69,15,3232,58355,30434,36955,34647,31125,27727,18333,6423,1650,245647,11712,7099,10309,10003,9596,8361,5817,3009,1217,67120,103769,55267,66822,70860,72266,72050,56655,27867,9237,534804
59499,48,18,31,36,26,15,7,0,0,178,0,0,0,0,4,0,0,0,0,7,176,112,175,235,211,291,284,59,12,1550,0,5,11,0,0,0,0,0,0,23,21,8,16,0,5,0,3,0,0,57,0,6,5,0,0,6,0,0,0,14,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,5,5,3,4,6,0,0,30,0,0,10,6,7,7,6,0,0,40,377,344,598,434,334,322,212,32,4,2652,205,357,688,839,747,510,253,65,13,3674,772,820,1512,1543,1313,1144,758,155,30,8055
59799,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,14,44,41,16,7,0,0,124,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,46,41,19,15,3,0,0,144,0,18,46,78,49,24,3,0,0,227,0,42,116,170,109,62,18,0,0,514
6GHOB,1039,558,677,747,692,603,485,213,68,5074,26,19,21,31,47,60,61,46,20,323,10758,7549,7278,9348,12290,15301,15250,9924,3935,91638,854,669,3590,967,215,121,66,33,6,6522,703,308,1252,499,167,93,55,26,3,3106,24,17,26,35,29,27,31,16,4,203,3,6,6,3,0,0,0,0,0,17,264,146,909,175,23,17,13,0,0,1546,50,107,199,175,129,125,77,15,4,884,322,253,1114,349,154,139,95,19,9,2448,26192,17349,22857,17759,14694,12289,8794,3420,1148,124503,2425,1725,2541,2071,1778,1717,1622,1101,516,15495,41578,28141,39761,31656,29653,29934,26145,14594,5631,247086
