GCCSA_CODE_2021,C16_P_AdD_DL_15_19,C16_P_AdD_DL_20_24,C16_P_AdD_DL_25_34,C16_P_AdD_DL_35_44,C16_P_AdD_DL_45_54,C16_P_AdD_DL_55_64,C16_P_AdD_DL_65_74,C16_P_AdD_DL_75_84,C16_P_AdD_DL_85over,C16_P_AdD_DL_Tot,C16_P_CL_C_III_IV_15_19,C16_P_CL_C_III_IV_20_24,C16_P_CL_C_III_IV_25_34,C16_P_CL_C_III_IV_35_44,C16_P_CL_C_III_IV_45_54,C16_P_CL_C_III_IV_55_64,C16_P_CL_C_III_IV_65_74,C16_P_CL_C_III_IV_75_84,C16_P_CL_C_III_IV_85over,C16_P_CL_C_III_IV_Tot,C16_P_CL_C_I_II_15_19,C16_P_CL_C_I_II_20_24,C16_P_CL_C_I_II_25_34,C16_P_CL_C_I_II_35_44,C16_P_CL_C_I_II_45_54,C16_P_CL_C_I_II_55_64,C16_P_CL_C_I_II_65_74,C16_P_CL_C_I_II_75_84,C16_P_CL_C_I_II_85over,C16_P_CL_C_I_II_Tot,C16_P_CL_CL_nfd_15_19,C16_P_CL_CL_nfd_20_24,C16_P_CL_CL_nfd_25_34,C16_P_CL_CL_nfd_35_44,C16_P_CL_CL_nfd_45_54,C16_P_CL_CL_nfd_55_64,C16_P_CL_CL_nfd_65_74,C16_P_CL_CL_nfd_75_84,C16_P_CL_CL_nfd_85over,C16_P_CL_CL_nfd_Tot,C16_P_CL_Tot_15_19,C16_P_CL_Tot_20_24,C16_P_CL_Tot_25_34,C16_P_CL_Tot_35_44,C16_P_CL_Tot_45_54,C16_P_CL_Tot_55_64,C16_P_CL_Tot_65_74,C16_P_CL_Tot_75_84,C16_P_CL_Tot_85over,C16_P_CL_Tot_Tot,C16_P_LE_ID_15_19,C16_P_LE_ID_20_24,C16_P_LE_ID_25_34,C16_P_LE_ID_35_44,C16_P_LE_ID_45_54,C16_P_LE_ID_55_64,C16_P_LE_ID_65_74,C16_P_LE_ID_75_84,C16_P_LE_ID_85over,C16_P_LE_ID_Tot,C16_P_LE_NS_15_19,C16_P_LE_NS_20_24,C16_P_LE_NS_25_34,C16_P_LE_NS_35_44,C16_P_LE_NS_45_54,C16_P_LE_NS_55_64,C16_P_LE_NS_65_74,C16_P_LE_NS_75_84,C16_P_LE_NS_85over,C16_P_LE_NS_Tot,C16_P_Tot_15_19_yrs,C16_P_Tot_20_24_yrs,C16_P_Tot_25_34_yrs,C16_P_Tot_35_44_yrs,C16_P_Tot_45_54_yrs,C16_P_Tot_55_64_yrs,C16_P_Tot_65_74_yrs,C16_P_Tot_75_84_yrs,C16_P_Tot_85over,C16_P_Tot_Tot,C21_P_Post_Deg_15_19_yrs,C21_P_Post_Deg_20_24_yrs,C21_P_Post_Deg_25_34_yrs,C21_P_Post_Deg_35_44_yrs,C21_P_Post_Deg_45_54_yrs,C21_P_Post_Deg_55_64_yrs,C21_P_Post_Deg_65_74_yrs,C21_P_Post_Deg_75_84_yrs,C21_P_Post_Deg_85over,C21_P_Post_Deg_Tot,C21_P_GrDip_GrCe_15_19,C21_P_GrDip_GrCe_20_24,C21_P_GrDip_GrCe_25_34,C21_P_GrDip_GrCe_35_44,C21_P_GrDip_GrCe_45_54,C21_P_GrDip_GrCe_55_64,C21_P_GrDip_GrCe_65_74,C21_P_GrDip_GrCe_75_84,C21_P_GrDip_GrCe_85over,C21_P_GrDip_GrCe_Tot,C21_P_BD_15_19,C21_P_BD_20_24,C21_P_BD_25_34,C21_P_BD_35_44,C21_P_BD_45_54,C21_P_BD_55_64,C21_P_BD_65_74,C21_P_BD_75_84,C21_P_BD_85over,C21_P_BD_Tot,C21_P_AdD_DL_15_19,C21_P_AdD_DL_20_24,C21_P_AdD_DL_25_34,C21_P_AdD_DL_35_44,C21_P_AdD_DL_45_54,C21_P_AdD_DL_55_64,C21_P_AdD_DL_65_74,C21_P_AdD_DL_75_84,C21_P_AdD_DL_85over,C21_P_AdD_DL_Tot,C21_P_CL_C_III_IV_15_19,C21_P_CL_C_III_IV_20_24,C21_P_CL_C_III_IV_25_34,C21_P_CL_C_III_IV_35_44,C21_P_CL_C_III_IV_45_54,C21_P_CL_C_III_IV_55_64,C21_P_CL_C_III_IV_65_74,C21_P_CL_C_III_IV_75_84,C21_P_CL_C_III_IV_85over,C21_P_CL_C_III_IV_Tot,C21_P_CL_C_I_II_15_19,C21_P_CL_C_I_II_20_24,C21_P_CL_C_I_II_25_34,C21_P_CL_C_I_II_35_44,C21_P_CL_C_I_II_45_54,C21_P_CL_C_I_II_55_64,C21_P_CL_C_I_II_65_74,C21_P_CL_C_I_II_75_84,C21_P_CL_C_I_II_85over,C21_P_CL_C_I_II_Tot,C21_P_CL_CL_nfd_15_19,C21_P_CL_CL_nfd_20_24,C21_P_CL_CL_nfd_25_34,C21_P_CL_CL_nfd_35_44,C21_P_CL_CL_nfd_45_54,C21_P_CL_CL_nfd_55_64,C21_P_CL_CL_nfd_65_74,C21_P_CL_CL_nfd_75_84,C21_P_CL_CL_nfd_85over,C21_P_CL_CL_nfd_Tot,C21_P_CL_Tot_15_19,C21_P_CL_Tot_20_24,C21_P_CL_Tot_25_34,C21_P_CL_Tot_35_44,C21_P_CL_Tot_45_54,C21_P_CL_Tot_55_64,C21_P_CL_Tot_65_74,C21_P_CL_Tot_75_84,C21_P_CL_Tot_85over,C21_P_CL_Tot_Tot,C21_P_LE_ID_15_19,C21_P_LE_ID_20_24,C21_P_LE_ID_25_34,C21_P_LE_ID_35_44,C21_P_LE_ID_45_54,C21_P_LE_ID_55_64,C21_P_LE_ID_65_74,C21_P_LE_ID_75_84,C21_P_LE_ID_85over,C21_P_LE_ID_Tot,C21_P_LE_NS_15_19,C21_P_LE_NS_20_24,C21_P_LE_NS_25_34,C21_P_LE_NS_35_44,C21_P_LE_NS_45_54,C21_P_LE_NS_55_64,C21_P_LE_NS_65_74,C21_P_LE_NS_75_84,C21_P_LE_NS_85over,C21_P_LE_NS_Tot,C21_P_Tot_15_19_yrs,C21_P_Tot_20_24_yrs,C21_P_Tot_25_34_yrs,C21_P_Tot_35_44_yrs,C21_P_Tot_45_54_yrs,C21_P_Tot_55_64_yrs,C21_P_Tot_65_74_yrs,C21_P_Tot_75_84_yrs,C21_P_Tot_85over,C21_P_Tot_Tot
1GSYD,2553,24719,79065,81687,75098,54065,31237,12905,4656,365985,7847,37840,97712,92821,92706,70325,44330,21848,7541,472969,2137,3841,6495,7002,6754,5226,2866,855,312,35501,1214,3990,9695,13655,17201,16641,12548,5086,2192,82216,11195,45671,113894,113473,116663,92191,59745,27791,10051,590687,577,2244,7116,7073,7362,7333,5867,3018,1316,41900,19967,26066,63301,49765,45183,41336,37698,29988,21775,335083,35013,170068,601928,532513,432946,326786,203677,97127,44595,2444655,4,4906,110698,126102,73014,46823,27292,9758,1915,400516,87,2037,16956,21439,19222,15343,11503,3558,657,90797,321,69142,274412,230898,154318,103830,65714,26062,7345,932044,2028,27502,77081,88583,85771,65729,41644,18622,5774,412740,8200,38587,100728,95688,95192,83108,50500,26217,8087,506312,2250,3994,6197,6631,7201,6704,4364,1557,388,39276,1128,3523,8026,11504,16748,18222,14921,7424,2434,83932,11579,46105,114946,113821,119143,108033,69787,35202,10906,629524,400,1768,5929,6444,5605,5534,5313,3342,1124,35450,14649,22545,59725,50953,39169,35139,32755,29363,22663,306969,29067,174010,659742,638236,496236,380433,254013,125906,50387,2808034
1RNSW,848,7179,25826,33173,37880,36529,23298,9095,2637,176462,6944,33490,78840,75085,82409,73452,47127,21133,6132,424612,2397,4303,5693,5162,5343,4764,2733,719,181,31288,954,2532,5109,6986,10210,11845,9689,3969,1267,52562,10296,40319,89644,87233,97963,90055,59542,25827,7586,508464,235,654,1670,1810,2405,3453,3601,1830,736,16392,16722,13366,26364,26478,32655,37402,39796,32310,19146,244233,28232,73830,208547,218374,228845,225243,160995,80369,33046,1257483,0,739,16914,19829,16569,14550,11636,4046,719,85002,34,713,6210,8520,8921,9297,8464,2229,314,44700,48,13406,64902,62099,51233,40928,35019,13275,3122,284036,653,6775,28080,35878,41689,41543,31576,13320,3460,202976,7211,34073,90197,83454,85672,87542,59585,26521,6957,481216,2204,3782,5873,4921,5152,5851,4229,1338,308,33668,803,2005,4158,5282,8414,11702,11583,5605,1544,51090,10226,39856,100226,93652,99241,105094,75403,33460,8814,565977,247,503,1390,1559,1808,2570,3214,2108,746,14134,13172,12789,28463,27200,27848,31084,33271,28658,16888,219376,24381,74791,246180,248741,247304,245062,198584,97093,34057,1416203
19499,8,70,144,104,102,131,100,8,4,662,19,135,312,226,254,269,170,23,0,1412,10,31,25,24,16,21,8,0,0,126,3,28,29,30,22,53,27,4,0,196,39,196,363,274,292,335,207,23,3,1738,0,7,23,14,15,13,11,4,0,86,137,318,799,701,667,497,282,90,28,3513,176,805,2020,1397,1277,1143,722,153,39,7737,0,5,107,73,47,50,36,6,0,327,0,3,24,22,18,19,18,0,0,109,0,51,361,166,157,120,90,21,0,969,4,39,125,105,108,138,83,15,0,614,18,95,276,223,220,279,167,31,6,1326,11,15,30,17,12,19,9,0,0,127,0,11,24,27,22,45,34,16,0,176,29,121,327,268,253,347,211,51,6,1621,0,3,10,3,8,11,13,7,0,56,186,271,784,802,685,483,232,73,22,3543,221,494,1736,1449,1281,1165,680,173,28,7237
19799,0,0,7,0,5,5,12,5,0,29,0,0,5,4,7,12,17,4,3,59,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,7,0,0,0,8,3,0,5,9,11,14,18,3,3,75,0,0,0,0,0,0,0,0,0,3,0,3,6,4,6,10,23,14,0,71,3,7,30,17,25,41,62,23,3,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,2254,26995,81387,75319,66468,48301,29746,12269,4273,347011,8979,40013,102701,90074,93928,68049,39927,20078,6541,470298,2138,4050,5984,5719,5172,3690,2012,563,163,29492,1034,3627,8925,10771,12250,10558,7452,3225,1459,59299,12152,47694,117611,106566,111343,82294,49397,23859,8172,559093,500,1885,5808,5225,4707,4385,3920,2177,1000,29601,19182,23973,55587,43913,41420,38370,36973,29731,18908,308050,34638,169537,576158,485430,391518,287669,179178,87676,38159,2249964,6,7320,113738,108892,58334,36189,21156,7826,1439,354900,87,2424,22884,28891,26722,20603,13462,3988,653,119704,193,65766,249854,216127,141129,87807,56245,22093,6065,845280,1339,26183,81954,90348,78757,58993,39582,18074,5387,400602,7544,37266,106995,96303,95471,81006,47198,23382,7260,502428,2537,4058,6507,6060,5378,4701,2901,953,208,33315,895,2939,7527,10031,12589,12133,8825,4497,1590,61038,10977,44264,121034,112393,113437,97842,58928,28834,9063,596777,276,1474,4827,5152,3690,3501,3460,2306,978,25665,13021,19518,52568,42882,34618,30447,29297,26110,17685,266155,25901,166952,646864,604695,456686,335381,222124,109242,41262,2609096
2RVIC,404,4619,15418,18300,20351,19842,13926,5143,1609,99596,3979,18880,43390,39448,43847,37811,23273,9625,2799,223050,1165,2011,2899,2528,2334,2123,1113,229,81,14471,400,1235,2808,3436,3888,4209,3278,1183,450,20887,5545,22125,49094,45412,50066,44135,27662,11030,3331,258407,79,319,862,896,1039,1291,1459,858,364,7159,9581,7199,14336,14838,18469,21431,22942,17547,9778,136119,15699,41829,116273,118301,121125,117331,84409,40068,16462,671490,0,774,10505,10070,8260,7207,5580,1829,250,44470,13,532,5037,6842,7022,6779,5728,1506,186,33641,15,7572,36770,35765,27958,22311,19366,7116,1522,158407,220,4620,17979,21554,23389,23049,19459,8165,1864,120310,3548,17189,50240,46128,46693,46379,30670,12463,3155,256457,1244,1740,2969,2780,2355,2379,1791,494,108,15856,340,861,2020,2582,3480,3970,3760,1696,492,19215,5132,19790,55235,51493,52527,52734,36207,14658,3750,291524,72,232,739,763,770,949,1232,948,353,6063,7071,6131,13929,13857,15051,17562,20012,16696,9606,119914,12519,39654,140190,140350,134980,130592,107587,50925,17533,774334
29499,3,55,121,75,60,51,23,6,0,403,15,95,218,155,127,108,52,14,0,778,4,14,15,8,6,3,4,0,0,58,0,8,24,20,13,17,12,4,0,96,19,115,257,188,150,127,65,14,0,936,0,3,9,10,0,0,8,0,0,42,89,224,517,500,344,236,115,28,15,2072,118,537,1411,972,667,522,263,65,23,4574,0,0,88,77,37,26,13,0,0,239,0,4,20,25,17,21,9,0,0,98,0,44,280,153,107,71,37,8,0,701,4,21,95,66,56,79,42,7,0,372,15,82,227,210,170,141,83,20,0,949,8,19,26,20,17,13,7,0,0,112,0,3,13,17,25,11,11,0,0,90,25,106,270,243,211,161,104,20,0,1148,4,4,8,8,8,8,0,0,0,37,177,217,694,879,659,422,207,45,15,3316,211,400,1458,1448,1099,779,411,85,18,5907
29799,0,0,0,0,0,4,0,0,0,4,0,0,4,4,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,4,9,10,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,9,0,0,0,29,0,0,6,16,3,15,4,0,0,40
3GBRI,2217,12884,33653,36235,35382,25520,14491,5303,1476,167147,10115,27841,65960,57886,55252,42927,25738,10731,3020,299471,3371,3894,4310,3254,2658,1948,1137,263,82,20919,1076,2293,5066,6152,6199,5815,4090,1556,592,32839,14563,34031,75336,67294,64100,50692,30965,12553,3689,353230,290,877,2320,2203,2259,2122,1940,1069,410,13489,10422,12960,27192,22737,22062,19672,18221,14088,9763,157120,27740,88555,256138,235870,200587,148976,92602,41331,17473,1109269,7,1719,29405,39195,26861,17365,10129,3470,612,128765,61,1153,10826,12708,12410,8795,5503,1591,277,53320,131,29433,101187,93075,66725,39688,25829,10258,2391,368727,3081,12816,36911,42368,42058,32595,20205,8384,2021,200443,11986,30545,73791,67166,62108,52059,32563,14276,3607,348099,5401,4638,5340,3954,3098,2556,1814,586,100,27488,1362,2057,4439,5972,6940,6494,5311,2513,671,35771,18754,37240,83573,77095,72145,61111,39693,17376,4378,411354,301,666,1841,2153,1987,1800,1895,1253,429,12330,7999,10950,25266,21380,18377,15659,14951,12912,8538,136024,30334,93979,289009,287970,240561,177025,118202,55239,18647,1310969
3RQLD,1623,7843,26825,34013,36698,29755,17809,6412,1700,162682,10319,31291,77631,74413,74490,62062,38024,15102,3699,387036,3962,4489,5231,4075,3485,2770,1496,387,79,25976,1159,2316,5288,6758,7549,7212,5507,2237,595,38617,15440,38095,88149,85246,85526,72045,45029,17734,4371,451632,268,609,1711,1956,2267,2427,2497,1436,465,13633,15585,15104,31195,29986,33213,32615,30846,22086,12207,222835,33119,76290,212404,216546,210481,178773,120545,55641,20573,1124383,0,813,14107,16676,14083,11363,7696,2679,373,67801,56,814,6492,8102,8856,7469,5251,1479,227,38744,92,15594,62217,60740,48636,34689,25354,9852,2084,259251,2291,8512,28769,36962,42420,37813,25124,10085,2233,194202,11714,31587,83672,82855,82174,75915,49722,20533,4487,442648,5873,5154,5928,4530,3924,3506,2527,788,109,32336,1444,1985,4279,5843,7355,7531,6675,3036,772,38910,19035,38729,93877,93223,93452,86948,58919,24357,5364,513891,271,509,1422,1620,1865,2060,2230,1619,498,12090,12587,14499,33284,30089,30858,29898,27203,22076,11892,212393,34329,79477,240161,247414,240162,210236,151773,72154,22678,1298385
