GCCSA_CODE_2021,C21_20_24_Mar_DFM_F,C21_20_24_Mar_DFM_P,C21_20_24_N_mar_M,C21_20_24_N_mar_F,C21_20_24_N_mar_P,C21_20_24_Tot_M,C21_20_24_Tot_F,C21_20_24_Tot_P,C21_25_29_Mar_RegM_M,C21_25_29_Mar_RegM_F,C21_25_29_Mar_RegM_P,C21_25_29_Mar_DFM_M,C21_25_29_Mar_DFM_F,C21_25_29_Mar_DFM_P,C21_25_29_N_mar_M,C21_25_29_N_mar_F,C21_25_29_N_mar_P,C21_25_29_Tot_M,C21_25_29_Tot_F,C21_25_29_Tot_P,C21_30_34_Mar_RegM_M,C21_30_34_Mar_RegM_F,C21_30_34_Mar_RegM_P,C21_30_34_Mar_DFM_M,C21_30_34_Mar_DFM_F,C21_30_34_Mar_DFM_P,C21_30_34_N_mar_M,C21_30_34_N_mar_F,C21_30_34_N_mar_P,C21_30_34_Tot_M,C21_30_34_Tot_F,C21_30_34_Tot_P,C21_35_39_Mar_RegM_M,C21_35_39_Mar_RegM_F,C21_35_39_Mar_RegM_P,C21_35_39_Mar_DFM_M,C21_35_39_Mar_DFM_F,C21_35_39_Mar_DFM_P,C21_35_39_N_mar_M,C21_35_39_N_mar_F,C21_35_39_N_mar_P,C21_35_39_Tot_M,C21_35_39_Tot_F,C21_35_39_Tot_P,C21_40_44_Mar_RegM_M,C21_40_44_Mar_RegM_F,C21_40_44_Mar_RegM_P,C21_40_44_Mar_DFM_M,C21_40_44_Mar_DFM_F,C21_40_44_Mar_DFM_P,C21_40_44_N_mar_M,C21_40_44_N_mar_F,C21_40_44_N_mar_P,C21_40_44_Tot_M,C21_40_44_Tot_F,C21_40_44_Tot_P,C21_45_49_Mar_RegM_M,C21_45_49_Mar_RegM_F,C21_45_49_Mar_RegM_P,C21_45_49_Mar_DFM_M,C21_45_49_Mar_DFM_F,C21_45_49_Mar_DFM_P,C21_45_49_N_mar_M,C21_45_49_N_mar_F,C21_45_49_N_mar_P,C21_45_49_Tot_M,C21_45_49_Tot_F,C21_45_49_Tot_P,C21_50_54_Mar_RegM_M,C21_50_54_Mar_RegM_F,C21_50_54_Mar_RegM_P,C21_50_54_Mar_DFM_M,C21_50_54_Mar_DFM_F,C21_50_54_Mar_DFM_P,C21_50_54_N_mar_M,C21_50_54_N_mar_F,C21_50_54_N_mar_P,C21_50_54_Tot_M,C21_50_54_Tot_F,C21_50_54_Tot_P,C21_55_59_Mar_RegM_M,C21_55_59_Mar_RegM_F,C21_55_59_Mar_RegM_P,C21_55_59_Mar_DFM_M,C21_55_59_Mar_DFM_F,C21_55_59_Mar_DFM_P,C21_55_59_N_mar_M,C21_55_59_N_mar_F,C21_55_59_N_mar_P,C21_55_59_Tot_M,C21_55_59_Tot_F,C21_55_59_Tot_P,C21_60_64_Mar_RegM_M,C21_60_64_Mar_RegM_F,C21_60_64_Mar_RegM_P,C21_60_64_Mar_DFM_M,C21_60_64_Mar_DFM_F,C21_60_64_Mar_DFM_P,C21_60_64_N_mar_M,C21_60_64_N_mar_F,C21_60_64_N_mar_P,C21_60_64_Tot_M,C21_60_64_Tot_F,C21_60_64_Tot_P,C21_65_69_Mar_RegM_M,C21_65_69_Mar_RegM_F,C21_65_69_Mar_RegM_P,C21_65_69_Mar_DFM_M,C21_65_69_Mar_DFM_F,C21_65_69_Mar_DFM_P,C21_65_69_N_mar_M,C21_65_69_N_mar_F,C21_65_69_N_mar_P,C21_65_69_Tot_M,C21_65_69_Tot_F,C21_65_69_Tot_P,C21_70_74_Mar_RegM_M,C21_70_74_Mar_RegM_F,C21_70_74_Mar_RegM_P,C21_70_74_Mar_DFM_M,C21_70_74_Mar_DFM_F,C21_70_74_Mar_DFM_P,C21_70_74_N_mar_M,C21_70_74_N_mar_F,C21_70_74_N_mar_P,C21_70_74_Tot_M,C21_70_74_Tot_F,C21_70_74_Tot_P,C21_75_79_Mar_RegM_M,C21_75_79_Mar_RegM_F,C21_75_79_Mar_RegM_P,C21_75_79_Mar_DFM_M,C21_75_79_Mar_DFM_F,C21_75_79_Mar_DFM_P,C21_75_79_N_mar_M,C21_75_79_N_mar_F,C21_75_79_N_mar_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Mar_RegM_M,C21_80_84_Mar_RegM_F,C21_80_84_Mar_RegM_P,C21_80_84_Mar_DFM_M,C21_80_84_Mar_DFM_F,C21_80_84_Mar_DFM_P,C21_80_84_N_mar_M,C21_80_84_N_mar_F,C21_80_84_N_mar_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Mar_RegM_M,C21_85_over_Mar_RegM_F,C21_85_over_Mar_RegM_P,C21_85_over_Mar_DFM_M,C21_85_over_Mar_DFM_F,C21_85_over_Mar_DFM_P,C21_85_over_N_mar_M,C21_85_over_N_mar_F,C21_85_over_N_mar_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Marr_reg_marr_M,C21_Tot_Marr_reg_marr_F,C21_Tot_Marr_reg_marr_P,C21_Tot_Mar_de_fa_mar_M,C21_Tot_Mar_de_fa_mar_F,C21_Tot_Mar_de_fa_mar_P,C21_Tot_N_mar_M,C21_Tot_N_mar_F,C21_Tot_N_mar_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
1GSYD,17639,29705,145203,125595,270799,160626,151480,312109,26673,45866,72534,36753,42919,79671,115803,91520,207324,179229,180303,359531,77912,102466,180379,38723,36045,74769,71263,60511,131771,187903,199020,386921,115839,126776,242620,24961,22604,47565,48611,47294,95905,189419,196678,386091,111972,113013,224987,17977,16522,34501,39348,43019,82371,169294,172554,341852,104684,104804,209489,15746,14286,30028,37982,46810,84796,158409,165902,324311,95521,96184,191702,13576,12174,25752,37956,48617,86573,147060,156970,304027,92027,87648,179675,11304,9534,20838,36482,48773,85252,139809,145957,285762,83843,79578,163423,8382,6719,15104,32457,48355,80811,124682,134650,259331,72650,66889,139538,5510,4330,9838,25454,44592,70045,103609,115806,219418,64685,55152,119841,3912,2626,6531,21882,42273,64149,90477,100046,190521,46142,34511,80648,2107,1287,3395,15520,35543,51063,63764,71341,135104,28940,18314,47253,1053,511,1558,10934,30106,41042,40928,48929,89861,19311,8353,27666,451,204,654,12168,36367,48538,31927,44927,76856,943600,947945,1891549,193137,188495,381634,793087,881489,1674575,1929830,2017935,3947759
1RNSW,15385,26080,54440,46555,100994,66453,64533,130983,11221,17484,28710,20714,23285,43996,37944,31817,69769,69883,72584,142468,28759,36698,65462,17989,17692,35684,24569,24005,48578,71326,78406,149723,38790,43946,82737,13090,12979,26078,19622,21108,40736,71506,78040,149545,39289,42416,81706,10444,10851,21298,18446,21388,39834,68180,74658,142840,42598,45722,88318,10516,10700,21222,21605,24794,46394,74718,81222,155943,43392,47058,90447,10095,10156,20254,23711,26804,50518,77195,84019,161218,46449,49372,95814,9179,9023,18197,25665,28935,54598,81290,87322,168614,51234,52880,104114,8079,7422,15506,25678,31116,56789,84989,91421,176404,50472,49251,99713,6028,4747,10772,22826,29543,52373,79326,83535,162857,49830,43890,93722,4226,3245,7476,19729,29267,48992,73788,76403,150190,36135,28802,64943,2237,1567,3806,13764,25569,39333,52140,55937,108078,21882,14942,36826,1024,583,1606,9574,22178,31749,32479,37704,70183,13470,6417,19891,477,258,734,9421,26269,35696,23366,32946,56313,474870,481519,956390,125720,129691,255410,400669,457296,857965,1001263,1068504,2069770
19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2GMEL,16773,28413,139501,123009,262503,153291,145320,298605,21587,38232,59821,39741,46106,85846,115227,90420,205642,176556,174755,351312,73174,96455,169628,42045,39850,81898,67579,58563,126141,182801,194868,377665,110225,119264,229488,26957,24894,51847,44854,45447,90304,182033,189605,371632,103683,102570,206257,18955,17632,36592,35412,41156,76568,158053,161364,319418,95267,94999,190272,16218,15180,31400,35161,45342,80502,146646,155523,302173,90004,90116,180120,14105,13045,27148,36236,47725,83960,140344,150882,291228,82745,79490,162239,10958,9510,20473,33012,45387,78407,126724,134395,261116,75840,72072,147914,8218,6530,14748,28733,44081,72816,112797,122681,235481,65384,60935,126320,5240,4100,9341,22955,40257,63214,93583,105294,198875,58805,52450,111252,3387,2528,5913,18772,38489,57258,80959,93470,174433,42498,33419,75922,1929,1171,3097,13315,32397,45709,57747,66977,124731,27671,18031,45696,832,428,1263,9954,28538,38494,38454,47003,85453,18411,8267,26672,415,208,622,11397,34184,45581,30223,42653,72876,867493,871956,1739451,201155,198888,400048,743631,838536,1582170,1812279,1909383,3721666
2RVIC,7792,13195,30320,25398,55719,36340,34422,70766,5733,8967,14696,12422,13797,26226,22101,18443,40549,40261,41210,81465,16069,20153,36226,10763,10589,21347,13638,13363,27001,40467,44107,84579,22039,24917,46951,7672,7656,15330,10430,11912,22333,40141,44478,84621,22151,24025,46173,6135,6324,12459,10102,11966,22066,38395,42310,80703,24051,25393,49441,6107,6174,12284,11559,13962,25520,41715,45531,87245,24984,26908,51888,5928,5934,11863,13078,15350,28420,43985,48194,92173,26841,28634,55472,5110,4924,10040,13697,16459,30158,45643,50025,95670,29403,30146,59551,4384,3936,8320,13777,17232,31012,47564,51316,98886,29325,28408,57734,3263,2638,5902,12656,16553,29211,45248,47602,92846,28042,24940,52976,2224,1636,3855,10813,16091,26904,41074,42668,83736,19366,15802,35169,1163,789,1952,7280,13427,20708,27806,30013,57827,12165,8019,20180,511,292,798,5006,11628,16638,17679,19938,37614,7078,3346,10428,208,113,322,5107,13480,18579,12392,16939,29331,267877,270915,538790,71634,73281,144918,220197,252535,472731,559706,596730,1156437
29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,16192,27662,65100,58432,123536,78135,77747,155883,12140,19112,31253,23436,26397,49831,46381,39765,86143,81955,85273,167230,33300,42765,76066,20679,19952,40634,29257,27569,56822,83240,90278,173522,48012,54326,102335,14467,13593,28060,22034,23368,45402,84513,91281,175792,47554,50128,97683,10488,10199,20687,18858,22205,41062,76901,82535,159434,47325,48484,95809,9420,9011,18429,19314,24593,43907,76061,82093,158146,44855,45357,90203,8135,7474,15606,18998,24710,43713,71982,77539,149527,41017,40089,81105,6384,5658,12049,17279,23448,40732,64678,69205,133880,37914,36524,74435,4435,3766,8204,15229,22576,37806,57585,62861,120448,33443,31293,64734,2951,2323,5279,12883,21149,34030,49275,54773,104046,31030,27280,58308,2039,1473,3509,11003,20416,31416,44077,49165,93233,21851,16470,38324,1097,698,1788,7597,16994,24589,30547,34158,64702,12462,8076,20545,450,259,709,5161,13010,18172,18078,21347,39426,7169,3230,10397,176,99,274,5097,14707,19802,12438,18035,30475,419665,426307,845976,116418,118501,234924,367336,421791,789122,903417,966600,1870018
3RQLD,16132,27241,49451,43817,93266,62083,62911,124999,10678,16690,27363,20279,23211,43493,35239,31357,66596,66192,71256,137449,25441,33811,59250,17977,18405,36383,23314,23352,46670,66739,75570,142306,36092,43391,79480,13555,13845,27401,18774,21321,40098,68421,78558,146982,37941,42731,80674,10648,10895,21536,17821,21515,39336,66409,75142,141551,41120,45130,86251,10254,10295,20551,20083,24413,44497,71454,79837,151292,42045,44980,87030,9615,9778,19396,21118,25508,46629,72779,80269,153047,42190,45048,87237,8401,8039,16431,21432,26114,47549,72018,79205,151220,43602,44417,88018,6866,6142,13004,20665,26209,46872,71129,76766,147888,41757,40010,81765,4880,3915,8794,18017,24332,42349,64654,68251,132904,40569,35373,75940,3609,2542,6151,16110,23948,40052,60286,61864,122152,29215,22573,51782,1928,1295,3228,11166,20180,31345,42310,44046,86360,17158,10804,27959,900,502,1396,7247,16197,23441,25301,27500,52801,9625,4341,13961,429,194,623,6779,17417,24202,16835,21953,38784,418985,432321,851311,121452,127074,248534,356978,410411,767383,897419,969814,1867231
