GCCSA_CODE_2021,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_0_C21_M,Age_0_C21_F,Age_0_C21_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_1_C21_M,Age_1_C21_F,Age_1_C21_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_2_C21_M,Age_2_C21_F,Age_2_C21_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_3_C21_M,Age_3_C21_F,Age_3_C21_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_4_C21_M,Age_4_C21_F,Age_4_C21_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_0_4_C21_M,Age_0_4_C21_F,Age_0_4_C21_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_5_C21_M,Age_5_C21_F,Age_5_C21_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_6_C21_M,Age_6_C21_F,Age_6_C21_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_7_C21_M,Age_7_C21_F,Age_7_C21_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_8_C21_M,Age_8_C21_F,Age_8_C21_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_9_C21_M,Age_9_C21_F,Age_9_C21_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_5_9_C21_M,Age_5_9_C21_F,Age_5_9_C21_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_10_C21_M,Age_10_C21_F,Age_10_C21_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_11_C21_M,Age_11_C21_F,Age_11_C21_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_12_C21_M,Age_12_C21_F,Age_12_C21_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_13_C21_M,Age_13_C21_F,Age_13_C21_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_14_C21_M,Age_14_C21_F,Age_14_C21_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_10_14_C21_M,Age_10_14_C21_F,Age_10_14_C21_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_15_C21_M,Age_15_C21_F,Age_15_C21_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_16_C21_M,Age_16_C21_F,Age_16_C21_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_17_C21_M,Age_17_C21_F,Age_17_C21_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_18_C21_M,Age_18_C21_F,Age_18_C21_P,Age_19_C11_M,Age_19_C11_F
1GSYD,30403,28848,59249,30085,28778,58861,31675,29689,61363,31316,29793,61115,32300,30442,62741,31807,30414,62225,30430,28963,59393,31936,30551,62485,32305,30254,62565,30682,29011,59691,32405,30561,62967,32130,30081,62214,30652,28800,59449,32303,30816,63123,32877,31127,64006,153488,145412,298896,159029,151144,310170,160794,151568,312364,29628,27902,57532,32091,30348,62440,33542,31910,65452,28910,26895,55804,32339,30623,62964,33569,31439,65004,27974,26289,54262,31342,29852,61196,33624,32167,65795,27945,26382,54321,31694,30095,61788,34117,32235,66350,27153,25634,52791,31252,29599,60848,34165,32307,66471,141610,133106,274713,158718,150522,309234,169015,160061,329072,27672,26099,53776,30176,28378,58553,33599,31667,65269,27817,26458,54275,29197,27362,56561,33650,31703,65355,27651,25893,53546,28855,26992,55853,32902,31222,64129,27437,26059,53498,28631,27064,55698,32775,31153,63925,27976,26541,54516,27853,26382,54237,32508,30592,63100,138559,131045,269598,144711,136177,280889,165443,156334,321768,28039,26141,54182,28669,26939,55603,31471,29496,60970,28420,26682,55099,29166,27424,56585,30756,28600,59359,28161,26757,54918,28878,27214,56084,30100,28033,58138,28364,26709,55074,29592,28451,58041,29923,28197,58121,28937,27573
1RNSW,15433,14497,29922,14801,13974,28770,15346,14721,30065,16019,15377,31392,15462,14594,30053,15919,14993,30914,16466,15592,32061,15877,15150,31026,16057,14881,30933,16514,15970,32481,16629,15529,32151,16037,15282,31312,17117,16305,33427,16875,15739,32609,16307,15695,32001,81545,77731,159279,79634,74979,154618,79655,75571,155229,16825,15915,32744,16755,15962,32719,17354,16250,33608,16351,15448,31799,17020,16439,33456,17081,16254,33334,16204,15208,31415,17469,16437,33905,17476,16518,33995,16147,15434,31590,17330,16659,33989,18126,16817,34947,16371,15659,32031,17790,16828,34624,18174,17255,35430,81906,77663,159569,86368,82336,168703,88216,83093,171313,17139,16070,33213,17191,16365,33558,18046,17026,35068,17127,16411,33539,16729,15753,32479,18340,17700,36038,17322,16787,34113,16510,15411,31923,18456,17425,35887,17503,16604,34113,16309,15552,31869,18346,17569,35914,17728,16554,34288,16343,15772,32114,18631,17459,36094,86827,82428,169257,83082,78860,161944,91820,87172,178998,17462,16694,34156,16705,15810,32514,17759,16868,34628,17850,17066,34921,16664,16111,32777,17270,16191,33467,17751,16937,34689,16757,16212,32971,16664,15701,32375,16850,15598,32445,16150,15119,31274,16247,15232,31480,16005,14661
19499,72,58,124,40,35,75,51,33,89,53,53,109,41,39,78,55,46,101,63,42,104,41,21,69,50,37,95,59,48,107,31,30,61,48,50,102,59,50,110,31,29,60,45,38,82,308,248,552,187,149,339,258,203,460,46,37,79,24,24,53,39,44,86,25,29,59,24,28,55,44,45,89,39,35,71,22,18,40,34,46,78,30,21,54,29,22,51,49,45,98,34,23,53,22,24,43,42,50,84,165,152,317,117,122,242,199,227,428,40,34,75,21,17,34,28,44,73,30,30,56,16,19,36,41,41,77,24,24,52,16,16,31,28,33,60,44,32,78,18,12,30,48,43,93,26,21,51,17,18,31,34,26,59,166,145,312,82,80,157,185,185,369,46,45,88,20,16,34,33,50,83,76,62,134,34,27,56,47,49,96,73,75,150,36,31,67,51,60,114,76,101,175,66,59,121,58,67,121,123,96
19799,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,11,5,13,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,5,3,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,5,11,12,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0
2GMEL,26350,24712,51061,28295,26918,55211,28850,27632,56483,27041,25963,53007,30017,28212,58229,29651,28007,57666,26467,25131,51595,29538,28091,57624,29672,28188,57855,26739,25297,52039,29960,28611,58572,30112,28413,58525,26662,25260,51929,29565,27965,57533,30972,29147,60119,133257,126372,259633,147382,139797,287178,149255,141400,290649,26203,24861,51059,28904,27245,56149,31879,30060,61940,25065,23643,48708,29023,27851,56876,31425,29851,61277,24711,23471,48182,28267,27005,55267,31699,29620,61316,24326,22919,47253,28400,26917,55320,31909,30306,62214,23893,22835,46731,28074,26822,54893,31062,29713,60776,124192,117737,241927,142671,135833,278505,157973,149552,307523,24176,22963,47140,27319,25986,53307,30302,28702,59001,24228,23288,47513,26243,24854,51093,30538,29394,59927,24300,23252,47555,26219,24662,50877,29971,28243,58212,24584,22820,47404,25645,24256,49902,30019,28396,58412,24781,23235,48012,24948,23883,48834,29804,28055,57859,122072,115554,237624,130381,123642,254016,150634,142778,293410,24834,23373,48204,25583,24328,49912,28782,27250,56030,25351,24286,49638,25895,25376,51273,28086,26317,54403,25843,24448,50292,26307,25502,51803,27774,26176,53948,26190,25309,51500,28202,27111,55308,27861,26513,54370,27248,26210
2RVIC,8221,7724,15947,8052,7565,15616,8336,8168,16500,8534,8089,16622,8397,8019,16413,8510,8038,16548,8740,8193,16931,8575,8212,16788,8494,8420,16919,8846,8421,17257,8986,8361,17353,8996,8368,17360,9269,8618,17892,8988,8502,17490,8858,8645,17503,43610,41048,84656,43002,40667,83664,43195,41636,84837,8847,8385,17231,8901,8366,17267,9578,9006,18583,8492,8055,16553,9114,8748,17864,9510,9028,18537,8531,8133,16663,9322,8768,18093,9620,9280,18894,8457,8136,16592,9243,8766,18008,9865,9128,18988,8582,8313,16896,9737,8969,18697,9987,9251,19243,42914,41018,83927,46314,43625,89936,48558,45693,94252,8966,8254,17221,9124,8779,17895,9793,9159,18947,8796,8727,17525,8697,8285,16981,9925,9450,19380,9376,8806,18181,8890,8405,17288,10177,9461,19641,9438,8787,18231,8794,8398,17194,10118,9353,19473,9634,9201,18835,8944,8565,17509,10444,9757,20205,46208,43775,89989,44440,42430,86871,50457,47190,97643,9752,9303,19048,9141,8409,17551,9740,9295,19041,10065,9278,19338,9031,8804,17831,9171,8610,17787,9834,9300,19130,9457,8863,18320,9188,8720,17902,9117,8703,17821,9022,8229,17256,8776,8245,17021,8545,7862
29499,62,49,117,54,38,93,43,47,90,33,54,87,35,46,80,45,36,77,51,38,88,38,24,60,49,50,100,49,39,84,54,35,91,52,23,74,33,40,73,36,19,56,38,35,76,230,213,449,214,163,374,222,189,414,22,24,43,20,23,42,39,36,79,26,30,57,20,24,43,28,43,74,29,29,53,18,16,29,47,26,74,25,27,48,17,25,41,52,40,91,28,32,57,17,17,31,38,40,78,130,136,264,88,106,196,208,181,393,33,23,51,20,26,53,30,35,72,69,55,122,21,17,38,37,37,76,30,22,44,4,10,16,31,35,73,24,17,39,12,11,21,25,37,64,32,35,70,19,21,39,27,33,56,182,147,327,90,91,179,161,175,334,16,22,39,16,18,30,36,24,58,28,32,58,19,18,38,32,38,66,45,57,101,29,29,59,36,48,80,56,70,130,54,52,105,54,54,107,86,87
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3GBRI,14303,13767,28065,13920,13635,27557,14942,14135,29078,15014,14112,29125,15112,14358,29474,15165,14471,29632,14952,14086,29037,15422,14408,29830,15628,14659,30289,14847,13916,28760,15722,14830,30552,15559,14694,30255,15024,14159,29179,15668,14816,30492,16133,15117,31254,74137,70037,144172,75850,72048,147899,77426,73074,150503,14700,13652,28347,15465,14871,30340,16536,16028,32567,14398,13492,27887,15895,15289,31189,16736,15854,32588,13742,13251,26994,15927,14991,30919,17187,16105,33293,13335,12535,25874,15873,14951,30821,17373,16306,33680,13625,12969,26595,15805,14858,30661,17211,16346,33556,69799,65903,135702,78960,74963,153922,85041,80642,165679,13839,13155,26995,15510,14532,30048,16964,16366,33333,13694,12901,26590,14797,14011,28807,17401,16598,33999,13747,13075,26821,14553,13947,28496,17492,16362,33852,13919,13109,27024,14096,13277,27371,17224,16246,33472,13776,13414,27195,14307,13558,27865,17284,16032,33313,68980,65649,134628,73256,69320,142576,86365,81594,167962,14018,13435,27452,14607,13858,28465,16618,15489,32108,14463,13883,28347,14445,13812,28257,16302,15094,31397,14435,13661,28088,14426,13821,28255,15524,14935,30464,14993,14274,29272,15328,14735,30064,15637,15055,30694,14936,15239
3RQLD,14930,14345,29281,13815,13035,26847,13755,12977,26731,15516,14831,30349,15115,14372,29486,14580,13499,28083,15826,14947,30769,15474,14779,30258,14541,13608,28146,16233,15266,31504,15656,14789,30447,14855,14089,28941,16311,15003,31319,15946,15244,31184,15268,14275,29542,78827,74397,153219,76003,72217,148225,73003,68446,141447,16009,15266,31274,16105,15484,31581,16151,15312,31464,15658,14641,30300,16468,15815,32282,16481,15381,31859,15280,14425,29703,16722,15870,32588,16766,16063,32827,15145,14392,29537,17149,16110,33265,17101,16102,33202,15524,14601,30124,17255,15945,33201,17223,16548,33770,77620,73319,150937,83694,79223,162923,83714,79408,163120,15956,15223,31174,16647,15885,32530,17435,16671,34105,16038,15022,31058,16086,15232,31317,17726,16991,34722,15790,15213,31002,15992,14988,30977,18003,17080,35089,16018,15479,31495,15725,15026,30752,18388,17022,35411,16027,15355,31381,15870,14878,30744,18185,16662,34846,79831,76284,156118,80317,76000,156322,89739,84431,174166,16257,15213,31477,16360,15445,31806,17489,16577,34065,16376,15344,31720,16192,15254,31448,16693,15778,32472,15850,14812,30664,15480,14686,30172,16174,15284,31458,14594,13548,28136,14427,13818,28240,14847,14409,29259,14223,13821
