GCCSA_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
39499,67,26,20,52,11,6,14,220,124,348,35,11,48,8,3,8,14,7,20,8,18,21,0,0,0,63,37,101,5,4,9,3,0,9,3,5,4,6,13,25,0,4,6,23,25,44,2006,1943,3948,593,363,959,977,881,1855,134,194,326,3398,2749,6142,7108,6127,13234
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,5,76,8,0,8,9,4,16,0,0,0,55,26,83,149,28,183
4GADE,6571,1813,7353,9163,1022,952,1974,22150,25896,48046,10270,7316,17588,316,247,567,1310,2023,3336,2171,8816,10988,506,530,1034,14579,18937,33513,7809,3952,11767,197,125,321,744,1514,2258,4588,16358,20946,377,589,964,13726,22535,36258,262513,263009,525518,15917,19385,35306,43587,63852,107444,13449,49251,62695,222862,195933,418792,558325,591428,1149752
4RSAU,2129,878,2770,3649,411,271,678,9356,9541,18901,4041,2771,6816,131,75,212,471,458,931,895,2897,3799,274,108,380,5811,6318,12130,2482,1250,3735,70,38,106,258,289,550,1521,4841,6368,154,141,299,4495,6558,11053,78565,77528,156097,5896,5911,11805,15838,16817,32650,5424,16488,21909,57295,45886,103181,163013,162625,325639
49499,17,0,6,5,0,0,0,31,15,44,4,5,8,0,0,0,0,3,5,0,9,5,0,0,0,7,17,18,3,5,9,0,0,0,0,0,0,3,3,11,0,0,0,7,10,11,328,311,637,153,110,261,260,152,406,30,39,75,892,702,1594,1668,1306,2975
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,3,0,3,12,0,12
5GPER,8502,2285,8708,11000,1282,1068,2347,29128,31734,60857,13520,9235,22754,425,324,753,1753,2912,4667,2557,10141,12698,720,655,1376,18974,23261,42242,9276,4846,14123,268,172,438,965,1792,2762,4790,17593,22386,487,631,1117,15791,25048,40831,407807,409167,816977,24750,30090,54842,60922,88346,149272,16041,59023,75070,329423,289841,619256,838947,876467,1715415
5RWAU,2261,767,2315,3083,436,249,684,8600,8444,17039,3533,2296,5828,155,68,221,550,522,1077,803,2556,3359,226,113,342,5268,5565,10826,2191,1083,3280,69,46,113,260,337,596,1175,3821,4997,143,110,257,3843,5399,9237,102214,97912,200130,8156,7933,16090,19359,20914,40269,5202,15150,20356,84264,69922,154186,219201,211827,431032
59499,25,12,8,19,11,0,11,88,26,114,9,3,15,0,0,0,12,3,14,5,8,13,0,0,3,29,15,42,0,0,0,4,0,4,9,3,5,0,9,14,7,4,3,14,16,30,861,791,1648,371,175,548,524,385,909,83,93,175,2408,1589,3998,4247,3030,7285
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,12,217,30,0,25,37,10,44,3,0,3,189,33,227,455,61,516
